,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD
2011-07-03,1.3510284,1.3700714,1.3537903,1.3632507,1.3443375,1.3349533,1.3638153
2011-07-04,1.3628006,1.3543167,1.3750763,1.3355331,1.3501587,1.3666458,1.343483
2011-07-05,1.3303528,1.3574448,1.3353577,1.3692932,1.3609848,1.3357925,1.3552399
2011-07-06,1.3783264,1.3300095,1.356926,1.3356247,1.3531342,1.3582306,1.3517227
2011-07-07,1.3325806,1.3675919,1.348175,1.3674622,1.3338547,1.3578339,1.3534012
2011-07-08,1.3722992,1.3318863,1.3601303,1.3329773,1.3484268,1.3576431,1.3542175
2011-07-10,1.3316116,1.3574753,1.3480606,1.3491669,1.3607559,1.3468323,1.354866
2011-07-11,1.3682861,1.3441162,1.3515167,1.3502197,1.3579712,1.3498001,1.3575592
2011-07-12,1.3547211,1.3563919,1.3510056,1.3490295,1.361496,1.3503876,1.360939
2011-07-13,1.3527527,1.349968,1.3536682,1.3581772,1.3450851,1.3495483,1.3522873
2011-07-14,1.3522797,1.3500443,1.3583069,1.3474655,1.3548279,1.3485031,1.3499451
2011-07-15,1.3666153,1.3532333,1.3534775,1.3524246,1.3519135,1.3425522,1.3578949
2011-07-17,1.33741,1.3431015,1.3542175,1.3533554,1.3469238,1.3422852,1.3484344
2011-07-18,1.3545761,1.3566055,1.3479385,1.3369904,1.3431168,1.337822,1.3257141
2011-07-19,1.3494415,1.3475647,1.3529205,1.3483047,1.3418427,1.3565445,1.3301239
2011-07-20,1.3541412,1.344696,1.3493042,1.3342819,1.3478088,1.3490219,1.3437347
2011-07-21,1.347023,1.3594437,1.347229,1.3468552,1.3482666,1.3421783,1.3409576
2011-07-22,1.357811,1.3573303,1.3475266,1.3455734,1.3423996,1.343132,1.3387146
2011-07-24,1.3482208,1.3306885,1.3475418,1.3461456,1.3396988,1.3382492,1.3111343
2011-07-25,1.3473969,1.3428574,1.3427734,1.3454971,1.3371735,1.3355331,1.3405762
2011-07-26,1.3451233,1.3432465,1.3412628,1.3394852,1.3378372,1.328064,1.3303833
2011-07-27,1.342308,1.3427048,1.340004,1.3415222,1.3248901,1.3544998,1.318512
2011-07-28,1.3414001,1.3420105,1.3176651,1.3656998,1.3470917,1.3312302,1.3300858
2011-07-29,1.3338623,1.3329544,1.3027573,1.3161163,1.3113098,1.3148804,1.3276062
2011-07-31,1.3364563,1.324028,1.3157578,1.3276138,1.3199921,1.3186646,1.3320618
2011-08-01,1.3511658,1.3408966,1.3327408,1.3309479,1.3314514,1.3304825,1.3212357
2011-08-02,1.3410645,1.3152618,1.3368073,1.321579,1.3311844,1.3330841,1.335762
2011-08-03,1.3178635,1.3370743,1.3416367,1.3230515,1.3181381,1.3163452,1.3241577
2011-08-04,1.3211975,1.3195801,1.3338394,1.3281174,1.3525543,1.3529053,1.3304291
2011-08-05,1.3527527,1.32547,1.3289337,1.3328857,1.3258057,1.3369217,1.3267288
2011-08-07,1.3375549,1.3488846,1.3203812,1.3209457,1.3385544,1.3260345,1.3126678
2011-08-08,1.3404846,1.331871,1.3093948,1.3231888,1.3488617,1.313942,1.3149338
2011-08-09,1.3330917,1.3336945,1.3399277,1.3391113,1.3266678,1.361702,1.3307877
2011-08-10,1.3373184,1.3316269,1.3306198,1.3656769,1.3378296,1.346344,1.3310776
2011-08-11,1.3153458,1.3348007,1.3068619,1.3473434,1.3272705,1.3168869,1.3192291
2011-08-12,1.3339615,1.3245163,1.308464,1.3180923,1.3327255,1.3193359,1.3339996
2011-08-14,1.3227615,1.3129044,1.3359985,1.3295441,1.3607559,1.3302765,1.3352127
2011-08-15,1.3187332,1.3518677,1.3467026,1.3169022,1.3108063,1.3198013,1.3148193
2011-08-16,1.3323898,1.3245392,1.30896,1.3307037,1.3145447,1.3303909,1.3295822
2011-08-17,1.3493118,1.3520737,1.3580322,1.331871,1.3348846,1.3710709,1.3304825
2011-08-18,1.3664627,1.3693466,1.3217392,1.3321686,1.3322601,1.3399048,1.3361664
2011-08-19,1.3436356,1.3340073,1.3296814,1.3347778,1.3415146,1.3433762,1.3443527
2011-08-21,1.3246613,1.3285599,1.3251648,1.3303833,1.3453369,1.3457413,1.3435211
2011-08-22,1.3281326,1.3363495,1.3309479,1.3204422,1.3386917,1.3454437,1.3531723
2011-08-23,1.3301392,1.3324814,1.3388748,1.3589554,1.3425064,1.353981,1.3649521
2011-08-24,1.3451538,1.3415375,1.3309326,1.3438797,1.3574142,1.3672867,1.3688812
2011-08-25,1.3396759,1.3345795,1.3424606,1.3531647,1.3660889,1.3675461,1.3705597
2011-08-26,1.330925,1.3463287,1.3576431,1.3630219,1.364502,1.3639679,1.3705597
2011-08-28,1.3449326,1.3563461,1.3674469,1.3671646,1.364502,1.3668137,1.3666992
2011-08-29,1.3508682,1.3689041,1.3674622,1.367836,1.3708267,1.3651657,1.3597336
2011-08-30,1.3681946,1.364975,1.3710022,1.3686066,1.3657608,1.3632202,1.3669815
2011-08-31,1.3642807,1.3663406,1.366951,1.3667984,1.3665848,1.3647156,1.368576
2011-09-01,1.3649216,1.3693161,1.3673706,1.3656311,1.3645325,1.3645477,1.368576
2011-09-02,1.3674927,1.3643417,1.3684082,1.3667908,1.363266,1.3675842,1.3666153
2011-09-04,1.3656235,1.3648071,1.3668594,1.3696518,1.3687057,1.3653259,1.349289
2011-09-05,1.3650284,1.3684998,1.3684769,1.3629227,1.3633957,1.3653946,1.3675079
2011-09-06,1.368454,1.3690186,1.3668594,1.366333,1.368248,1.36866,1.365654
2011-09-07,1.3615875,1.3678207,1.3687897,1.3719559,1.3624496,1.3726501,1.365654
2011-09-08,1.3673935,1.3681488,1.3668594,1.3697205,1.3617859,1.3554916,1.3684845
2011-09-09,1.3683243,1.367218,1.3689194,1.3987579,1.3667221,1.3637695,1.3661041
2011-09-11,1.3651505,1.3639221,1.3668594,1.3292313,1.3634567,1.3624649,1.3630753
2011-09-12,1.3721085,1.3646927,1.3691101,1.3641434,1.3654175,1.365448,1.3649445
2011-09-13,1.37117,1.3615417,1.3667297,1.3641434,1.3668365,1.371521,1.3656464
2011-09-14,1.3679657,1.3657608,1.3691101,1.3697662,1.3668365,1.367012,1.3682404
2011-09-15,1.3681641,1.3656616,1.3666,1.3669357,1.3668365,1.3612747,1.3448868
2011-09-16,1.3681641,1.3701553,1.3691101,1.369667,1.3681793,1.3521347,1.3447189
2011-09-18,1.3683548,1.3692398,1.3663406,1.3620529,1.3553467,1.3451614,1.3493881
2011-09-19,1.3683548,1.3674164,1.366272,1.3530579,1.3421631,1.3497391,1.3425064
2011-09-20,1.3683548,1.3570862,1.3580856,1.3459015,1.3520584,1.3447647,1.3454132
2011-09-21,1.3675842,1.3546829,1.2978897,1.3461609,1.3389206,1.3450928,1.3506317
2011-09-22,1.3508148,1.3445816,1.3397751,1.3509979,1.3914185,1.3498764,1.3444366
2011-09-23,1.3426819,1.351387,1.3471756,1.3456421,1.3578186,1.3444366,1.361618
2011-09-25,1.3471527,1.3494949,1.3462753,1.3459015,1.3427277,1.3448334,1.3499069
2011-09-26,1.3939743,1.3460007,1.3506699,1.3511963,1.3480148,1.3488922,1.3414688
2011-09-27,1.3557892,1.3468704,1.3467941,1.345314,1.3464584,1.359909,1.3514557
2011-09-28,1.3479156,1.3463898,1.3450241,1.3457718,1.3490524,1.3439636,1.3444366
2011-09-29,1.3474655,1.3459091,1.3465958,1.3514557,1.3460693,1.3505554,1.3317947
2011-09-30,1.3451538,1.3436127,1.3391953,1.3446808,1.3423462,1.3569946,1.355835
2011-10-02,1.3494949,1.3552399,1.3451767,1.345314,1.3497086,1.3413849,1.3348999
2011-10-03,1.347969,1.3429184,1.3507919,1.3544083,1.3553467,1.3530045,1.3629608
2011-10-04,1.34375,1.3555603,1.3524857,1.3024063,1.3591614,1.357132,1.3440552
2011-10-05,1.3497238,1.3425903,1.3506851,1.3420792,1.3403854,1.3621674,1.350563
2011-10-06,1.3481674,1.3534927,1.3519974,1.3458099,1.3477783,1.3253174,1.3459167
2011-10-07,1.3433304,1.3420563,1.3502045,1.3498154,1.353714,1.3789978,1.3464355
2011-10-09,1.3498764,1.3597412,1.3467941,1.3449097,1.3461761,1.3468094,1.345398
2011-10-10,1.3491745,1.3491745,1.3527985,1.3452988,1.3509521,1.3504944,1.3438339
2011-10-11,1.3437424,1.348732,1.3458252,1.3502655,1.3527756,1.3518448,1.3523254
2011-10-12,1.3500748,1.350563,1.3465958,1.3551712,1.3544006,1.3502502,1.3595657
2011-10-13,1.349556,1.3508759,1.3469162,1.349617,1.3483047,1.3547363,1.3540039
2011-10-14,1.3433609,1.3536377,1.3439026,1.3496399,1.3488617,1.3526535,1.3494186
2011-10-16,1.3543625,1.3504639,1.3543091,1.3482437,1.3542786,1.3539963,1.349678
2011-10-17,1.3448944,1.3473053,1.3025284,1.352356,1.347374,1.348381,1.3544464
2011-10-18,1.3564987,1.3502045,1.3502121,1.3480835,1.3593674,1.3487778,1.3490906
2011-10-19,1.416748,1.3681793,1.3530121,1.3542862,1.3404083,1.3543243,1.349289
2011-10-20,1.3633194,1.3530655,1.3778152,1.3475037,1.3548965,1.3482513,1.3546448
2011-10-21,1.3482819,1.3584442,1.3527527,1.3480835,1.3479462,1.3485794,1.3485794
2011-10-23,1.3526688,1.3653107,1.3644791,1.3538132,1.3590317,1.3545837,1.3491592
2011-10-24,1.3521576,1.3164444,1.3473053,1.3725281,1.3467178,1.3477402,1.3550262
2011-10-25,1.347702,1.3569336,1.345581,1.35112,1.3439941,1.3485794,1.3481903
2011-10-26,1.3527985,1.3475494,1.3774109,1.3516998,1.3819656,1.3551025,1.3487091
2011-10-27,1.3525391,1.3562622,1.3555069,1.355896,1.3340759,1.3473587,1.3552246
2011-10-28,1.3475723,1.3528824,1.3498154,1.3509903,1.35643,1.3197861,1.3479233
2011-10-30,1.3533096,1.3486786,1.3500748,1.3515091,1.3519897,1.342041,1.3485794
2011-10-31,1.3526688,1.3527374,1.3537445,1.3564072,1.3555374,1.3505707,1.3396988
2011-11-01,1.3471832,1.352478,1.349556,1.3509903,1.3516617,1.3597565,1.3851776
2011-11-02,1.3533096,1.3485413,1.3498154,1.3513184,1.3680649,1.3333054,1.3429184
2011-11-03,1.3525391,1.3528061,1.3539429,1.3569183,1.3417664,1.3601532,1.3447113
2011-11-04,1.3465958,1.352478,1.3407516,1.3587341,1.3495407,1.3428802,1.358284
2011-11-06,1.3533783,1.3295822,1.3550415,1.3434982,1.3563461,1.3555527,1.3331451
2011-11-07,1.367836,1.324852,1.3336182,1.3569412,1.3715134,1.3459244,1.3459625
2011-11-08,1.3744125,1.3480225,1.3453293,1.353981,1.347435,1.3474655,1.34906
2011-11-09,1.3756027,1.3415833,1.3566818,1.3543243,1.3391113,1.3355408,1.3532562
2011-11-10,1.3472214,1.315445,1.3470917,1.3414993,1.346199,1.3269882,1.330101
2011-11-11,1.3526459,1.3342896,1.3463058,1.3395844,1.3411026,1.312233,1.3098679
2011-11-13,1.3479156,1.3370743,1.3413467,1.3483276,1.3388214,1.3616638,1.3296509
2011-11-14,1.3494949,1.3394623,1.337471,1.3696289,1.2898331,1.3377533,1.3482056
2011-11-15,1.3536377,1.3466415,1.3426514,1.3347855,1.3823929,1.3395233,1.3426819
2011-11-16,1.331398,1.338562,1.3386612,1.3308487,1.3318481,1.3432922,1.3287964
2011-11-17,1.3621521,1.3365555,1.3371048,1.3270874,1.333519,1.3439102,1.343689
