,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD
2011-09-20,4002.5254,4002.6658,4003.532,4004.6926,4003.9812,4003.3083,4001.4775
2011-09-21,4020.6697,4021.6814,4022.5974,4022.8218,4021.1235,4019.5112,4016.7773
2011-09-22,4039.2256,4040.7925,4040.778,4040.0044,4037.3638,4034.8494,4032.1414
2011-09-23,4057.103,4057.6477,4056.6614,4055.056,4051.8743,4049.7231,4047.1775
2011-09-25,4072.1772,4071.6453,4070.0002,4067.892,4064.7966,4062.1738,4058.8625
2011-09-26,4084.3545,4082.9543,4080.409,4077.3716,4073.6865,4070.7551,4067.719
2011-09-27,4092.8713,4090.6438,4087.827,4085.0137,4081.1855,4077.2017,4073.1338
2011-09-28,4100.3174,4097.0474,4093.1362,4089.2532,4085.5127,4082.4377,4077.4827
2011-09-29,4104.269,4101.9185,4097.4414,4092.406,4088.5522,4084.717,4080.741
2011-09-30,4105.5425,4102.882,4100.3413,4095.523,4090.596,4085.5115,4081.7988
2011-10-02,4105.0654,4102.402,4101.863,4097.6167,4091.4043,4085.0115,4082.4678
2011-10-03,4104.2573,4101.9116,4101.3823,4098.4507,4090.8882,4084.3237,4082.8206
2011-10-04,4103.5776,4101.3887,4101.4067,4097.9214,4090.1848,4083.611,4082.8247
2011-10-05,4102.8735,4101.406,4100.7827,4097.199,4089.455,4082.8713,4082.8264
2011-10-06,4102.143,4100.748,4100.041,4096.4507,4088.6978,4082.8247,4082.824
2011-10-07,4100.7764,4099.9854,4099.2715,4095.6724,4087.9119,4082.823,4082.8242
2011-10-09,4099.9897,4099.194,4098.474,4094.8655,4087.0962,4082.823,4082.8267
2011-10-10,4099.1733,4098.373,4097.6465,4094.0276,4086.2502,4082.823,4082.824
2011-10-11,4098.327,4097.522,4096.7876,4093.1584,4085.3723,4082.8252,4082.8242
2011-10-12,4097.449,4096.639,4095.8943,4092.2566,4084.4626,4082.821,4082.8267
2011-10-13,4096.5386,4095.7217,4094.9683,4091.322,4083.5168,4082.8252,4082.824
2011-10-14,4095.5918,4094.7686,4094.0085,4090.353,4082.838,4082.8262,4082.8242
2011-10-16,4094.609,4093.781,4093.0146,4089.344,4082.8242,4082.8215,4082.8271
2011-10-17,4093.5906,4092.758,4091.9802,4088.2986,4082.8242,4082.8252,4082.824
2011-10-18,4092.5354,4091.6936,4090.9072,4087.216,4082.8242,4082.8237,4082.8242
2011-10-19,4091.437,4090.5906,4089.7966,4086.089,4082.8242,4082.8252,4083.8884
2011-10-20,4090.3008,4089.4465,4088.6401,4084.9243,4082.8242,4083.8748,4087.2231
2011-10-21,4089.1184,4088.2583,4087.444,4083.7112,4083.9248,4087.2927,4093.173
2011-10-23,4087.8955,4087.026,4086.2002,4084.6665,4087.4275,4093.391,4101.8687
2011-10-24,4086.623,4085.749,4087.1812,4088.2627,4093.6768,4102.235,4108.747
2011-10-25,4085.3042,4086.758,4090.8696,4094.6768,4102.6675,4109.201,4114.264
2011-10-26,4086.3452,4090.5527,4097.449,4103.603,4109.757,4114.665,4121.027
2011-10-27,4090.2593,4097.321,4105.834,4110.8022,4115.084,4121.5894,4130.9043
2011-10-28,4097.238,4105.9385,4112.772,4115.833,4122.1743,4131.7036,4143.991
2011-10-30,4106.08,4112.995,4117.3877,4123.112,4132.53,4145.0903,4158.9
2011-10-31,4113.2393,4117.73,4124.865,4133.736,4146.2256,4160.1226,4173.9473
2011-11-01,4118.1016,4125.4126,4135.7764,4147.7754,4161.344,4175.017,4185.182
2011-11-02,4126.014,4136.614,4150.1797,4162.96,4176.0635,4186.0,4194.5444
2011-11-03,4137.546,4151.3623,4165.2695,4177.284,4186.733,4195.3267,4201.291
2011-11-04,4152.544,4166.629,4178.7007,4187.657,4195.9907,4201.689,4209.431
2011-11-06,4168.0757,4179.555,4188.821,4196.641,4202.085,4210.0225,4218.6963
2011-11-07,4180.4756,4189.592,4197.37,4202.465,4210.62,4219.084,4223.458
2011-11-08,4190.3086,4197.7407,4202.948,4211.2285,4219.354,4223.556,4227.6265
2011-11-09,4198.042,4203.2324,4211.908,4219.622,4223.678,4227.7173,4232.183
2011-11-10,4203.5635,4212.3164,4219.84,4223.7637,4227.832,4232.2793,4236.5522
2011-11-11,4212.76,4219.9556,4223.887,4227.9175,4232.396,4236.6357,4240.111
2011-11-13,4220.128,4224.026,4227.997,4232.493,4236.743,4240.2183,4241.0957
2011-11-14,4224.1304,4228.132,4232.596,4236.8374,4240.2925,4241.0986,4241.09
2011-11-15,4228.2373,4232.6772,4236.948,4240.3604,4241.11,4241.085,4241.086
2011-11-16,4232.7944,4237.02,4240.515,4241.0835,4241.0923,4241.094,4241.088
2011-11-17,4237.1377,4240.5537,4241.0967,4241.0767,4241.085,4241.085,4241.087
2011-11-18,4240.7065,4241.0835,4241.0884,4241.0884,4241.087,4241.084,4241.088
2011-11-20,4241.0923,4241.089,4241.079,4241.0854,4241.088,4241.0957,4238.625
2011-11-21,4241.088,4241.085,4241.091,4241.086,4241.076,4238.583,4238.2437
2011-11-22,4241.0884,4241.0854,4241.0884,4241.082,4238.5625,4238.252,4235.5903
2011-11-23,4241.089,4241.0894,4241.084,4238.521,4238.255,4235.5586,4232.034
2011-11-24,4241.0957,4241.0747,4238.424,4238.2583,4235.5415,4231.9956,4227.85
2011-11-25,4241.087,4238.341,4238.2524,4235.416,4231.8975,4227.799,4226.4185
2011-11-27,4238.3027,4238.2344,4235.394,4231.8438,4227.684,4226.4272,4229.3633
2011-11-28,4238.25,4235.312,4231.7144,4227.6074,4226.4233,4229.5293,4234.474
2011-11-29,4235.277,4231.625,4227.4453,4226.4326,4229.546,4234.572,4238.9053
2011-11-30,4231.573,4227.3354,4226.4146,4229.6113,4234.7095,4239.0117,4244.47
2011-12-01,4227.2554,4226.409,4229.6978,4234.8135,4239.0522,4244.609,4248.295
2011-12-02,4226.438,4229.849,4234.952,4239.172,4244.679,4248.524,4259.1465
2011-12-04,4229.9414,4235.138,4239.333,4244.8477,4248.6865,4259.63,4263.516
2011-12-05,4235.267,4239.311,4244.9565,4248.964,4260.053,4263.5093,4262.0566
2011-12-06,4239.351,4245.0815,4249.193,4260.629,4263.557,4262.0527,4260.005
2011-12-07,4245.2886,4249.4316,4261.1963,4263.5874,4262.053,4260.022,4256.139
2011-12-08,4249.763,4261.745,4263.541,4262.0693,4260.0117,4255.871,4245.758
2011-12-09,4262.414,4263.553,4262.055,4260.0747,4256.012,4245.4946,4240.941
2011-12-11,4263.5366,4262.0625,4260.045,4255.528,4245.403,4240.6523,4240.8384
2011-12-12,4262.0605,4260.074,4255.475,4245.1685,4240.6187,4240.8394,4240.852
2011-12-13,4260.0845,4255.4043,4244.947,4240.7075,4240.841,4240.86,4236.103
2011-12-14,4255.1445,4244.753,4240.8975,4240.8257,4240.837,4235.894,4225.351
2011-12-15,4244.4834,4240.934,4240.8403,4240.8335,4235.8633,4225.196,4218.436
2011-12-16,4240.825,4240.8394,4240.842,4235.986,4225.0796,4218.283,4203.5522
2011-12-18,4240.841,4240.832,4235.6294,4224.939,4218.0156,4203.1885,4193.328
2011-12-19,4240.84,4235.666,4224.5923,4217.864,4202.97,4193.4263,4193.224
2011-12-20,4235.449,4224.525,4217.8076,4202.7344,4193.2607,4193.2437,4187.609
2011-12-21,4224.1846,4217.58,4202.4004,4193.255,4193.2314,4187.589,4170.5195
