,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
2011-06-19,6.264084,6.277481,6.2955933,6.292404,6.302864,6.3070526,6.310875
2011-06-20,6.2798767,6.2894745,6.296707,6.3032303,6.3069153,6.3077316,6.3190536
2011-06-21,6.285034,6.2983932,6.272415,6.3107834,6.3228607,6.3227386,6.3215637
2011-06-22,6.2708206,6.298561,6.3081665,6.3081894,6.3006973,6.2996597,6.3504944
2011-06-23,6.289871,6.310631,6.301941,6.301239,6.300331,6.3451843,6.312393
2011-06-24,6.3045807,6.3457947,6.3488693,6.328026,6.320221,6.316063,6.3286133
2011-06-26,6.3235626,6.302681,6.311676,6.32325,6.3253937,6.3308945,6.3148804
2011-06-27,6.3535233,6.30645,6.3517914,6.3284073,6.3305893,6.319008,6.3206253
2011-06-28,6.3190155,6.297577,6.3158417,6.3230515,6.3281174,6.319763,6.319458
2011-06-29,6.335518,6.3496475,6.327118,6.3284073,6.324463,6.2957535,6.3172836
2011-06-30,6.3122864,6.3340454,6.316162,6.322983,6.3247375,6.316681,6.31192
2011-07-01,6.322792,6.3185883,6.340088,6.3287964,6.315605,6.3153915,6.311287
2011-07-03,6.343361,6.3548355,6.3067856,6.32827,6.308502,6.2952194,6.3264923
2011-07-04,6.329216,6.3133316,6.3102493,6.2889023,6.3225327,6.3269043,6.3216324
2011-07-05,6.3225403,6.325989,6.3262024,6.3116455,6.307762,6.333519,6.3433456
2011-07-06,6.3194504,6.2976913,6.2908783,6.291054,6.3108826,6.325844,6.3297577
2011-07-07,6.317688,6.320709,6.328102,6.3319016,6.2954254,6.340454,6.376816
2011-07-08,6.3016434,6.313034,6.319374,6.3392944,6.3617935,6.35215,6.3339844
2011-07-10,6.3174286,6.3091583,6.3703537,6.354843,6.310463,6.3353577,6.3650055
2011-07-11,6.323143,6.316353,6.33947,6.343422,6.3310013,6.365387,6.3546143
2011-07-12,6.3457565,6.3372498,6.3421326,6.361183,6.3868027,6.373955,6.36747
2011-07-13,6.3026886,6.3224792,6.3778305,6.3679733,6.39785,6.373726,6.3838577
2011-07-14,6.348633,6.385315,6.3686905,6.371475,6.380295,6.401024,6.391693
2011-07-15,6.33947,6.364746,6.3619156,6.3734818,6.3784637,6.397545,6.4184036
2011-07-17,6.3683395,6.3662643,6.3742523,6.3725357,6.420677,6.414833,6.4240875
2011-07-18,6.390114,6.3631287,6.3803024,6.411293,6.4162903,6.420578,6.4091797
2011-07-19,6.3654556,6.3961334,6.3911057,6.430641,6.421196,6.4146423,6.418274
2011-07-20,6.371582,6.418915,6.418007,6.386116,6.4162216,6.4208374,6.424736
2011-07-21,6.419792,6.420479,6.4183807,6.4084473,6.4214478,6.4146423,6.4082794
2011-07-22,6.40596,6.4225082,6.4132843,6.4316254,6.415901,6.421097,6.4181366
2011-07-24,6.412018,6.4127502,6.4183807,6.415344,6.421585,6.414383,6.407936
2011-07-25,6.4130325,6.4181213,6.413086,6.417137,6.415901,6.4016876,6.407089
2011-07-26,6.4303665,6.4123077,6.4184494,6.4165955,6.413185,6.391487,6.3827057
2011-07-27,6.401764,6.418434,6.4125137,6.410141,6.3908157,6.375389,6.3646545
2011-07-28,6.409569,6.4121704,6.3833237,6.4096527,6.3445206,6.375,6.3287888
2011-07-29,6.4145355,6.3955994,6.3960266,6.3347855,6.364029,6.370926,6.381531
