,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
2011-04-27,1680.3458,1679.4684,1679.4006,1674.2117,1673.1393,1672.3223,1669.6716
2011-04-28,1697.9424,1697.3177,1697.3114,1692.1803,1689.8315,1688.9594,1687.7875
2011-04-29,1715.7921,1715.2288,1715.2803,1708.8728,1706.4688,1707.0756,1706.129
2011-05-01,1733.7037,1733.198,1731.9733,1725.5105,1724.5856,1725.4175,1724.5009
2011-05-02,1751.673,1749.8909,1748.6117,1743.6271,1742.9274,1743.7894,1742.9003
2011-05-03,1768.3658,1766.5295,1766.7284,1761.9692,1761.2993,1762.1887,1759.9683
2011-05-04,1785.0045,1784.6462,1785.0707,1780.3414,1779.699,1779.2568,1776.9586
2011-05-05,1803.1207,1802.9883,1803.4425,1798.7404,1796.7665,1796.2468,1795.4341
2011-05-06,1821.4635,1821.3608,1821.8422,1815.8087,1813.7571,1814.7231,1814.1124
2011-05-08,1839.8365,1839.7611,1838.9113,1832.7998,1832.2343,1833.402,1832.8016
2011-05-09,1858.2366,1856.83,1855.902,1851.2766,1850.9125,1852.091,1851.4944
2011-05-10,1875.3053,1873.8206,1874.3788,1869.955,1869.6017,1870.7836,1868.8167
2011-05-11,1892.296,1892.2979,1893.0571,1888.6443,1888.2943,1888.106,1886.0452
2011-05-12,1910.7733,1910.976,1911.7466,1907.3369,1905.6167,1905.3345,1904.7622
2011-05-13,1929.4515,1929.6656,1930.4392,1924.6593,1922.8455,1924.0518,1923.6698
2011-05-15,1948.1415,1948.3583,1947.7618,1941.888,1941.5625,1942.9592,1942.5659
2011-05-16,1966.8341,1965.6809,1964.9905,1960.6052,1960.47,1961.8555,1961.4568
2011-05-17,1984.1567,1982.9095,1983.7076,1979.5127,1979.3665,1980.7463,1978.9481
2011-05-18,2001.3855,2001.6268,2002.615,1998.4092,1998.2572,1998.2379,1996.3351
2011-05-19,2020.1027,2020.5344,2021.5117,2017.2999,2015.7491,2015.6249,2015.2119
2011-05-20,2039.01,2039.431,2040.4027,2034.7919,2033.1361,2034.5017,2034.2695
2011-05-22,2057.9067,2058.322,2057.8948,2052.1787,2052.013,2053.5593,2053.3062
2011-05-23,2076.798,2075.814,2075.2817,2071.0557,2071.0706,2072.596,2072.323
2011-05-24,2094.2898,2093.201,2094.1584,2090.113,2090.1072,2091.6128,2089.927
2011-05-25,2111.677,2112.078,2113.216,2109.15,2109.1243,2109.217,2107.4175
2011-05-26,2130.5537,2131.1355,2132.253,2128.167,2126.7285,2126.7075,2126.4001
2011-05-27,2149.611,2150.1724,2151.27,2145.7712,2144.2188,2145.6902,2145.5552
2011-05-29,2168.6482,2169.1892,2168.8743,2163.2615,2163.2014,2164.8452,2164.6829
2011-05-30,2187.6653,2186.7935,2186.3645,2182.2444,2182.357,2183.973,2183.7842
2011-05-31,2205.2695,2204.2842,2205.3474,2201.3997,2201.4844,2203.0745,2201.4612
2011-06-01,2222.76,2223.2668,2224.503,2220.5273,2220.5857,2220.7512,2220.4248
2011-06-02,2241.743,2242.4224,2243.6309,2239.6287,2238.2625,2239.715,2240.955
2011-06-03,2260.8984,2261.55,2262.7317,2257.3057,2257.2263,2260.2454,2261.527
2011-06-05,2280.0261,2280.6514,2280.409,2276.2695,2277.7566,2280.8174,2281.9536
2011-06-06,2299.1274,2298.3284,2299.3723,2296.7996,2298.3289,2301.2437,2302.2476
2011-06-07,2316.8044,2317.292,2319.9026,2317.3716,2318.755,2321.5376,2321.063
2011-06-08,2335.768,2337.8225,2340.4749,2337.798,2339.049,2340.3533,2341.0513
2011-06-09,2356.2983,2358.3945,2360.9014,2358.0923,2357.8647,2360.3416,2361.125
2011-06-10,2376.8706,2378.8208,2381.1956,2376.908,2377.8528,2380.4153,2381.0964
2011-06-12,2397.297,2399.1147,2400.0107,2396.8962,2397.9265,2400.3867,2400.9749
2011-06-13,2417.591,2417.9307,2419.9993,2416.9697,2417.8984,2420.2651,2420.768
2011-06-14,2436.4067,2437.919,2440.0728,2436.9417,2437.7769,2440.0583,2439.1533
2011-06-15,2456.395,2457.9927,2460.0444,2456.82,2457.5698,2458.4436,2458.7197
2011-06-16,2476.4685,2477.9644,2479.9233,2476.613,2475.9553,2478.01,2478.4019
2011-06-17,2496.4404,2497.843,2499.716,2494.9985,2495.5215,2497.6921,2498.015
2011-06-19,2516.3188,2517.636,2518.1018,2514.5647,2515.2039,2517.3052,2517.5642
2011-06-20,2536.112,2536.0212,2537.668,2534.2473,2534.8167,2536.8545,2537.055
2011-06-21,2554.4976,2555.5874,2557.3506,2553.86,2554.3662,2556.3455,2555.181
2011-06-22,2574.0637,2575.2698,2576.9634,2573.4097,2573.8572,2574.4714,2574.4893
2011-06-23,2593.746,2594.8828,2596.5127,2592.9006,2591.983,2593.7798,2593.9326
2011-06-24,2613.3591,2614.4326,2616.0037,2611.0264,2611.2913,2613.2234,2613.3257
2011-06-26,2632.9084,2633.9236,2634.1296,2630.3352,2630.7349,2632.6162,2632.672
2011-06-27,2652.3997,2652.0496,2653.4385,2649.7786,2650.1277,2651.9626,2651.9768
2011-06-28,2670.5256,2671.3584,2672.882,2669.1716,2669.4746,2671.2673,2669.9412
2011-06-29,2689.8342,2690.8015,2692.275,2688.5183,2688.779,2689.232,2689.0906
2011-06-30,2709.2778,2710.1948,2711.6194,2707.8228,2706.7437,2708.3813,2708.3848
2011-07-01,2727.2483,2728.0078,2729.1824,2724.6638,2724.8535,2726.4082,2726.3767
2011-07-03,2742.1567,2742.633,2742.2756,2740.191,2740.467,2741.5388,2741.4795
2011-07-04,2749.8306,2748.8477,2749.7654,2748.8398,2748.9614,2749.4631,2749.4302
2011-07-05,2753.2444,2753.7744,2754.5728,2753.8962,2753.9636,2754.3313,2752.9734
2011-07-06,2756.39,2756.849,2757.317,2756.9019,2756.9194,2755.6455,2754.9973
2011-07-07,2759.0757,2759.5337,2760.0056,2759.5662,2758.0195,2756.5347,2754.3733
2011-07-08,2761.8591,2762.2825,2762.5508,2760.707,2758.9392,2755.8337,2753.5557
2011-07-10,2763.2314,2763.3804,2762.1182,2761.6636,2758.2126,2753.777,2750.994
2011-07-11,2763.4111,2762.6206,2762.1106,2760.9097,2755.4785,2751.0657,2748.157
2011-07-12,2762.5205,2762.1086,2761.1663,2758.0698,2751.8774,2748.0806,2744.9878
2011-07-13,2762.1055,2761.1328,2758.1956,2753.3271,2748.3447,2744.9043,2743.9155
2011-07-14,2761.1516,2758.0564,2753.233,2749.0664,2744.9111,2743.7927,2741.6284
2011-07-15,2757.959,2753.0312,2748.8381,2745.023,2743.758,2741.5405,2738.981
2011-07-17,2752.8362,2748.5896,2744.8613,2743.8171,2741.4941,2738.888,2738.7039
2011-07-18,2748.3354,2744.768,2743.6057,2741.47,2738.849,2738.6997,2738.7
2011-07-19,2744.6462,2743.4758,2741.323,2738.7615,2738.6938,2738.6992,2738.2185
2011-07-20,2743.3076,2741.2195,2738.673,2738.694,2738.6938,2738.213,2738.6895
2011-07-21,2741.114,2738.6316,2738.6943,2738.701,2738.2175,2738.7024,2739.4768
2011-07-22,2738.6448,2738.6982,2738.697,2738.2124,2738.6946,2739.486,2738.7073
2011-07-24,2738.6907,2738.6946,2738.2236,2738.6963,2739.461,2738.685,2738.6987
