,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
2011-05-11,2.0756407,2.0797253,2.063689,2.0886488,2.0669467,2.058541,2.056315
2011-05-12,2.068694,2.0726,2.066436,2.060656,2.0633142,2.079277,2.0647793
2011-05-13,2.0842311,2.076612,2.079011,2.0738697,2.0899787,2.0652823,2.0705702
2011-05-15,2.0499837,2.0653167,2.078511,2.0714042,2.0685482,2.0599425,2.0570383
2011-05-16,2.0899913,2.057541,2.0615323,2.059736,2.0760663,2.057061,2.0636313
2011-05-17,2.058065,2.07247,2.0660343,2.063911,2.0656219,2.0683603,2.0643063
2011-05-18,2.0660372,2.0587175,2.0500314,2.0607512,2.0637374,2.0723739,2.0744123
2011-05-19,2.0664647,2.0586648,2.0626683,2.0560472,2.0474517,2.0722735,2.068049
2011-05-20,2.071553,2.0593228,2.0574803,2.0640686,2.0596275,2.0578792,2.0720043
2011-05-22,2.0664682,2.0635612,2.0763628,2.0599046,2.0710886,2.0697408,2.0688503
2011-05-23,2.061219,2.0625162,2.068972,2.056227,2.0590324,2.063313,2.0551045
2011-05-24,2.06002,2.0516117,2.0743196,2.072907,2.0608613,2.0644894,2.0585163
2011-05-25,2.0652223,2.0747218,2.0613346,2.06266,2.0636878,2.0641704,2.0590103
2011-05-26,2.0493538,2.0670648,2.0510738,2.064274,2.058315,2.0595565,2.0590885
2011-05-27,2.069393,2.0592897,2.0620222,2.064537,2.05983,2.0612626,2.057117
2011-05-29,2.0605643,2.0630934,2.0580893,2.0618126,2.0534163,2.0614216,2.052175
2011-05-30,2.0654125,2.0617137,2.0612557,2.0639596,2.0607488,2.0598326,2.05692
2011-05-31,2.0620828,2.0591695,2.0588884,2.0552244,2.0609586,2.0591445,2.055008
2011-06-01,2.056488,2.0601418,2.0606763,2.0525155,2.057627,2.0554943,2.0513208
2011-06-02,2.0607977,2.054087,2.0553482,2.0610425,2.0546985,2.0544405,2.0520706
2011-06-03,2.0585833,2.0578673,2.054941,2.0562983,2.0514889,2.0504992,2.051292
2011-06-05,2.0525544,2.0459702,2.0574381,2.0542405,2.0482626,2.0501451,2.0448048
2011-06-06,2.0563004,2.0555236,2.0507896,2.0472555,2.0489123,2.0475428,2.0446658
