,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR
2011-07-06,2000.4729,1986.8922,1979.3639,2022.5048,2023.656,2028.7672,2028.8787
2011-07-07,2014.5531,2000.9473,1993.3915,2036.5095,2036.6926,2042.6703,2042.8942
2011-07-08,2028.6084,2014.975,2007.3964,2049.5464,2050.5957,2056.686,2056.8877
2011-07-10,2042.6359,2028.9799,2020.4329,2063.4495,2064.6113,2070.6792,2070.858
2011-07-11,2056.6409,2042.0166,2034.3358,2077.4648,2078.6047,2084.6492,2084.8042
2011-07-12,2069.6775,2055.9197,2048.3513,2091.4583,2092.5747,2098.5955,2097.7969
2011-07-13,2083.5806,2069.935,2062.3447,2105.4282,2106.521,2111.5884,2111.656
2011-07-14,2097.5962,2083.9285,2076.3147,2119.3748,2119.5137,2125.4475,2125.6267
2011-07-15,2111.5896,2097.8984,2090.2612,2132.3674,2133.3728,2139.4182,2139.574
2011-07-17,2125.5596,2111.845,2103.254,2146.2266,2147.3435,2153.3652,2153.5032
2011-07-18,2139.5056,2124.8376,2117.113,2160.1973,2161.2908,2167.295,2167.4177
2011-07-19,2152.4983,2138.6968,2131.0837,2174.1445,2175.2202,2181.2092,2180.3782
2011-07-20,2166.3577,2152.6672,2145.0308,2188.074,2189.1348,2194.17,2194.1992
2011-07-21,2180.3284,2166.6145,2158.9602,2201.9883,2202.095,2207.991,2208.1406
2011-07-22,2194.2756,2180.5437,2172.875,2214.949,2215.9163,2221.9321,2222.0637
2011-07-24,2208.205,2194.4585,2185.8352,2228.77,2229.8574,2235.8555,2235.9695
2011-07-25,2222.1194,2207.419,2199.6562,2242.7112,2243.7805,2249.7612,2249.863
2011-07-26,2235.08,2221.2402,2213.5977,2256.6343,2257.686,2263.6543,2262.8062
2011-07-27,2248.9011,2235.1812,2227.5208,2270.5403,2271.5796,2276.5977,2276.6084
2011-07-28,2262.8423,2249.1045,2241.4265,2284.4333,2284.5227,2290.4,2290.5315
2011-07-29,2276.7651,2263.0098,2255.3196,2297.3765,2298.3252,2304.323,2304.437
2011-07-31,2290.6711,2276.9033,2268.2627,2311.1787,2312.248,2318.2288,2318.3306
2011-08-01,2304.5645,2289.8467,2282.0652,2325.1018,2326.1538,2332.122,2332.2136
2011-08-02,2317.5076,2303.649,2295.988,2339.0078,2340.047,2346.005,2345.1448
2011-08-03,2331.3098,2317.572,2309.894,2352.9011,2353.9302,2358.9365,2358.9402
2011-08-04,2345.233,2331.4775,2323.787,2366.784,2366.8616,2372.732,2372.8523
2011-08-05,2359.139,2345.371,2337.6702,2379.7153,2380.6567,2386.644,2386.7517
2011-08-07,2373.0317,2359.2542,2350.6018,2393.5105,2394.569,2400.5435,2400.6348
2011-08-08,2386.9148,2372.1853,2364.3972,2407.4229,2408.4685,2414.4265,2414.5051
2011-08-09,2399.8462,2385.9807,2378.309,2421.3223,2422.3516,2428.2966,2427.429
2011-08-10,2413.6416,2399.8928,2392.2087,2435.2056,2436.2217,2441.2202,2441.2166
2011-08-11,2427.554,2413.7922,2406.0918,2449.0757,2449.1455,2455.0078,2455.1191
2011-08-12,2441.4531,2427.6753,2419.962,2461.9995,2462.933,2468.911,2469.0095
2011-08-14,2455.3364,2441.5454,2432.8857,2475.7869,2476.836,2482.8013,2482.8906
2011-08-15,2469.2063,2454.4695,2446.6729,2489.69,2490.7263,2496.6821,2496.7537
2011-08-16,2482.1306,2468.2568,2460.576,2503.58,2504.6072,2510.5454,2509.6716
2011-08-17,2495.918,2482.1597,2474.466,2517.4612,2518.4702,2523.4631,2523.4512
2011-08-18,2509.8208,2496.05,2488.3474,2531.324,2531.3882,2537.243,2537.3542
2011-08-19,2523.7112,2509.9312,2502.2104,2544.242,2545.1682,2551.146,2551.2388
2011-08-21,2537.5923,2523.7944,2515.1284,2558.0217,2559.0708,2565.0303,2565.1138
2011-08-22,2551.455,2536.7122,2528.908,2571.9248,2572.9556,2578.9053,2578.9768
2011-08-23,2564.3728,2550.492,2542.811,2585.8088,2586.8306,2592.7683,2591.891
2011-08-24,2578.1526,2564.3948,2556.6956,2599.684,2600.6934,2605.6826,2605.6692
2011-08-25,2592.056,2578.2793,2570.5706,2613.547,2613.6077,2619.4607,2619.5696
2011-08-26,2605.9402,2592.1543,2584.4333,2626.4612,2627.386,2633.361,2633.4526
2011-08-28,2619.8152,2606.0168,2597.348,2640.2397,2641.2861,2647.2441,2647.3237
2011-08-29,2633.6782,2618.9316,2611.1262,2654.1401,2655.1692,2661.1152,2661.1863
2011-08-30,2646.5925,2632.71,2625.0261,2668.0227,2669.0403,2674.978,2674.098
2011-08-31,2660.3706,2646.61,2638.9092,2681.8938,2682.9033,2687.8894,2687.8748
2011-09-01,2674.2712,2660.4932,2652.7803,2695.757,2695.8147,2701.666,2701.7725
2011-09-02,2688.154,2674.3643,2666.6433,2708.6682,2709.5913,2715.564,2715.6555
2011-09-04,2702.0251,2688.227,2679.5544,2722.445,2723.4893,2729.447,2729.5242
