,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD
2011-06-08,2180.4822,2179.9163,2180.205,2180.471,2180.1946,2179.844,2179.629
2011-06-09,2194.1777,2193.612,2193.9006,2194.1667,2193.8904,2193.5398,2193.3247
2011-06-10,2207.8733,2207.3076,2207.5964,2207.8623,2207.586,2207.2354,2207.0203
2011-06-12,2221.569,2221.0034,2221.2642,2221.5242,2221.2537,2220.914,2220.0984
2011-06-13,2235.2646,2234.0823,2233.6855,2233.9236,2233.0972,2232.1782,2230.7993
2011-06-14,2247.8257,2246.043,2245.3965,2244.9937,2243.6167,2242.15,2240.2744
2011-06-15,2259.0762,2256.8015,2255.5347,2254.4822,2252.5308,2250.4019,2247.9229
2011-06-16,2268.7363,2265.919,2264.0571,2262.4019,2259.9814,2257.4517,2254.5444
2011-06-17,2277.7847,2274.288,2271.7166,2269.3252,2266.1714,2262.9883,2259.7615
2011-06-19,2285.4595,2281.7363,2278.7402,2275.624,2271.708,2267.7368,2263.7163
2011-06-20,2291.4287,2287.5762,2284.317,2280.8818,2276.561,2271.7751,2266.9219
2011-06-21,2296.1887,2291.8406,2288.3748,2284.7522,2280.2222,2275.0483,2269.327
2011-06-22,2300.2324,2295.0603,2290.9294,2287.1528,2282.6458,2277.5037,2270.8696
2011-06-23,2303.512,2297.473,2292.4438,2288.69,2283.9062,2278.5476,2271.4812
2011-06-24,2305.1714,2299.0198,2293.049,2288.7043,2283.5566,2278.1658,2271.9927
2011-06-26,2305.7783,2299.6326,2292.6682,2288.26,2283.0981,2278.081,2272.5232
2011-06-27,2305.3948,2299.2417,2291.228,2286.8008,2282.5632,2278.0771,2273.0723
2011-06-28,2303.9475,2297.7693,2288.6555,2285.155,2282.0095,2278.0776,2273.6414
2011-06-29,2302.1145,2295.1384,2286.854,2283.4717,2281.4353,2278.08,2274.2378
2011-06-30,2299.4312,2291.2698,2285.1094,2282.793,2280.834,2278.0754,2274.856
2011-07-01,2295.486,2287.9788,2283.3784,2282.1785,2280.2112,2278.081,2275.4963
2011-07-03,2291.2625,2286.1248,2282.7083,2281.542,2279.5664,2278.0767,2276.1592
2011-07-04,2287.8723,2284.2153,2282.057,2280.8828,2278.8982,2278.0776,2276.8457
2011-07-05,2285.9165,2282.9539,2281.3823,2280.2004,2278.204,2278.081,2277.5596
2011-07-06,2283.9033,2282.269,2280.6843,2279.494,2278.0742,2278.075,2278.0703
2011-07-07,2282.8193,2281.56,2279.9622,2278.7593,2278.0774,2278.0813,2278.0786
2011-07-08,2282.0996,2280.8245,2279.2097,2278.0535,2278.0764,2278.0767,2278.0786
2011-07-10,2281.3528,2280.0574,2278.4253,2278.0786,2278.08,2278.0776,2278.0786
2011-07-11,2280.5708,2279.2617,2278.073,2278.0752,2278.081,2278.0813,2278.0786
2011-07-12,2279.7637,2278.437,2278.0752,2278.0767,2278.0771,2278.0745,2278.0786
2011-07-13,2278.9265,2278.0771,2278.0815,2278.0803,2278.0762,2278.0823,2278.0786
2011-07-14,2278.0618,2278.0789,2278.0845,2278.0786,2278.08,2278.076,2278.0786
2011-07-15,2278.076,2278.0762,2278.082,2278.0745,2278.081,2278.0774,2278.9604
2011-07-17,2278.0774,2278.0762,2278.0747,2278.0764,2278.077,2278.993,2281.808
2011-07-18,2278.0815,2278.0789,2278.0715,2278.0803,2278.9663,2281.9001,2286.8848
2011-07-19,2278.0737,2278.0757,2278.0737,2279.027,2281.9438,2287.085,2293.289
2011-07-20,2278.083,2278.0762,2279.0505,2282.072,2287.2515,2293.5645,2300.9226
2011-07-21,2278.0752,2279.0588,2282.1626,2287.4963,2293.8196,2301.3547,2310.8604
2011-07-22,2279.0305,2282.2239,2287.709,2294.115,2301.7876,2311.3691,2321.2075
2011-07-24,2282.2446,2287.8608,2294.377,2302.2546,2311.9124,2321.882,2333.8337
2011-07-25,2287.9683,2294.6038,2302.6924,2312.4727,2322.6372,2334.634,2344.8467
2011-07-26,2294.7817,2303.051,2312.9993,2323.4019,2335.5164,2345.3657,2350.6494
2011-07-27,2303.3552,2313.4153,2324.1458,2336.3806,2345.8992,2350.9336,2355.7214
2011-07-28,2313.8042,2324.7234,2337.218,2346.3784,2351.1929,2355.9707,2357.66
2011-07-29,2325.2678,2337.8474,2346.753,2351.4956,2356.198,2357.7676,2358.3936
2011-07-31,2338.461,2347.0215,2351.7566,2356.428,2357.8865,2358.4004,2358.397
2011-08-01,2347.2812,2351.9617,2356.5852,2358.0378,2358.3943,2358.3948,2358.389
2011-08-02,2352.1685,2356.676,2358.1426,2358.3965,2358.3967,2358.3938,2358.3965
2011-08-03,2356.7878,2358.221,2358.393,2358.3953,2358.3967,2358.398,2358.4028
2011-08-04,2358.3284,2358.3997,2358.4,2358.3938,2358.399,2358.3965,2358.3962
2011-08-05,2358.3958,2358.397,2358.4011,2358.3936,2358.393,2358.3955,2358.401
2011-08-07,2358.39,2358.396,2358.3943,2358.3958,2358.3926,2358.3972,2358.403
2011-08-08,2358.4001,2358.403,2358.3926,2358.3938,2358.391,2358.3904,2358.3953
2011-08-09,2358.4062,2358.395,2358.4006,2358.4019,2358.3987,2358.3933,2358.3933
2011-08-10,2358.3938,2358.3936,2358.4026,2358.4038,2358.401,2358.401,2358.4019
2011-08-11,2358.399,2358.4019,2358.3943,2358.395,2358.392,2358.3975,2356.675
2011-08-12,2358.402,2358.4036,2358.392,2358.3933,2358.39,2356.5547,2352.1323
2011-08-14,2358.3926,2358.3948,2358.401,2358.4026,2356.5393,2352.0303,2347.3623
2011-08-15,2358.3892,2358.3928,2358.403,2356.5625,2351.9712,2347.2834,2343.7363
2011-08-16,2358.399,2358.4026,2356.4639,2351.9583,2347.1802,2343.6511,2341.9526
2011-08-17,2358.3923,2356.4934,2351.8208,2347.1294,2343.5505,2341.9553,2339.673
2011-08-18,2356.338,2351.8394,2347.0154,2343.5066,2341.9546,2339.6284,2335.8743
2011-08-19,2351.7395,2347.0237,2343.4983,2341.9475,2339.6133,2335.8208,2328.8364
2011-08-21,2346.9187,2343.486,2342.0027,2339.5354,2335.721,2328.641,2316.5483
2011-08-22,2343.5142,2342.0034,2339.458,2335.6326,2328.3855,2316.189,2303.6729
