,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY
2011-11-17,121.72799,121.7375,121.68978,121.64599,121.67877,121.73255,121.70978
2011-11-18,121.75977,121.751595,121.68425,121.741425,121.740265,121.728584,121.704636
2011-11-20,121.70944,121.68269,121.685394,121.73919,121.72296,121.68917,121.67331
2011-11-21,121.633644,121.66846,121.72063,121.67226,121.71995,121.73343,121.66372
2011-11-22,121.72131,121.73908,121.685425,121.78386,121.71853,121.729355,121.665016
2011-11-23,121.707184,121.7536,121.71297,121.647606,121.70701,121.690506,121.59574
2011-11-24,121.70781,121.6818,121.663666,121.748604,121.69235,121.62255,121.615875
2011-11-25,121.70798,121.66705,121.663445,121.67161,121.661766,121.60219,121.65326
2011-11-27,121.70823,121.740326,121.632645,121.57945,121.62516,121.64313,121.711006
2011-11-28,121.70845,121.747955,121.619576,121.621605,121.5984,121.683975,121.84319
2011-11-29,121.65737,121.62226,121.60759,121.649796,121.71647,121.92897,121.8087
2011-11-30,121.61763,121.58988,121.66311,121.72301,121.734535,121.857956,121.84489
2011-12-01,121.607635,121.6577,121.65155,121.821655,121.89533,121.80482,121.87309
2011-12-02,121.60641,121.72241,121.82237,121.87433,121.797966,121.826324,121.82816
2011-12-04,121.678215,121.8538,121.80789,121.83681,121.831795,121.804596,121.8935
2011-12-05,121.84256,121.73487,121.85986,121.87424,121.78317,121.8269,121.75999
2011-12-06,121.80669,121.81525,121.87152,121.786354,121.746704,121.83146,121.723335
2011-12-07,121.84646,121.88996,121.83522,121.81436,121.80609,121.666824,121.73371
2011-12-08,121.85364,121.85418,121.82195,121.86243,121.74135,121.67497,121.64896
2011-12-09,121.78544,121.81321,121.83742,121.78644,121.78241,121.6344,121.47801
2011-12-11,121.84228,121.778946,121.68713,121.687775,121.66475,121.46228,121.4834
2011-12-12,121.83385,121.68109,121.6735,121.69042,121.50918,121.4573,121.4653
2011-12-13,121.68433,121.70479,121.617714,121.66834,121.45062,121.45667,121.46898
2011-12-14,121.63771,121.69743,121.46543,121.52962,121.3884,121.34531,121.35683
2011-12-15,121.69224,121.4875,121.494514,121.45903,121.41418,121.41294,121.39811
2011-12-16,121.48869,121.60001,121.448616,121.38874,121.381134,121.4107,121.418434
2011-12-18,121.44455,121.389,121.414536,121.39182,121.38365,121.38628,121.39215
2011-12-19,121.4402,121.39831,121.393456,121.41931,121.41017,121.41423,121.33761
2011-12-20,121.47229,121.39609,121.37037,121.393166,121.38034,121.41166,121.346756
2011-12-21,121.38139,121.4085,121.406494,121.397606,121.38324,121.3851,121.370964
2011-12-22,121.392044,121.395805,121.40879,121.425995,121.411896,121.33929,121.3276
2011-12-23,121.393005,121.40897,121.38489,121.40166,121.38652,121.352806,121.25867
2011-12-27,121.38321,121.3955,121.42044,121.33137,121.311424,121.29974,121.28536
2011-12-28,121.40964,121.40922,121.36259,121.32476,121.251045,121.26095,121.07931
2011-12-29,121.37947,121.37549,121.33057,121.26308,121.29512,121.0708,121.00714
