,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD
2011-09-25,1.5956116,1.586525,1.5904999,1.5820999,1.5770187,1.5913239,1.5890274
2011-09-26,1.5961227,1.5883942,1.5948486,1.6206894,1.5964737,1.5904083,1.595108
2011-09-27,1.5842896,1.5962296,1.590332,1.5952072,1.5872269,1.5779724,1.5837173
2011-09-28,1.5919342,1.5728455,1.5756149,1.5881805,1.5905151,1.5905914,1.5881653
2011-09-29,1.5902023,1.5913086,1.5997086,1.5922165,1.5924835,1.5826645,1.5948792
2011-09-30,1.5913925,1.5942307,1.6039352,1.5925827,1.604187,1.5931091,1.5889435
2011-10-02,1.5908966,1.5952301,1.597374,1.5972137,1.5912628,1.5992584,1.5894547
2011-10-03,1.5908966,1.5990295,1.5878983,1.5920181,1.5880661,1.6024323,1.5931473
2011-10-04,1.5908966,1.5932922,1.595398,1.6020889,1.5894623,1.602478,1.589119
2011-10-05,1.5908966,1.5897217,1.5825729,1.5836334,1.6051788,1.5961914,1.5778732
2011-10-06,1.5908966,1.5792923,1.5887299,1.5819626,1.5924683,1.5764465,1.5936279
2011-10-07,1.590889,1.5849533,1.5846176,1.585434,1.5927124,1.5891876,1.5880203
2011-10-09,1.590889,1.5898209,1.5924072,1.5897751,1.5889664,1.5981827,1.604332
2011-10-10,1.590889,1.5975189,1.59095,1.5819931,1.5919342,1.593895,1.5729599
2011-10-11,1.5907593,1.5907822,1.6013718,1.5900955,1.5968552,1.5991745,1.591301
2011-10-12,1.5907593,1.5938187,1.610878,1.5922623,1.6026001,1.578537,1.6053772
2011-10-13,1.5905685,1.5976257,1.5901489,1.6024399,1.5808563,1.5951691,1.5968933
2011-10-14,1.5905685,1.5915985,1.5896912,1.5962372,1.5869141,1.5842972,1.5956345
2011-10-16,1.5870972,1.5954895,1.6070862,1.5917053,1.5938263,1.5841599,1.596199
2011-10-17,1.5907822,1.5933609,1.5955505,1.5980225,1.59655,1.60186,1.6087112
2011-10-18,1.5939789,1.5942307,1.581131,1.58741,1.5834732,1.6097946,1.5991745
2011-10-19,1.5997925,1.6073914,1.6014633,1.5931015,1.6060791,1.5887756,1.6215057
2011-10-20,1.5693359,1.6081924,1.5739822,1.5816116,1.5850143,1.6140594,1.5683517
2011-10-21,1.6026077,1.5912247,1.5900803,1.6104279,1.6177826,1.6450577,1.5763779
2011-10-23,1.6040726,1.6087723,1.5986938,1.5923538,1.5836105,1.5843735,1.5798569
2011-10-24,1.5765991,1.5987701,1.5964432,1.6284409,1.5610428,1.572815,1.6118393
2011-10-25,1.5964355,1.594101,1.6180496,1.6193924,1.5808563,1.5898895,1.5996552
2011-10-26,1.5914536,1.5776825,1.5883636,1.6055832,1.6305618,1.6070404,1.6096649
2011-10-27,1.5876694,1.6322327,1.608902,1.559166,1.6028824,1.5999374,1.5787201
2011-10-28,1.6195374,1.610466,1.5978928,1.599762,1.6064606,1.6254883,1.6234207
2011-10-30,1.6314926,1.5963211,1.6085739,1.5877457,1.5908508,1.5984268,1.5935516
2011-10-31,1.5953827,1.592514,1.6004715,1.5892715,1.6228714,1.6081924,1.6005478
2011-11-01,1.602066,1.6166763,1.5875549,1.6196747,1.5918427,1.6010742,1.6072845
2011-11-02,1.6157303,1.6233139,1.625267,1.5969391,1.5995407,1.6001434,1.6091232
2011-11-03,1.583992,1.5938416,1.5875854,1.6126862,1.6066666,1.6024399,1.6133423
2011-11-04,1.6238861,1.6270599,1.6275864,1.6005554,1.6052246,1.6009064,1.6138916
2011-11-06,1.6117859,1.6142197,1.6077957,1.6106262,1.6043243,1.6097794,1.612175
2011-11-07,1.611145,1.6137085,1.6066513,1.6080627,1.612297,1.6276169,1.6009979
