,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR
2011-06-30,6.8367476,6.832885,6.8216,6.8333197,6.82699,6.788251,6.7765937
2011-07-01,6.795065,6.7862153,6.803492,6.8005023,6.8044024,6.7796497,6.8059297
2011-07-03,6.8032703,6.780643,6.8067613,6.786562,6.787736,6.7631116,6.759507
2011-07-04,6.8074317,6.8101974,6.8052244,6.7807484,6.775837,6.784703,6.766809
2011-07-05,6.8108172,6.7728243,6.7890415,6.788427,6.7711496,6.7929945,6.7721233
2011-07-06,6.7911954,6.8027134,6.7867894,6.7993565,6.770322,6.7670584,6.7703805
2011-07-07,6.766482,6.786152,6.794706,6.7757015,6.805184,6.7840514,6.7642946
2011-07-08,6.7871013,6.7622447,6.779317,6.7796383,6.755458,6.7667675,6.758069
2011-07-10,6.765048,6.771178,6.7588816,6.7726855,6.785904,6.7747006,6.750276
2011-07-11,6.77995,6.828975,6.767269,6.7651286,6.756738,6.7614646,6.7702885
2011-07-12,6.741562,6.7637334,6.7745733,6.7733755,6.76999,6.7707853,6.7651753
2011-07-13,6.7595005,6.7416706,6.7791243,6.7603216,6.7744865,6.7754297,6.7732034
2011-07-14,6.764695,6.7783327,6.7543674,6.781375,6.7744393,6.7808127,6.8130674
2011-07-15,6.7682533,6.7729306,6.770258,6.785956,6.784967,6.773329,6.7903824
2011-07-17,6.7512455,6.758516,6.743367,6.7856145,6.799397,6.7981305,6.790543
2011-07-18,6.7661657,6.7709804,6.8033032,6.792891,6.7905045,6.8011365,6.807024
2011-07-19,6.795848,6.775476,6.7952476,6.7926593,6.8164043,6.802421,6.822913
2011-07-20,6.777311,6.7885714,6.7957463,6.793457,6.8186297,6.8047934,6.7925253
2011-07-21,6.805439,6.777091,6.8048687,6.817875,6.7999816,6.7948713,6.805866
2011-07-22,6.7917695,6.794065,6.8054466,6.809788,6.819174,6.7921543,6.798864
2011-07-24,6.807241,6.7963753,6.79608,6.8084536,6.8064184,6.78978,6.793088
2011-07-25,6.7760725,6.8053155,6.8060203,6.798525,6.8007946,6.785276,6.7808223
2011-07-26,6.796216,6.809255,6.787517,6.8087144,6.790491,6.7605877,6.7796316
2011-07-27,6.799803,6.7931867,6.804297,6.802637,6.7805123,6.789153,6.7849255
2011-07-28,6.8030047,6.8167133,6.784761,6.7789307,6.7775807,6.761153,6.7615633
2011-07-29,6.810804,6.8049874,6.787783,6.7775855,6.7857494,6.7660565,6.770279
2011-07-31,6.796102,6.7942815,6.760327,6.78671,6.781219,6.7822146,6.775383
2011-08-01,6.790481,6.772201,6.7617974,6.7648754,6.772855,6.8052073,6.798694
2011-08-02,6.77131,6.777267,6.7865095,6.7808337,6.7810287,6.7927837,6.784702
2011-08-03,6.7919703,6.7745667,6.7664766,6.7869196,6.775878,6.764529,6.7836637
2011-08-04,6.776081,6.7745543,6.780506,6.7867055,6.7748165,6.7602863,6.7787714
2011-08-05,6.784115,6.771327,6.77203,6.787997,6.77974,6.794243,6.787826
2011-08-07,6.7819657,6.7792706,6.7801046,6.786844,6.785097,6.805091,6.785535
2011-08-08,6.7826333,6.788929,6.7906785,6.798093,6.7785716,6.776021,6.791457
2011-08-09,6.7820272,6.797916,6.7746873,6.7841067,6.772762,6.7917304,6.7861266
2011-08-10,6.782851,6.7780952,6.7917,6.781176,6.775023,6.8009872,6.8338904
2011-08-11,6.782529,6.784702,6.7818356,6.797126,6.8362226,6.807206,6.8567038
2011-08-12,6.783359,6.7797155,6.790831,6.7973695,6.821882,6.8432856,6.8408933
2011-08-14,6.7828865,6.768409,6.799917,6.804226,6.874916,6.857249,6.870845
2011-08-15,6.8085213,6.810086,6.824225,6.840857,6.846883,6.8736534,6.8651586
2011-08-16,6.814319,6.8304057,6.8520007,6.8487062,6.8694425,6.8831415,6.8244486
2011-08-17,6.8125143,6.8497276,6.844142,6.886781,6.8806033,6.897648,6.9133434
2011-08-18,6.830329,6.8672247,6.845937,6.885253,6.898282,6.8817663,6.9107933
2011-08-19,6.8459096,6.8924203,6.90019,6.84811,6.8874807,6.8930135,6.9169106
2011-08-21,6.8743334,6.8748374,6.866667,6.88296,6.9093513,6.9081416,6.9296107
2011-08-22,6.883798,6.890516,6.8993454,6.92235,6.9217615,6.9433064,6.962793
2011-08-23,6.914477,6.9009604,6.916135,6.9294095,6.9251256,6.958419,6.96659
2011-08-24,6.9152937,6.906508,6.922704,6.953416,6.9584336,7.010493,7.055806
2011-08-25,6.904592,6.927949,6.9697475,6.94061,6.9794106,7.0711646,7.070424
2011-08-26,6.922929,6.94754,6.9261127,6.9665775,7.062091,7.0661936,7.04566
2011-08-28,6.9240675,6.9375377,6.9562078,7.0782056,7.0911274,7.030756,7.070455
2011-08-29,6.9639187,6.9429507,7.060143,7.049147,7.020215,7.0327215,7.0458975
2011-08-30,6.991665,7.0219026,7.0850463,7.067702,7.05649,7.067934,7.0495267
2011-08-31,7.0358663,7.045855,7.046402,7.063579,7.0894074,7.0850406,7.0396285
2011-09-01,7.048009,7.066836,7.0794463,7.0598764,7.05425,7.103896,7.103195
2011-09-02,7.0716667,7.077836,7.0555105,7.0877576,7.064193,7.0659246,7.1144667
2011-09-04,7.046325,7.0856285,7.0642385,7.126844,7.1015935,7.1345434,7.1428595
2011-09-05,7.071554,7.080629,7.0616183,7.0630307,7.099866,7.0870175,7.1108723
2011-09-06,7.0655813,7.066648,7.0977845,7.119172,7.116829,7.144959,7.117166
2011-09-07,7.0801196,7.0986533,7.106514,7.132818,7.142869,7.1719,7.1600404
2011-09-08,7.084857,7.08288,7.13946,7.11372,7.125341,7.110115,7.145692
2011-09-09,7.1178737,7.1465783,7.12354,7.1379757,7.13451,7.1351376,7.1598554
2011-09-11,7.111762,7.139094,7.145766,7.118643,7.1375623,7.1766768,7.19149
2011-09-12,7.1393313,7.138076,7.1275616,7.142622,7.1969233,7.181389,7.1689405
2011-09-13,7.1475644,7.142514,7.1379976,7.1406636,7.156199,7.218693,7.1628327
2011-09-14,7.132647,7.14467,7.163801,7.171053,7.1540337,7.179652,7.186545
2011-09-15,7.144783,7.1528196,7.193186,7.185671,7.1745477,7.188336,7.19344
2011-09-16,7.1584115,7.1603236,7.173947,7.177393,7.182415,7.1795397,7.187345
2011-09-18,7.182496,7.174066,7.176986,7.1917105,7.185085,7.1801624,7.1896434
2011-09-19,7.1847177,7.1813707,7.187412,7.1869583,7.1864624,7.191574,7.2031574
2011-09-20,7.191455,7.178538,7.184496,7.186332,7.193343,7.1976066,7.203785
2011-09-21,7.211444,7.2221594,7.1806407,7.1826773,7.187716,7.2191467,7.208893
2011-09-22,7.2157745,7.1723323,7.198065,7.207722,7.2279496,7.209002,7.206586
2011-09-23,7.2048807,7.1962957,7.1964216,7.1908374,7.197542,7.2265744,7.234944
2011-09-25,7.1854115,7.199634,7.212638,7.2188096,7.2082715,7.23927,7.2535257
2011-09-26,7.1958194,7.2073045,7.201808,7.2332563,7.222128,7.2540164,7.30971
2011-09-27,7.201701,7.220171,7.231369,7.232894,7.280008,7.29107,7.3281693
2011-09-28,7.212499,7.2155433,7.2422953,7.247204,7.301913,7.358019,7.361948
2011-09-29,7.2225475,7.2374296,7.254988,7.2945476,7.3538675,7.3765464,7.396006
2011-09-30,7.246223,7.2492886,7.3083367,7.352034,7.371127,7.3899283,7.412604
2011-10-02,7.2627416,7.30389,7.345886,7.3737364,7.3781633,7.4183974,7.434926
2011-10-03,7.2994475,7.333045,7.3891363,7.3894176,7.401884,7.418602,7.4923687
2011-10-04,7.3510427,7.3751216,7.392712,7.409625,7.41362,7.4969406,7.645467
2011-10-05,7.3568444,7.397835,7.412708,7.420674,7.4923077,7.646915,7.6531844
2011-10-06,7.3888965,7.395539,7.412779,7.488436,7.6193357,7.6497827,7.7009735
2011-10-07,7.4186797,7.397768,7.50247,7.662177,7.6667495,7.690565,7.849507
2011-10-09,7.4081635,7.504023,7.6559706,7.639515,7.6811433,7.835339,7.8375893
2011-10-10,7.5011826,7.6392083,7.646733,7.7177477,7.8145022,7.8596525,7.8772492
2011-10-11,7.6447725,7.6450763,7.6939635,7.789201,7.850687,7.8468604,7.778523
