,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD
2011-05-01,1.0055783,1.0039178,1.0084714,1.0062162,1.0067862,1.0090019,1.0104197
2011-05-02,1.0065813,1.0082533,1.0072186,1.0075748,1.0076517,1.0096079,1.0120739
2011-05-03,1.0088248,1.0089668,1.0090604,1.0044508,1.0105312,1.0112842,1.0121303
2011-05-04,1.0045595,1.0063128,1.0084398,1.0074791,1.0064552,1.01032,1.0097541
2011-05-05,1.0105308,1.0089699,1.0085435,1.0084095,1.014818,1.0143026,1.0165321
2011-05-06,1.0104626,1.0114678,1.008997,1.0119672,1.0117546,1.0106689,1.0184703
2011-05-08,1.0123439,1.0111117,1.0108495,1.0145061,1.0131309,1.0141823,1.0163689
2011-05-09,1.0107325,1.0100392,1.0119622,1.0136861,1.0120381,1.0156212,1.0214508
2011-05-10,1.0178688,1.0130513,1.0179521,1.0149363,1.0161031,1.0201974,1.0190492
2011-05-11,1.0112708,1.011791,1.0109793,1.0148586,1.0180278,1.0235784,1.0199465
2011-05-12,1.0156777,1.0142775,1.0156813,1.0188584,1.0185323,1.024272,1.0221665
2011-05-13,1.0181168,1.0169497,1.0215697,1.0224713,1.0242852,1.02436,1.0248692
2011-05-15,1.0159684,1.0185206,1.0205555,1.0208666,1.0204523,1.0230497,1.0257547
2011-05-16,1.0218878,1.0156221,1.0207891,1.024534,1.0282295,1.0257827,1.0286579
2011-05-17,1.0215237,1.0238149,1.0239502,1.0285463,1.0292292,1.0299186,1.0282042
2011-05-18,1.0191722,1.0266026,1.0261424,1.0273283,1.0275931,1.0280242,1.0304658
2011-05-19,1.0253736,1.0212138,1.022964,1.0250803,1.0184517,1.0257819,1.0307597
2011-05-20,1.0267513,1.024894,1.0195407,1.0281656,1.0310766,1.0324554,1.0320709
2011-05-22,1.0265102,1.0269578,1.0300851,1.0234456,1.0248785,1.0337408,1.0334336
2011-05-23,1.0180274,1.0179708,1.0249971,1.025763,1.0240932,1.0341752,1.0269791
2011-05-24,1.0278645,1.0304117,1.0325255,1.0334411,1.0313894,1.0333537,1.0355402
2011-05-25,1.027886,1.0247412,1.0306822,1.0256128,1.025339,1.0275896,1.0248903
2011-05-26,1.0312874,1.0298841,1.0289949,1.0320536,1.03055,1.0323505,1.0352237
2011-05-27,1.0283184,1.0292264,1.0294654,1.027621,1.030373,1.0254655,1.0312186
2011-05-29,1.0341547,1.0366969,1.036567,1.0328658,1.0329883,1.0349153,1.0341285
2011-05-30,1.030351,1.0344828,1.0351167,1.0329118,1.0337701,1.0330012,1.0321859
2011-05-31,1.0281706,1.0256277,1.0308356,1.0356307,1.0294062,1.0305221,1.036144
2011-06-01,1.0350147,1.031072,1.0346252,1.034142,1.034335,1.0351925,1.0364243
2011-06-02,1.02988,1.0313671,1.0366887,1.0335932,1.0312194,1.0335493,1.0364584
2011-06-03,1.0290871,1.0272453,1.0308919,1.0289483,1.0289664,1.0309627,1.0324092
2011-06-05,1.0273241,1.030505,1.0302185,1.0310513,1.0319403,1.0303785,1.0344257
2011-06-06,1.0290577,1.0316279,1.0331073,1.036062,1.0312911,1.0335885,1.0365177
2011-06-07,1.0302943,1.0323932,1.0337195,1.0327065,1.0373285,1.0331975,1.0349596
2011-06-08,1.0341718,1.037787,1.032758,1.0319889,1.0356268,1.0335861,1.0313901
2011-06-09,1.0345978,1.0348996,1.0364171,1.0363772,1.0380216,1.0326288,1.0370072
2011-06-10,1.0339593,1.0330145,1.0328021,1.0335059,1.0286477,1.0304637,1.0330772
2011-06-12,1.0370805,1.0377812,1.0355062,1.0367543,1.0386206,1.0374886,1.036484
2011-06-13,1.033941,1.034067,1.0338873,1.0354955,1.0340588,1.0318973,1.0306963
2011-06-14,1.0311799,1.0305022,1.0277855,1.0295811,1.0305786,1.0335916,1.0334035
2011-06-15,1.0353465,1.0345466,1.0336694,1.0350258,1.0358449,1.0359092,1.0398545
2011-06-16,1.0373011,1.0370586,1.0370632,1.0340375,1.0389013,1.0340996,1.0401882
2011-06-17,1.0345674,1.0338235,1.0339614,1.0352408,1.0372051,1.0341591,1.0330986
2011-06-19,1.0328882,1.0326893,1.0342224,1.0353932,1.0329049,1.0347462,1.0342515
2011-06-20,1.0349392,1.0347614,1.0339102,1.0348787,1.036418,1.0316427,1.0396162
2011-06-21,1.0343726,1.037652,1.0363737,1.0343708,1.0340734,1.0353031,1.0363468
2011-06-22,1.0311038,1.0360618,1.0327692,1.0344223,1.0343357,1.0331645,1.0320718
2011-06-23,1.0324923,1.0362304,1.0329181,1.0358027,1.0305914,1.0315549,1.0336767
2011-06-24,1.0376415,1.0365202,1.0366025,1.0349805,1.0394437,1.032711,1.0349643
2011-06-26,1.0307738,1.0347447,1.0356644,1.0312163,1.0344032,1.0363472,1.0308154
2011-06-27,1.0391364,1.0392604,1.0355148,1.032307,1.037719,1.0342213,1.0371087
2011-06-28,1.0342604,1.0390096,1.0383264,1.03659,1.035629,1.039087,1.0403397
2011-06-29,1.0313886,1.0310323,1.0338728,1.0346735,1.0333141,1.0301081,1.0335507
2011-06-30,1.0329688,1.0367584,1.0349624,1.032541,1.0392122,1.0374931,1.0351362
2011-07-01,1.0309199,1.0382972,1.034167,1.0317426,1.0337965,1.0333946,1.0321875
2011-07-03,1.038671,1.0340242,1.0325555,1.0357292,1.0333806,1.0340784,1.0335279
2011-07-04,1.0337244,1.0339161,1.0321343,1.0329387,1.0336697,1.0347812,1.0294472
2011-07-05,1.03462,1.035193,1.0362556,1.0323777,1.0345215,1.0316485,1.0335331
2011-07-06,1.0345578,1.0350299,1.0359365,1.0362549,1.0389521,1.0387428,1.0391129
2011-07-07,1.0351418,1.0338092,1.0358772,1.0341855,1.0335832,1.034262,1.0341771
2011-07-08,1.0360849,1.0333278,1.0302808,1.0338072,1.0320612,1.0342367,1.0317081
2011-07-10,1.0363398,1.0344383,1.0349529,1.0339419,1.0346458,1.0338793,1.034267
2011-07-11,1.0344732,1.0351183,1.0368574,1.0353749,1.0339152,1.033437,1.0332164
2011-07-12,1.0342214,1.0350393,1.0352061,1.0331786,1.0348467,1.0340999,1.0324163
2011-07-13,1.0341313,1.0329223,1.0325654,1.0328634,1.0322237,1.0310045,1.0324336
2011-07-14,1.030177,1.0311782,1.0324923,1.0300679,1.0303152,1.0331793,1.0311382
2011-07-15,1.037906,1.037012,1.0372851,1.0343115,1.0302851,1.0310318,1.0313303
2011-07-17,1.0339364,1.0345378,1.0340858,1.0330315,1.0334768,1.0320491,1.0328515
2011-07-18,1.0322802,1.0320618,1.0330713,1.0313233,1.0330639,1.03136,1.0295981
2011-07-19,1.0320156,1.0300024,1.0309507,1.0318923,1.0303185,1.0304477,1.02969
2011-07-20,1.0318649,1.0345552,1.0327897,1.0350544,1.0337198,1.0339879,1.0330751
2011-07-21,1.0342497,1.0319595,1.0323898,1.0344288,1.0343328,1.0317641,1.0316205
2011-07-22,1.0313318,1.0310762,1.030673,1.0312426,1.0312401,1.0313127,1.0308787
2011-07-24,1.032306,1.0321811,1.0323133,1.0312997,1.031065,1.0306039,1.0323132
2011-07-25,1.0311232,1.0308203,1.031324,1.0319496,1.0300031,1.0307243,1.0304238
2011-07-26,1.0298151,1.0301703,1.0316409,1.0309042,1.0316983,1.0322683,1.0314169
2011-07-27,1.0297037,1.0310357,1.0283134,1.0308521,1.0295954,1.0297865,1.0292222
2011-07-28,1.0298657,1.0300193,1.0293096,1.0296226,1.0291237,1.030976,1.0296704
2011-07-29,1.0307658,1.0305175,1.0320424,1.0307738,1.0321138,1.0314205,1.0321879
2011-07-31,1.0313542,1.0300612,1.03017,1.0299578,1.0308156,1.0301981,1.0304887
2011-08-01,1.0323792,1.0339305,1.0334452,1.0321685,1.0318693,1.0308614,1.0320787
2011-08-02,1.0300063,1.0309832,1.0303525,1.0315398,1.0292073,1.0294527,1.0303395
2011-08-03,1.0305778,1.0298383,1.0307845,1.0312803,1.0324187,1.031398,1.0309348
2011-08-04,1.0328641,1.0331011,1.0315782,1.0294237,1.0309682,1.0301578,1.0296043
