,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY
2011-06-02,11.941162,11.90136,11.890327,11.900253,11.891197,11.902634,11.871048
2011-06-03,11.912018,11.915825,11.924553,11.909538,11.880524,11.882576,11.882454
2011-06-05,11.882004,11.890121,11.908363,11.887596,11.877556,11.864082,11.845306
2011-06-06,11.883202,11.904961,11.858299,11.885071,11.868042,11.862976,11.886131
2011-06-07,11.897408,11.863129,11.865807,11.863358,11.909805,11.882294,11.847328
2011-06-08,11.861839,11.897011,11.894974,11.876778,11.830971,11.813286,11.838013
2011-06-09,11.893051,11.878296,11.886917,11.846771,11.868202,11.854111,11.834633
2011-06-10,11.865097,11.839302,11.879097,11.852806,11.864197,11.831795,11.83606
2011-06-12,11.873833,11.86602,11.838043,11.819572,11.83651,11.835602,11.823036
2011-06-13,11.879898,11.847435,11.849617,11.827652,11.829918,11.827332,11.827026
2011-06-14,11.872154,11.855873,11.851105,11.845886,11.840759,11.813721,11.835152
2011-06-15,11.826897,11.856552,11.831047,11.835213,11.829468,11.808792,11.831039
2011-06-16,11.832321,11.847542,11.8313675,11.838165,11.82579,11.828026,11.795425
2011-06-17,11.837929,11.819305,11.836433,11.803017,11.831116,11.791611,11.8194275
2011-06-19,11.824257,11.810249,11.80983,11.779449,11.805901,11.828651,11.807854
2011-06-20,11.833122,11.808273,11.793236,11.788338,11.802856,11.803635,11.8090515
2011-06-21,11.819534,11.826355,11.815323,11.816803,11.811302,11.808548,11.802612
2011-06-22,11.803856,11.826996,11.828407,11.812088,11.81485,11.813248,11.818115
2011-06-23,11.831009,11.820663,11.795456,11.796196,11.800209,11.818031,11.809624
2011-06-24,11.797012,11.787476,11.823341,11.820335,11.806854,11.802605,11.805115
2011-06-26,11.814713,11.807892,11.819778,11.800461,11.811493,11.788567,11.786934
2011-06-27,11.8112335,11.791771,11.829689,11.817459,11.818764,11.821564,11.808136
2011-06-28,11.811623,11.80883,11.818275,11.801445,11.801659,11.811256,11.809975
2011-06-29,11.8112335,11.789047,11.798668,11.833519,11.798584,11.827118,11.83168
2011-06-30,11.811623,11.822113,11.816475,11.830101,11.835831,11.819145,11.83593
2011-07-01,11.819435,11.814018,11.831978,11.806114,11.822174,11.826096,11.847649
2011-07-03,11.835136,11.814407,11.808434,11.8435135,11.831566,11.8407135,11.84491
2011-07-04,11.817993,11.832687,11.840996,11.827171,11.838226,11.856148,11.857231
2011-07-05,11.8092575,11.817856,11.837257,11.851463,11.864319,11.863159,11.853844
2011-07-06,11.819412,11.826691,11.842728,11.855377,11.853401,11.882454,11.863632
2011-07-07,11.824875,11.837357,11.850922,11.852722,11.855331,11.843231,11.883369
2011-07-08,11.853188,11.858131,11.841423,11.84343,11.851868,11.851166,11.859489
2011-07-10,11.845703,11.853645,11.860809,11.863701,11.875198,11.855957,11.852493
2011-07-11,11.864464,11.866722,11.875381,11.873329,11.861954,11.844353,11.814476
2011-07-12,11.872131,11.861877,11.858917,11.875633,11.844009,11.84127,11.83123
2011-07-13,11.859871,11.854263,11.857208,11.847946,11.841988,11.798218,11.821571
2011-07-14,11.872322,11.857361,11.8539505,11.846001,11.833733,11.838432,11.834831
2011-07-15,11.851105,11.844566,11.832771,11.819664,11.856964,11.848061,11.80584
2011-07-17,11.858505,11.842659,11.822403,11.7997055,11.849327,11.821396,11.846817
2011-07-18,11.844681,11.859314,11.842033,11.865677,11.812065,11.811699,11.794106
2011-07-19,11.859482,11.831352,11.82856,11.827217,11.796196,11.804352,11.78035
2011-07-20,11.805222,11.81636,11.802238,11.786392,11.811623,11.77372,11.782623
2011-07-21,11.804237,11.824112,11.787529,11.819908,11.785988,11.782707,11.770874
2011-07-22,11.821831,11.788216,11.808861,11.795235,11.792915,11.772461,11.762276
2011-07-24,11.819473,11.821449,11.799438,11.80352,11.7715225,11.7642975,11.751701
2011-07-25,11.830147,11.7994995,11.785332,11.7782135,11.75988,11.734108,11.717598
2011-07-26,11.802574,11.795517,11.772385,11.758835,11.733948,11.694672,11.676781
2011-07-27,11.791298,11.77578,11.76683,11.754219,11.705582,11.683052,11.653191
2011-07-28,11.774948,11.7439575,11.751968,11.70974,11.685974,11.674164,11.64476
2011-07-29,11.766373,11.761368,11.7135315,11.689217,11.667419,11.645393,11.640022
2011-07-31,11.736755,11.705017,11.670555,11.661789,11.655815,11.642952,11.599915
2011-08-01,11.7013855,11.6838455,11.673531,11.654678,11.656334,11.623047,11.580833
2011-08-02,11.682884,11.668076,11.656197,11.654564,11.597374,11.600716,11.585297
2011-08-03,11.667137,11.657532,11.644249,11.598564,11.580856,11.571831,11.561821
2011-08-04,11.663681,11.626991,11.609924,11.611481,11.5783615,11.556541,11.536736
2011-08-05,11.659241,11.593765,11.61264,11.559731,11.554108,11.542908,11.53035
2011-08-07,11.605995,11.594498,11.592491,11.56044,11.521896,11.530006,11.532089
2011-08-08,11.596077,11.579857,11.559486,11.539337,11.538734,11.532852,11.490242
2011-08-09,11.575203,11.589279,11.554657,11.540878,11.5440445,11.512489,11.530609
2011-08-10,11.562325,11.583435,11.554497,11.520752,11.503792,11.511108,11.52182
2011-08-11,11.505363,11.547836,11.538811,11.548988,11.503136,11.480644,11.500252
2011-08-12,11.549522,11.556366,11.540596,11.524353,11.524208,11.508469,11.480766
2011-08-14,11.521797,11.490753,11.5297165,11.522301,11.484245,11.459274,11.458687
2011-08-15,11.537277,11.5187,11.52433,11.497787,11.470444,11.45092,11.415367
2011-08-16,11.525597,11.524582,11.497009,11.479561,11.4375305,11.470985,11.42939
2011-08-17,11.526634,11.485291,11.470085,11.444145,11.420448,11.417618,11.431145
2011-08-18,11.483658,11.46788,11.451042,11.442368,11.431335,11.4290695,11.423607
2011-08-19,11.462982,11.457451,11.455597,11.423798,11.417465,11.413422,11.3660965
2011-08-21,11.454361,11.44799,11.405029,11.425102,11.41095,11.338745,11.356155
2011-08-22,11.429726,11.405861,11.422295,11.403252,11.385902,11.353783,11.32029
2011-08-23,11.438248,11.420944,11.408104,11.371407,11.348549,11.342468,11.244316
2011-08-24,11.390373,11.403816,11.380722,11.349808,11.341278,11.243813,10.915001
2011-08-25,11.424622,11.3721695,11.359566,11.335655,11.234772,10.926994,10.85318
2011-08-26,11.360291,11.335396,11.345245,11.2481,10.923767,10.861305,10.85466
2011-08-28,11.342972,11.330811,11.255127,10.924263,10.8892975,10.853119,10.869431
2011-08-29,11.334496,11.247627,10.912628,10.86953,10.866905,10.861305,10.852531
2011-08-30,11.283325,10.9197235,10.865318,10.8799515,10.836998,10.852669,10.847687
2011-08-31,10.93325,10.875114,10.869026,10.8604355,10.860962,10.822357,10.794754
2011-09-01,10.8660965,10.847382,10.844246,10.830078,10.837997,10.834923,10.837837
2011-09-02,10.866905,10.8654785,10.852783,10.862854,10.862625,10.797592,10.8274
2011-09-04,10.863976,10.865845,10.871773,10.8424835,10.820488,10.790367,10.806313
2011-09-05,10.8652115,10.840736,10.838547,10.816299,10.807976,10.806053,10.781097
2011-09-06,10.800697,10.825752,10.823853,10.80986,10.774651,10.810295,10.782982
2011-09-07,10.844307,10.826157,10.816368,10.797394,10.779991,10.7849655,10.784264
2011-09-08,10.794319,10.807701,10.789162,10.7934265,10.775291,10.762306,10.750267
2011-09-09,10.8112335,10.803322,10.810616,10.787346,10.761276,10.74617,10.725182
2011-09-11,10.794884,10.776321,10.781975,10.781914,10.733894,10.747414,10.744125
2011-09-12,10.79055,10.777283,10.772827,10.7404785,10.740044,10.715057,10.685799
2011-09-13,10.73777,10.754837,10.767464,10.748764,10.728302,10.693718,10.688629
2011-09-14,10.750366,10.761948,10.736633,10.70755,10.691902,10.672302,10.674538
2011-09-15,10.755096,10.738228,10.709656,10.679359,10.660919,10.669128,10.681984
2011-09-16,10.734955,10.709114,10.68428,10.682617,10.676331,10.671616,10.669479
2011-09-18,10.670044,10.688995,10.673836,10.688454,10.666565,10.664597,10.669495
2011-09-19,10.718117,10.680359,10.6477585,10.634338,10.662567,10.657951,10.671135
2011-09-20,10.6577,10.654221,10.664421,10.690147,10.667023,10.638916,10.680733
2011-09-21,10.683792,10.714989,10.631828,10.652031,10.673935,10.641304,10.646812
2011-09-22,10.686836,10.667984,10.666634,10.662926,10.654533,10.679771,10.660538
2011-09-23,10.6727295,10.675034,10.656036,10.680237,10.658051,10.640472,10.639275
2011-09-25,10.659706,10.639862,10.655594,10.667,10.652061,10.641937,10.568237
2011-09-26,10.657135,10.666794,10.665825,10.617767,10.629402,10.656212,10.632729
2011-09-27,10.649521,10.631821,10.653557,10.62751,10.614258,10.588341,10.597626
2011-09-28,10.644806,10.670998,10.6549,10.609131,10.604454,10.578468,10.459427
2011-09-29,10.666893,10.640114,10.604828,10.597725,10.602188,10.450043,10.441124
2011-09-30,10.594109,10.6175,10.595238,10.610924,10.448891,10.404404,10.38665
2011-10-02,10.629799,10.580437,10.614082,10.45945,10.440254,10.371986,10.364746
2011-10-03,10.575813,10.582718,10.455032,10.43898,10.371048,10.35611,10.323128
2011-10-04,10.611504,10.460495,10.434746,10.378609,10.335747,10.311356,10.242203
2011-10-05,10.462097,10.431816,10.367302,10.360466,10.324104,10.237671,10.001869
2011-10-06,10.40625,10.370895,10.343292,10.345627,10.234825,10.020599,9.932434
2011-10-07,10.387398,10.362579,10.326286,10.23246,10.000183,9.923164,9.848282
2011-10-09,10.370636,10.340515,10.23201,10.02005,9.89576,9.84494,9.750183
2011-10-10,10.348457,10.227928,10.006317,9.932396,9.81871,9.741219,9.746262
2011-10-11,10.237038,10.008713,9.932373,9.837357,9.74971,9.76989,9.759537
2011-10-12,10.008499,9.930588,9.805206,9.750694,9.7667465,9.741455,9.74366
2011-10-13,9.927315,9.81868,9.771133,9.7456665,9.765991,9.727081,9.726631
2011-10-14,9.837334,9.729645,9.756851,9.772179,9.702171,9.727905,9.724068
2011-10-16,9.766006,9.794861,9.746796,9.728424,9.730515,9.702293,9.685028
2011-10-17,9.747292,9.77877,9.7397,9.719391,9.706848,9.697998,9.684578
2011-10-18,9.7591095,9.72744,9.729095,9.710869,9.711998,9.692726,9.666725
2011-10-19,9.734634,9.746201,9.732269,9.685356,9.678856,9.674667,9.63446
2011-10-20,9.704399,9.717056,9.700737,9.684647,9.63517,9.611305,9.60112
2011-10-21,9.711014,9.686676,9.680519,9.650444,9.64666,9.573456,9.602203
2011-10-23,9.697685,9.665695,9.641922,9.639374,9.654732,9.5902405,9.602165
2011-10-24,9.6791,9.649719,9.662582,9.604218,9.577133,9.599655,9.61235
2011-10-25,9.648247,9.639893,9.63559,9.6173935,9.623886,9.599411,9.609093
2011-10-26,9.641373,9.5928955,9.607323,9.612457,9.623779,9.616043,9.600967
2011-10-27,9.616035,9.603165,9.607262,9.621994,9.602264,9.619621,9.613602
2011-10-28,9.601929,9.58963,9.631744,9.623398,9.621819,9.620422,9.60199
2011-10-30,9.611565,9.587891,9.587173,9.615303,9.594414,9.61145,9.601212
2011-10-31,9.584984,9.651428,9.605728,9.614113,9.609978,9.618675,9.629608
2011-11-01,9.602661,9.591667,9.604736,9.596413,9.62265,9.620827,9.654892
2011-11-02,9.618271,9.615929,9.60788,9.603119,9.64315,9.6551895,9.679924
2011-11-03,9.607521,9.613724,9.609749,9.651131,9.659828,9.667168,9.676544
2011-11-04,9.603149,9.6094055,9.632019,9.661636,9.688194,9.667961,9.725121
2011-11-06,9.611214,9.627243,9.657883,9.657097,9.692421,9.6673355,9.677902
2011-11-07,9.641006,9.665329,9.675896,9.675835,9.67524,9.677368,9.679184
2011-11-08,9.663246,9.679733,9.697235,9.694702,9.696838,9.688705,9.7046585
2011-11-09,9.648567,9.680733,9.728783,9.673088,9.688042,9.715973,9.720337
2011-11-10,9.687035,9.669914,9.649551,9.706009,9.725189,9.717918,9.7024
2011-11-11,9.679237,9.684639,9.684563,9.728584,9.732513,9.717842,9.703758
2011-11-13,9.672607,9.7044525,9.70089,9.689003,9.676704,9.6981735,9.721046
2011-11-14,9.681999,9.701164,9.68235,9.702805,9.715187,9.724266,9.701363
2011-11-15,9.70665,9.72731,9.720413,9.722267,9.727921,9.724045,9.703171
2011-11-16,9.708221,9.709183,9.731758,9.707031,9.704369,9.707008,9.722015
2011-11-17,9.72744,9.705414,9.705582,9.6844635,9.691704,9.698448,9.690308
2011-11-18,9.693176,9.70295,9.707489,9.723755,9.705551,9.67852,9.676193
2011-11-20,9.698479,9.708977,9.714676,9.709358,9.675758,9.693741,9.681885
2011-11-21,9.720139,9.727852,9.70536,9.686203,9.691612,9.665688,9.624496
2011-11-22,9.700851,9.693161,9.692177,9.696724,9.7026825,9.674225,9.594658
2011-11-23,9.706017,9.681381,9.6698,9.677948,9.652176,9.629723,9.605484
2011-11-24,9.691956,9.705704,9.65654,9.661667,9.604164,9.587196,9.571823
2011-11-25,9.680771,9.67128,9.647263,9.621521,9.601547,9.582924,9.592354
2011-11-27,9.671143,9.666786,9.616249,9.630264,9.56321,9.565109,9.55732
2011-11-28,9.657837,9.609756,9.6204605,9.569717,9.5820465,9.56366,9.574806
2011-11-29,9.605598,9.588707,9.567986,9.569077,9.540665,9.569061,9.638733
2011-11-30,9.602333,9.611725,9.567917,9.573105,9.550011,9.597107,9.65152
2011-12-01,9.578415,9.549088,9.567337,9.574036,9.617569,9.641129,9.651833
2011-12-02,9.558983,9.553482,9.609085,9.612068,9.621033,9.669029,9.660614
2011-12-04,9.586685,9.603073,9.609657,9.643532,9.660873,9.649147,9.666573
2011-12-05,9.566353,9.64138,9.640541,9.667511,9.638832,9.662956,9.669868
2011-12-06,9.630165,9.676056,9.666084,9.665184,9.685417,9.660973,9.644455
2011-12-07,9.679672,9.6390915,9.649841,9.666542,9.647949,9.636238,9.600006
2011-12-08,9.659393,9.650612,9.654335,9.643982,9.6581955,9.568153,9.581924
2011-12-09,9.671143,9.670319,9.63987,9.635078,9.620071,9.54731,9.480667
2011-12-11,9.661079,9.6635895,9.619545,9.605492,9.572433,9.474815,9.477211
2011-12-12,9.643097,9.625481,9.576065,9.56382,9.477608,9.453918,9.467857
2011-12-13,9.6397705,9.58297,9.484985,9.499062,9.469032,9.469521,9.419312
2011-12-14,9.621803,9.518791,9.489136,9.467354,9.450508,9.445778,9.436188
2011-12-15,9.538284,9.472511,9.499817,9.467155,9.43261,9.43866,9.421402
2011-12-16,9.523582,9.47731,9.439224,9.438637,9.43351,9.440674,9.431473
2011-12-18,9.473984,9.483017,9.440582,9.437134,9.396629,9.433739,9.406593
2011-12-19,9.469215,9.437286,9.4247055,9.422813,9.416809,9.426575,9.4216385
2011-12-20,9.422813,9.449837,9.414619,9.412949,9.413757,9.425949,9.43203
2011-12-21,9.414719,9.399704,9.414223,9.4232025,9.406174,9.4151,9.406677
2011-12-22,9.404366,9.4247055,9.404167,9.412689,9.438423,9.4262085,9.422295
2011-12-23,9.39061,9.424126,9.413155,9.423645,9.428848,9.414719,9.433395
2011-12-27,9.430244,9.413887,9.4303665,9.412491,9.46257,9.426468,9.440102
2011-12-28,9.434494,9.415253,9.41539,9.423904,9.412865,9.417946,9.451202
2011-12-29,9.404442,9.40802,9.416893,9.412231,9.467148,9.445816,9.440155
2011-12-30,9.431091,9.425781,9.426956,9.417267,9.454277,9.456749,9.422798
2012-01-02,9.415451,9.4157715,9.409058,9.4446335,9.458107,9.423775,9.456017
2012-01-03,9.404022,9.429543,9.4394455,9.403221,9.467094,9.432526,9.448891
2012-01-04,9.433701,9.459686,9.44725,9.455147,9.440605,9.429108,9.451111
2012-01-05,9.431465,9.450798,9.460091,9.411415,9.44043,9.493805,9.463089
2012-01-06,9.461624,9.456299,9.43454,9.43013,9.464401,9.449135,9.466782
2012-01-08,9.416641,9.450699,9.454514,9.482254,9.455757,9.462753,9.4637375
2012-01-09,9.45385,9.450623,9.437546,9.44754,9.450195,9.460747,9.479546
2012-01-10,9.452415,9.461128,9.464897,9.488892,9.46376,9.471832,9.481621
2012-01-11,9.468933,9.45253,9.458771,9.47477,9.485336,9.484856,9.462624
2012-01-12,9.453072,9.443466,9.480568,9.480095,9.4561,9.478325,9.472374
2012-01-13,9.468391,9.467033,9.461327,9.461182,9.483582,9.5006485,9.477585
2012-01-15,9.465775,9.474876,9.476631,9.485168,9.463844,9.480644,9.474098
2012-01-16,9.4752655,9.457817,9.465317,9.468704,9.486946,9.46994,9.48159
2012-01-17,9.470947,9.506378,9.48864,9.466011,9.480164,9.474808,9.476227
2012-01-18,9.477867,9.469307,9.469643,9.466377,9.480736,9.471313,9.474426
2012-01-19,9.461433,9.474472,9.468689,9.466637,9.4678955,9.481712,9.477615
2012-01-20,9.467476,9.459877,9.484871,9.47644,9.4752655,9.481766,9.484627
2012-01-22,9.486855,9.48172,9.477814,9.485603,9.480476,9.483078,9.484756
2012-01-23,9.470337,9.468231,9.489815,9.47525,9.484398,9.490364,9.49675
2012-01-24,9.474274,9.48307,9.47374,9.4798355,9.491463,9.497597,9.504135
2012-01-25,9.477097,9.480347,9.488098,9.483978,9.486992,9.523979,9.474472
2012-01-26,9.485054,9.48111,9.488312,9.500099,9.492126,9.523155,9.52787
2012-01-27,9.496124,9.489044,9.515846,9.513153,9.489975,9.527603,9.497711
