,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK
2011-10-27,9.143073,9.134249,9.148856,9.1527405,9.127994,9.133528,9.147382
2011-10-28,9.139084,9.145972,9.132637,9.142662,9.126431,9.126315,9.13136
2011-10-30,9.142471,9.155054,9.137706,9.11961,9.150092,9.133464,9.101751
2011-10-31,9.120825,9.141865,9.1333275,9.124223,9.138984,9.116219,9.13019
2011-11-01,9.147779,9.128891,9.125974,9.131831,9.1171255,9.146415,9.107186
2011-11-02,9.154577,9.126945,9.131241,9.119031,9.132413,9.126251,9.110981
2011-11-03,9.123402,9.124723,9.133103,9.156475,9.137863,9.121258,9.103696
2011-11-04,9.153152,9.121465,9.138147,9.109402,9.108043,9.1137905,9.129469
2011-11-06,9.1439085,9.118109,9.108248,9.10219,9.131933,9.115431,9.109702
2011-11-07,9.124372,9.116854,9.124231,9.100351,9.128434,9.113063,9.110247
2011-11-08,9.114574,9.1137295,9.100264,9.128204,9.103246,9.098243,9.126264
2011-11-09,9.113339,9.1103525,9.10731,9.102486,9.103832,9.111748,9.103861
2011-11-10,9.114962,9.127321,9.106149,9.102703,9.0883,9.137358,9.122507
2011-11-11,9.11808,9.119623,9.12248,9.097895,9.108739,9.121424,9.075559
2011-11-13,9.115368,9.102109,9.08118,9.095529,9.108791,9.082855,9.141476
2011-11-14,9.111846,9.119468,9.090734,9.096701,9.102506,9.101727,9.107202
2011-11-15,9.128642,9.098935,9.111239,9.108602,9.10759,9.101009,9.105351
2011-11-16,9.098325,9.087696,9.104496,9.090323,9.111117,9.098319,9.107191
2011-11-17,9.091258,9.08809,9.106503,9.117042,9.110024,9.101051,9.116316
2011-11-18,9.079447,9.119709,9.079727,9.088002,9.094381,9.11252,9.113252
2011-11-20,9.092122,9.093833,9.113006,9.116879,9.108718,9.102051,9.1201725
2011-11-21,9.099823,9.116036,9.080316,9.098803,9.10596,9.104217,9.104208
2011-11-22,9.100511,9.086571,9.1045685,9.108371,9.110036,9.100226,9.112581
2011-11-23,9.094444,9.12215,9.121311,9.111785,9.108284,9.114254,9.10919
2011-11-24,9.100092,9.117659,9.110708,9.104245,9.110155,9.0941305,9.1049795
2011-11-25,9.103412,9.101144,9.110772,9.101022,9.108329,9.112758,9.098063
2011-11-27,9.109155,9.121505,9.110855,9.109329,9.110309,9.110634,9.113653
2011-11-28,9.1104145,9.109401,9.115477,9.09704,9.108402,9.084202,9.106304
2011-11-29,9.116005,9.098578,9.1369505,9.102074,9.110478,9.101565,9.108429
2011-11-30,9.117633,9.119546,9.125313,9.123371,9.112734,9.089478,9.099503
2011-12-01,9.112209,9.098252,9.085128,9.116638,9.101142,9.123703,9.091199
2011-12-02,9.106175,9.079997,9.095669,9.092135,9.089892,9.092727,9.068135
2011-12-04,9.087994,9.117968,9.104047,9.086681,9.091467,9.080227,9.097174
2011-12-05,9.142079,9.105319,9.091019,9.089456,9.117344,9.1000595,9.094585
2011-12-06,9.104948,9.095316,9.0880165,9.082954,9.102953,9.106263,9.098629
2011-12-07,9.092105,9.093525,9.116696,9.0697,9.076004,9.122759,9.082605
2011-12-08,9.093987,9.058673,9.085936,9.074148,9.072534,9.107788,9.090805
2011-12-09,9.090164,9.0821705,9.072848,9.114968,9.099742,9.080906,9.094204
2011-12-11,9.072261,9.092716,9.09521,9.09701,9.116368,9.105516,9.073295
2011-12-12,9.094708,9.084577,9.105965,9.085966,9.09937,9.081015,9.097281
2011-12-13,9.072516,9.097198,9.094162,9.083921,9.088824,9.107662,9.128171
2011-12-14,9.096298,9.078808,9.121587,9.067505,9.085223,9.064506,9.099675
2011-12-15,9.097388,9.111671,9.082271,9.102771,9.0938635,9.093039,9.090243
2011-12-16,9.108132,9.0993595,9.089321,9.069292,9.073777,9.071658,9.091552
2011-12-18,9.100619,9.087703,9.085351,9.0898075,9.098114,9.12176,9.083303
2011-12-19,9.124899,9.107377,9.085753,9.087798,9.082073,9.063599,9.085076
2011-12-20,9.100108,9.113844,9.085314,9.082237,9.0857,9.0894165,9.079118
2011-12-21,9.074278,9.059891,9.085715,9.059673,9.080594,9.081456,9.081545
2011-12-22,9.076111,9.119269,9.085249,9.079338,9.089643,9.084013,9.068977
2011-12-23,9.10219,9.080434,9.087619,9.087839,9.09398,9.062614,9.048622
2011-12-27,9.056407,9.069217,9.0771675,9.079583,9.067334,9.060056,9.048588
2011-12-28,9.0795,9.070267,9.077877,9.074081,9.042572,9.037883,9.026619
2011-12-29,9.07494,9.078535,9.076693,9.054222,9.0455675,9.043131,9.061544
2011-12-30,9.085978,9.07123,9.070185,9.060628,9.048431,9.058471,9.054303
2012-01-02,9.052622,9.055988,9.048981,9.038797,9.04683,9.046469,9.042282
2012-01-03,9.055489,9.04665,9.061462,9.033588,9.0420685,9.031689,9.049854
2012-01-04,9.049338,9.036261,9.039081,9.037391,9.027831,9.02462,9.02088
2012-01-05,9.008899,9.043083,9.03262,9.049038,9.029737,9.0158205,9.017107
2012-01-06,9.045203,9.034384,9.028046,9.029188,9.033294,9.0214615,9.000487
2012-01-08,9.032576,9.025872,9.029115,9.040459,9.0116205,9.004046,8.997868
2012-01-09,9.030831,9.028602,9.037512,9.006003,8.998319,8.998854,8.988742
2012-01-10,9.025981,9.023374,9.029156,9.005105,8.992104,8.968552,8.952419
2012-01-11,9.022984,9.005002,8.999844,8.991272,8.994422,8.996217,8.970912
2012-01-12,9.018276,9.005285,8.991662,8.996447,8.998289,8.993222,8.975477
2012-01-13,9.005344,8.990141,8.982608,9.0129795,8.978662,8.973374,8.965208
2012-01-15,8.986293,8.973575,8.958029,8.983952,8.976091,8.955872,8.941894
2012-01-16,8.975907,8.98042,8.976815,8.965396,8.963059,8.956707,8.92183
2012-01-17,8.975871,8.977468,8.970267,8.951717,8.936625,8.929018,8.9365225
2012-01-18,8.979842,8.954879,8.951923,8.955698,8.942392,8.945594,8.931969
2012-01-19,8.958721,8.955689,8.952824,8.938341,8.9303665,8.920567,8.875786
2012-01-20,8.969785,8.95157,8.932197,8.948246,8.912365,8.900821,8.93264
2012-01-22,8.948012,8.93399,8.936331,8.926064,8.911223,8.889597,8.868783
