,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY
2011-05-15,65.49608,65.450874,65.49567,65.510765,65.48764,65.450584,65.48824
2011-05-16,65.455696,65.50145,65.52925,65.50727,65.50696,65.48145,65.43701
2011-05-17,65.48583,65.52536,65.47506,65.50466,65.48709,65.46398,65.21875
2011-05-18,65.52276,65.543076,65.43674,65.48708,65.43704,65.230576,65.07367
2011-05-19,65.49964,65.47925,65.53217,65.47865,65.18413,65.07833,65.04113
2011-05-20,65.41968,65.44037,65.452034,65.22196,65.09103,65.08371,65.050316
2011-05-22,65.54652,65.4372,65.21546,65.089905,65.08017,65.06109,65.04984
2011-05-23,65.41181,65.23696,65.0955,65.08453,65.03521,65.11076,65.05113
2011-05-24,65.22086,65.075455,65.07219,65.06893,65.07282,65.124435,65.0862
2011-05-25,65.078255,65.07303,65.07212,65.09251,65.06414,65.05621,65.03857
2011-05-26,65.04076,65.07175,65.074265,65.01409,65.056946,65.04197,65.03997
2011-05-27,65.04742,65.063255,65.078094,65.08925,65.09254,65.11179,65.07888
2011-05-29,65.08841,65.08352,65.0522,65.043274,65.08038,65.12631,65.26023
2011-05-30,65.10023,65.06305,65.059044,65.028,65.03235,65.27136,65.2871
2011-05-31,65.0798,65.03703,65.07907,65.09653,65.23962,65.21675,65.27716
2011-06-01,65.04394,65.08234,65.07015,65.27744,65.2488,65.255295,65.27203
2011-06-02,65.06704,65.068794,65.21812,65.24435,65.266045,65.251595,65.26934
2011-06-03,65.04248,65.24982,65.25282,65.25622,65.281044,65.24979,65.268166
2011-06-05,65.23863,65.27089,65.2364,65.301956,65.28913,65.29437,65.273926
2011-06-06,65.30475,65.291855,65.23363,65.2633,65.30373,65.25499,65.276085
2011-06-07,65.18446,65.299225,65.23319,65.27175,65.27571,65.23701,65.27983
2011-06-08,65.31978,65.327034,65.23297,65.27922,65.23716,65.288315,65.28744
2011-06-09,65.21481,65.26688,65.24757,65.2431,65.2486,65.284996,65.300995
2011-06-10,65.23821,65.276634,65.25259,65.25626,65.27158,65.28568,65.43026
2011-06-12,65.308556,65.311905,65.2128,65.30534,65.239624,65.35075,65.32116
2011-06-13,65.18151,65.277245,65.301186,65.263565,65.25488,65.30764,65.33953
2011-06-14,65.32451,65.18703,65.26574,65.349754,65.31528,65.26194,65.3374
2011-06-15,65.21468,65.3043,65.315094,65.34625,65.3041,65.258156,65.30666
2011-06-16,65.23902,65.40214,65.291954,65.265045,65.32964,65.288635,65.2594
2011-06-17,65.26619,65.272415,65.33228,65.330795,65.356834,65.37271,65.339355
2011-06-19,65.36581,65.322174,65.30372,65.15826,65.278244,65.33788,65.37414
2011-06-20,65.32971,65.27394,65.26533,65.31922,65.32655,65.37241,65.35909
2011-06-21,65.25444,65.30911,65.243286,65.342125,65.39436,65.36462,65.36565
2011-06-22,65.392395,65.29955,65.348045,65.36553,65.380165,65.358536,65.360596
2011-06-23,65.345375,65.34218,65.375046,65.33125,65.36201,65.33422,65.364944
2011-06-24,65.3432,65.35256,65.339874,65.34384,65.35798,65.35864,65.383995
2011-06-26,65.318665,65.36629,65.362595,65.37507,65.36034,65.351944,65.40161
2011-06-27,65.380905,65.36307,65.392715,65.35291,65.376366,65.41301,65.43025
2011-06-28,65.355896,65.388275,65.3756,65.3747,65.387344,65.402145,65.43052
2011-06-29,65.321075,65.37787,65.38608,65.421265,65.40632,65.44827,65.48131
2011-06-30,65.38658,65.369545,65.39449,65.41278,65.45577,65.44735,65.49583
2011-07-01,65.380486,65.39385,65.42154,65.44142,65.47218,65.48214,65.68683
2011-07-03,65.398674,65.40193,65.4622,65.4627,65.492455,65.70743,65.74522
2011-07-04,65.41316,65.415375,65.44732,65.45881,65.69784,65.760704,65.79573
2011-07-05,65.43549,65.46356,65.48977,65.677025,65.74046,65.74942,65.722534
2011-07-06,65.46933,65.4704,65.672775,65.749535,65.75066,65.762825,65.68526
2011-07-07,65.47458,65.69665,65.7364,65.71321,65.74421,65.73907,65.73394
2011-07-08,65.67133,65.74056,65.74424,65.76311,65.77409,65.67718,65.70653
2011-07-10,65.74689,65.773254,65.75266,65.723625,65.693726,65.69019,65.70357
2011-07-11,65.72312,65.75778,65.76491,65.724846,65.671974,65.73154,65.69052
2011-07-12,65.74069,65.74663,65.72403,65.70916,65.721344,65.65573,65.74538
2011-07-13,65.763214,65.68385,65.68694,65.673416,65.70159,65.74395,65.78445
2011-07-14,65.68626,65.683624,65.68113,65.69099,65.76314,65.76272,65.93117
2011-07-15,65.67863,65.69718,65.70039,65.75118,65.78287,65.98486,66.04087
2011-07-17,65.69659,65.722916,65.721756,65.84087,65.91973,66.05844,66.14843
2011-07-18,65.69387,65.74896,65.72619,65.93818,66.07871,66.14719,66.48316
2011-07-19,65.75772,65.82285,65.908615,66.05635,66.12429,66.486115,66.6051
2011-07-20,65.752335,65.94367,66.03943,66.112366,66.431046,66.60945,66.60849
2011-07-21,65.911964,66.02145,66.171455,66.47608,66.59654,66.61531,66.665855
2011-07-22,66.07554,66.083954,66.46123,66.62966,66.62244,66.65363,66.75562
2011-07-24,66.11798,66.4745,66.566086,66.63379,66.652435,66.71794,66.693596
2011-07-25,66.47418,66.63077,66.60993,66.67483,66.64577,66.75359,66.750305
2011-07-26,66.609,66.616714,66.66602,66.751236,66.71554,66.74104,66.757996
2011-07-27,66.657585,66.67055,66.72058,66.7277,66.74881,66.78744,66.89234
2011-07-28,66.63702,66.71125,66.71929,66.76203,66.767784,66.908134,66.97428
2011-07-29,66.69248,66.734955,66.74877,66.736206,66.910904,66.931206,66.968605
2011-07-31,66.73017,66.740456,66.760056,66.87421,66.95389,66.96176,66.97208
2011-08-01,66.749756,66.77386,66.88324,66.969055,66.98557,66.98026,66.99214
2011-08-02,66.771774,66.88187,66.95885,66.91455,66.99166,66.962944,66.97657
2011-08-03,66.922,66.970825,66.98069,66.902306,66.965195,66.90972,66.96374
2011-08-04,66.97407,66.94256,66.968765,66.95089,66.9194,66.923164,66.98444
2011-08-05,66.950264,66.99531,66.9587,66.98798,66.98516,66.97723,66.9736
2011-08-07,66.93351,66.944176,66.981865,66.91357,66.965195,66.95751,66.97
2011-08-08,66.976265,66.93214,66.96891,66.90713,66.96988,67.01255,66.97033
2011-08-09,66.95182,66.97991,66.986664,66.956085,66.96917,66.92682,66.98588
2011-08-10,66.934746,66.97094,66.98837,66.99326,66.96406,66.886185,66.908775
2011-08-11,66.97827,66.95369,66.941185,66.91808,66.89868,66.9124,66.85276
2011-08-12,66.95323,66.998924,66.96375,66.911514,66.89746,66.801674,66.78038
2011-08-14,66.9358,66.97931,66.976364,66.915855,66.814766,66.750824,66.73636
2011-08-15,66.98008,66.972916,66.88576,66.835464,66.75021,66.749725,66.6561
2011-08-16,66.95472,66.90446,66.83456,66.80822,66.730606,66.69302,66.660324
2011-08-17,66.92524,66.84106,66.76699,66.721794,66.63836,66.62227,66.65146
