,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
2011-04-28,2.1871185,2.1942139,2.1992264,2.2049332,2.2021103,2.190239,2.2103653
2011-04-29,2.2091904,2.1901932,2.2059631,2.1948013,2.1999207,2.1940536,2.2105637
2011-05-01,2.1964722,2.1930237,2.1863632,2.2024155,2.1932068,2.1901093,2.1941833
2011-05-02,2.2084198,2.199585,2.1936264,2.195427,2.1929474,2.198883,2.187088
2011-05-03,2.1824265,2.2024002,2.1936646,2.2079773,2.186432,2.2038574,2.1992645
2011-05-04,2.2075195,2.1944275,2.205368,2.2021713,2.1857758,2.2037888,2.1952362
2011-05-05,2.198227,2.1920013,2.1960144,2.2052765,2.2171555,2.1977844,2.2068787
2011-05-06,2.202858,2.1904907,2.1874542,2.1946564,2.200142,2.209526,2.2045746
2011-05-08,2.2071152,2.1998901,2.1964722,2.1970215,2.1999435,2.2003937,2.2037048
2011-05-09,2.2085876,2.2044525,2.1995544,2.199028,2.2167816,2.211563,2.2093506
2011-05-10,2.2063293,2.1915588,2.1970901,2.2061844,2.2043762,2.2067337,2.2173157
2011-05-11,2.1945724,2.2002716,2.1944962,2.205429,2.2120667,2.2136078,2.2193146
2011-05-12,2.1973572,2.201645,2.2118149,2.2090378,2.2125168,2.2148743,2.2150192
2011-05-13,2.2030258,2.2078629,2.2111053,2.2130814,2.2214584,2.2227173,2.2256927
2011-05-15,2.2087173,2.206543,2.2178192,2.221695,2.2199173,2.2234802,2.2311478
2011-05-16,2.2100906,2.2121048,2.2018814,2.229988,2.225525,2.23275,2.228569
2011-05-17,2.2156372,2.2164307,2.2267609,2.2161102,2.2283707,2.2345886,2.2052078
2011-05-18,2.2129593,2.2164154,2.218834,2.2333908,2.2332458,2.2400818,2.2405853
2011-05-19,2.22052,2.2156143,2.2313538,2.2359009,2.24189,2.2206497,2.2192383
2011-05-20,2.2192612,2.224495,2.2377472,2.238617,2.2415924,2.212471,2.2725677
2011-05-22,2.231865,2.2380142,2.2412949,2.2500763,2.2129745,2.210968,2.2563095
2011-05-23,2.2404327,2.2365112,2.239418,2.2543564,2.2596283,2.2122269,2.2352142
2011-05-24,2.232689,2.2387238,2.224205,2.1921616,2.2301407,2.2508621,2.2519455
2011-05-25,2.240265,2.2419052,2.2710876,2.201332,2.2016068,2.2348862,2.2520294
2011-05-26,2.2600708,2.2073822,2.2332993,2.2679367,2.276596,2.248848,2.2682953
2011-05-27,2.255867,2.1881485,2.2641754,2.2329102,2.2771378,2.2849503,2.2676086
2011-05-29,2.259346,2.212738,2.2694626,2.2618713,2.2741852,2.238243,2.2445068
2011-05-30,2.2449417,2.2682114,2.2515182,2.2376175,2.240448,2.2664185,2.2638092
2011-05-31,2.2584305,2.2463608,2.247055,2.2507782,2.254509,2.2528152,2.261261
2011-06-01,2.2450714,2.2258072,2.2442474,2.2638626,2.2620773,2.2722473,2.2541351
2011-06-02,2.2632065,2.2412262,2.2609863,2.267044,2.2612534,2.2435074,2.2458115
2011-06-03,2.2347565,2.2629013,2.2451324,2.260147,2.28022,2.270897,2.272644
2011-06-05,2.2597733,2.2718735,2.2373428,2.2365494,2.257103,2.2592697,2.255249
2011-06-06,2.2563019,2.277565,2.2787933,2.269287,2.2705383,2.260521,2.2524643
2011-06-07,2.2782059,2.2417603,2.2730026,2.242218,2.2696228,2.2783203,2.2401886
2011-06-08,2.2613373,2.2802353,2.2589874,2.2576141,2.2439194,2.2789307,2.2608643
2011-06-09,2.2473907,2.2661743,2.2661285,2.2575302,2.276329,2.2557907,2.265648
2011-06-10,2.2563248,2.2675858,2.2531662,2.2717972,2.268402,2.2615662,2.2668
2011-06-12,2.2543411,2.2561493,2.2801056,2.263031,2.2630692,2.2614288,2.262024
2011-06-13,2.2706451,2.2561493,2.2729416,2.264061,2.2647324,2.2618713,2.2608643
2011-06-14,2.282196,2.2584229,2.2700424,2.27639,2.2600784,2.2653885,2.266922
2011-06-15,2.28434,2.265503,2.2629929,2.265976,2.2659683,2.2634964,2.2739182
2011-06-16,2.2625046,2.2664108,2.2639618,2.2620544,2.2689438,2.2765808,2.2764664
