,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN
2011-08-31,12.186583,12.227309,12.223336,12.259066,12.277733,12.29265,12.269885
2011-09-01,12.196397,12.264021,12.268699,12.254223,12.223626,12.255516,12.297249
2011-09-02,12.248613,12.253907,12.2601595,12.291903,12.282243,12.2399025,12.303054
2011-09-04,12.263198,12.282504,12.194592,12.249742,12.30856,12.289957,12.309349
2011-09-05,12.257699,12.214171,12.293382,12.281127,12.303029,12.311733,12.331305
2011-09-06,12.281118,12.262579,12.296053,12.311085,12.346593,12.309051,12.303742
2011-09-07,12.261496,12.290079,12.296968,12.294806,12.306532,12.306155,12.316745
2011-09-08,12.287261,12.294761,12.300322,12.265226,12.343373,12.333462,12.365846
2011-09-09,12.268666,12.283981,12.299696,12.310611,12.326365,12.375683,12.386546
2011-09-11,12.316716,12.311776,12.307287,12.337298,12.351765,12.3650055,12.397838
2011-09-12,12.339985,12.308456,12.314028,12.365014,12.397557,12.408264,12.388744
2011-09-13,12.299247,12.320466,12.350353,12.379155,12.37847,12.399971,12.404548
2011-09-14,12.311707,12.3623905,12.38487,12.378382,12.406823,12.401751,12.3998165
2011-09-15,12.346577,12.381801,12.375599,12.39274,12.4017105,12.433261,12.429648
2011-09-16,12.369711,12.380022,12.407236,12.395992,12.406579,12.427716,12.4363365
2011-09-18,12.388937,12.386996,12.403678,12.420271,12.427915,12.43421,12.429614
2011-09-19,12.402938,12.408851,12.408405,12.455716,12.445335,12.427507,12.467362
2011-09-20,12.406647,12.396808,12.411255,12.441811,12.469313,12.464383,12.464679
2011-09-21,12.412285,12.419832,12.441493,12.4570875,12.456259,12.4726515,12.471954
2011-09-22,12.426818,12.452968,12.460216,12.473173,12.514447,12.513327,12.473869
2011-09-23,12.444572,12.446301,12.478416,12.508826,12.472703,12.512473,12.528495
2011-09-25,12.432379,12.458824,12.463539,12.496448,12.528031,12.521876,12.496045
2011-09-26,12.465513,12.467968,12.450944,12.489304,12.497058,12.511264,12.617964
2011-09-27,12.498716,12.491932,12.522575,12.493443,12.548448,12.599704,12.7145195
2011-09-28,12.505089,12.503153,12.50709,12.532871,12.599432,12.726523,12.817741
2011-09-29,12.483148,12.540358,12.515696,12.593493,12.720923,12.821441,12.893853
2011-09-30,12.540445,12.536013,12.620364,12.719744,12.810652,12.877607,12.923684
2011-10-02,12.574162,12.61279,12.724632,12.803057,12.871012,12.934174,12.952646
2011-10-03,12.601393,12.706546,12.832737,12.858417,12.930395,12.95412,12.945943
2011-10-04,12.71203,12.832769,12.853157,12.920518,12.917029,12.948917,13.084566
2011-10-05,12.835853,12.879045,12.907911,12.942426,12.967587,13.091724,13.126431
2011-10-06,12.863109,12.917581,12.941672,12.948921,13.07129,13.204871,13.168661
2011-10-07,12.915494,12.953342,12.950044,13.048136,13.154504,13.198232,13.235697
2011-10-09,12.938011,12.957701,13.065536,13.165067,13.159484,13.243191,13.271776
2011-10-10,12.967832,13.101935,13.132465,13.178627,13.25656,13.277791,13.299862
2011-10-11,13.0630665,13.152874,13.275662,13.269227,13.292765,13.32912,13.325366
2011-10-12,13.201995,13.211105,13.273777,13.289136,13.3083935,13.302156,13.359322
2011-10-13,13.188726,13.256023,13.246154,13.282949,13.33658,13.307076,13.361997
2011-10-14,13.261509,13.280472,13.298654,13.303952,13.320951,13.342924,13.344739
2011-10-16,13.31039,13.316997,13.33814,13.291181,13.337441,13.42733,13.354981
2011-10-17,13.336956,13.254004,13.324544,13.336639,13.328943,13.364524,13.40148
2011-10-18,13.295934,13.327522,13.362048,13.371552,13.355386,13.382909,13.383884
2011-10-19,13.323259,13.344886,13.377526,13.381837,13.412633,13.393242,13.409535
2011-10-20,13.378831,13.3575945,13.355779,13.361589,13.398106,13.40901,13.411903
2011-10-21,13.35093,13.345682,13.401765,13.363173,13.400099,13.407961,13.419742
2011-10-23,13.359729,13.398971,13.398178,13.402228,13.406865,13.398366,13.427956
2011-10-24,13.387371,13.383163,13.40136,13.408397,13.410668,13.406389,13.405076
2011-10-25,13.404159,13.401866,13.415413,13.404935,13.418612,13.43071,13.420665
2011-10-26,13.395243,13.4004755,13.445648,13.424152,13.424198,13.474419,13.434799
2011-10-27,13.418841,13.404637,13.388811,13.419244,13.409332,13.4433975,13.432816
2011-10-28,13.405369,13.426295,13.427948,13.419064,13.41674,13.409439,13.428233
2011-10-30,13.410719,13.391362,13.414969,13.415258,13.429871,13.468672,13.427274
2011-10-31,13.419474,13.418183,13.407839,13.441785,13.462212,13.440412,13.4187355
2011-11-01,13.4038925,13.422479,13.440506,13.438387,13.436721,13.409251,13.469396
2011-11-02,13.428466,13.428588,13.427353,13.456512,13.448216,13.434571,13.4653635
2011-11-03,13.426691,13.418086,13.422582,13.423417,13.439595,13.445942,13.4164095
2011-11-04,13.447778,13.461686,13.43224,13.464807,13.398129,13.457322,13.442536
2011-11-06,13.451716,13.423455,13.418115,13.443486,13.401978,13.398932,13.47094
2011-11-07,13.414144,13.420517,13.42284,13.389717,13.470716,13.420782,13.460473
2011-11-08,13.470284,13.443484,13.428391,13.444739,13.383369,13.420966,13.352748
2011-11-09,13.452152,13.42862,13.405625,13.398843,13.42684,13.427702,13.473211
2011-11-10,13.44006,13.430168,13.442666,13.445288,13.460976,13.440636,13.400313
2011-11-11,13.441589,13.447256,13.421716,13.445028,13.436249,13.42694,13.468578
2011-11-13,13.439584,13.447157,13.437922,13.460204,13.446654,13.44897,13.430487
2011-11-14,13.495485,13.447222,13.445927,13.481448,13.446744,13.431988,13.43182
2011-11-15,13.453915,13.447287,13.444166,13.407812,13.446844,13.459064,13.434945
2011-11-16,13.433385,13.447368,13.413901,13.470976,13.446964,13.4306345,13.459917
2011-11-17,13.418365,13.44742,13.463008,13.425215,13.401465,13.452067,13.469805
2011-11-18,13.445745,13.447484,13.424917,13.4674835,13.455238,13.449776,13.4609165
2011-11-20,13.433325,13.447532,13.426368,13.439499,13.461778,13.469358,13.477686
2011-11-21,13.428695,13.430534,13.456377,13.48376,13.480006,13.478308,13.488269
2011-11-22,13.417408,13.4434185,13.467255,13.468818,13.483884,13.479121,13.501208
2011-11-23,13.467007,13.419561,13.474757,13.464874,13.502528,13.503962,13.549485
2011-11-24,13.479267,13.468312,13.499026,13.489164,13.489337,13.517807,13.538563
2011-11-25,13.462827,13.477676,13.502867,13.499298,13.529179,13.52454,13.555473
2011-11-27,13.476237,13.494115,13.521885,13.53487,13.53522,13.5578165,13.55962
2011-11-28,13.51187,13.534451,13.545757,13.552219,13.557686,13.570978,13.575574
2011-11-29,13.498017,13.536349,13.539273,13.552546,13.569026,13.566767,13.577209
2011-11-30,13.541007,13.554603,13.532573,13.5724125,13.56329,13.547772,13.556198
2011-12-01,13.542008,13.564951,13.543536,13.554685,13.554202,13.54733,13.547324
2011-12-02,13.562636,13.559451,13.563514,13.5481,13.512496,13.548392,13.539602
2011-12-04,13.565714,13.523231,13.552376,13.549843,13.556654,13.552953,13.577901
2011-12-05,13.562192,13.549387,13.538183,13.549241,13.548309,13.559326,13.568729
2011-12-06,13.571335,13.547696,13.552799,13.550083,13.571352,13.565581,13.554547
2011-12-07,13.5448475,13.545183,13.537551,13.548091,13.589065,13.576344,13.57144
2011-12-08,13.533954,13.535911,13.567588,13.568711,13.581381,13.590745,13.605043
2011-12-09,13.531708,13.540543,13.550601,13.56219,13.580349,13.549977,13.628309
2011-12-11,13.546597,13.563738,13.587929,13.577368,13.5807905,13.604657,13.6116905
2011-12-12,13.576902,13.574395,13.579052,13.600781,13.551751,13.618319,13.617659
2011-12-13,13.571565,13.548848,13.586705,13.592153,13.591182,13.610926,13.680912
2011-12-14,13.582015,13.592058,13.604093,13.650817,13.633305,13.656765,13.682947
2011-12-15,13.569509,13.578747,13.593846,13.621492,13.644683,13.661072,13.682942
2011-12-16,13.560301,13.62114,13.620179,13.640709,13.671372,13.677261,13.712636
2011-12-18,13.62998,13.592684,13.630618,13.668943,13.659691,13.681261,13.75141
2011-12-19,13.62846,13.664755,13.667637,13.686261,13.699748,13.744839,13.794825
2011-12-20,13.658269,13.662783,13.6831255,13.725471,13.761239,13.780991,13.786024
2011-12-21,13.682098,13.669682,13.694472,13.771832,13.782308,13.774962,13.760093
2011-12-22,13.674993,13.753955,13.755797,13.793091,13.799716,13.773104,13.797742
2011-12-23,13.687473,13.779186,13.778884,13.81968,13.801441,13.841298,13.813075
2011-12-27,13.770494,13.768247,13.785083,13.789628,13.842476,13.821896,13.810839
2011-12-28,13.76921,13.808548,13.799993,13.821944,13.8185005,13.819795,13.811174
2011-12-29,13.806608,13.745783,13.788385,13.835909,13.848782,13.811507,13.811846
2011-12-30,13.773622,13.769767,13.860934,13.84512,13.854458,13.818856,13.813026
