,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK
2011-08-28,5.446269,5.455775,5.4294043,5.4411473,5.433168,5.434843,5.412953
2011-08-29,5.4547358,5.4260154,5.4363184,5.43583,5.434151,5.448493,5.4483943
2011-08-30,5.4499226,5.422254,5.4332438,5.424692,5.4258904,5.4355683,5.421284
2011-08-31,5.4485826,5.43847,5.4369936,5.4107456,5.452538,5.3947134,5.4171376
2011-09-01,5.428975,5.427713,5.423335,5.3751135,5.4456263,5.432065,5.420013
2011-09-02,5.424639,5.423087,5.3846555,5.448924,5.424425,5.4279866,5.4150667
2011-09-04,5.4360294,5.429899,5.4433413,5.421461,5.41862,5.4063125,5.4185157
2011-09-05,5.427974,5.4584074,5.408412,5.4302607,5.417919,5.4148784,5.4287353
2011-09-06,5.4161534,5.417208,5.4179425,5.4221883,5.4196205,5.416716,5.4392395
2011-09-07,5.3949223,5.426744,5.420706,5.4134626,5.420923,5.4307733,5.433834
2011-09-08,5.387538,5.4053416,5.4122624,5.431887,5.4356537,5.4519773,5.443217
2011-09-09,5.4238124,5.420034,5.428215,5.441109,5.4453473,5.444119,5.43857
2011-09-11,5.4172597,5.414932,5.4284487,5.454626,5.4360766,5.444574,5.4348865
2011-09-12,5.421842,5.4176464,5.4420123,5.424479,5.4536214,5.456309,5.447207
2011-09-13,5.430963,5.4446473,5.4318876,5.437726,5.449321,5.4624643,5.4758873
2011-09-14,5.4453173,5.431218,5.440571,5.453642,5.4551272,5.4648967,5.469567
2011-09-15,5.449271,5.448808,5.4431796,5.4533257,5.4574924,5.4493594,5.438637
2011-09-16,5.4504995,5.4468403,5.4591017,5.457998,5.4501715,5.4340796,5.454336
2011-09-18,5.456426,5.460388,5.459873,5.464115,5.4651623,5.46089,5.4498787
2011-09-19,5.448532,5.465014,5.455257,5.4615755,5.4457755,5.446847,5.4467273
2011-09-20,5.451172,5.4416294,5.4675617,5.4573607,5.4503736,5.453624,5.442961
2011-09-21,5.462168,5.4686804,5.4415536,5.4462566,5.4658523,5.440333,5.439412
2011-09-22,5.4409904,5.454424,5.454197,5.4437494,5.4522667,5.4622564,5.4614053
2011-09-23,5.4599295,5.460753,5.468177,5.444801,5.4662385,5.441068,5.446943
2011-09-25,5.4575734,5.4574585,5.4663925,5.4333653,5.4782195,5.4668694,5.4620976
2011-09-26,5.462538,5.4524617,5.442001,5.4539695,5.454822,5.46131,5.493787
2011-09-27,5.4466777,5.4507174,5.4691772,5.4782295,5.4943094,5.4697833,5.552414
2011-09-28,5.45391,5.4453874,5.451928,5.444515,5.4621015,5.5410404,5.5503435
2011-09-29,5.473326,5.4863625,5.4955215,5.4755793,5.5460606,5.5644875,5.6080046
2011-09-30,5.440063,5.454824,5.52647,5.5447197,5.5870347,5.5855765,5.6263676
2011-10-02,5.484227,5.473831,5.554015,5.5827827,5.574426,5.6067505,5.637203
2011-10-03,5.469358,5.5446796,5.5896726,5.628874,5.608235,5.6410356,5.635646
2011-10-04,5.5541363,5.581676,5.620141,5.630879,5.625137,5.6342297,5.678208
2011-10-05,5.5895243,5.609479,5.6199822,5.632829,5.6506114,5.6696553,5.6667595
2011-10-06,5.5803566,5.6136026,5.6146297,5.6267037,5.6547008,5.6576858,5.685826
2011-10-07,5.622231,5.6269846,5.630088,5.6582675,5.6771674,5.6796064,5.6760964
2011-10-09,5.6253357,5.6097493,5.657474,5.650102,5.690561,5.677493,5.6681495
2011-10-10,5.6351347,5.641234,5.672593,5.669832,5.6829405,5.6892657,5.690061
2011-10-11,5.640232,5.6463084,5.6797066,5.683049,5.6643147,5.6698627,5.669514
2011-10-12,5.683462,5.6745667,5.672846,5.676234,5.691675,5.6696835,5.655658
2011-10-13,5.6847963,5.6761665,5.680102,5.680799,5.683395,5.6889486,5.667346
2011-10-14,5.6747065,5.691687,5.6726274,5.7003675,5.663384,5.6691694,5.70841
2011-10-16,5.664355,5.673919,5.6802864,5.6859736,5.6906466,5.668256,5.656752
2011-10-17,5.685572,5.6755023,5.672295,5.6697025,5.6665797,5.683879,5.707401
2011-10-18,5.678852,5.692553,5.68047,5.657139,5.680759,5.677104,5.660112
2011-10-19,5.674433,5.6763577,5.6719503,5.6775475,5.6689587,5.685801,5.697093
2011-10-20,5.6636224,5.658079,5.680778,5.6961455,5.6806774,5.6929054,5.679891
2011-10-21,5.6890807,5.6555295,5.6716747,5.682907,5.6953993,5.64472,5.6557255
2011-10-23,5.656656,5.6745043,5.6810246,5.6866875,5.6681104,5.691546,5.6731434
2011-10-24,5.6754065,5.693378,5.671366,5.6847305,5.6828685,5.6670895,5.6828856
2011-10-25,5.6783795,5.712278,5.68137,5.6820703,5.680422,5.66625,5.673279
2011-10-26,5.679132,5.694295,5.67119,5.67024,5.6917453,5.6828694,5.681485
2011-10-27,5.6466565,5.675779,5.6816673,5.6558313,5.663375,5.691658,5.6671257
2011-10-28,5.6966095,5.6920843,5.6708956,5.656753,5.680311,5.642595,5.634226
2011-10-30,5.6578445,5.672715,5.6821184,5.6739745,5.655881,5.6659026,5.664849
2011-10-31,5.6900573,5.671277,5.6707187,5.6748323,5.665938,5.6457343,5.6329
2011-11-01,5.68211,5.6560025,5.6472316,5.704463,5.685695,5.620126,5.645956
