,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD
2011-04-27,1.5443676,1.5580571,1.5563214,1.560506,1.553752,1.5496954,1.5487323
2011-04-28,1.5590457,1.5574905,1.5512578,1.5474595,1.5513276,1.5509384,1.5509195
2011-04-29,1.5551631,1.5498546,1.5555816,1.5502429,1.5559614,1.5531301,1.5493934
2011-05-01,1.5537729,1.5538794,1.5586089,1.5450293,1.5502722,1.5509723,1.5513572
2011-05-02,1.5515969,1.5557063,1.5542889,1.5491548,1.5504119,1.547424,1.5461348
2011-05-03,1.5538883,1.5617142,1.5554765,1.5440413,1.5546733,1.5486985,1.54828
2011-05-04,1.5452937,1.557819,1.5504968,1.552331,1.551363,1.550618,1.538025
2011-05-05,1.5595324,1.5506711,1.5518992,1.5449488,1.552536,1.5462376,1.5478787
2011-05-06,1.5433079,1.5489502,1.5471495,1.5476327,1.5377942,1.54632,1.5411059
2011-05-08,1.5522985,1.550598,1.5468663,1.5452883,1.547452,1.5423629,1.54153
2011-05-09,1.5524571,1.5464193,1.5495986,1.5435586,1.5437495,1.5433006,1.5409081
2011-05-10,1.5418961,1.5441313,1.5440162,1.543092,1.5417559,1.5384448,1.5407561
2011-05-11,1.5422076,1.5463512,1.546081,1.5405803,1.5381205,1.5370147,1.5404235
2011-05-12,1.5464562,1.5425966,1.5433373,1.5395639,1.5324053,1.5292377,1.5277163
2011-05-13,1.5439869,1.5409045,1.538429,1.5361547,1.5344276,1.5373104,1.5329496
2011-05-15,1.5439199,1.5314149,1.5382757,1.5318809,1.5274788,1.5314835,1.5316029
2011-05-16,1.539716,1.5405655,1.5354438,1.5397952,1.5347093,1.5341969,1.5368457
2011-05-17,1.5379099,1.5376109,1.5456939,1.5389276,1.5316846,1.5370111,1.5371294
2011-05-18,1.537434,1.5304246,1.537296,1.5377938,1.5434798,1.5455006,1.5320406
2011-05-19,1.538159,1.5349777,1.5318284,1.5322111,1.5290914,1.5316455,1.5235467
2011-05-20,1.5332682,1.5323321,1.5421422,1.5229661,1.5270488,1.5324445,1.5316898
2011-05-22,1.5269544,1.533029,1.5316108,1.5207623,1.5249197,1.5271156,1.5335795
2011-05-23,1.5309005,1.5251673,1.5289905,1.5358977,1.5340284,1.5234036,1.5303077
2011-05-24,1.5362451,1.5387264,1.527765,1.5300275,1.5316305,1.5316823,1.5241563
2011-05-25,1.525125,1.535191,1.5427037,1.5390491,1.5331967,1.5267107,1.5375509
2011-05-26,1.5384954,1.5364054,1.5382634,1.5382037,1.542401,1.5364232,1.5373005
2011-05-27,1.525792,1.5299878,1.5274566,1.5322633,1.5322547,1.5269744,1.5229332
2011-05-29,1.5286171,1.5345099,1.5360748,1.5277393,1.5371555,1.5307353,1.5280099
2011-05-30,1.5305343,1.5245762,1.531009,1.5316296,1.5271463,1.5176033,1.529433
2011-05-31,1.5296667,1.5282161,1.5245938,1.5332632,1.5276375,1.5267193,1.5290091
2011-06-01,1.531482,1.5308154,1.5238177,1.523175,1.5314256,1.5293387,1.5198627
2011-06-02,1.534588,1.5353878,1.531585,1.5240744,1.528738,1.5299658,1.5306835
2011-06-03,1.5262043,1.5322578,1.5312108,1.5330887,1.5200523,1.5260475,1.530215
2011-06-05,1.5239269,1.5282016,1.5384054,1.5290345,1.5274932,1.5306693,1.5293105
2011-06-06,1.5337899,1.5294178,1.5322969,1.5307928,1.5244473,1.5226831,1.5238211
2011-06-07,1.5291773,1.5317392,1.5338395,1.529506,1.5276245,1.5342498,1.53534
2011-06-08,1.5269405,1.5271862,1.5312287,1.5298619,1.5313479,1.533289,1.5299186
2011-06-09,1.5284114,1.5340725,1.5329812,1.531314,1.5341592,1.5358852,1.529569
2011-06-10,1.5301174,1.528874,1.5317055,1.5334466,1.5272537,1.534392,1.5339812
2011-06-12,1.5270064,1.5241091,1.532804,1.5282826,1.537163,1.5331817,1.5296
2011-06-13,1.5369741,1.5347211,1.5305259,1.5355532,1.5428534,1.5396886,1.5378191
2011-06-14,1.52569,1.5285854,1.5285964,1.5416692,1.5379318,1.5405266,1.5353613
2011-06-15,1.5301164,1.5273091,1.5291383,1.5292196,1.5298709,1.5276892,1.5405645
2011-06-16,1.5315173,1.5279391,1.5304736,1.5350991,1.5265663,1.5360134,1.5282545
2011-06-17,1.528193,1.5357347,1.5300044,1.5286521,1.535718,1.5304271,1.5368229
2011-06-19,1.529156,1.5273731,1.5261184,1.5272405,1.5279646,1.5384703,1.5268906
2011-06-20,1.5252357,1.5264248,1.531914,1.537128,1.5276756,1.5271733,1.534866
2011-06-21,1.5326807,1.5367118,1.5373833,1.533448,1.5279523,1.536795,1.5357543
2011-06-22,1.5331519,1.5308291,1.5344002,1.5298792,1.528683,1.5315812,1.5335602
2011-06-23,1.5368434,1.5383679,1.5358984,1.5342499,1.5368336,1.5273285,1.5285408
2011-06-24,1.5277516,1.527925,1.5272005,1.534523,1.5271186,1.5362258,1.5286487
2011-06-26,1.5395689,1.5339123,1.5363766,1.5262716,1.5334517,1.5302546,1.5325056
2011-06-27,1.5332698,1.5290717,1.5291482,1.5319868,1.5329945,1.534724,1.5290825
2011-06-28,1.5280546,1.533611,1.534249,1.5307186,1.528664,1.530859,1.5327778
2011-06-29,1.5350864,1.5270593,1.5292556,1.5315247,1.5328805,1.5287366,1.5294472
2011-06-30,1.5312009,1.5304306,1.5340844,1.5365299,1.530394,1.5316327,1.5341576
2011-07-01,1.5263187,1.5318025,1.5285687,1.529233,1.5312127,1.5303472,1.5266793
2011-07-03,1.5334986,1.5313789,1.5339433,1.5301491,1.5335127,1.5314492,1.5294368
2011-07-04,1.5336162,1.5358369,1.531672,1.5304692,1.5312213,1.5312293,1.5295726
2011-07-05,1.5317221,1.530084,1.5289567,1.5284798,1.5321327,1.527249,1.5261426
2011-07-06,1.5298026,1.5284973,1.5260726,1.5290363,1.525771,1.5291934,1.5280465
2011-07-07,1.5321637,1.530695,1.5295765,1.5296475,1.529066,1.5253402,1.5239571
2011-07-08,1.5296161,1.5299067,1.5276008,1.527999,1.5250582,1.5267627,1.5225701
2011-07-10,1.5300504,1.5304593,1.5265749,1.5265836,1.5254575,1.5251218,1.5235635
2011-07-11,1.5268306,1.5274796,1.527767,1.5257275,1.5254484,1.5240105,1.5231155
2011-07-12,1.5260583,1.522423,1.5269457,1.5231934,1.5236958,1.5204965,1.5233206
2011-07-13,1.5281551,1.5267864,1.5236824,1.5226712,1.5252697,1.5173252,1.5204066
2011-07-14,1.5285949,1.526069,1.521631,1.523777,1.5244489,1.5228727,1.5179001
2011-07-15,1.5307603,1.5254252,1.518392,1.5190032,1.5195767,1.514724,1.5145458
2011-07-17,1.5268602,1.521126,1.5216434,1.5142095,1.5218122,1.5178106,1.5118035
2011-07-18,1.5209515,1.5192673,1.5212864,1.5181501,1.5167309,1.5111328,1.5142535
2011-07-19,1.5223131,1.5175104,1.5184348,1.5165114,1.5145772,1.5117204,1.507112
2011-07-20,1.5219969,1.5188942,1.513448,1.5143877,1.5114428,1.5061156,1.512748
2011-07-21,1.5185809,1.5163016,1.5148603,1.5124779,1.5041257,1.5041271,1.5075285
2011-07-22,1.5159048,1.5131358,1.5121531,1.50892,1.506051,1.5135891,1.5011636
2011-07-24,1.5115279,1.5092082,1.5105793,1.5007164,1.501977,1.505666,1.4997797
2011-07-25,1.5112884,1.5089018,1.5197259,1.5109848,1.5172588,1.5189731,1.4984336
2011-07-26,1.5060116,1.5144467,1.5055044,1.5074756,1.5011957,1.5035665,1.5027927
2011-07-27,1.5032959,1.5070871,1.4990749,1.5055376,1.4994485,1.5078783,1.5014021
2011-07-28,1.5052731,1.5018713,1.5024806,1.5018843,1.4974527,1.5029131,1.4969852
2011-07-29,1.5094306,1.5004414,1.5009158,1.5021361,1.4976546,1.4990025,1.5026144
2011-07-31,1.5014566,1.5056927,1.5022142,1.505772,1.4957317,1.5007733,1.5056715
2011-08-01,1.5090296,1.5079747,1.5048344,1.49892,1.5032637,1.5056823,1.497074
2011-08-02,1.5024744,1.4928154,1.5032016,1.5081359,1.5049264,1.5019988,1.5060447
2011-08-03,1.5042791,1.4989631,1.502223,1.4999231,1.4993052,1.5095196,1.4981699
2011-08-04,1.5090374,1.5024949,1.492323,1.501589,1.4984189,1.5018902,1.4989432
2011-08-05,1.5116167,1.4985496,1.49878,1.4978817,1.5031816,1.496384,1.4998851
2011-08-07,1.500393,1.5023766,1.4987233,1.5037372,1.4996734,1.4982536,1.5017273
2011-08-08,1.4978348,1.5061285,1.5004821,1.4917158,1.5081124,1.5075982,1.5015998
2011-08-09,1.5005435,1.5035993,1.501718,1.5027974,1.4969485,1.497348,1.4976681
2011-08-10,1.5002232,1.4959028,1.5069083,1.5040333,1.5032884,1.5115004,1.5087246
2011-08-11,1.4992293,1.4933852,1.503059,1.4981177,1.5021138,1.5055332,1.5138309
2011-08-12,1.4981921,1.5044489,1.5072391,1.5002878,1.5051049,1.5018536,1.5048001
2011-08-14,1.5055761,1.4978845,1.5005404,1.5050358,1.5109725,1.5041498,1.5053184
2011-08-15,1.5099877,1.5087254,1.5043108,1.5044231,1.5035028,1.5095541,1.5076553
2011-08-16,1.4977881,1.5047115,1.5101763,1.5022502,1.5050586,1.5077543,1.5114604
2011-08-17,1.5048497,1.5045714,1.5066159,1.5047386,1.5082471,1.5113498,1.5144503
2011-08-18,1.5053277,1.5055271,1.507307,1.5083987,1.5122759,1.5131774,1.5166632
2011-08-19,1.5079474,1.5072961,1.5060483,1.5124247,1.5134182,1.5164361,1.5228107
2011-08-21,1.5053854,1.5059344,1.512198,1.514565,1.5184145,1.527569,1.5487856
2011-08-22,1.5055524,1.5130789,1.5153298,1.5147426,1.5259393,1.545878,1.5499974
2011-08-23,1.5116726,1.5148251,1.5164602,1.5252528,1.5444385,1.5524757,1.5503297
2011-08-24,1.5147917,1.5168712,1.5244623,1.5444956,1.552628,1.5496805,1.550344
2011-08-25,1.5166306,1.5264661,1.5478592,1.5502875,1.5454547,1.5504923,1.5495815
2011-08-26,1.5264359,1.5458186,1.5501131,1.5514655,1.5521035,1.5497923,1.5479307
2011-08-28,1.5452012,1.5528042,1.5495028,1.5516962,1.551329,1.5486429,1.5503592
2011-08-29,1.547936,1.5516096,1.5484729,1.5492483,1.5504197,1.5501727,1.5509081
