,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP
2011-05-05,896.69684,897.73773,898.0108,900.40686,905.7022,906.84485,908.6806
2011-05-06,897.758,898.00916,900.39435,905.7531,906.85333,908.69055,910.9681
2011-05-08,898.01886,900.4274,905.62885,906.829,908.68555,910.9572,911.13007
2011-05-09,900.395,905.5647,906.8482,908.66626,910.9753,911.0916,912.0136
2011-05-10,905.44714,906.8229,908.6705,910.9462,911.1416,912.02716,913.0627
2011-05-11,906.8421,908.70374,910.97876,911.1223,912.0392,913.03564,914.3704
2011-05-12,908.69226,910.9541,911.12805,912.02686,913.0303,914.37085,914.76825
2011-05-13,911.0027,911.1236,912.0337,913.0514,914.3287,914.7443,915.54443
2011-05-15,911.1435,912.0011,913.06476,914.3744,914.70026,915.5598,915.89905
2011-05-16,912.02313,913.04663,914.3677,914.75806,915.52814,915.9321,915.98126
2011-05-17,913.0301,914.3834,914.7403,915.5591,915.8914,916.0345,916.44116
2011-05-18,914.34955,914.78046,915.54895,915.9329,916.0263,916.4433,916.4615
2011-05-19,914.74945,915.52905,915.94635,916.02454,916.4027,916.44824,919.5128
2011-05-20,915.53406,915.9268,916.0142,916.479,916.46564,919.4643,919.85315
2011-05-22,915.9153,915.9844,916.41266,916.46564,919.4746,919.8922,920.5759
2011-05-23,915.9942,916.4331,916.4504,919.46155,919.9164,920.5499,921.38824
2011-05-24,916.42755,916.4311,919.4968,919.8287,920.52625,921.39136,921.4754
2011-05-25,916.4724,919.4935,919.84534,920.5093,921.38605,921.4662,921.7307
2011-05-26,919.50653,919.8699,920.549,921.3783,921.4647,921.78516,922.03357
2011-05-27,919.87585,920.52826,921.4108,921.46783,921.7367,922.06537,923.6814
2011-05-29,920.52344,921.36176,921.4538,921.7519,922.0429,923.6963,923.96454
2011-05-30,921.39734,921.50665,921.736,922.07074,923.6797,924.0009,925.03723
2011-05-31,921.4524,921.7511,922.0365,923.753,923.8573,925.02405,925.6186
2011-06-01,921.7172,922.0621,923.67145,923.9125,924.99963,925.65076,926.0387
2011-06-02,922.0497,923.76587,923.94226,925.017,925.6674,926.05237,926.04443
2011-06-03,923.68695,923.90247,924.9665,925.67737,926.0627,926.0874,929.0044
2011-06-05,923.94507,924.9994,925.67206,926.03735,926.1052,929.1241,930.00916
2011-06-06,925.06537,925.7328,926.0505,926.16876,929.1166,929.98,930.91754
2011-06-07,925.6729,926.0154,926.16016,929.05273,929.968,930.9296,931.0479
2011-06-08,926.03296,926.11084,929.0305,930.0024,930.9767,931.0136,931.53577
2011-06-09,926.1243,929.1205,929.95703,930.9344,931.10376,931.545,931.5299
2011-06-10,929.05566,929.9589,930.98444,931.0522,931.4871,931.48956,931.51886
2011-06-12,929.9736,930.9143,931.0719,931.5889,931.54724,931.53033,931.75574
2011-06-13,930.9438,931.02893,931.57446,931.5363,931.5308,931.72253,932.56995
2011-06-14,930.9528,931.5426,931.51056,931.532,931.75385,932.67596,932.7017
2011-06-15,931.55524,931.50806,931.49725,931.7289,932.6184,932.7536,932.9521
2011-06-16,931.5548,931.513,931.6915,932.5819,932.6912,932.9617,937.36426
2011-06-17,931.52014,931.7358,932.616,932.6849,933.0128,937.44855,938.0105
2011-06-19,931.74896,932.6431,932.7483,933.02313,937.4782,937.9865,938.3551
2011-06-20,932.6262,932.7465,933.01495,937.43164,937.99786,938.26215,938.37366
2011-06-21,932.69824,933.01013,937.4241,937.99854,938.27185,938.3962,938.432
2011-06-22,933.00977,937.4991,938.01196,938.2839,938.3803,938.42084,938.4098
2011-06-23,937.5053,938.0654,938.3172,938.32477,938.4249,938.4042,938.8413
2011-06-24,937.97955,938.32166,938.42676,938.44666,938.5081,938.8536,939.07135
2011-06-26,938.2284,938.3004,938.3961,938.4267,938.81586,938.99896,939.0441
2011-06-27,938.42737,938.4438,938.4115,938.82153,939.0966,939.11304,939.1027
2011-06-28,938.42914,938.44073,938.77924,939.1054,939.0865,939.1641,939.10815
2011-06-29,938.42926,938.8981,939.0336,939.0771,939.07,939.1231,939.0304
2011-06-30,938.90674,939.103,939.0658,939.08307,939.05597,939.0049,939.0103
2011-07-01,939.04425,939.0804,939.05664,939.0326,939.04834,938.9525,939.0776
2011-07-03,939.0925,939.0099,939.1028,939.0489,939.03455,938.99426,939.08826
2011-07-04,939.08795,939.13696,939.09467,939.0536,939.0615,939.11536,939.09344
2011-07-05,939.0438,938.994,939.0451,939.0111,939.0993,939.20667,939.5795
2011-07-06,939.09314,939.10443,939.08624,939.10596,939.25714,939.55615,940.11633
2011-07-07,939.0882,939.0807,939.06885,939.1945,939.6078,940.13245,940.3786
2011-07-08,939.04285,939.0072,939.1376,939.535,940.14526,940.3692,941.37396
2011-07-10,939.0934,939.183,939.568,940.0912,940.3562,941.4164,942.8438
2011-07-11,939.1704,939.51135,940.0575,940.3223,941.46375,942.897,943.46
2011-07-12,939.6095,940.0555,940.2551,941.34265,942.93823,943.5118,944.55725
2011-07-13,940.07184,940.3652,941.4155,942.8768,943.4721,944.5903,946.12537
2011-07-14,940.3069,941.40326,942.8891,943.48914,944.51434,946.2773,946.2442
2011-07-15,941.42737,942.9126,943.4644,944.50934,946.2545,946.26,947.7681
2011-07-17,942.9136,943.47565,944.50366,946.1576,946.2894,947.88446,950.97534
2011-07-18,943.4827,944.54193,946.2121,946.2768,947.83093,950.7873,951.3953
2011-07-19,944.6138,946.1891,946.1952,947.8045,950.88837,951.45105,952.28564
2011-07-20,946.2237,946.2836,947.77545,950.958,951.37933,952.291,952.40436
2011-07-21,946.2562,947.849,950.97424,951.4596,952.2444,952.38293,955.39746
2011-07-22,947.8695,950.89905,951.40955,952.3612,952.4236,955.3515,957.65857
2011-07-24,950.8693,951.40137,952.3033,952.4424,955.46674,957.64185,959.9027
2011-07-25,951.43384,952.25867,952.38983,955.466,957.68933,959.8535,960.5476
2011-07-26,952.29645,952.4668,955.3557,957.65204,959.8933,960.5485,962.6871
2011-07-27,952.4153,955.35406,957.6345,959.9275,960.5624,962.6959,972.5154
2011-07-28,955.4554,957.56445,959.8893,960.5311,962.7623,972.7256,979.0202
2011-07-29,957.6921,959.89514,960.5718,962.69604,972.5035,978.99475,979.6595
2011-07-31,959.8705,960.5507,962.72327,972.3439,979.029,979.58545,981.2415
2011-08-01,960.6148,962.7104,972.74445,979.0534,979.6346,981.1368,981.41296
2011-08-02,962.80676,972.64813,979.05634,979.6648,981.2446,981.42236,982.61945
2011-08-03,972.61346,979.12164,979.6279,981.3392,981.4177,982.62805,983.32935
2011-08-04,979.07623,979.66943,981.2804,981.4837,982.6165,983.27563,983.62177
2011-08-05,979.6186,981.30646,981.40454,982.5959,983.2875,983.6552,985.2711
2011-08-07,981.37726,981.3503,982.6007,983.3266,983.63855,985.25604,987.4711
2011-08-08,981.4558,982.65717,983.2271,983.6462,985.21826,987.50055,988.0109
2011-08-09,982.67474,983.2656,983.6639,985.22754,987.49896,988.01355,988.9404
2011-08-10,983.28674,983.6957,985.3878,987.5545,988.0202,988.9748,989.6931
2011-08-11,983.5727,985.3046,987.5042,987.90106,988.9658,989.72363,989.84216
2011-08-12,985.3307,987.5727,988.0372,988.96893,989.6861,989.8278,990.2943
2011-08-14,987.6315,987.95435,988.9402,989.7259,989.8092,990.2851,990.4614
2011-08-15,988.02454,988.90686,989.60077,989.82227,990.3264,990.42206,990.73346
2011-08-16,988.92346,989.722,989.83624,990.3115,990.4924,990.81195,991.209
2011-08-17,989.64264,989.81555,990.3409,990.5363,990.7467,991.16864,996.41504
2011-08-18,989.85016,990.26337,990.54584,990.7798,991.109,996.4812,1007.1763
2011-08-19,990.2792,990.51196,990.8029,991.2271,996.50964,1007.2287,1015.9826
2011-08-21,990.5248,990.792,991.2788,996.5586,1007.1903,1015.64886,1016.9232
2011-08-22,990.8041,991.2487,996.6023,1007.26117,1015.9282,1016.92865,1017.3373
2011-08-23,991.1607,996.50903,1007.35236,1015.85516,1016.91815,1017.381,1028.6177
2011-08-24,996.5134,1007.4072,1015.72327,1017.0447,1017.4088,1028.6569,1044.966
2011-08-25,1007.26276,1015.7017,1016.9928,1017.3625,1028.6387,1044.6113,1065.2888
2011-08-26,1015.83466,1016.9659,1017.3447,1028.5449,1044.8235,1065.1952,1070.1263
2011-08-28,1016.9231,1017.40594,1028.6516,1045.1964,1065.5709,1069.9955,1070.9607
2011-08-29,1017.3512,1028.6241,1045.4009,1065.5839,1069.9918,1070.9277,1073.4985
2011-08-30,1028.6233,1044.9307,1065.4218,1069.9988,1070.963,1073.4636,1075.194
2011-08-31,1045.1771,1065.4138,1070.131,1070.97,1073.395,1075.0857,1083.9922
2011-09-01,1065.7303,1070.1018,1070.9298,1073.4453,1075.0585,1083.7605,1084.4749
2011-09-02,1070.125,1070.9777,1073.4717,1075.1068,1083.974,1084.4199,1091.3146
2011-09-04,1070.9386,1073.4331,1075.1316,1084.0049,1084.2947,1091.2593,1093.8274
2011-09-05,1073.3518,1075.093,1084.0024,1084.4187,1091.2772,1093.7222,1095.7922
2011-09-06,1075.0844,1083.9869,1084.4283,1091.2577,1093.7246,1095.7429,1096.5789
2011-09-07,1083.9066,1084.3687,1091.3568,1093.8046,1095.7173,1096.5206,1098.3282
2011-09-08,1084.4796,1091.2776,1093.7115,1095.7382,1096.5507,1098.3,1100.0988
2011-09-09,1091.329,1093.7325,1095.7548,1096.5345,1098.3611,1100.0619,1112.7256
2011-09-11,1093.795,1095.6746,1096.5853,1098.3309,1100.0874,1112.7021,1113.6355
2011-09-12,1095.6648,1096.601,1098.2839,1100.1577,1112.8654,1113.5663,1122.1399
2011-09-13,1096.5872,1098.3143,1100.0848,1112.9503,1113.6393,1122.2039,1122.9615
2011-09-14,1098.3119,1100.0114,1112.8113,1113.6047,1122.1799,1123.0403,1126.0852
2011-09-15,1100.0453,1112.7185,1113.6162,1122.0758,1122.987,1125.9901,1129.406
2011-09-16,1112.4744,1113.6521,1122.1204,1122.9202,1126.0562,1129.4302,1132.7914
2011-09-18,1113.639,1122.0547,1122.949,1126.0953,1129.411,1132.7935,1134.2084
2011-09-19,1122.0386,1122.8776,1126.07,1129.423,1132.7959,1134.2139,1134.1979
2011-09-20,1122.9489,1126.0657,1129.4277,1132.7494,1134.1599,1134.1372,1134.1715
2011-09-21,1126.1223,1129.4039,1132.7147,1134.1951,1134.1302,1134.1217,1134.2072
2011-09-22,1129.3967,1132.7069,1134.2694,1134.1484,1134.1857,1134.2,1134.1074
2011-09-23,1132.8999,1134.1555,1134.2725,1134.1549,1134.2096,1134.2157,1134.1544
2011-09-25,1134.1476,1134.1492,1134.1838,1134.1594,1134.1151,1134.1372,1134.1372
2011-09-26,1134.148,1134.129,1134.0681,1134.1718,1134.1746,1134.1211,1134.1718
2011-09-27,1134.1481,1134.166,1134.0656,1134.2303,1134.2266,1134.2007,1134.2078
2011-09-28,1134.1066,1134.2006,1134.1553,1134.1848,1134.204,1134.2167,1132.7853
2011-09-29,1134.1082,1134.1288,1134.272,1134.1393,1134.1049,1132.7672,1129.3285
2011-09-30,1134.1079,1134.1663,1134.275,1134.149,1132.7708,1129.4825,1126.1007
2011-10-02,1134.106,1134.2046,1134.1843,1132.7946,1129.4208,1126.0951,1126.1057
2011-10-03,1134.1057,1134.1447,1132.8248,1129.4352,1126.0732,1126.0852,1126.0631
2011-10-04,1134.1475,1132.7992,1129.4528,1126.0607,1126.0503,1126.1409,1126.073
2011-10-05,1132.774,1129.4246,1126.0703,1126.073,1126.0603,1126.0737,1126.1047
2011-10-06,1129.4185,1125.9608,1126.0614,1126.1349,1126.0674,1126.0688,1126.0636
2011-10-07,1126.0665,1126.0527,1126.1035,1126.0812,1126.0717,1126.1139,1126.1007
2011-10-09,1126.0818,1126.1704,1126.0889,1126.0764,1126.0848,1126.0145,1126.0634
2011-10-10,1126.1261,1126.1732,1126.0325,1126.0731,1126.145,1126.0547,1109.7903
2011-10-11,1126.0818,1126.0817,1126.0812,1126.072,1126.0983,1109.7196,1081.7612
2011-10-12,1125.98,1125.963,1126.0703,1126.0243,1110.1412,1081.7596,1068.3414
2011-10-13,1126.0348,1125.9604,1126.0614,1109.9344,1081.7096,1068.2301,1067.6049
2011-10-14,1126.041,1126.0525,1109.794,1081.9467,1068.3281,1067.5756,1067.3418
