,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK
2011-05-27,5.182054,5.184475,5.193912,5.1927714,5.2098656,5.2119465,5.1947117
2011-05-29,5.185378,5.1929407,5.1944447,5.2087345,5.2082562,5.1940284,5.1914387
2011-05-30,5.194903,5.197215,5.204486,5.2157745,5.1956015,5.191248,5.191694
2011-05-31,5.19314,5.2151184,5.2134156,5.1906013,5.1903477,5.1899147,5.1936297
2011-06-01,5.218229,5.209483,5.196361,5.191736,5.1965866,5.1917315,5.1962576
2011-06-02,5.206707,5.1948514,5.193992,5.195104,5.1940775,5.1894903,5.1911793
2011-06-03,5.192651,5.1899996,5.1894293,5.1896486,5.192764,5.185723,5.1882424
2011-06-05,5.1931825,5.192251,5.190842,5.193322,5.190087,5.193014,5.193207
2011-06-06,5.1867933,5.1912293,5.188216,5.189358,5.188075,5.186351,5.18637
2011-06-07,5.1874137,5.181947,5.1815624,5.191235,5.18486,5.1852226,5.1874285
2011-06-08,5.191823,5.192761,5.192071,5.192294,5.192358,5.1982307,5.1950417
2011-06-09,5.191183,5.185334,5.186206,5.184783,5.190609,5.19166,5.193123
2011-06-10,5.183347,5.188199,5.188649,5.1939135,5.18939,5.1910434,5.202816
2011-06-12,5.192598,5.190113,5.2044587,5.1920033,5.1948013,5.2014437,5.2049665
2011-06-13,5.1936636,5.195052,5.190298,5.1978726,5.206252,5.209934,5.222832
2011-06-14,5.202037,5.196236,5.197798,5.202004,5.2172675,5.220375,5.225672
2011-06-15,5.207233,5.2038803,5.204167,5.2117953,5.2207146,5.2237883,5.220804
2011-06-16,5.192464,5.203641,5.2176204,5.2156515,5.2198467,5.2212462,5.2228727
2011-06-17,5.2011724,5.2040424,5.2198224,5.216444,5.2160435,5.2197733,5.2222414
2011-06-19,5.205846,5.214474,5.2136407,5.2130966,5.217065,5.219331,5.2206926
2011-06-20,5.22169,5.2217455,5.219235,5.2233667,5.223029,5.2239695,5.2255883
2011-06-21,5.2178497,5.2251744,5.2222805,5.224858,5.226501,5.225206,5.222446
2011-06-22,5.212965,5.214861,5.2107635,5.22256,5.2154894,5.213987,5.2182655
2011-06-23,5.223805,5.2106686,5.2251725,5.227186,5.2279634,5.228733,5.218054
2011-06-24,5.212789,5.2098618,5.208586,5.209139,5.208769,5.205667,5.2056456
2011-06-26,5.2287455,5.2282777,5.216869,5.2261257,5.220607,5.218547,5.2124424
2011-06-27,5.220169,5.2204585,5.2190876,5.2193766,5.2163186,5.2128167,5.2029605
2011-06-28,5.2274914,5.220148,5.2161493,5.21647,5.214287,5.2049456,5.1991587
2011-06-29,5.220193,5.2173853,5.2195945,5.2130585,5.206526,5.202142,5.1881113
2011-06-30,5.2162056,5.211754,5.2074347,5.200653,5.1955256,5.187668,5.1835093
2011-07-01,5.218529,5.211936,5.21029,5.198195,5.194357,5.185082,5.1891565
2011-07-03,5.2145796,5.2057323,5.19685,5.200452,5.1914806,5.189987,5.184314
2011-07-04,5.2215424,5.202951,5.195964,5.1943054,5.192754,5.1930737,5.1974483
2011-07-05,5.196952,5.1931825,5.186483,5.1886377,5.184943,5.190242,5.1804247
2011-07-06,5.1877174,5.1919603,5.192308,5.1913853,5.19428,5.195348,5.193424
2011-07-07,5.186814,5.1895227,5.188429,5.183431,5.186181,5.1904764,5.1893387
2011-07-08,5.192794,5.1927404,5.1949577,5.1909666,5.1909695,5.189163,5.1927867
2011-07-10,5.184469,5.1910543,5.1859326,5.188479,5.1881733,5.187801,5.1962485
2011-07-11,5.188527,5.1894197,5.186964,5.182045,5.1907215,5.195231,5.190449
2011-07-12,5.1840305,5.187705,5.1837206,5.1860127,5.1968794,5.203723,5.1990047
2011-07-13,5.19269,5.190033,5.194144,5.2020044,5.2036505,5.20837,5.2177362
2011-07-14,5.1901016,5.196206,5.203248,5.2016106,5.208167,5.2107143,5.2156315
2011-07-15,5.1862903,5.1999516,5.199769,5.2013273,5.2063875,5.222068,5.220526
2011-07-17,5.200253,5.2022443,5.2019424,5.201353,5.221518,5.2204723,5.2220035
2011-07-18,5.2048006,5.206264,5.207798,5.2217627,5.2210436,5.2184176,5.2229986
2011-07-19,5.2038617,5.213726,5.2150736,5.2248974,5.219819,5.228328,5.2245846
2011-07-20,5.1963277,5.2152224,5.2165203,5.221388,5.2242517,5.220591,5.216471
2011-07-21,5.2242384,5.2235374,5.224423,5.227064,5.222183,5.222781,5.2199073
2011-07-22,5.221963,5.224634,5.2197447,5.218649,5.222176,5.2146673,5.2161937
2011-07-24,5.225862,5.231497,5.224159,5.223803,5.2230906,5.224793,5.2259793
2011-07-25,5.224107,5.2195826,5.2275667,5.2224736,5.217856,5.2157125,5.207308
2011-07-26,5.2238307,5.2198906,5.2294307,5.231102,5.216741,5.20474,5.220131
2011-07-27,5.20967,5.207261,5.2034073,5.206554,5.2065315,5.197732,5.1923122
2011-07-28,5.234041,5.233095,5.228286,5.215576,5.2120733,5.208184,5.2218084
2011-07-29,5.2300596,5.2196813,5.2126718,5.214806,5.198824,5.195073,5.224277
2011-07-31,5.236168,5.242017,5.219754,5.2173953,5.2138696,5.218301,5.2217536
2011-08-01,5.219309,5.2190423,5.2096677,5.208619,5.2159443,5.2086906,5.219161
2011-08-02,5.1970997,5.222416,5.1844835,5.195838,5.195903,5.192745,5.218161
2011-08-03,5.21173,5.2158475,5.2191157,5.2157307,5.2175026,5.2161894,5.218713
2011-08-04,5.184415,5.202458,5.2060575,5.219637,5.207256,5.204029,5.2056084
2011-08-05,5.202856,5.2037745,5.2138357,5.202303,5.200636,5.206271,5.209671
2011-08-07,5.2038527,5.20697,5.197362,5.205141,5.2052507,5.2047925,5.2114058
2011-08-08,5.21527,5.2050676,5.201749,5.208045,5.210644,5.205661,5.2181077
2011-08-09,5.2056212,5.2073126,5.207582,5.2101116,5.21076,5.216792,5.2151704
2011-08-10,5.2065945,5.2067513,5.207443,5.211978,5.2180433,5.2195845,5.217641
2011-08-11,5.205053,5.205727,5.2116313,5.214717,5.2158685,5.2157726,5.2171035
2011-08-12,5.20358,5.209655,5.214853,5.214576,5.220229,5.216764,5.2184625
