,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY
2011-04-29,86.1167,86.08651,86.147224,86.09725,86.132965,86.12454,86.1228
2011-05-01,86.123375,86.032166,86.09144,86.08508,86.06766,86.07909,86.104385
2011-05-02,86.095535,86.129974,86.0499,86.05031,86.079926,86.069214,86.12307
2011-05-03,86.10305,86.00056,86.074554,86.133224,86.1216,86.09933,86.10409
2011-05-04,86.10813,86.07868,86.14182,86.10631,86.08894,86.125404,86.123375
2011-05-05,86.118004,86.050064,86.06491,86.109055,86.097694,86.11334,86.10377
2011-05-06,86.12479,86.12588,86.10588,86.078865,86.13724,86.11134,86.123665
2011-05-08,86.094406,86.11539,86.11257,86.121376,86.069,86.11049,86.1035
2011-05-09,86.102554,86.04416,86.0814,86.09761,86.08184,86.023796,86.123856
2011-05-10,86.10808,86.07277,86.100464,86.14715,86.125244,86.07808,86.10323
2011-05-11,86.11866,86.028366,86.112976,86.03447,86.08971,86.127075,85.91508
2011-05-12,86.12581,86.07402,86.06635,86.054596,86.06524,85.92365,85.87213
2011-05-13,86.09319,86.143974,86.08876,86.076256,85.918816,85.86387,85.73405
2011-05-15,86.10187,86.062546,86.13579,85.89731,85.82415,85.79619,85.67987
2011-05-16,86.107605,86.03321,85.89998,85.87582,85.76488,85.71978,85.66609
2011-05-17,86.11879,85.87976,85.8506,85.75407,85.72911,85.68623,85.598114
2011-05-18,85.93241,85.77494,85.73912,85.71374,85.71213,85.65494,85.59386
2011-05-19,85.83471,85.796844,85.72825,85.73091,85.621284,85.59341,85.028076
2011-05-20,85.77922,85.732025,85.68396,85.68766,85.64736,85.06081,84.50273
2011-05-22,85.749626,85.68629,85.61364,85.59459,85.06716,84.526146,84.47054
2011-05-23,85.59956,85.63963,85.573906,84.9925,84.53811,84.42056,84.446
2011-05-24,85.579895,85.588135,85.099045,84.46849,84.43326,84.3435,84.176056
2011-05-25,85.55743,84.99224,84.507195,84.419975,84.42277,84.16723,84.07196
2011-05-26,85.04586,84.555466,84.4082,84.42782,84.191055,84.06639,83.972626
2011-05-27,84.472336,84.44046,84.404594,84.200615,84.10867,84.03461,83.91452
2011-05-29,84.4502,84.40738,84.19611,84.07599,83.98182,83.926605,83.89588
2011-05-30,84.41676,84.21807,84.0791,83.96869,83.89667,83.84115,83.80722
2011-05-31,84.163826,84.10944,83.93289,83.92377,83.86935,83.83785,83.81218
2011-06-01,84.03685,83.98432,83.94218,83.84942,83.7904,83.78263,83.75114
2011-06-02,83.97892,83.90971,83.88787,83.83514,83.78754,83.711685,83.680725
2011-06-03,83.948105,83.91677,83.81873,83.755684,83.721924,83.698875,83.63792
2011-06-05,83.91108,83.83619,83.79803,83.69317,83.74156,83.64272,83.60526
2011-06-06,83.86985,83.79014,83.71602,83.66864,83.68972,83.597374,83.54045
2011-06-07,83.80314,83.770676,83.710495,83.63464,83.570145,83.50858,83.48672
2011-06-08,83.68754,83.68934,83.62766,83.63437,83.52558,83.3916,83.44513
2011-06-09,83.68312,83.65597,83.640945,83.53514,83.44137,83.47714,83.39139
2011-06-10,83.631516,83.548096,83.51066,83.47144,83.41525,83.326675,83.28598
2011-06-12,83.55767,83.507706,83.420906,83.353096,83.38716,83.3095,83.24078
2011-06-13,83.52438,83.47734,83.440735,83.35382,83.32188,83.222084,83.23693
2011-06-14,83.49428,83.36887,83.33453,83.32819,83.258835,83.19784,83.02951
2011-06-15,83.41806,83.37688,83.36278,83.21871,83.2214,83.0786,82.86101
2011-06-16,83.34753,83.326454,83.23119,83.25977,83.04295,82.903786,82.85054
2011-06-17,83.35343,83.22771,83.25292,83.06627,82.91526,82.86541,82.874214
2011-06-19,83.221664,83.248634,83.06038,82.86699,82.85039,82.84335,82.797646
2011-06-20,83.266266,83.082245,82.901306,82.80484,82.866005,82.8082,82.76726
2011-06-21,83.068855,82.8709,82.84723,82.85445,82.75087,82.67001,82.61609
2011-06-22,82.85661,82.88605,82.847336,82.76979,82.69634,82.6979,82.47801
2011-06-23,82.808334,82.875824,82.82639,82.72894,82.68848,82.40972,82.347885
2011-06-24,82.83703,82.75968,82.723564,82.65315,82.50295,82.39132,82.35123
2011-06-26,82.795334,82.7266,82.65524,82.4224,82.37792,82.37031,82.36544
2011-06-27,82.74368,82.66917,82.495094,82.36615,82.359474,82.34882,82.34428
2011-06-28,82.6502,82.48027,82.42104,82.3326,82.37728,82.354935,82.40707
2011-06-29,82.409325,82.36936,82.40068,82.40558,82.4068,82.34996,82.37081
2011-06-30,82.36647,82.40193,82.3519,82.373535,82.382286,82.40509,82.39003
2011-07-01,82.38671,82.36533,82.38017,82.427055,82.35759,82.31441,82.33861
2011-07-03,82.36668,82.36937,82.367256,82.3881,82.38209,82.40204,82.428406
2011-07-04,82.38773,82.40387,82.39391,82.35567,82.32488,82.40154,82.36293
2011-07-05,82.366615,82.36526,82.37789,82.40845,82.357056,82.37286,82.33997
2011-07-06,82.38905,82.369736,82.32993,82.38823,82.38821,82.40548,82.41183
2011-07-07,82.367065,82.40611,82.36453,82.32666,82.37472,82.33544,82.28331
2011-07-08,82.39027,82.36604,82.4305,82.43402,82.34962,82.23394,82.32466
2011-07-10,82.367516,82.36983,82.40709,82.355705,82.28352,82.243675,82.2812
2011-07-11,82.390465,82.40816,82.35071,82.2574,82.2396,82.30762,82.254845
2011-07-12,82.36788,82.36574,82.25614,82.2584,82.2723,82.29291,82.37097
2011-07-13,82.39235,82.26502,82.21655,82.27763,82.29816,82.3226,82.42396
2011-07-14,82.26031,82.24994,82.33315,82.285614,82.34321,82.39213,82.35941
2011-07-15,82.24389,82.23761,82.22833,82.377815,82.37327,82.30217,82.416275
