,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
2011-05-10,40.47869,40.4609,40.466515,40.472214,40.44361,40.480568,40.47328
2011-05-11,40.45556,40.472298,40.482384,40.443634,40.463104,40.46614,40.436172
2011-05-12,40.4683,40.468704,40.466187,40.47576,40.47722,40.486427,40.462555
2011-05-13,40.48876,40.44156,40.482452,40.47254,40.508636,40.48091,40.52468
2011-05-15,40.457672,40.47821,40.465927,40.442856,40.460922,40.46971,40.453148
2011-05-16,40.453842,40.481316,40.482826,40.47622,40.45201,40.46031,40.494743
2011-05-17,40.477737,40.439476,40.46586,40.472992,40.473427,40.49147,40.422493
2011-05-18,40.469643,40.445717,40.482895,40.442467,40.462944,40.490265,40.475517
2011-05-19,40.466797,40.458794,40.4656,40.47666,40.506744,40.46163,40.307762
2011-05-20,40.45633,40.469925,40.483337,40.473305,40.48268,40.316917,40.23771
2011-05-22,40.45249,40.46414,40.46553,40.44175,40.28505,40.269165,38.392838
2011-05-23,40.479065,40.458916,40.483406,40.279785,40.245766,38.36699,37.835114
2011-05-24,40.472107,40.463013,40.325188,40.23423,38.40554,37.86241,37.84263
2011-05-25,40.43628,40.284378,40.252388,38.40956,37.90898,37.865128,37.874382
2011-05-26,40.272224,40.18239,38.42729,37.90641,37.804,37.862167,37.83857
2011-05-27,40.227173,38.422752,37.849617,37.824707,37.885307,37.83953,37.660103
2011-05-29,38.419952,37.844673,37.84266,37.842148,37.868004,37.707207,37.51013
2011-05-30,37.909477,37.876183,37.882233,37.89698,37.700058,37.52397,37.406425
2011-05-31,37.82541,37.809364,37.86785,37.672615,37.536522,37.42269,37.157967
2011-06-01,37.843536,37.80751,37.70414,37.548073,37.40673,37.129112,37.002525
2011-06-02,37.899536,37.672874,37.518867,37.418724,37.158134,37.023636,36.94152
2011-06-03,37.742928,37.54895,37.412445,37.1447,37.006348,36.977524,36.794388
2011-06-05,37.545563,37.43347,37.134506,36.993027,37.00461,36.788673,36.839615
2011-06-06,37.46129,37.08264,36.944496,37.005974,36.812073,36.820633,36.773933
2011-06-07,37.156784,37.00522,37.032387,36.822403,36.798706,36.843666,36.78055
2011-06-08,37.01226,36.990303,36.820023,36.78698,36.808907,36.806458,36.63224
