,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF
2011-05-11,0.70430756,0.7065693,0.70514274,0.70491076,0.7036326,0.7055757,0.70420355
2011-05-12,0.69440544,0.7078708,0.69772834,0.69836104,0.7034284,0.69893104,0.7009785
2011-05-13,0.7043811,0.7045764,0.7031963,0.7052325,0.7032267,0.70353377,0.7040036
2011-05-15,0.7049415,0.7050877,0.7061378,0.7040833,0.7033123,0.70033467,0.7007623
2011-05-16,0.7036635,0.70434433,0.7059723,0.7042695,0.7007445,0.70251906,0.6991674
2011-05-17,0.7071755,0.7047779,0.7027385,0.7026745,0.702369,0.69926405,0.70101285
2011-05-18,0.70402944,0.7046067,0.70377576,0.70349705,0.70061016,0.7030628,0.7005911
2011-05-19,0.70512754,0.70122284,0.69892365,0.7015422,0.69781876,0.6993928,0.6977259
2011-05-20,0.70448786,0.7013024,0.70164704,0.7017987,0.7003552,0.7026726,0.700163
2011-05-22,0.70010376,0.6987861,0.698884,0.7040471,0.6993643,0.69879746,0.6992196
2011-05-23,0.70159805,0.70624614,0.70500267,0.700174,0.7003183,0.6997178,0.70039034
2011-05-24,0.6932598,0.69363785,0.69828117,0.69418645,0.69378316,0.6919944,0.7013588
2011-05-25,0.7017686,0.7021745,0.6983563,0.6983232,0.7010207,0.6958236,0.69967127
2011-05-26,0.7018953,0.6996287,0.6988293,0.69981694,0.6994978,0.6969748,0.69590515
2011-05-27,0.701344,0.70001364,0.70897853,0.7069643,0.7020967,0.70458555,0.69878227
2011-05-29,0.7005214,0.69857323,0.7003405,0.70381445,0.69860846,0.69723094,0.6978937
2011-05-30,0.7030874,0.69474995,0.6935555,0.6958227,0.6963843,0.6972103,0.69902825
2011-05-31,0.6984652,0.6950446,0.6988611,0.6981999,0.6963707,0.69732034,0.6960848
2011-06-01,0.70317054,0.70036685,0.6977672,0.6991506,0.70038646,0.70131767,0.69783664
2011-06-02,0.69635296,0.695786,0.6981267,0.6990644,0.6976663,0.696054,0.696807
2011-06-03,0.69645756,0.69586915,0.6969701,0.69416606,0.69609225,0.69537705,0.69544834
2011-06-05,0.6966199,0.6968333,0.6990301,0.69646364,0.6956089,0.69793797,0.6959028
2011-06-06,0.6980125,0.6970701,0.69739485,0.69701594,0.6986215,0.69621944,0.6961222
2011-06-07,0.69427377,0.6962161,0.6943265,0.6937622,0.6936662,0.69461334,0.6921823
2011-06-08,0.6961622,0.69727623,0.69575256,0.695904,0.6950057,0.69322777,0.6932306
2011-06-09,0.6950915,0.69575655,0.6955622,0.6945869,0.69389284,0.69596267,0.6927935
2011-06-10,0.694753,0.6949246,0.69477695,0.6930367,0.6945682,0.6926043,0.6931554
2011-06-12,0.69413805,0.6960099,0.69387925,0.69366276,0.69179,0.69341105,0.6929338
2011-06-13,0.69446397,0.69286877,0.6929234,0.69312906,0.69188994,0.6921275,0.6919085
2011-06-14,0.6925762,0.6946684,0.69385564,0.69426644,0.69612813,0.6921158,0.69469464
2011-06-15,0.69429696,0.6934445,0.6927223,0.6938509,0.6925057,0.6924678,0.69324684
2011-06-16,0.69400716,0.6941526,0.6935168,0.69181514,0.6901087,0.6944174,0.69329596
2011-06-17,0.69293433,0.6946976,0.6937617,0.6937752,0.6924329,0.69370484,0.69274855
2011-06-19,0.6949236,0.6919565,0.6932751,0.6924798,0.69148266,0.6908706,0.6884512
2011-06-20,0.6938383,0.6935796,0.69067657,0.6932819,0.6908194,0.6901724,0.6908424
2011-06-21,0.6934648,0.6931239,0.69470596,0.6915366,0.69119394,0.6900561,0.6896633
2011-06-22,0.6933074,0.6944686,0.6930368,0.6922773,0.69007444,0.69202924,0.6896004
2011-06-23,0.69256026,0.6934383,0.6914112,0.69033,0.6895801,0.689005,0.6870395
2011-06-24,0.6917349,0.6917527,0.6902885,0.6888869,0.6870146,0.6888815,0.686108
2011-06-26,0.6907486,0.6874808,0.6894661,0.6871449,0.6871543,0.68648344,0.68651384
2011-06-27,0.69070494,0.68974435,0.688972,0.68930244,0.6878491,0.6888051,0.68765694
2011-06-28,0.68991286,0.6893048,0.6885321,0.68728375,0.6885792,0.6873933,0.6864859
2011-06-29,0.6890589,0.6882063,0.6889303,0.68793964,0.68792665,0.68771756,0.68342674
2011-06-30,0.6870779,0.6901374,0.6891811,0.6882851,0.6903254,0.6909323,0.6871053
2011-07-01,0.6867265,0.6850519,0.68667364,0.68528056,0.6893232,0.6840387,0.6884475
2011-07-03,0.6869217,0.68850696,0.68759346,0.6881342,0.6883926,0.68909997,0.68836176
2011-07-04,0.68935657,0.6938874,0.6897493,0.686399,0.68897134,0.6869541,0.68675536
2011-07-05,0.688989,0.68898505,0.68881947,0.6863831,0.68550736,0.68639493,0.68899524
2011-07-06,0.6879666,0.68720865,0.6877886,0.6882037,0.6888229,0.6880854,0.6868439
2011-07-07,0.6834129,0.6870489,0.6841781,0.68796057,0.68741167,0.6832391,0.6847131
2011-07-08,0.68660676,0.68828726,0.6868713,0.69371593,0.6875621,0.6873633,0.6813066
2011-07-10,0.68613166,0.6871401,0.6867589,0.68880284,0.6860156,0.68481684,0.68716854
2011-07-11,0.685425,0.6882758,0.6840651,0.6868769,0.6889287,0.6826662,0.68785036
2011-07-12,0.69479156,0.6853429,0.690771,0.6874294,0.68784046,0.68755853,0.68772185
2011-07-13,0.68692786,0.6866801,0.6893954,0.68672943,0.68611217,0.6865505,0.68746674
2011-07-14,0.6910109,0.68945235,0.6889484,0.68789744,0.6915822,0.6963606,0.6895745
2011-07-15,0.68617475,0.6856139,0.68590724,0.6862719,0.68736416,0.68714356,0.68794096
2011-07-17,0.68785775,0.68289953,0.6824509,0.6852492,0.6839273,0.68435884,0.6877527
2011-07-18,0.6831406,0.6854367,0.6836313,0.68465745,0.6847568,0.6859673,0.6874574
2011-07-19,0.6835789,0.686146,0.6869168,0.6875341,0.68722904,0.6861181,0.6876133
2011-07-20,0.68828464,0.6890696,0.69032043,0.6895808,0.6893363,0.6903475,0.6907364
2011-07-21,0.68736815,0.6873203,0.6876812,0.6880497,0.6886959,0.6899148,0.68893635
2011-07-22,0.6869481,0.68915224,0.6889218,0.68826234,0.6878972,0.68917114,0.69125116
2011-07-24,0.6874051,0.68992066,0.68756175,0.6881895,0.68791604,0.68898726,0.69301414
2011-07-25,0.6887567,0.6876962,0.6886493,0.6903829,0.6899898,0.6933838,0.6926898
2011-07-26,0.6866103,0.68829834,0.68785095,0.6935551,0.6908543,0.692031,0.69281167
2011-07-27,0.68757135,0.68939173,0.68888986,0.6917464,0.6913496,0.6937698,0.693339
2011-07-28,0.6886303,0.6885321,0.6931412,0.69278324,0.691919,0.6931933,0.6931654
2011-07-29,0.6886367,0.69433784,0.69469285,0.6949583,0.6957047,0.6947191,0.69426167
2011-07-31,0.69229555,0.691928,0.6914122,0.69440687,0.693032,0.69216627,0.6943959
2011-08-01,0.6936584,0.6940007,0.6926509,0.69328845,0.6932188,0.6927812,0.69393575
2011-08-02,0.6948775,0.6908624,0.6939341,0.6948314,0.69473004,0.69306725,0.69087636
2011-08-03,0.69490945,0.69382054,0.6930208,0.6947571,0.6922513,0.6950761,0.694734
2011-08-04,0.6928074,0.69286615,0.6939204,0.69194555,0.69423443,0.69433784,0.69692487
2011-08-05,0.69626415,0.6937872,0.6933073,0.69376713,0.6942395,0.69097996,0.69148767
2011-08-07,0.6946533,0.6908909,0.69351935,0.69325745,0.6958797,0.6930132,0.69555223
2011-08-08,0.69460976,0.6947796,0.69455963,0.69337785,0.69279677,0.6927434,0.69535255
2011-08-09,0.69616735,0.6937051,0.6931771,0.69393134,0.6951317,0.69358665,0.6918417
2011-08-10,0.6931532,0.69677097,0.6941625,0.69406235,0.6954978,0.69410586,0.69598186
2011-08-11,0.6890702,0.6840507,0.6903127,0.6884951,0.6873283,0.68359756,0.68557847
2011-08-12,0.6937487,0.6948819,0.69307697,0.6902409,0.6884936,0.6881315,0.688797
2011-08-14,0.6918285,0.6923942,0.69150084,0.69003224,0.6878451,0.68824565,0.68611956
2011-08-15,0.69404477,0.6911502,0.68963,0.68873143,0.6866602,0.68623126,0.6878933
2011-08-16,0.6904373,0.68986994,0.6899617,0.68827426,0.68848866,0.6851639,0.6805496
2011-08-17,0.6887681,0.68859595,0.6860596,0.68535155,0.68231684,0.6805647,0.68290293
2011-08-18,0.6869908,0.68753844,0.68745613,0.6842834,0.684679,0.6824864,0.6711889
2011-08-19,0.68815315,0.68556863,0.68312705,0.6851475,0.67654,0.6702324,0.66429317
2011-08-21,0.68623793,0.6840919,0.6842683,0.67998624,0.6701511,0.6630757,0.66342944
2011-08-22,0.68686855,0.68297654,0.6805178,0.67149603,0.6630092,0.6602081,0.66129565
2011-08-23,0.6842351,0.68208635,0.6725163,0.6642684,0.662151,0.6609454,0.66186666
2011-08-24,0.68133986,0.6700976,0.66485405,0.6599274,0.65772855,0.661551,0.6601601
2011-08-25,0.67076963,0.66562545,0.6604916,0.6594623,0.66004044,0.66049254,0.6603932
2011-08-26,0.66508555,0.658867,0.6605767,0.66078377,0.66000915,0.66017306,0.6612036
2011-08-28,0.65936655,0.659438,0.6598753,0.66043836,0.6592735,0.6604116,0.66055894
2011-08-29,0.6614156,0.6620111,0.6620194,0.6618979,0.6594858,0.6613858,0.6610799
2011-08-30,0.65919125,0.6600201,0.65911835,0.6606655,0.6602528,0.6601312,0.6608381
2011-08-31,0.6593667,0.6609211,0.659641,0.66072774,0.6574285,0.66099465,0.65750355
2011-09-01,0.6639629,0.6638512,0.65913737,0.66036326,0.6591571,0.65792227,0.6579232
2011-09-02,0.6583877,0.66004467,0.6609845,0.6599226,0.6591531,0.65877295,0.6641743
2011-09-04,0.6601099,0.66149247,0.66123796,0.6597804,0.66252613,0.6610241,0.66058296
2011-09-05,0.66042817,0.66166496,0.6658144,0.6657565,0.6535794,0.65706366,0.65464807
2011-09-06,0.66192514,0.66046536,0.655692,0.65641296,0.6618343,0.6638904,0.65921164
2011-09-07,0.65844727,0.6580486,0.6623007,0.657804,0.65781534,0.66012,0.6598581
2011-09-08,0.65812117,0.65728986,0.65521324,0.6593379,0.65914387,0.6619053,0.66080064
2011-09-09,0.65979826,0.65934575,0.6578088,0.6576527,0.6580266,0.65671164,0.65944827
2011-09-11,0.66520715,0.66039944,0.6639545,0.66499555,0.6573,0.65699255,0.66236556
2011-09-12,0.6583447,0.6607816,0.66020286,0.65922064,0.6545304,0.65821934,0.6596155
2011-09-13,0.66151,0.6593613,0.6565589,0.662346,0.6582118,0.6611438,0.6655444
2011-09-14,0.6586729,0.6587142,0.6605432,0.65934503,0.661152,0.6649505,0.66595495
2011-09-15,0.6578908,0.6581491,0.6636521,0.6622186,0.66521907,0.6660141,0.6673956
2011-09-16,0.65856194,0.6563636,0.6621841,0.6636331,0.66446996,0.66704035,0.67265475
2011-09-18,0.6567002,0.6600324,0.6653159,0.66378254,0.66791326,0.67730796,0.6798266
2011-09-19,0.66208243,0.66566694,0.66630733,0.6668825,0.67986786,0.6799054,0.68835455
2011-09-20,0.66400945,0.6653939,0.67099404,0.67759144,0.6818427,0.6841939,0.6891499
2011-09-21,0.66637456,0.6650868,0.67803717,0.6798135,0.6872743,0.6909931,0.69810975
2011-09-22,0.66621923,0.6772069,0.68015695,0.6890438,0.6905805,0.69752395,0.6981833
2011-09-23,0.67662907,0.6814093,0.68814933,0.68847114,0.6977499,0.6981561,0.7001099
2011-09-25,0.6808862,0.6873301,0.6888218,0.69655734,0.6958242,0.69905907,0.6957811
2011-09-26,0.68929887,0.69459355,0.69435644,0.69762784,0.702141,0.6986464,0.7001364
2011-09-27,0.6907193,0.69526184,0.699203,0.69947195,0.6992191,0.70051324,0.69762385
2011-09-28,0.69624054,0.70037574,0.7004931,0.6979972,0.6990272,0.69742066,0.6973307
2011-09-29,0.69818944,0.70077527,0.6954491,0.7009647,0.70165527,0.70032203,0.7018647
2011-09-30,0.6998224,0.7017919,0.7022151,0.70094335,0.6974905,0.69931483,0.7022599
2011-10-02,0.6988554,0.69978976,0.69872886,0.69559526,0.69859064,0.7002313,0.69937176
2011-10-03,0.7006846,0.6972728,0.7025603,0.69735974,0.7028274,0.7016249,0.7046461
2011-10-04,0.7038549,0.69838953,0.6990404,0.69832826,0.7029352,0.7042428,0.70555496
2011-10-05,0.70001537,0.69967854,0.7008114,0.70107126,0.69976467,0.70412105,0.70415705
2011-10-06,0.70130694,0.7002543,0.7026677,0.7026412,0.702569,0.7063904,0.7066796
2011-10-07,0.70268637,0.7029923,0.7029559,0.7049155,0.70671254,0.71078956,0.7102822
2011-10-09,0.7005271,0.703022,0.70515114,0.7067628,0.7058246,0.70434266,0.7063073
2011-10-10,0.7018767,0.7051586,0.70438343,0.7077639,0.707946,0.70501155,0.71063316
2011-10-11,0.7027238,0.7064458,0.70946383,0.7068528,0.7081798,0.70908153,0.70679826
2011-10-12,0.7050502,0.70386744,0.7072265,0.7092248,0.7134139,0.71154344,0.7084654
2011-10-13,0.70519614,0.7082871,0.7115747,0.70915115,0.710428,0.7103225,0.7140703
2011-10-14,0.7024704,0.7103554,0.7113369,0.7132746,0.71403444,0.7141626,0.71389735
2011-10-16,0.7044797,0.70708907,0.70956665,0.71276605,0.7131892,0.7117325,0.71163785
2011-10-17,0.71263933,0.71216494,0.7133492,0.708675,0.715886,0.7117557,0.7107245
2011-10-18,0.70672166,0.7072557,0.7127465,0.712296,0.71162206,0.708408,0.7112229
2011-10-19,0.7154805,0.71481895,0.71214074,0.7100283,0.7124833,0.71165085,0.709561
2011-10-20,0.7109151,0.71432865,0.71154374,0.71554476,0.70979947,0.71330535,0.70949125
2011-10-21,0.7123606,0.7132989,0.7130209,0.7117699,0.70752424,0.71253526,0.71007276
2011-10-23,0.7138519,0.7118734,0.71089983,0.7114207,0.70904446,0.70697564,0.7114699
2011-10-24,0.71284974,0.7110961,0.70989674,0.71283376,0.7093618,0.7101145,0.71099925
2011-10-25,0.71124464,0.7135061,0.7137685,0.7084464,0.71032226,0.70865,0.70417047
2011-10-26,0.71130824,0.7111845,0.7100214,0.70725524,0.7079192,0.7071092,0.7092823
2011-10-27,0.7098789,0.7111026,0.71112835,0.71069205,0.7123109,0.70791054,0.7071594
2011-10-28,0.7094817,0.7090596,0.7084678,0.70935357,0.70822495,0.70811665,0.70624745
2011-10-30,0.70944476,0.7104073,0.70734626,0.7042285,0.7079656,0.70851225,0.7062669
2011-10-31,0.7080701,0.708045,0.70793086,0.7063713,0.7077587,0.7079774,0.70503026
2011-11-01,0.7082341,0.7094128,0.71055084,0.7082555,0.7087671,0.7083679,0.7097459
