,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD
2011-06-10,0.9693069,0.9693428,0.9690802,0.96629333,0.9723913,0.96988547,0.9652226
2011-06-12,0.9726076,0.9741988,0.9722446,0.9741638,0.9717529,0.9694431,0.9696224
2011-06-13,0.9724612,0.9725994,0.97389257,0.97361344,0.97569,0.9753038,0.9760064
2011-06-14,0.96515596,0.97086453,0.96462697,0.96809435,0.97254467,0.97549784,0.9694609
2011-06-15,0.97148526,0.9713169,0.9733505,0.9749088,0.9719834,0.97921634,0.9752583
2011-06-16,0.9676719,0.97308207,0.9747374,0.97481,0.9724446,0.9746518,0.97479916
2011-06-17,0.97462475,0.9743918,0.9716943,0.97688264,0.97733176,0.9744593,0.979404
2011-06-19,0.97751313,0.9747187,0.9790667,0.9804929,0.9790829,0.968706,0.9801075
2011-06-20,0.977702,0.9735743,0.9749204,0.979002,0.9789187,0.9830402,0.97654533
2011-06-21,0.9764335,0.9738845,0.96582985,0.9740068,0.9807284,0.9710163,0.97483575
2011-06-22,0.976556,0.9778669,0.97990716,0.9811968,0.98293114,0.9769669,0.97651315
2011-06-23,0.98079693,0.9802057,0.9808469,0.97892416,0.9824505,0.9808314,0.98330307
2011-06-24,0.9788227,0.9787636,0.9796993,0.98218733,0.9769004,0.9812188,0.9823317
2011-06-26,0.9659138,0.9782317,0.97735435,0.9756963,0.97971535,0.976097,0.9774109
2011-06-27,0.971103,0.9742768,0.97845423,0.9792761,0.97501993,0.9738637,0.9720007
2011-06-28,0.9796529,0.9793675,0.9798025,0.9761851,0.97964877,0.9784968,0.97966707
2011-06-29,0.97573185,0.9747201,0.9776708,0.9737798,0.9781444,0.97227365,0.9712475
2011-06-30,0.98419785,0.9821518,0.98074865,0.9793235,0.98017764,0.9785984,0.97879833
2011-07-01,0.97173667,0.97214305,0.9718261,0.97400594,0.9730738,0.97169656,0.9720515
2011-07-03,0.98013365,0.9809238,0.9812498,0.9803918,0.9802749,0.980405,0.9803522
2011-07-04,0.9794811,0.9755446,0.98011875,0.97879785,0.978709,0.97814035,0.977274
2011-07-05,0.97430676,0.977489,0.9776032,0.9769604,0.97636735,0.97504747,0.9746307
2011-07-06,0.9785433,0.97561467,0.9758768,0.97510874,0.9772413,0.97543335,0.974889
2011-07-07,0.9768342,0.9764832,0.9761927,0.9756184,0.97573274,0.975406,0.97445667
2011-07-08,0.97856766,0.9775866,0.97683316,0.97593975,0.9751494,0.9754701,0.9757422
2011-07-10,0.97634006,0.9761288,0.974859,0.9751706,0.97607243,0.9750782,0.9758749
2011-07-11,0.9772059,0.97571266,0.9747052,0.9747314,0.9754622,0.97609776,0.97498715
2011-07-12,0.9759189,0.97471666,0.9750351,0.9747305,0.9762335,0.9752907,0.9735503
2011-07-13,0.9746522,0.9759816,0.9756009,0.9739823,0.9760153,0.9734437,0.97301495
2011-07-14,0.9749971,0.97443867,0.9754133,0.97397166,0.9740002,0.9728583,0.971642
2011-07-15,0.97386044,0.9742294,0.9753558,0.97322416,0.9731685,0.9716017,0.97134984
2011-07-17,0.9751362,0.9729773,0.9734986,0.9728342,0.9727794,0.9701993,0.96822226
