,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
2011-05-10,1.4617734,1.4631699,1.4607806,1.4627686,1.4520606,1.4559635,1.4517207
2011-05-11,1.4660804,1.458488,1.4543495,1.4543102,1.4615521,1.4562716,1.4557052
2011-05-12,1.453069,1.4580655,1.4566092,1.4601737,1.4611347,1.4533864,1.4530436
2011-05-13,1.4587927,1.4561476,1.4523591,1.4531603,1.4511778,1.450815,1.4539201
2011-05-15,1.4549439,1.4549646,1.452204,1.4499738,1.4521874,1.4481798,1.4484987
2011-05-16,1.4607611,1.4523103,1.4530344,1.4537575,1.4527005,1.4469632,1.4486897
2011-05-17,1.4530694,1.4517055,1.4546541,1.4492742,1.446671,1.4461185,1.4398322
2011-05-18,1.4557576,1.4559612,1.448839,1.4494103,1.446757,1.4443469,1.4453602
2011-05-19,1.4531572,1.4529411,1.4447403,1.4444762,1.4463577,1.4472988,1.4439652
2011-05-20,1.4509048,1.4455931,1.4489636,1.4478519,1.4501656,1.4376245,1.4517169
2011-05-22,1.4506282,1.4500742,1.4440513,1.443349,1.4468036,1.4432008,1.4336097
2011-05-23,1.452945,1.4478955,1.442138,1.4387772,1.4444742,1.4355822,1.4440353
2011-05-24,1.4426287,1.4429276,1.4458377,1.4366578,1.4419748,1.441838,1.4379715
2011-05-25,1.4489088,1.4376016,1.4476731,1.437423,1.4370298,1.436164,1.435811
2011-05-26,1.4410415,1.4376607,1.4401426,1.4369302,1.4353273,1.4358339,1.4375904
2011-05-27,1.4407533,1.4372928,1.4418005,1.4422618,1.4394263,1.4382617,1.4420254
2011-05-29,1.4371483,1.437551,1.432023,1.4360005,1.4293677,1.4325233,1.4289544
2011-05-30,1.4419382,1.4371194,1.4327205,1.4383249,1.4339515,1.4346182,1.4292746
2011-05-31,1.4370862,1.4344524,1.4315445,1.4308996,1.4309728,1.4327887,1.4366914
2011-06-01,1.4331094,1.4320788,1.4295043,1.4259684,1.4279432,1.4262921,1.4261374
2011-06-02,1.435609,1.4180806,1.4259588,1.4402678,1.4294101,1.4269483,1.4286242
2011-06-03,1.4348853,1.4315617,1.429923,1.424307,1.4324144,1.4273213,1.4241316
2011-06-05,1.4276465,1.4370403,1.4208261,1.4299631,1.4257941,1.4203908,1.4190801
2011-06-06,1.4377877,1.426686,1.4361424,1.4341984,1.4310079,1.4277782,1.423734
2011-06-07,1.4264208,1.4269285,1.4285097,1.427484,1.4201574,1.4247196,1.424932
2011-06-08,1.4230678,1.4328194,1.4238486,1.4333093,1.4280484,1.4256835,1.4200625
2011-06-09,1.4356854,1.4250021,1.4278198,1.4332222,1.4253904,1.4213431,1.4184495
2011-06-10,1.4256647,1.4166033,1.4180835,1.4229947,1.424964,1.4219626,1.4219518
2011-06-12,1.4298093,1.420687,1.4218343,1.4269229,1.4216979,1.4198612,1.4177634
2011-06-13,1.4155867,1.408768,1.4212278,1.4175403,1.426546,1.4195135,1.4054838
2011-06-14,1.4224173,1.4232193,1.4180734,1.4119756,1.4159933,1.4062307,1.4039192
2011-06-15,1.4181997,1.4166268,1.4204533,1.4172802,1.4124728,1.4103385,1.4029975
2011-06-16,1.4139949,1.4147836,1.4174414,1.4067414,1.4081187,1.3992286,1.4024284
2011-06-17,1.4209509,1.4172175,1.4072456,1.4062235,1.4008585,1.4019393,1.3838694
2011-06-19,1.418436,1.405376,1.4021268,1.4029446,1.404295,1.3874273,1.3804752
2011-06-20,1.4046353,1.4032967,1.4062254,1.3985493,1.3849238,1.3830377,1.381232
2011-06-21,1.4021064,1.4041178,1.3990635,1.3845764,1.3795699,1.3790051,1.3806957
2011-06-22,1.4070114,1.3859925,1.3861625,1.3841231,1.3836603,1.3889937,1.367456
2011-06-23,1.3999897,1.3893752,1.3779268,1.3805443,1.3839184,1.3735796,1.3784122
2011-06-24,1.3835313,1.3873382,1.3809488,1.3823237,1.377681,1.3769219,1.3753213
2011-06-26,1.3783396,1.3774102,1.3950523,1.3752487,1.3809731,1.378667,1.3908927
2011-06-27,1.3806037,1.3788697,1.3841385,1.358365,1.371258,1.3781195,1.3675674
2011-06-28,1.3914535,1.375879,1.3784108,1.3770804,1.3667487,1.3711007,1.3768876
2011-06-29,1.3788881,1.3955472,1.3646799,1.376052,1.3716127,1.3652732,1.3703024
2011-06-30,1.372981,1.388212,1.376734,1.3606256,1.3729695,1.369619,1.368339
2011-07-01,1.3729571,1.3675318,1.3752385,1.369955,1.3743402,1.3733318,1.3749393
2011-07-03,1.3713269,1.3677068,1.3693057,1.3796661,1.3652589,1.3668294,1.3595618
2011-07-04,1.3764989,1.3693203,1.3707846,1.3741293,1.3676741,1.3633463,1.3675973
2011-07-05,1.3732156,1.3702277,1.3643178,1.3672683,1.3605167,1.3667451,1.364559
2011-07-06,1.3624505,1.3741206,1.3636289,1.3586824,1.3675634,1.3580441,1.3632985
2011-07-07,1.3710166,1.3731679,1.3691688,1.3660896,1.3626333,1.3767186,1.3657639
2011-07-08,1.3694522,1.3618147,1.366515,1.3712354,1.3696684,1.3646948,1.3639225
2011-07-10,1.3711995,1.370025,1.3697281,1.3628585,1.3668766,1.3654335,1.3606251
2011-07-11,1.3695066,1.3671091,1.3675983,1.3607887,1.3659322,1.3584362,1.3584605
2011-07-12,1.3642075,1.363347,1.362865,1.3616482,1.3600825,1.357818,1.3540692
2011-07-13,1.367495,1.3662757,1.3651706,1.361633,1.3591952,1.3577067,1.354123
2011-07-14,1.3614732,1.3660586,1.3622546,1.3589592,1.3566617,1.3568195,1.3457363
