,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK
2011-08-12,7.4549546,7.45402,7.4540358,7.4534764,7.453331,7.453178,7.4521756
2011-08-14,7.4541383,7.454033,7.453392,7.4533024,7.453145,7.452036,7.450675
2011-08-15,7.4540133,7.4533525,7.4533043,7.4530554,7.4521604,7.4505844,7.4500775
2011-08-16,7.453378,7.4533176,7.4531455,7.452079,7.4506044,7.45005,7.450094
2011-08-17,7.4532843,7.453025,7.451912,7.45053,7.450149,7.4500217,7.4500065
2011-08-18,7.4531145,7.4521117,7.4505205,7.4501047,7.4500847,7.450018,7.4498973
2011-08-19,7.4520826,7.450538,7.4500933,7.450025,7.4499164,7.449974,7.449859
2011-08-21,7.4505405,7.4503036,7.4501386,7.450095,7.4499707,7.449782,7.450065
2011-08-22,7.4502835,7.4500847,7.4500017,7.449841,7.4498725,7.449912,7.450051
2011-08-23,7.450037,7.4498982,7.450022,7.450021,7.4498944,7.449934,7.449849
2011-08-24,7.4499373,7.449904,7.449861,7.4497495,7.4499235,7.449947,7.449933
2011-08-25,7.4500823,7.4500012,7.449924,7.44997,7.4498577,7.450023,7.449957
2011-08-26,7.4498053,7.449967,7.449987,7.449826,7.449991,7.4498186,7.4498143
2011-08-28,7.4500995,7.4498687,7.44973,7.4498663,7.4497533,7.4496984,7.4497247
2011-08-29,7.4498873,7.4499383,7.4499593,7.449771,7.44982,7.44972,7.449774
2011-08-30,7.4497976,7.4497957,7.4498234,7.4501166,7.4496827,7.449849,7.449898
2011-08-31,7.44992,7.449769,7.449866,7.449824,7.4497833,7.449581,7.4497466
2011-09-01,7.449808,7.4501767,7.449796,7.4497666,7.4496226,7.450069,7.4496984
2011-09-02,7.449744,7.4498124,7.4497957,7.4499183,7.449807,7.449698,7.4495783
2011-09-04,7.450125,7.449896,7.449687,7.4495745,7.4495773,7.449704,7.449414
2011-09-05,7.4498444,7.4501204,7.4493465,7.4495068,7.449677,7.4496326,7.4493194
2011-09-06,7.450011,7.4491053,7.449681,7.4493723,7.449565,7.449281,7.4492707
2011-09-07,7.449909,7.4500403,7.4496074,7.448866,7.449201,7.4492054,7.4490514
2011-09-08,7.449098,7.4496355,7.4497004,7.449496,7.4491444,7.449206,7.4492435
2011-09-09,7.4497046,7.448761,7.4494147,7.4492707,7.4494214,7.4491334,7.4492292
2011-09-11,7.450164,7.449449,7.44933,7.449322,7.449259,7.449146,7.448989
2011-09-12,7.4494505,7.449215,7.449047,7.4488144,7.4489965,7.4491997,7.44924
2011-09-13,7.449212,7.449183,7.4494023,7.449146,7.4490128,7.4490204,7.4489837
2011-09-14,7.4490542,7.4491053,7.449246,7.4491625,7.449115,7.4491324,7.4492526
2011-09-15,7.4490924,7.449029,7.4493046,7.4488482,7.4489026,7.4489384,7.448843
2011-09-16,7.4489517,7.4492,7.449136,7.449049,7.4488826,7.4490705,7.448842
2011-09-18,7.449107,7.4488883,7.448943,7.449007,7.448822,7.4487658,7.4487658
2011-09-19,7.4490595,7.4492116,7.449157,7.4489145,7.448927,7.4486933,7.448557
2011-09-20,7.449221,7.448779,7.448817,7.448676,7.4486747,7.4487815,7.4482837
2011-09-21,7.4491262,7.4490304,7.4488835,7.4486914,7.4484916,7.4485297,7.4485574
2011-09-22,7.449215,7.4489026,7.449102,7.4484725,7.4484205,7.448339,7.447978
2011-09-23,7.4487367,7.448606,7.448567,7.448636,7.4486275,7.4482055,7.447985
2011-09-25,7.4487815,7.4490585,7.4484696,7.448429,7.4480047,7.4485884,7.447923
2011-09-26,7.4487433,7.448265,7.448168,7.447931,7.448202,7.4477754,7.4482684
2011-09-27,7.448232,7.4484143,7.4479914,7.447533,7.4485655,7.447913,7.4468546
2011-09-28,7.4483356,7.448064,7.448368,7.4479747,7.4476047,7.4472804,7.4479322
2011-09-29,7.448692,7.44804,7.4470267,7.447339,7.4484315,7.447888,7.447049
2011-09-30,7.447891,7.447002,7.448148,7.44797,7.4477105,7.447261,7.447832
2011-10-02,7.447547,7.447596,7.4467645,7.4473524,7.4471507,7.44759,7.446708
2011-10-03,7.4478364,7.448167,7.448139,7.4477735,7.4469357,7.4470987,7.447149
2011-10-04,7.4477105,7.447381,7.447471,7.447063,7.446936,7.447359,7.4465494
2011-10-05,7.4472337,7.448269,7.447016,7.447574,7.4467144,7.4468884,7.4468517
2011-10-06,7.4475255,7.447197,7.44666,7.446991,7.4471154,7.446772,7.4459686
2011-10-07,7.4467254,7.4475274,7.446839,7.4470134,7.447023,7.4459434,7.445001
2011-10-09,7.4476104,7.447093,7.4470253,7.446839,7.4463553,7.4456387,7.445707
2011-10-10,7.446487,7.44661,7.446697,7.4467244,7.4459567,7.4448543,7.4453616
2011-10-11,7.446646,7.447002,7.4464464,7.445628,7.445242,7.4451947,7.444767
2011-10-12,7.446678,7.4463825,7.4456525,7.4450703,7.444833,7.4448447,7.4451284
2011-10-13,7.446619,7.445207,7.445489,7.4452972,7.4447236,7.4463077,7.4451466
2011-10-14,7.4458513,7.445085,7.4451275,7.444918,7.4440036,7.4454403,7.445129
2011-10-16,7.4452267,7.444904,7.4449,7.4454226,7.4437933,7.4442916,7.445751
2011-10-17,7.4454265,7.44563,7.445073,7.4448037,7.4466486,7.444764,7.4447374
2011-10-18,7.444637,7.4447913,7.445087,7.4457006,7.4448647,7.4442763,7.445164
2011-10-19,7.446697,7.444651,7.4450245,7.444787,7.4448667,7.445295,7.4444795
2011-10-20,7.4453135,7.446296,7.446982,7.444958,7.444531,7.446112,7.4446397
2011-10-21,7.4446783,7.4447436,7.444522,7.4452024,7.44521,7.444274,7.444073
2011-10-23,7.44507,7.4458766,7.4442854,7.444256,7.443794,7.445849,7.445035
2011-10-24,7.442406,7.446059,7.445806,7.444188,7.4422035,7.4433675,7.444408
2011-10-25,7.446447,7.443645,7.444801,7.44547,7.4438996,7.4427037,7.4445796
2011-10-26,7.442696,7.4458685,7.445898,7.444746,7.444455,7.4441733,7.443877
2011-10-27,7.446063,7.4449444,7.444083,7.4445705,7.44379,7.4440565,7.4439135
2011-10-28,7.445793,7.4448195,7.4457984,7.444277,7.443745,7.44375,7.443796
2011-10-30,7.4450364,7.44434,7.444254,7.4445972,7.444139,7.4437737,7.443521
2011-10-31,7.4447446,7.4421687,7.4442697,7.443864,7.443631,7.4433584,7.4432406
2011-11-01,7.4443145,7.443792,7.4442024,7.4436374,7.4429436,7.4428787,7.443127
2011-11-02,7.4439254,7.443514,7.443463,7.443785,7.443369,7.44312,7.4429703
2011-11-03,7.443297,7.442761,7.443425,7.443637,7.443007,7.4431963,7.443483
2011-11-04,7.443699,7.444019,7.442569,7.4434557,7.4429436,7.4433765,7.4437304
2011-11-06,7.443902,7.4433866,7.4432187,7.442997,7.443461,7.4433055,7.443697
2011-11-07,7.4437866,7.4434648,7.4433775,7.4425173,7.4438553,7.443681,7.443614
2011-11-08,7.443022,7.4430046,7.443367,7.4439855,7.443371,7.4439454,7.4435554
2011-11-09,7.443385,7.4434366,7.444195,7.443705,7.44389,7.4431186,7.4438195
2011-11-10,7.4434595,7.44378,7.4428535,7.4437175,7.443772,7.4435835,7.4437485
2011-11-11,7.443605,7.4432287,7.444379,7.443149,7.44384,7.4431343,7.443701
2011-11-13,7.4433684,7.443621,7.4437127,7.4438233,7.443845,7.4441257,7.443601
2011-11-14,7.443912,7.4430466,7.4433684,7.443312,7.443677,7.4429526,7.4431286
2011-11-15,7.444091,7.443879,7.4435663,7.443528,7.4444623,7.443336,7.444034
2011-11-16,7.443264,7.4431396,7.4430656,7.4431047,7.4410954,7.443358,7.4420857
2011-11-17,7.4437194,7.4433613,7.443722,7.442736,7.4436817,7.4430437,7.4431753
2011-11-18,7.4432974,7.4438305,7.443648,7.4433784,7.442844,7.4431067,7.4433107
2011-11-20,7.4438925,7.4437065,7.442711,7.4435554,7.443019,7.442556,7.443111
2011-11-21,7.441154,7.4432187,7.4441004,7.442904,7.444199,7.4426827,7.442672
2011-11-22,7.4435005,7.4446673,7.4432983,7.442766,7.4429054,7.443572,7.4423084
2011-11-23,7.443116,7.4438562,7.4439435,7.442961,7.4416356,7.443176,7.4433227
2011-11-24,7.444327,7.443828,7.441535,7.4430857,7.443538,7.4423156,7.4424043
2011-11-25,7.4427757,7.443378,7.4428287,7.443181,7.4438868,7.443537,7.4419765
2011-11-27,7.4434004,7.4432354,7.4420285,7.4438815,7.443049,7.4419103,7.443034
2011-11-28,7.442051,7.444198,7.4424725,7.443985,7.4428773,7.442023,7.4433618
2011-11-29,7.44263,7.443432,7.4421573,7.4424944,7.441256,7.4422536,7.441785
2011-11-30,7.441997,7.441304,7.443394,7.441091,7.443276,7.4401855,7.442146
2011-12-01,7.4424214,7.4425616,7.4424386,7.441836,7.4411025,7.441864,7.4424086
2011-12-02,7.4432693,7.4422746,7.4405656,7.441714,7.442124,7.4427047,7.440814
2011-12-04,7.4418297,7.4428306,7.441259,7.4420214,7.4421735,7.442172,7.4407086
2011-12-05,7.442702,7.4405155,7.441792,7.442466,7.4419427,7.4417825,7.4416127
2011-12-06,7.4426208,7.442248,7.4424405,7.4419723,7.441822,7.4412804,7.4410315
2011-12-07,7.441263,7.4425483,7.441165,7.441749,7.441775,7.4413614,7.4409456
2011-12-08,7.441224,7.441887,7.4420843,7.441432,7.4413557,7.440863,7.4407945
2011-12-09,7.441646,7.441559,7.441868,7.4411693,7.440974,7.4409523,7.4382157
2011-12-11,7.4410095,7.4415183,7.44131,7.441084,7.440928,7.438079,7.4376454
2011-12-12,7.441496,7.441119,7.440976,7.44061,7.437914,7.437815,7.4370914
2011-12-13,7.441286,7.4412894,7.440602,7.438266,7.4374394,7.4370456,7.437301
2011-12-14,7.4408,7.4404535,7.438161,7.437423,7.437168,7.4366074,7.4370914
2011-12-15,7.4406233,7.4381695,7.4376116,7.437337,7.4372644,7.4369893,7.436133
2011-12-16,7.4377623,7.4375286,7.4370375,7.437162,7.43692,7.4367185,7.4364057
2011-12-18,7.437539,7.4373136,7.4370375,7.4369073,7.436277,7.4365044,7.435987
2011-12-19,7.4369507,7.4372163,7.436623,7.4358463,7.436379,7.4358945,7.43611
2011-12-20,7.4373503,7.4362617,7.4366236,7.4366384,7.4360013,7.435753,7.4352536
2011-12-21,7.4368243,7.436533,7.4357653,7.436218,7.435209,7.4352345,7.4352965
2011-12-22,7.4364185,7.4364996,7.4357114,7.4344974,7.435925,7.4350142,7.4350204
2011-12-23,7.436095,7.4358897,7.4355097,7.4352365,7.4357486,7.4348397,7.4342003
2011-12-27,7.435805,7.436452,7.435819,7.435207,7.4341245,7.434442,7.4351196
2011-12-28,7.435384,7.4351807,7.435524,7.4349623,7.4352984,7.434226,7.434725
2011-12-29,7.435083,7.435348,7.4350815,7.4341416,7.4342637,7.43582,7.434043
2011-12-30,7.4351783,7.435171,7.4345274,7.4342265,7.4344616,7.433874,7.434103
2012-01-02,7.4353385,7.434677,7.434779,7.434715,7.4356775,7.435137,7.433756
2012-01-03,7.4342175,7.435971,7.4343953,7.434855,7.433833,7.4344873,7.434213
2012-01-04,7.4354134,7.433877,7.435252,7.434275,7.4350505,7.4339695,7.4345207
2012-01-05,7.4346704,7.4350014,7.4347777,7.4349623,7.43364,7.4341583,7.4341917
2012-01-06,7.433814,7.4340777,7.4343586,7.434528,7.435045,7.4344325,7.434413
2012-01-08,7.434886,7.43357,7.4348483,7.4344764,7.433889,7.4340477,7.4340434
2012-01-09,7.4348955,7.4344215,7.43352,7.4355364,7.434306,7.435176,7.4346356
2012-01-10,7.4348845,7.4349856,7.4344606,7.43419,7.4341397,7.4344797,7.435015
2012-01-11,7.4348354,7.4342213,7.433899,7.435013,7.435139,7.434705,7.435095
2012-01-12,7.4339404,7.434478,7.4345727,7.434198,7.4341006,7.4342375,7.4348025
2012-01-13,7.4342885,7.4344335,7.4341884,7.4343433,7.434812,7.4356756,7.43409
2012-01-15,7.434209,7.434746,7.4345922,7.434828,7.4348307,7.434443,7.434261
