,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK
2011-06-03,17.008623,16.959766,16.965342,16.95897,16.980982,16.982077,16.951153
2011-06-05,16.964748,16.987127,16.97617,16.98661,16.959204,16.984892,16.951609
2011-06-06,16.970695,16.984,16.965868,16.989107,16.99069,16.958616,16.973917
2011-06-07,16.975513,16.960627,16.977304,16.99165,16.96734,16.95529,16.971653
2011-06-08,16.990799,16.96101,16.966743,17.002834,16.965405,16.957844,16.998844
2011-06-09,16.963186,16.965246,16.978706,16.969893,16.965181,16.969215,16.968561
2011-06-10,16.965096,16.960478,16.96761,16.953033,16.993843,16.985352,17.003632
2011-06-12,16.97138,16.987408,16.980705,17.009027,16.98538,16.984938,16.99256
2011-06-13,16.956015,16.969738,16.998579,16.951647,17.00864,16.999762,17.012133
2011-06-14,16.987051,16.957222,16.956656,17.006433,17.050323,16.989103,17.005775
2011-06-15,16.993986,16.988485,16.98489,17.048176,16.97936,16.987738,16.951567
2011-06-16,16.974812,16.985197,17.040606,17.048048,17.021513,16.977203,17.04267
2011-06-17,16.987701,17.062262,17.044662,16.984158,17.045078,16.94915,17.038792
2011-06-19,17.00064,16.978186,17.038794,17.022167,16.982286,17.033018,17.01369
2011-06-20,16.9977,16.969038,16.97279,17.000023,17.003258,17.012108,17.067085
2011-06-21,17.125183,17.02184,17.01718,17.015633,17.067379,17.05494,17.057487
2011-06-22,17.023083,17.021631,17.046959,17.036768,17.098993,17.085424,17.02346
2011-06-23,17.075891,17.024845,17.070797,17.009485,17.068073,17.070684,17.046148
2011-06-24,17.049465,16.961563,17.042744,17.063158,17.04097,17.019827,17.032475
2011-06-26,17.026995,17.100666,17.054796,17.056938,17.00578,17.018486,17.00596
2011-06-27,17.111593,17.075397,17.033356,17.01571,17.007612,16.974329,16.944002
2011-06-28,17.052141,17.043663,17.006489,17.019192,17.001387,16.957153,16.93216
2011-06-29,17.003668,17.030836,17.037718,16.969105,17.005238,16.92498,16.87512
2011-06-30,16.986246,17.004492,16.938128,16.939314,16.948992,16.865528,16.903404
2011-07-01,16.976727,16.958952,16.952015,16.938477,16.935621,16.902357,16.908785
2011-07-03,17.001894,16.967178,16.963371,16.915483,16.898651,16.891039,16.88153
2011-07-04,16.932632,16.949755,16.89898,16.909473,16.897814,16.900492,16.861425
2011-07-05,16.920872,16.881653,16.885357,16.87475,16.890978,16.81457,16.909458
2011-07-06,16.890024,16.878155,16.875269,16.876137,16.880424,16.893867,16.890915
2011-07-07,16.89549,16.909155,16.887959,16.889229,16.858538,16.87538,16.915344
2011-07-08,16.852413,16.899874,16.900625,16.884153,16.908195,16.9005,16.887543
2011-07-10,16.862543,16.892754,16.866512,16.877716,16.894192,16.902815,16.89243
2011-07-11,16.883661,16.929783,16.899881,16.89122,16.879847,16.892958,16.877277
2011-07-12,16.906233,16.899624,16.862722,16.885773,16.866362,16.882324,16.895803
2011-07-13,16.86659,16.872297,16.864227,16.895481,16.901068,16.882095,16.90227
2011-07-14,16.8671,16.859169,16.881243,16.87586,16.930782,16.900766,16.929577
2011-07-15,16.897642,16.89706,16.863966,16.901865,16.904568,16.910065,16.934416
2011-07-17,16.875208,16.903934,16.873009,16.920418,16.928514,16.936016,16.95532
2011-07-18,16.899923,16.913841,16.913326,16.883757,16.925985,16.940279,16.964804
2011-07-19,16.884462,16.898397,16.897264,16.93433,16.936491,16.946518,16.95964
2011-07-20,16.901838,16.90488,16.910046,16.932314,16.951057,16.970964,17.003412
2011-07-21,16.898514,16.912554,16.927767,16.949484,16.953249,16.97655,16.946484
2011-07-22,16.933464,16.940565,16.97649,16.947111,16.920118,16.975843,16.968697
2011-07-24,16.934563,16.966045,16.971481,16.972584,16.974718,16.959774,16.964499
2011-07-25,16.959927,16.957733,16.96276,16.972656,16.923367,16.95374,16.960175
2011-07-26,16.978096,16.961199,16.970114,16.958897,16.960903,16.931946,16.895872
2011-07-27,16.965973,16.968967,16.958677,16.933609,16.963354,16.939333,16.936485
2011-07-28,16.974007,16.961704,16.961262,16.933832,16.952477,16.943409,16.960213
2011-07-29,16.971375,16.963085,16.914001,16.92368,16.933802,16.950184,16.9674
2011-07-31,16.947027,16.95865,16.936249,16.92917,16.940653,16.949919,16.94705
2011-08-01,16.952282,16.918695,16.92103,16.941177,17.007065,17.00199,16.983494
2011-08-02,16.947659,16.91918,16.938507,16.931229,16.988878,16.99464,16.975805
2011-08-03,16.945866,16.979502,16.961975,16.985134,16.98562,16.992558,16.929903
2011-08-04,16.939909,16.947836,16.978506,16.965448,16.971804,16.960114,16.973085
2011-08-05,16.972073,16.959599,16.984306,16.974691,16.974316,16.960531,16.985706
2011-08-07,16.991713,16.9949,16.963354,17.009092,16.919619,16.936703,16.961483
2011-08-08,16.953197,16.95571,16.96513,16.953627,16.961891,16.975609,16.940681
2011-08-09,16.958717,16.931726,16.950855,16.917881,16.9561,16.921715,16.993006
2011-08-10,16.980228,16.940771,16.952307,16.98398,16.99217,16.970188,16.922306
2011-08-11,16.968653,16.952263,16.917198,16.94956,16.954401,16.953476,16.941223
2011-08-12,16.929152,16.947855,16.989286,16.968832,16.960896,16.962896,16.926468
2011-08-14,16.960098,16.991774,16.979832,16.959436,16.937222,16.95509,16.95594
2011-08-15,16.968271,16.95778,16.949959,16.955006,16.967041,16.991877,16.983013
2011-08-16,16.95147,16.97241,16.981499,16.970654,16.975147,16.964518,17.013048
2011-08-17,16.945023,16.962152,16.969303,16.931486,16.981503,17.002262,17.0074
2011-08-18,16.963774,16.975042,16.955454,16.95577,16.998362,16.988396,17.007177
2011-08-19,16.977575,16.991095,16.975965,16.998695,17.012835,16.99685,16.96387
2011-08-21,16.966467,16.979603,16.992918,16.979641,16.979225,16.962511,16.975197
2011-08-22,16.992939,17.011587,17.0006,17.00282,16.98198,16.955095,16.965475
2011-08-23,17.010525,16.97361,16.988138,16.945515,16.955786,16.953966,16.951683
2011-08-24,16.994818,16.989088,16.965883,16.963614,16.96099,16.931152,16.91987
2011-08-25,16.985945,16.962307,16.96022,16.95009,16.95166,16.929178,16.930447
2011-08-26,16.978254,16.95556,16.970022,16.958223,16.91745,16.905197,16.912094
2011-08-28,16.939363,16.965704,16.920578,16.930367,16.935453,16.922077,16.934286
2011-08-29,16.948086,16.942116,16.912104,16.889877,16.914728,16.900795,16.905882
2011-08-30,16.947647,16.928877,16.923223,16.932306,16.955395,16.927244,16.919533
2011-08-31,16.932367,16.918562,16.92256,16.914076,16.924213,16.919687,16.873535
2011-09-01,16.93416,16.94595,16.918083,16.943314,16.932579,16.931812,16.942621
2011-09-02,16.900623,16.919172,16.917912,16.905567,16.884602,16.908997,16.93654
2011-09-04,16.927832,16.897327,16.932602,16.919619,16.901114,16.895998,16.96334
2011-09-05,16.921904,16.892603,16.93788,16.895477,16.96446,16.928406,16.923874
2011-09-06,16.890266,16.898283,16.909903,16.893944,16.936043,16.95711,16.984022
2011-09-07,16.918304,16.919514,16.954975,16.965422,16.974834,16.965967,16.976255
2011-09-08,16.918875,16.937443,16.921005,16.959766,16.976507,16.98079,17.038416
2011-09-09,16.937548,16.971037,16.934822,16.952118,16.99439,17.009672,17.00974
2011-09-11,16.953308,16.941782,16.994873,17.001753,17.011288,17.001352,17.001846
2011-09-12,16.947788,16.97334,16.98287,17.013645,16.998528,16.966309,17.005632
2011-09-13,16.97543,16.982065,17.00993,16.969402,17.005081,17.032621,17.003012
2011-09-14,16.973373,16.99876,17.009153,16.997877,17.003723,17.025085,17.068924
2011-09-15,17.017223,16.996655,17.011744,17.020767,17.006077,17.028606,16.994188
2011-09-16,16.99266,17.031448,16.994192,17.005,17.05602,16.991472,17.05205
2011-09-18,17.018166,17.001131,17.036385,17.020359,17.035538,17.028185,17.045069
2011-09-19,17.02349,17.028677,17.03088,17.014225,17.034529,17.05903,17.095003
2011-09-20,17.006645,16.968418,17.028135,17.053093,17.04466,17.081787,17.203949
2011-09-21,17.028503,17.016188,17.028074,17.077148,17.077866,17.211687,17.345028
2011-09-22,17.016647,17.03961,17.041489,17.079203,17.20164,17.349106,17.37842
2011-09-23,17.053741,17.045532,17.064863,17.204357,17.3433,17.364607,17.399588
2011-09-25,17.037783,17.066917,17.196123,17.340403,17.377396,17.412094,17.414818
2011-09-26,17.083857,17.186897,17.335285,17.372189,17.40193,17.421751,17.709555
2011-09-27,17.201368,17.352861,17.37119,17.39406,17.410566,17.68946,17.711212
2011-09-28,17.320555,17.372778,17.42246,17.465809,17.712606,17.716408,17.756895
2011-09-29,17.370676,17.411613,17.432508,17.713133,17.705067,17.739717,17.859758
2011-09-30,17.367723,17.422525,17.730492,17.725395,17.729815,17.853819,17.908546
2011-10-02,17.425608,17.709223,17.708096,17.742023,17.85831,17.898842,17.949986
2011-10-03,17.710169,17.699036,17.726261,17.870783,17.915241,17.95214,17.996212
2011-10-04,17.731525,17.785852,17.835714,17.88651,17.93586,18.01642,18.015903
2011-10-05,17.759848,17.857445,17.912163,17.894873,17.988781,17.990509,18.030527
2011-10-06,17.832857,17.905369,17.943272,17.963924,18.00179,18.024048,18.000866
2011-10-07,17.874569,17.959934,17.975576,18.010492,18.04034,18.03842,18.00225
2011-10-09,17.942106,17.994305,18.004622,18.016638,18.059319,18.033285,18.06504
2011-10-10,17.96511,17.992884,17.976067,18.01086,18.033363,18.026756,18.02251
2011-10-11,17.985975,18.015566,18.045588,18.000763,18.044744,18.023464,18.01477
2011-10-12,18.032383,18.019989,18.026215,18.033617,18.01997,18.039675,18.052582
2011-10-13,18.036963,18.064112,18.029678,18.056292,18.036661,18.033987,18.056126
2011-10-14,18.03381,18.037354,18.041128,18.059397,18.030626,18.02963,18.038567
2011-10-16,18.013578,17.997427,18.033611,17.988863,18.079079,18.033197,18.085571
2011-10-17,18.047148,17.997347,18.015007,18.02764,18.047987,18.040627,18.059185
2011-10-18,18.025991,18.044218,18.055237,18.065672,18.052448,18.060072,18.080921
2011-10-19,18.043884,18.068113,18.04129,18.043003,18.072634,18.083723,18.076899
2011-10-20,18.055948,18.038822,18.07068,18.077572,18.043638,18.06943,18.061764
2011-10-21,18.007751,18.087133,18.062212,18.065163,18.089087,18.0591,18.084879
2011-10-23,18.024853,18.088675,18.067911,18.072182,18.007969,18.085194,18.065395
2011-10-24,18.03827,18.122458,18.08945,18.078306,18.054089,18.052809,18.082634
2011-10-25,18.06093,18.048035,18.054869,18.064714,18.062862,18.04969,18.098503
2011-10-26,18.073687,18.094347,18.071962,18.07249,18.08799,18.033392,18.09087
2011-10-27,18.07116,18.067816,18.076643,18.079157,18.053556,18.082724,18.069687
