,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF
2011-05-12,0.93492633,0.92960453,0.9280516,0.92442954,0.93038774,0.9261271,0.9268537
2011-05-13,0.9335629,0.9328425,0.92890835,0.933336,0.9270103,0.9233443,0.9211488
2011-05-15,0.9304129,0.9272754,0.9268955,0.9243342,0.925351,0.9232076,0.9180029
2011-05-16,0.9277233,0.92723274,0.92660606,0.92463374,0.9278321,0.9193608,0.9148301
2011-05-17,0.923765,0.9221134,0.92338204,0.9176034,0.90956104,0.91866875,0.9128519
2011-05-18,0.9234874,0.9240446,0.92036736,0.917572,0.9226453,0.9183347,0.91436255
2011-05-19,0.9208317,0.9211117,0.91978574,0.9234787,0.91623926,0.91708016,0.9159564
2011-05-20,0.91853774,0.91404307,0.91847634,0.91811025,0.9187354,0.9130181,0.90899503
2011-05-22,0.91763616,0.92186034,0.9210114,0.91461474,0.9123435,0.9127431,0.91191554
2011-05-23,0.925093,0.92114615,0.9172268,0.91999394,0.9161376,0.9127728,0.9130918
2011-05-24,0.92172927,0.9209497,0.9219353,0.91494346,0.91458505,0.9135772,0.91216123
2011-05-25,0.9206162,0.91265523,0.9219134,0.918388,0.9152534,0.91238415,0.9122991
2011-05-26,0.9130158,0.91638577,0.914533,0.91353977,0.9128603,0.91085416,0.91001457
2011-05-27,0.92040646,0.9151754,0.9150755,0.91422105,0.91343844,0.9095818,0.9179356
2011-05-29,0.9083104,0.91127133,0.91090506,0.9031907,0.90845037,0.91064775,0.90509415
2011-05-30,0.9125236,0.9105946,0.90992147,0.9080344,0.90633607,0.9046879,0.9066204
2011-05-31,0.92214704,0.9173188,0.9152539,0.912464,0.9170435,0.91296273,0.90674007
2011-06-01,0.910719,0.90486836,0.9048536,0.9018327,0.9102018,0.9034065,0.90511227
2011-06-02,0.9110403,0.9076599,0.9098476,0.9092454,0.9048685,0.9088458,0.9039637
2011-06-03,0.9055759,0.9037976,0.9095354,0.9017631,0.90332955,0.90805435,0.9050497
2011-06-05,0.9089222,0.9043331,0.9075947,0.9039247,0.907156,0.90061426,0.89685863
2011-06-06,0.91655016,0.9116205,0.9064133,0.90668947,0.9074061,0.9044028,0.90305996
2011-06-07,0.9045993,0.89986104,0.90147126,0.8954174,0.9004066,0.89646465,0.8957508
2011-06-08,0.9072426,0.9000274,0.90262145,0.9026917,0.9009298,0.90192866,0.8994305
2011-06-09,0.9034158,0.906379,0.90344954,0.900535,0.8986988,0.8963015,0.89636934
2011-06-10,0.90498865,0.90334535,0.9040978,0.9002354,0.89512515,0.89704967,0.89400923
2011-06-12,0.90175676,0.89919543,0.90243167,0.90054935,0.89579016,0.8931987,0.8853394
2011-06-13,0.89914477,0.9010461,0.90013635,0.8959106,0.8954896,0.8848567,0.8752989
2011-06-14,0.9016262,0.8941164,0.8978001,0.8939556,0.88636225,0.8787675,0.8733734
2011-06-15,0.8967583,0.8966422,0.89329255,0.88592017,0.87653583,0.87593085,0.87359846
2011-06-16,0.8944243,0.88928777,0.88593173,0.87895346,0.8757984,0.87251174,0.87012124
2011-06-17,0.89466876,0.8867816,0.87939376,0.87687063,0.8772515,0.8728846,0.8730401
2011-06-19,0.8844029,0.87850976,0.8741975,0.87245274,0.8704039,0.8696426,0.86581814
2011-06-20,0.88050616,0.8765377,0.87205374,0.8724345,0.8699051,0.8693191,0.866668
2011-06-21,0.87321323,0.87132454,0.87090814,0.867405,0.87016714,0.86290836,0.86083186
2011-06-22,0.8736671,0.8689374,0.8712451,0.86873823,0.8699136,0.86235285,0.86130846
2011-06-23,0.8698165,0.86850286,0.8672345,0.86160684,0.86968815,0.86651134,0.8642664
2011-06-24,0.871274,0.8697541,0.8696645,0.86778295,0.86193633,0.8671601,0.8637438
2011-06-26,0.86643267,0.8682656,0.86614037,0.8605408,0.8599948,0.86100304,0.85936224
2011-06-27,0.8721874,0.86414874,0.86534643,0.86100614,0.85875887,0.8597534,0.8597743
2011-06-28,0.86675704,0.8682976,0.8669251,0.86172074,0.8653628,0.8647476,0.8634107
2011-06-29,0.86608315,0.8645021,0.8645234,0.8637607,0.87139225,0.86428916,0.86410797
2011-06-30,0.8670455,0.8647829,0.86385727,0.86929643,0.86342484,0.8638476,0.8615159
2011-07-01,0.86604035,0.86705226,0.86690617,0.8660615,0.86360824,0.8648151,0.86736
2011-07-03,0.864645,0.8625275,0.86516047,0.86278117,0.8591602,0.8666439,0.86603343
2011-07-04,0.857342,0.8585063,0.8565413,0.8584257,0.8621123,0.8585504,0.8569859
2011-07-05,0.86793995,0.86476004,0.8646841,0.85775316,0.8649107,0.8654031,0.86606675
2011-07-06,0.86421657,0.86440134,0.8620374,0.8700588,0.86384135,0.86369693,0.8678371
2011-07-07,0.857278,0.86437553,0.86508954,0.8646294,0.86140317,0.8644499,0.8631627
2011-07-08,0.86036944,0.8677963,0.86418915,0.8660846,0.8660314,0.86745954,0.86566114
2011-07-10,0.862854,0.8651772,0.86356664,0.8622515,0.8662932,0.8617145,0.860346
2011-07-11,0.86268616,0.8666667,0.85937846,0.8662976,0.8615236,0.85989183,0.86211467
2011-07-12,0.8642813,0.8642597,0.8640261,0.86761236,0.8687206,0.8629403,0.863495
2011-07-13,0.86314595,0.8603121,0.8601682,0.8628882,0.8620502,0.8600772,0.8629358
2011-07-14,0.86379135,0.8626032,0.859797,0.8617153,0.8611465,0.86471105,0.8598593
2011-07-15,0.8633912,0.8593171,0.8630342,0.860364,0.85865486,0.85947907,0.8595457
2011-07-17,0.8630947,0.8625622,0.8610364,0.8613781,0.86385465,0.8640532,0.8632914
2011-07-18,0.86409354,0.86247945,0.86422044,0.86181724,0.8612747,0.8650198,0.8637933
2011-07-19,0.8589993,0.8596494,0.8625859,0.85978514,0.86179197,0.85905576,0.861705
2011-07-20,0.8623841,0.8592793,0.8588094,0.86163604,0.859724,0.8605236,0.85905564
2011-07-21,0.8642311,0.86576104,0.8643347,0.86789024,0.8670306,0.866716,0.86357
2011-07-22,0.8613954,0.8621503,0.86285996,0.8624182,0.8581604,0.8610395,0.8628174
2011-07-24,0.8604755,0.86044085,0.86431694,0.85915655,0.8641461,0.8607643,0.8633648
2011-07-25,0.8646005,0.8648025,0.86478037,0.86514664,0.8626478,0.8645213,0.861305
2011-07-26,0.8657495,0.86282265,0.86647195,0.86269474,0.8625107,0.8597622,0.86054635
2011-07-27,0.8622683,0.8637747,0.86118263,0.8613852,0.86107516,0.86023486,0.8577552
2011-07-28,0.8631424,0.85940564,0.85975134,0.8603916,0.8601402,0.85958993,0.854554
2011-07-29,0.8634887,0.8623409,0.862051,0.85908777,0.8586173,0.8579508,0.85621816
2011-07-31,0.8598654,0.8574722,0.85841745,0.8577566,0.8554462,0.8533759,0.8523288
2011-08-01,0.86168337,0.859591,0.8586241,0.8563859,0.8543259,0.85553813,0.85495055
2011-08-02,0.8605312,0.858091,0.85493255,0.8553733,0.851439,0.85147226,0.8509444
2011-08-03,0.85896164,0.85907924,0.85598576,0.8567792,0.8519086,0.85285616,0.8521022
2011-08-04,0.85806775,0.85555065,0.8548949,0.85208845,0.8515512,0.85252875,0.85176176
2011-08-05,0.8580837,0.8568372,0.8513383,0.8519992,0.8550964,0.85475945,0.85213685
2011-08-07,0.8565685,0.852849,0.8544462,0.8512176,0.8536805,0.85167754,0.85252494
2011-08-08,0.8526401,0.85654694,0.85223114,0.8553357,0.8515045,0.8514646,0.8489781
2011-08-09,0.8520529,0.85250634,0.8523581,0.8526459,0.8501008,0.84754825,0.8504934
2011-08-10,0.8548057,0.85246843,0.8550409,0.85116094,0.85195017,0.8470111,0.8496263
2011-08-11,0.8516588,0.8523903,0.85153055,0.8490335,0.8519985,0.84938014,0.84769034
2011-08-12,0.85145277,0.8500529,0.85193187,0.8512954,0.84873724,0.8500272,0.84690046
2011-08-14,0.8536273,0.85292774,0.84698,0.8455126,0.84857935,0.8453363,0.8448045
2011-08-15,0.8499132,0.8470989,0.84948635,0.84482074,0.84685516,0.8441843,0.8332586
2011-08-16,0.8460441,0.8496183,0.8475795,0.84696376,0.8449927,0.83570683,0.831172
2011-08-17,0.84782696,0.8502989,0.8488749,0.84655106,0.8332782,0.83209866,0.82384706
2011-08-18,0.851028,0.8469929,0.84478956,0.83625364,0.83275163,0.82172394,0.80591816
2011-08-19,0.8464047,0.84417284,0.8324141,0.83101183,0.8220506,0.80966574,0.80496585
2011-08-21,0.84390557,0.8332026,0.8320247,0.82199526,0.80718315,0.8030366,0.8054763
2011-08-22,0.83335507,0.83406293,0.8223866,0.8068749,0.8041028,0.8036125,0.80552495
2011-08-23,0.8338299,0.82291603,0.8075901,0.806883,0.80549896,0.8058179,0.8039901
2011-08-24,0.82274455,0.80506265,0.8026793,0.81525,0.80385196,0.8043783,0.8046169
2011-08-25,0.8200667,0.8033638,0.8018903,0.80293125,0.803798,0.8040693,0.80428267
2011-08-26,0.8113237,0.80619335,0.80332375,0.8033793,0.8064603,0.8016064,0.8019686
2011-08-28,0.80561864,0.80695045,0.8078759,0.8077824,0.80371666,0.80811167,0.8062828
2011-08-29,0.8042967,0.8010049,0.80266714,0.8009285,0.8057234,0.8040949,0.8082917
2011-08-30,0.8068366,0.80570054,0.80695915,0.803049,0.8067471,0.8061454,0.8024118
2011-08-31,0.80513597,0.804667,0.8082441,0.79755723,0.8079164,0.8037199,0.8008373
2011-09-01,0.803089,0.80043757,0.80539155,0.7999099,0.8009395,0.8013967,0.80179715
2011-09-02,0.80462575,0.80443907,0.80457485,0.8084035,0.8024858,0.8037281,0.8027774
2011-09-04,0.80467224,0.8051284,0.79904544,0.801862,0.80477345,0.8025796,0.80664945
2011-09-05,0.80492735,0.80729795,0.80028415,0.7993508,0.8013074,0.8036684,0.80041504
2011-09-06,0.80170095,0.80358034,0.8015696,0.8012382,0.80133355,0.8047041,0.8006059
2011-09-07,0.8023779,0.79951036,0.8006345,0.80064356,0.7990186,0.80379647,0.7997229
2011-09-08,0.79977167,0.7994945,0.80129194,0.8023679,0.8010614,0.8041103,0.79924667
2011-09-09,0.79798895,0.8016843,0.8048912,0.80475116,0.8009717,0.8040557,0.8051304
2011-09-11,0.8039719,0.8009182,0.8048779,0.80482614,0.8045981,0.8045001,0.8030871
2011-09-12,0.8017446,0.7973594,0.8012804,0.8007928,0.79799527,0.8014843,0.8004706
2011-09-13,0.8046737,0.80300766,0.80539757,0.80366313,0.8016671,0.80407935,0.8054444
2011-09-14,0.7996255,0.80043817,0.8008178,0.8015845,0.8019769,0.8014492,0.8059435
2011-09-15,0.80150884,0.8037395,0.8001808,0.80268675,0.8029746,0.8041917,0.80935574
2011-09-16,0.8041806,0.8015709,0.8047689,0.8038676,0.80765796,0.80693287,0.81797373
2011-09-18,0.8014834,0.8003357,0.8082598,0.80616033,0.81154144,0.8199079,0.82558984
2011-09-19,0.8032136,0.8052647,0.8053278,0.81037295,0.8141681,0.82590014,0.8253144
2011-09-20,0.80458164,0.805254,0.8092071,0.81737995,0.82591105,0.825956,0.83280885
2011-09-21,0.80648136,0.80994546,0.8155996,0.82536566,0.8255261,0.83382314,0.83543396
2011-09-22,0.80868065,0.81636715,0.8235233,0.8257879,0.835606,0.83810544,0.851863
2011-09-23,0.8172201,0.8226223,0.82593983,0.8343146,0.8355341,0.8538191,0.8697367
2011-09-25,0.82472074,0.83030236,0.83471525,0.8357555,0.85515064,0.8700421,0.87120736
2011-09-26,0.82524693,0.8346281,0.8358206,0.8520711,0.8683297,0.8686602,0.8684303
2011-09-27,0.8338063,0.83551854,0.85198176,0.8677546,0.8672973,0.87034297,0.8692241
2011-09-28,0.83492833,0.84975845,0.86832076,0.86667585,0.8666158,0.8682029,0.8706919
2011-09-29,0.8535737,0.8696108,0.8673025,0.8682369,0.86979103,0.87297416,0.87065303
2011-09-30,0.86761016,0.8693029,0.8712295,0.87416947,0.86823833,0.8730551,0.87102675
2011-10-02,0.86831033,0.8691807,0.8692136,0.87048155,0.8734337,0.87219274,0.87509614
2011-10-03,0.8670527,0.8717177,0.87046254,0.8771901,0.876413,0.8750235,0.87551045
2011-10-04,0.8708949,0.8678974,0.87195134,0.8693463,0.8720602,0.87709135,0.8715404
2011-10-05,0.87364244,0.8757538,0.8714693,0.8779762,0.88009185,0.87452835,0.88174725
2011-10-06,0.8661221,0.8724021,0.8664563,0.8690275,0.8755198,0.8792042,0.8772664
2011-10-07,0.8762214,0.87986076,0.87182486,0.8756064,0.8798014,0.88357997,0.88431257
2011-10-09,0.87095004,0.8748809,0.8788489,0.87895584,0.88019556,0.8821917,0.87982464
2011-10-10,0.8738178,0.88019884,0.88131243,0.8800057,0.8863238,0.88145274,0.8807322
2011-10-11,0.8750615,0.8777586,0.8858221,0.8855563,0.8842308,0.8788662,0.88290596
2011-10-12,0.88060176,0.8680905,0.8784275,0.87628496,0.875774,0.87702954,0.8796935
2011-10-13,0.8792534,0.881817,0.8801801,0.8825693,0.8802881,0.88398254,0.88292897
2011-10-14,0.87815,0.87952197,0.8787207,0.8842454,0.87595177,0.8800343,0.88182354
2011-10-16,0.8801565,0.88309985,0.88173985,0.8808389,0.8804486,0.8817891,0.8814051
2011-10-17,0.88325524,0.88083375,0.881433,0.8898391,0.88712513,0.8856599,0.88224924
2011-10-18,0.8834475,0.8813238,0.88185006,0.8816433,0.8832598,0.8817558,0.88108087
2011-10-19,0.88058275,0.8817357,0.88064075,0.88107324,0.88125694,0.8799015,0.8817998
2011-10-20,0.8846564,0.88513875,0.8861246,0.88687855,0.8857813,0.88373065,0.8831203
2011-10-21,0.88146377,0.88605154,0.8826908,0.8833773,0.8828653,0.8797412,0.8817805
2011-10-23,0.8827786,0.8834734,0.8831979,0.8841679,0.8824022,0.88183296,0.8824219
2011-10-24,0.8828217,0.87993705,0.8814935,0.88070333,0.8790628,0.8780158,0.88003445
2011-10-25,0.8805351,0.8790657,0.8819781,0.8821893,0.8801508,0.8809676,0.8788184
2011-10-26,0.8821446,0.8799177,0.88099647,0.88050604,0.8798101,0.8792256,0.8812487
2011-10-27,0.8817547,0.8813284,0.88079834,0.8796791,0.8790191,0.87926394,0.8785336
2011-10-28,0.8812483,0.88234794,0.88057375,0.8794304,0.8806778,0.87988764,0.8775768
2011-10-30,0.8815578,0.8805177,0.87996817,0.8802824,0.8801853,0.8778274,0.87775064
2011-10-31,0.88009495,0.8818909,0.8802933,0.8788128,0.88008344,0.8799274,0.87764084
2011-11-01,0.8789635,0.87870383,0.88056415,0.8785289,0.8803333,0.87789536,0.8779571
2011-11-02,0.87999356,0.87888044,0.878625,0.87938565,0.8778746,0.87602293,0.8777416
2011-11-03,0.8798384,0.87860703,0.87733006,0.8774018,0.8757186,0.8751838,0.8765651
2011-11-04,0.8798495,0.8773444,0.8800415,0.8766053,0.8767654,0.8787661,0.8772105
2011-11-06,0.8788645,0.8783993,0.876495,0.8761071,0.8764377,0.8773646,0.87823284
2011-11-07,0.87680954,0.8778961,0.87539244,0.876209,0.8764344,0.8790952,0.880026
2011-11-08,0.87579083,0.8758708,0.8768742,0.87756157,0.87902975,0.8791288,0.88011605
2011-11-09,0.8765197,0.87545586,0.876606,0.8788791,0.87888056,0.87930775,0.88044584
2011-11-10,0.87835705,0.87767875,0.87691665,0.87899625,0.87989366,0.8795848,0.8803693
2011-11-11,0.87582314,0.88024294,0.8799243,0.8790195,0.8788742,0.87975216,0.8814821
