,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
2011-04-26,1364.5469,1370.0388,1365.9553,1363.6754,1366.3644,1369.4093,1369.5753
2011-04-27,1376.4691,1382.8955,1378.9963,1376.7585,1379.4905,1381.6038,1380.7404
2011-04-28,1389.3256,1395.9357,1392.0789,1389.8837,1391.6848,1392.7684,1392.9075
2011-04-29,1402.3655,1409.0182,1405.2039,1402.076,1402.8494,1404.9353,1405.3011
2011-05-01,1415.4473,1422.1423,1417.3955,1413.2393,1415.0157,1417.329,1417.7767
2011-05-02,1428.5708,1434.3335,1428.5582,1425.405,1427.4086,1429.8044,1430.3296
2011-05-03,1440.7615,1445.4962,1440.7234,1437.7975,1439.8832,1442.357,1441.9319
2011-05-04,1451.9235,1457.6614,1453.1157,1450.2722,1452.4352,1453.9587,1453.5115
2011-05-05,1464.0881,1470.0533,1465.59,1462.8237,1464.0371,1465.5382,1466.2559
2011-05-06,1476.4796,1482.5271,1478.1412,1474.4254,1475.6158,1478.2822,1479.1998
2011-05-08,1488.9531,1495.0785,1489.7427,1486.0039,1488.3594,1491.2261,1492.1992
2011-05-09,1501.5038,1506.6798,1501.3212,1498.7472,1501.3029,1504.2247,1505.2427
2011-05-10,1513.1052,1518.2579,1514.0643,1511.6906,1514.301,1517.2681,1517.2698
2011-05-11,1524.6827,1531.0005,1527.0076,1524.6882,1527.3444,1529.2946,1529.254
2011-05-12,1537.4254,1543.9431,1540.005,1537.731,1539.3704,1541.2787,1542.4148
2011-05-13,1550.3682,1556.9407,1553.0476,1549.7571,1551.3545,1554.4391,1555.7599
2011-05-15,1563.3649,1569.9829,1565.0739,1561.741,1564.5144,1567.7839,1569.1278
2011-05-16,1576.4071,1582.0087,1577.0569,1574.9008,1577.8586,1581.1514,1582.5178
2011-05-17,1588.433,1593.9915,1590.2167,1588.2448,1591.2261,1594.5409,1594.845
2011-05-18,1600.4158,1607.1514,1603.5603,1601.6118,1604.6155,1606.868,1607.1099
2011-05-19,1613.5756,1620.495,1616.9277,1615.0011,1616.9426,1619.1334,1620.561
2011-05-20,1626.9185,1633.862,1630.3167,1627.3279,1629.2076,1632.5839,1634.1697
2011-05-22,1640.2854,1647.2511,1642.6433,1639.5924,1642.6576,1646.1924,1647.7893
2011-05-23,1653.674,1659.5776,1654.9077,1653.0425,1656.2664,1659.8113,1661.4176
2011-05-24,1666.0009,1671.842,1668.3579,1666.6511,1669.8846,1673.4401,1673.9502
2011-05-25,1678.265,1685.2921,1681.9666,1680.2688,1683.5133,1685.9722,1685.2887
2011-05-26,1691.7151,1698.9006,1695.5841,1693.8977,1696.0452,1697.3105,1697.7349
2011-05-27,1705.3236,1712.5181,1709.2126,1706.4294,1707.3838,1709.7566,1710.4137
2011-05-29,1718.9404,1726.1465,1721.7448,1717.7683,1719.8298,1722.4354,1723.1556
2011-05-30,1732.5691,1738.6786,1733.0834,1730.2139,1732.5085,1735.1774,1735.9614
2011-05-31,1745.1013,1750.0172,1745.529,1742.8926,1745.25,1747.9828,1747.6713
2011-06-01,1756.4397,1762.4624,1758.2079,1755.6342,1758.0549,1759.6927,1760.5029
2011-06-02,1768.8851,1775.1412,1770.9492,1768.4391,1769.7651,1772.5247,1774.7007
2011-06-03,1781.5637,1787.8827,1783.7543,1780.1493,1782.5968,1786.7223,1789.017
2011-06-05,1794.305,1800.6881,1795.4644,1792.9807,1796.7943,1801.0386,1803.2823
2011-06-06,1807.1104,1812.3977,1808.296,1807.1782,1811.1104,1815.3038,1817.5073
2011-06-07,1818.82,1825.2291,1822.4933,1821.4939,1825.375,1829.5284,1830.551
2011-06-08,1831.6514,1839.4266,1836.8088,1835.7589,1839.5999,1842.5721,1844.6312
2011-06-09,1845.8489,1853.7424,1851.074,1849.9836,1852.6437,1856.6523,1859.9609
2011-06-10,1860.1646,1868.0073,1865.2983,1863.0273,1866.7238,1871.9818,1875.3054
2011-06-12,1874.4296,1882.232,1878.3422,1877.1073,1882.0532,1887.3265,1890.5126
