,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF
2011-07-15,1.2086535,1.2088126,1.2060897,1.2061603,1.207481,1.2049363,1.2059169
2011-07-17,1.2101704,1.207027,1.2075466,1.2074466,1.2066004,1.2051836,1.2039853
2011-07-18,1.2079316,1.2071294,1.2073346,1.2056375,1.2054887,1.2047354,1.2030853
2011-07-19,1.2084713,1.2064748,1.2051731,1.2045401,1.2030973,1.203329,1.2013319
2011-07-20,1.2075701,1.2055154,1.2053663,1.2038752,1.2025118,1.2015727,1.195374
2011-07-21,1.2051027,1.203492,1.2042733,1.2027078,1.2010034,1.1945444,1.1936038
2011-07-22,1.2059736,1.2038095,1.2048618,1.2012094,1.1946039,1.1913693,1.1902368
2011-07-24,1.20342,1.2014674,1.2016436,1.1937419,1.1919191,1.1890041,1.1898351
2011-07-25,1.2012041,1.2011694,1.1956259,1.1920803,1.1907852,1.1899829,1.1881725
2011-07-26,1.2003747,1.1955725,1.1935633,1.189388,1.1904992,1.1884781,1.1830488
2011-07-27,1.195857,1.19255,1.1903633,1.1911726,1.1898437,1.1827661,1.1775235
2011-07-28,1.1922561,1.1910611,1.1901668,1.1877426,1.1814235,1.1771474,1.1765614
2011-07-29,1.1906431,1.1903208,1.1883651,1.1830823,1.1771502,1.1746852,1.1738535
2011-07-31,1.1892718,1.1901785,1.1826992,1.1778926,1.1767039,1.1721772,1.1690769
2011-08-01,1.1899978,1.1831927,1.1783499,1.1753383,1.1738013,1.1696846,1.165893
2011-08-02,1.1826156,1.1769274,1.1760395,1.1742024,1.170305,1.166386,1.1636393
2011-08-03,1.1775101,1.1765509,1.1734823,1.1698805,1.1647434,1.1641486,1.1638554
2011-08-04,1.1762879,1.1729562,1.1700833,1.1660494,1.163896,1.1638353,1.1617134
2011-08-05,1.1734345,1.1711378,1.1663487,1.1650996,1.1634617,1.1631511,1.1618072
2011-08-07,1.171105,1.1673762,1.1643883,1.1631013,1.1638418,1.1606443,1.1588906
2011-08-08,1.1662207,1.1639174,1.163233,1.1611638,1.1612735,1.1564955,1.1563481
2011-08-09,1.1637892,1.1641539,1.1641039,1.1607827,1.1594175,1.1570144,1.1549616
2011-08-10,1.1617893,1.1622764,1.1589797,1.1588556,1.1563737,1.1554387,1.153222
2011-08-11,1.1619339,1.1618637,1.1585263,1.1562545,1.1538156,1.1545367,1.1501285
2011-08-12,1.1623561,1.1590177,1.1559602,1.1555398,1.1525874,1.1484162,1.1476316
2011-08-14,1.159058,1.1564488,1.1565027,1.1549987,1.1490865,1.1480123,1.1431609
2011-08-15,1.1572174,1.1549674,1.1549038,1.1481366,1.1480906,1.1433574,1.1397867
2011-08-16,1.1551012,1.1533067,1.1491306,1.1465236,1.1435199,1.1411126,1.1400785
2011-08-17,1.1537241,1.151988,1.1456466,1.1418339,1.1402389,1.1391149,1.1381589
2011-08-18,1.150622,1.1488775,1.1433618,1.1396741,1.1393845,1.137662,1.1383308
2011-08-19,1.1475883,1.1429099,1.1414992,1.1384221,1.1389871,1.1374651,1.1386156
2011-08-21,1.1440227,1.1393892,1.1387966,1.1362071,1.1388562,1.139916,1.139658
2011-08-22,1.1407799,1.1392959,1.1400828,1.1375935,1.1385812,1.139845,1.1379206
2011-08-23,1.14053,1.1377966,1.1384495,1.1384428,1.1382626,1.1381531,1.1390665
2011-08-24,1.1393982,1.1393908,1.1390721,1.1374346,1.1391658,1.1387529,1.1380912
2011-08-25,1.1384826,1.1379321,1.1385965,1.1386137,1.1382973,1.1383126,1.1391144
2011-08-26,1.137985,1.1394016,1.138315,1.1385661,1.1394775,1.1383247,1.1381305
2011-08-28,1.1389954,1.1380763,1.1385322,1.1387936,1.1390064,1.1387573,1.1391969
2011-08-29,1.1384268,1.1394292,1.1387643,1.138033,1.137777,1.1385298,1.1380961
2011-08-30,1.139093,1.1381531,1.1383446,1.1399527,1.1380767,1.1366698,1.1343011
2011-08-31,1.138022,1.1394339,1.13916,1.1380814,1.1388564,1.1351699,1.1332315
2011-09-01,1.1391048,1.1381925,1.1388259,1.137644,1.1343503,1.1334896,1.1333292
2011-09-02,1.1370028,1.1394206,1.1346577,1.1348894,1.1322789,1.1329644,1.1334268
2011-09-04,1.1356099,1.1358302,1.134272,1.1324703,1.1340154,1.1335604,1.1332368
2011-09-05,1.1360389,1.1345237,1.1346729,1.13296,1.1351737,1.1330276,1.1353308
2011-09-06,1.1352051,1.1339117,1.1343576,1.1340423,1.1326872,1.1336387,1.134
2011-09-07,1.1334933,1.132984,1.136409,1.1327943,1.1340001,1.1330655,1.1346308
2011-09-08,1.1328565,1.1338006,1.1343179,1.1327617,1.1341324,1.1336894,1.134584
2011-09-09,1.1343645,1.1336198,1.1328533,1.134199,1.1323221,1.134439,1.1399719
2011-09-11,1.1334634,1.1326267,1.134182,1.1333522,1.1345319,1.1370605,1.1355289
2011-09-12,1.1326518,1.1331503,1.1336813,1.134369,1.1370819,1.1369196,1.1387377
2011-09-13,1.1340183,1.1337478,1.1344718,1.1369207,1.1386452,1.1388844,1.1389093
2011-09-14,1.1327906,1.1346266,1.139056,1.1396205,1.1405178,1.1434354,1.1422871
2011-09-15,1.1333268,1.1404475,1.1403239,1.1378279,1.1391245,1.1440605,1.1441077
2011-09-16,1.1386219,1.1398494,1.1406847,1.1423922,1.1416556,1.1446196,1.1525742
2011-09-18,1.1391408,1.1409289,1.1439306,1.143637,1.1446986,1.1531332,1.163736
2011-09-19,1.1412574,1.1414164,1.1432203,1.1440513,1.1529027,1.1641494,1.1724705
2011-09-20,1.1408175,1.1435215,1.1441214,1.151754,1.1644423,1.1726851,1.1818086
2011-09-21,1.1438453,1.1442493,1.1535882,1.1638919,1.1712533,1.1829138,1.1839346
2011-09-22,1.1438782,1.1517752,1.1634929,1.1715828,1.1828309,1.184656,1.1888247
2011-09-23,1.1527687,1.1641638,1.1708962,1.182331,1.1842933,1.1882738,1.2018547
2011-09-25,1.162417,1.1709582,1.181912,1.1835629,1.1885152,1.1994472,1.2044201
2011-09-26,1.1728823,1.1814946,1.1838273,1.1883256,1.2034189,1.2040304,1.2015066
2011-09-27,1.1825289,1.1890286,1.186617,1.1988648,1.2030728,1.2047596,1.2049714
2011-09-28,1.1840167,1.1868868,1.20286,1.2037776,1.2053367,1.2064753,1.2044556
2011-09-29,1.1888617,1.2042454,1.2058196,1.2069013,1.2043622,1.2033248,1.2063951
2011-09-30,1.2039955,1.2039369,1.2040651,1.2041895,1.2052479,1.2056476,1.2062168
2011-10-02,1.2022946,1.2041339,1.2051888,1.2075585,1.2060966,1.2092948,1.2072585
2011-10-03,1.2062666,1.2050828,1.2082418,1.2060068,1.2051084,1.20694,1.2076122
2011-10-04,1.2051079,1.2048465,1.2052699,1.2064396,1.2085521,1.2071829,1.2099177
2011-10-05,1.2060101,1.2030914,1.2068417,1.2086235,1.2073466,1.2109902,1.2124642
2011-10-06,1.2076288,1.2048103,1.2062758,1.2076582,1.211005,1.2120227,1.2137069
2011-10-07,1.2056843,1.2069873,1.2067273,1.210638,1.2117552,1.2124735,1.2150965
2011-10-09,1.2074311,1.207443,1.2110623,1.212228,1.2125162,1.212049,1.2170972
2011-10-10,1.2078079,1.2110401,1.2129289,1.2137715,1.2137126,1.2157182,1.2166053
2011-10-11,1.2107738,1.2122829,1.2123715,1.2131351,1.2151275,1.2170768,1.220588
2011-10-12,1.2119794,1.2129254,1.214577,1.2178421,1.2174313,1.2178235,1.2167355
2011-10-13,1.2132369,1.2149513,1.214628,1.2171857,1.220249,1.2179149,1.2180127
2011-10-14,1.2146243,1.216516,1.2177078,1.2178825,1.2185124,1.218688,1.218691
2011-10-16,1.2150265,1.2185223,1.2171665,1.2180288,1.2182668,1.2231293,1.2205671
2011-10-17,1.218125,1.2196894,1.2170842,1.2216481,1.2205988,1.2205831,1.221617
2011-10-18,1.2199878,1.2187911,1.2192254,1.2218125,1.2210041,1.221323,1.2223035
2011-10-19,1.2173218,1.2195702,1.2211264,1.2201171,1.2204243,1.2215711,1.222907
2011-10-20,1.2161232,1.2234893,1.2207692,1.2216,1.2225714,1.2229841,1.2236844
2011-10-21,1.2194831,1.2206454,1.2215234,1.222479,1.2237369,1.2229046,1.223507
2011-10-23,1.2197397,1.2210828,1.2219971,1.2236785,1.2238501,1.2239105,1.2235022
2011-10-24,1.2214447,1.223327,1.2225502,1.2226492,1.223326,1.224136,1.224372
2011-10-25,1.221722,1.2225581,1.2232957,1.2236669,1.2234079,1.223729,1.223697
2011-10-26,1.2227672,1.2234044,1.2239202,1.2240158,1.222889,1.2227149,1.223263
2011-10-27,1.2236147,1.2239666,1.2232099,1.2230449,1.2247361,1.223719,1.2237136
2011-10-28,1.2236414,1.223327,1.2232755,1.2235029,1.2235055,1.2241117,1.2234544
2011-10-30,1.2237715,1.2233859,1.2239653,1.2238231,1.2231425,1.2245421,1.2237598
2011-10-31,1.223119,1.2240068,1.22318,1.2236648,1.2241037,1.2234883,1.2224835
2011-11-01,1.2238934,1.2232995,1.2232529,1.2240924,1.2232363,1.2228925,1.2237811
2011-11-02,1.2241153,1.2233654,1.2240121,1.2229499,1.2219459,1.2231257,1.2258582
2011-11-03,1.223488,1.2240516,1.223149,1.2229508,1.2232476,1.2256993,1.2263973
2011-11-04,1.2236077,1.2232718,1.2225746,1.2241471,1.2257344,1.2265178,1.2272508
2011-11-06,1.2237659,1.2235585,1.2240329,1.2244507,1.2270788,1.2260475,1.2278669
2011-11-07,1.2220944,1.2240789,1.2252258,1.225624,1.2263045,1.2270371,1.2284819
2011-11-08,1.2241524,1.2251157,1.2260053,1.2266175,1.2283515,1.2288505,1.231995
2011-11-09,1.2235194,1.2254955,1.2279084,1.2276775,1.2288156,1.2324419,1.2332002
2011-11-10,1.2264781,1.2267607,1.2283237,1.2283827,1.2327642,1.2339778,1.2340876
2011-11-11,1.2276069,1.2279854,1.2283845,1.232937,1.2335136,1.2334983,1.2339861
2011-11-13,1.2277443,1.2297775,1.2329601,1.2316445,1.2347664,1.23427,1.234459
2011-11-14,1.2289882,1.2311351,1.2342288,1.2339475,1.2334186,1.2353324,1.235308
2011-11-15,1.2324579,1.233536,1.2348505,1.234414,1.234923,1.2350196,1.2345916
2011-11-16,1.2348071,1.2342054,1.2353294,1.2358067,1.2357603,1.2346759,1.2343752
2011-11-17,1.2344912,1.2354561,1.2341981,1.2348213,1.235372,1.2345836,1.2353277
2011-11-18,1.2322757,1.2343626,1.2361828,1.2356434,1.2353911,1.235413,1.2346478
2011-11-20,1.2335955,1.2346855,1.2349203,1.2350347,1.2346952,1.234917,1.2330598
