,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR
2011-09-11,2808.6086,2760.4934,2834.2595,2810.1904,2743.3345,2738.0981,2816.3042
2011-09-12,2822.4722,2773.4033,2848.0361,2824.0867,2757.2175,2751.9648,2830.166
2011-09-13,2835.381,2787.1797,2861.2915,2837.9697,2771.0842,2765.8264,2843.075
2011-09-14,2849.158,2801.0754,2873.4883,2851.8364,2784.9458,2778.7354,2856.5913
2011-09-15,2862.3276,2814.9587,2885.357,2864.7715,2797.8547,2792.5115,2869.1704
2011-09-16,2874.4421,2828.8254,2897.3325,2875.7085,2811.6309,2806.4067,2881.0137
2011-09-18,2886.3206,2842.687,2908.4277,2887.497,2825.5261,2820.2898,2891.9836
2011-09-19,2898.3057,2855.4038,2920.5215,2899.5283,2839.4092,2833.222,2901.9705
2011-09-20,2909.411,2867.9558,2932.8464,2911.6584,2852.3367,2845.1255,2910.9753
2011-09-21,2921.5115,2879.81,2944.2651,2922.8916,2863.2576,2855.7417,2920.0283
2011-09-22,2933.825,2891.754,2954.0273,2933.1047,2872.269,2865.5356,2929.2695
2011-09-23,2945.1804,2902.822,2961.0117,2941.2463,2881.0427,2874.448,2938.103
2011-09-25,2954.7551,2912.8955,2966.7407,2949.2854,2890.0073,2883.4749,2946.4724
2011-09-26,2961.722,2921.9766,2971.3623,2955.8901,2899.1604,2892.6902,2954.1123
2011-09-27,2967.3245,2931.1006,2976.104,2961.7979,2908.5,2902.091,2959.0703
2011-09-28,2971.936,2939.583,2981.0024,2967.557,2918.023,2910.5693,2963.983
2011-09-29,2976.6882,2947.8574,2984.7937,2972.4531,2926.609,2919.087,2967.13
2011-09-30,2981.5413,2955.02,2987.2246,2976.2366,2935.0295,2926.6357,2968.0698
2011-10-02,2985.2427,2961.0806,2988.1912,2979.5925,2941.3494,2934.1128,2968.8538
2011-10-03,2987.678,2966.0645,2988.9985,2980.5671,2947.2031,2940.538,2969.6636
2011-10-04,2988.6458,2969.742,2988.362,2979.9546,2951.434,2946.7725,2969.0232
2011-10-05,2989.454,2972.1492,2985.9673,2979.1213,2954.4092,2950.115,2969.6843
2011-10-06,2988.8164,2973.104,2983.271,2978.5676,2955.3772,2953.5737,2970.5886
2011-10-07,2986.4153,2973.9062,2980.6355,2977.7876,2957.606,2956.0247,2971.5298
2011-10-09,2983.7131,2974.7349,2978.1433,2978.4958,2960.1157,2958.5388,2972.5046
2011-10-10,2980.9177,2974.08,2978.5542,2978.574,2962.7175,2961.1455,2973.516
2011-10-11,2978.2073,2974.7573,2978.5789,2978.5789,2965.4126,2963.844,2972.7195
2011-10-12,2978.5593,2975.686,2978.5732,2978.5735,2966.7654,2965.0005,2973.5469
2011-10-13,2978.5774,2976.6484,2978.5764,2978.5745,2966.0293,2966.566,2974.6775
2011-10-14,2978.5747,2977.645,2978.5781,2977.5728,2966.7927,2967.5728,2975.8489
2011-10-16,2978.5823,2978.6135,2977.4814,2978.4558,2967.831,2968.6123,2977.0615
