,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
2011-05-30,116.72128,116.54339,116.30898,116.3298,116.337715,116.31512,116.31258
2011-05-31,116.55057,116.36562,116.277596,116.307755,116.34524,116.31506,116.342064
2011-06-01,116.34593,116.26658,116.28659,116.329895,116.37321,116.31505,116.33733
2011-06-02,116.346214,116.288055,116.30449,116.30735,116.31188,116.31511,116.330505
2011-06-03,116.27216,116.354675,116.31999,116.330185,116.32124,116.31519,116.36863
2011-06-05,116.24996,116.23375,116.32804,116.30702,116.35689,116.31521,116.30963
2011-06-06,116.308,116.36955,116.34352,116.33038,116.32162,116.31528,116.0853
2011-06-07,116.39283,116.26405,116.31346,116.3066,116.23829,116.08055,116.06303
2011-06-08,116.384964,116.28692,116.320145,116.33045,116.222885,116.02085,115.97513
2011-06-09,116.29875,116.35711,116.33272,116.022804,115.97248,115.93393,115.985
2011-06-10,116.26943,116.22911,116.032135,115.97592,115.86943,115.980804,115.67522
2011-06-12,116.32658,116.063354,115.92493,115.94737,115.90078,115.77205,115.67844
2011-06-13,116.02687,116.00755,115.98703,116.02944,115.74702,115.70405,115.693245
2011-06-14,116.02743,115.96614,115.95177,115.6862,115.72597,115.674255,115.60137
2011-06-15,115.96618,115.98621,115.68911,115.64291,115.67116,115.63929,115.60772
2011-06-16,116.02706,115.76662,115.685776,115.63939,115.66576,115.56969,115.54041
2011-06-17,115.7376,115.728355,115.66081,115.6145,115.576385,115.530594,115.44794
2011-06-19,115.58235,115.57571,115.646255,115.56137,115.55417,115.64416,115.379654
2011-06-20,115.627144,115.59247,115.56489,115.49394,115.481155,115.39618,115.40796
2011-06-21,115.592896,115.568665,115.542725,115.44031,115.48776,115.46321,115.52853
2011-06-22,115.57978,115.5466,115.49676,115.37874,115.48914,115.435936,115.45655
2011-06-23,115.53898,115.48339,115.45675,115.44825,115.41004,115.43668,115.48854
2011-06-24,115.53447,115.39655,115.57094,115.416595,115.45136,115.456795,115.499954
2011-06-26,115.47145,115.49537,115.46121,115.46384,115.51965,115.48314,115.46259
2011-06-27,115.4652,115.52388,115.44676,115.452705,115.43091,115.43253,115.46873
2011-06-28,115.44592,115.42539,115.47783,115.4529,115.48298,115.486946,115.535355
2011-06-29,115.4502,115.41851,115.438095,115.43774,115.54951,115.5566,115.52332
2011-06-30,115.443665,115.468636,115.46589,115.464165,115.476326,115.513916,115.64125
2011-07-01,115.46351,115.475136,115.436676,115.46548,115.53043,115.62383,115.66337
2011-07-03,115.44206,115.44649,115.451904,115.49386,115.63599,115.66138,115.98468
2011-07-04,115.44482,115.44069,115.533966,115.671265,115.65696,115.951645,115.920746
2011-07-05,115.46702,115.50696,115.64436,115.67238,115.95046,115.94226,115.972725
2011-07-06,115.53701,115.6514,115.63891,115.92863,115.93488,115.95322,115.96218
2011-07-07,115.59013,115.65972,115.977615,115.952255,115.936714,115.94299,115.926865
2011-07-08,115.63185,115.96366,115.91232,115.94716,115.96019,115.95415,115.70076
2011-07-10,115.9696,115.961586,115.98727,115.94282,115.96231,115.69765,115.65278
2011-07-11,115.980385,115.957565,115.927734,115.96484,115.68247,115.638596,115.44217
2011-07-12,115.94179,115.92119,115.93977,115.67529,115.606926,115.47755,115.3002
2011-07-13,115.942245,115.94013,115.67762,115.65366,115.45072,115.3625,115.31192
2011-07-14,115.94242,115.70327,115.61803,115.51767,115.331856,115.32257,115.23288
2011-07-15,115.714516,115.655365,115.44824,115.3495,115.316025,115.26723,115.170555
2011-07-17,115.62233,115.456085,115.31967,115.29371,115.24101,115.18668,115.0867
2011-07-18,115.44945,115.34671,115.27969,115.25048,115.186195,115.05606,114.65448
2011-07-19,115.41836,115.30289,115.21971,115.15439,115.0569,114.70225,114.639114
2011-07-20,115.28626,115.23955,115.132385,115.07269,114.72036,114.60414,114.56987
2011-07-21,115.28236,115.18319,115.095184,114.663414,114.606705,114.54902,114.369095
2011-07-22,115.18884,115.06586,114.67445,114.61002,114.5433,114.35404,114.37457
2011-07-24,115.0331,114.6478,114.63624,114.56178,114.48005,114.32632,114.248146
2011-07-25,114.61649,114.623634,114.58242,114.4064,114.2955,114.24972,114.23265
2011-07-26,114.64243,114.59956,114.3472,114.36056,114.21061,114.21545,114.032745
2011-07-27,114.560135,114.41505,114.294754,114.21955,114.24295,114.02521,113.111824
2011-07-28,114.39372,114.33084,114.26206,114.23918,113.96956,113.13816,113.06049
2011-07-29,114.338806,114.319336,114.260895,114.00254,113.125,113.054955,112.85907
2011-07-31,114.34481,114.1622,114.04915,113.15204,113.032616,112.89369,112.70823
2011-08-01,114.25786,114.001076,113.19946,113.07423,112.842804,112.71199,112.59254
2011-08-02,114.01426,113.135056,113.048355,112.86351,112.71363,112.65856,112.49977
2011-08-03,113.11286,113.0483,112.85862,112.674706,112.641,112.51206,112.30305
2011-08-04,113.06351,112.870125,112.7597,112.6828,112.50075,112.24376,112.167175
2011-08-05,112.89724,112.74675,112.65683,112.52901,112.27636,112.20594,112.18327
2011-08-07,112.72366,112.64051,112.53836,112.21009,112.25971,112.09735,112.06575
2011-08-08,112.67042,112.49858,112.30658,112.247925,112.08873,112.04905,111.99158
2011-08-09,112.53602,112.32835,112.19597,112.06326,112.09364,112.02606,111.897255
2011-08-10,112.2628,112.17938,112.08313,112.02726,112.04806,111.92828,111.85652
2011-08-11,112.27528,112.080154,112.099335,111.960236,111.95758,111.78598,111.694855
2011-08-12,112.14228,112.114716,112.05516,111.89834,111.84628,111.66308,111.51449
2011-08-14,112.031364,112.07985,111.902374,111.87812,111.69622,111.51678,111.42595
