,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK
2011-05-13,7.7840405,7.777744,7.818908,7.8013,7.8167243,7.7997937,7.8057895
2011-05-15,7.8053303,7.8291883,7.8238273,7.8166366,7.8077564,7.8255954,7.8152175
2011-05-16,7.811038,7.7875466,7.808809,7.8122454,7.8020906,7.824767,7.822752
2011-05-17,7.8112535,7.814572,7.816524,7.8128347,7.815656,7.8182983,7.813299
2011-05-18,7.8055863,7.81104,7.826498,7.784778,7.820744,7.820219,7.8193836
2011-05-19,7.8098044,7.8066454,7.809762,7.8281236,7.8280697,7.8259764,7.831327
2011-05-20,7.803567,7.8147373,7.80498,7.81884,7.8317785,7.8399625,7.832199
2011-05-22,7.8096247,7.8218884,7.825879,7.8352156,7.8276873,7.8385243,7.8195515
2011-05-23,7.8150864,7.8265934,7.8334866,7.8211446,7.8349576,7.827496,7.8206506
2011-05-24,7.8235674,7.828132,7.8258,7.8310494,7.8192067,7.8235183,7.823616
2011-05-25,7.8241515,7.8244066,7.8463535,7.8238144,7.8160257,7.8015504,7.8294196
2011-05-26,7.830121,7.8288345,7.828828,7.8212605,7.80975,7.8006845,7.8369927
2011-05-27,7.833329,7.823903,7.8237634,7.8266783,7.8105373,7.815573,7.8086166
2011-05-29,7.82768,7.8169065,7.8177557,7.816494,7.8078804,7.807064,7.8024607
2011-05-30,7.8195815,7.805338,7.804908,7.811025,7.8104153,7.820252,7.82139
2011-05-31,7.815251,7.8116927,7.801907,7.8074703,7.8143473,7.8050723,7.808866
2011-06-01,7.802871,7.810972,7.815647,7.8064494,7.813077,7.788808,7.8010187
2011-06-02,7.802165,7.804217,7.8211536,7.817985,7.8593674,7.818935,7.831997
2011-06-03,7.7991457,7.811873,7.823263,7.8003006,7.8223667,7.8260684,7.8230867
2011-06-05,7.793529,7.804225,7.8179073,7.8232536,7.81605,7.8073244,7.8310246
2011-06-06,7.7923284,7.813033,7.817827,7.8122764,7.830673,7.846723,7.8377204
2011-06-07,7.8289824,7.8348293,7.828951,7.841737,7.835559,7.835872,7.849759
2011-06-08,7.8043437,7.824766,7.834104,7.8355675,7.835685,7.856091,7.8423786
2011-06-09,7.8351436,7.822834,7.8437567,7.832464,7.834226,7.843514,7.8362103
2011-06-10,7.827771,7.8179164,7.845065,7.799858,7.8484735,7.824151,7.843081
2011-06-12,7.8186383,7.832405,7.835916,7.8287916,7.846733,7.836458,7.841672
2011-06-13,7.84242,7.8352265,7.836162,7.830949,7.830405,7.849746,7.8444314
2011-06-14,7.841157,7.8322196,7.8337173,7.8397484,7.863254,7.8529553,7.857565
2011-06-15,7.8325424,7.856228,7.836203,7.849993,7.836579,7.822495,7.8494573
2011-06-16,7.8393574,7.8438478,7.829398,7.8580174,7.8499217,7.831398,7.8520164
2011-06-17,7.8318844,7.8355727,7.8339586,7.84322,7.837155,7.865771,7.833468
2011-06-19,7.8590026,7.8312144,7.84341,7.8511677,7.870199,7.8535967,7.868818
2011-06-20,7.8773713,7.834737,7.8449197,7.8316555,7.8356037,7.8672624,7.846461
2011-06-21,7.849253,7.8491764,7.8375506,7.831979,7.840932,7.807648,7.8366833
2011-06-22,7.833333,7.839244,7.833431,7.8506966,7.8409677,7.8463535,7.8347745
2011-06-23,7.8551364,7.838095,7.844389,7.827244,7.848333,7.838852,7.836811
2011-06-24,7.843997,7.8455057,7.8418303,7.8557825,7.8335137,7.837245,7.847069
2011-06-26,7.837233,7.8334675,7.827152,7.8315783,7.835975,7.836824,7.8231025
2011-06-27,7.843985,7.840651,7.857582,7.8420563,7.836528,7.830735,7.8150864
2011-06-28,7.8466663,7.83397,7.8418374,7.8405313,7.826036,7.822597,7.828454
2011-06-29,7.840901,7.8436847,7.823345,7.833946,7.82972,7.801683,7.799738
2011-06-30,7.8307414,7.820447,7.8382654,7.8293214,7.854007,7.8186817,7.818523
2011-07-01,7.839097,7.835761,7.824868,7.7929115,7.787312,7.83266,7.792802
2011-07-03,7.83112,7.8197756,7.812496,7.799517,7.803445,7.7848544,7.8000913
2011-07-04,7.821964,7.8072157,7.8181534,7.7873383,7.8076997,7.8001027,7.809028
2011-07-05,7.814404,7.7903557,7.808344,7.7650375,7.787211,7.804269,7.8081264
2011-07-06,7.8343635,7.818539,7.8045187,7.8073215,7.8040886,7.8005285,7.7946787
2011-07-07,7.8095155,7.805218,7.79126,7.8101697,7.7996154,7.7912445,7.805884
2011-07-08,7.807501,7.805795,7.8179564,7.790017,7.7946954,7.7903914,7.79445
2011-07-10,7.78728,7.806104,7.7986236,7.795411,7.7811413,7.8088675,7.823927
2011-07-11,7.8044257,7.81041,7.7817664,7.80899,7.785942,7.8258495,7.8040786
2011-07-12,7.792135,7.792924,7.8088017,7.7845917,7.8048325,7.787401,7.8114557
2011-07-13,7.775547,7.790369,7.8078556,7.816666,7.8075247,7.8168945,7.826395
2011-07-14,7.7942076,7.803957,7.8118587,7.7980094,7.812259,7.822292,7.8215485
2011-07-15,7.814573,7.7992735,7.810895,7.80855,7.822202,7.814022,7.820696
2011-07-17,7.8116117,7.786379,7.804407,7.826526,7.826362,7.8084197,7.800992
2011-07-18,7.815801,7.8044033,7.822508,7.816444,7.8160048,7.7969704,7.8115497
