,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF
2011-08-04,1293.5281,1292.2764,1290.2114,1290.2103,1290.216,1292.1855,1292.2407
2011-08-05,1292.2501,1290.2242,1290.1986,1290.237,1292.2063,1292.2689,1292.247
2011-08-07,1290.2317,1290.2062,1290.2148,1292.2034,1292.2422,1292.2351,1293.5311
2011-08-08,1290.1864,1290.2261,1292.2546,1292.2631,1292.2653,1293.6119,1293.6305
2011-08-09,1290.2228,1292.2478,1292.3156,1292.2535,1293.5023,1293.6208,1293.9519
2011-08-10,1292.2352,1292.2072,1292.2871,1293.5271,1293.7041,1293.8335,1294.4634
2011-08-11,1292.2462,1292.2703,1293.5485,1293.6318,1293.9033,1294.3833,1295.064
2011-08-12,1292.2551,1293.5486,1293.6392,1293.9426,1294.407,1295.0944,1295.5591
2011-08-14,1293.553,1293.5732,1293.8206,1294.4209,1295.0406,1295.5768,1295.8427
2011-08-15,1293.6516,1293.9365,1294.3853,1295.0989,1295.5718,1295.8882,1296.7241
2011-08-16,1293.9294,1294.4513,1295.0767,1295.5583,1295.8875,1296.6984,1296.9396
2011-08-17,1294.4443,1295.0486,1295.5438,1295.9086,1296.7571,1296.9391,1297.34
2011-08-18,1295.0698,1295.6136,1295.9275,1296.7806,1296.8557,1297.3374,1298.1398
2011-08-19,1295.5457,1295.9146,1296.7555,1296.9094,1297.3677,1298.1471,1301.4745
2011-08-21,1295.9167,1296.7228,1296.9077,1297.3136,1298.1576,1301.5144,1306.2719
2011-08-22,1296.7358,1296.9355,1297.2953,1298.1202,1301.4468,1306.2698,1306.8981
2011-08-23,1296.9059,1297.3019,1298.166,1301.5326,1306.2665,1306.8212,1307.6327
2011-08-24,1297.3707,1298.0935,1301.473,1306.3651,1306.8743,1307.6168,1309.1396
2011-08-25,1298.1073,1301.6224,1306.2927,1306.8358,1307.5992,1309.0995,1311.9124
2011-08-26,1301.5502,1306.2944,1306.8474,1307.6072,1309.1864,1311.9448,1312.8303
2011-08-28,1306.3407,1306.789,1307.5544,1309.1322,1311.894,1312.8113,1327.6687
2011-08-29,1306.822,1307.5994,1309.1799,1311.9426,1312.8016,1327.922,1345.1007
2011-08-30,1307.6208,1309.1088,1311.8962,1312.8309,1327.8171,1345.0325,1360.894
2011-08-31,1309.0277,1311.8787,1312.8033,1327.7107,1344.9177,1361.1656,1378.5842
2011-09-01,1311.8761,1312.823,1328.2798,1345.2339,1361.3326,1378.6423,1387.6763
2011-09-02,1312.7777,1328.372,1344.8529,1360.9375,1378.6616,1387.8448,1402.9613
2011-09-04,1328.2931,1345.0458,1361.9497,1378.6006,1387.8042,1402.9484,1413.0896
2011-09-05,1345.0312,1361.8672,1378.6824,1387.8132,1402.9348,1413.0884,1424.7239
2011-09-06,1361.9137,1378.5392,1387.5219,1402.709,1413.0806,1424.7029,1427.3773
2011-09-07,1378.5004,1387.584,1403.103,1413.1694,1424.7343,1427.3516,1440.5463
2011-09-08,1387.4478,1403.1464,1413.187,1424.6451,1427.2852,1440.3448,1454.8859
2011-09-09,1403.1946,1412.9393,1424.9882,1427.3438,1440.3439,1454.5092,1461.3218
2011-09-11,1412.9585,1424.6415,1427.4004,1440.5424,1454.322,1461.2822,1461.3575
2011-09-12,1424.6487,1427.37,1440.1931,1454.9377,1461.297,1461.4077,1469.0072
2011-09-13,1427.2924,1440.2773,1454.4193,1461.2747,1461.3983,1469.2285,1470.9932
2011-09-14,1440.0286,1454.5979,1461.2856,1461.3301,1469.1321,1470.8937,1472.2341
2011-09-15,1453.8115,1461.2673,1461.3798,1469.2085,1471.0437,1472.228,1472.8518
2011-09-16,1461.2756,1461.3494,1468.9984,1471.0494,1472.2173,1472.8228,1476.8981
2011-09-18,1461.3733,1469.01,1471.0052,1472.2466,1472.8303,1476.8573,1486.2183
2011-09-19,1469.2854,1471.0336,1472.1812,1472.7599,1476.909,1486.4095,1487.6228
2011-09-20,1471.0841,1472.2574,1472.7888,1476.8553,1486.4739,1487.6102,1488.2335
2011-09-21,1472.2522,1472.7917,1476.8595,1486.4727,1487.5903,1488.3516,1488.346
2011-09-22,1472.8289,1476.82,1486.2867,1487.5566,1488.3691,1488.3546,1488.3484
2011-09-23,1476.8273,1486.2452,1487.5006,1488.2528,1488.3248,1488.2677,1488.2612
2011-09-25,1486.2606,1487.5438,1488.2585,1488.2059,1488.1991,1488.1538,1488.1471
2011-09-26,1487.5203,1488.3425,1488.1627,1488.2579,1488.1434,1488.1514,1488.144
2011-09-27,1488.2133,1488.1923,1488.214,1488.2528,1488.1884,1488.2395,1488.233
2011-09-28,1488.2646,1488.308,1488.2198,1488.2057,1488.3164,1488.3544,1489.0916
2011-09-29,1488.2349,1488.283,1488.1527,1488.2582,1488.3727,1489.0388,1492.4022
2011-09-30,1488.241,1488.2063,1488.2178,1488.253,1489.1462,1492.3986,1502.12
2011-10-02,1488.2578,1488.3446,1488.225,1489.0706,1492.4042,1502.113,1509.9308
2011-10-03,1488.2212,1488.1906,1489.0436,1492.3987,1502.1521,1509.9072,1513.3236
2011-10-04,1488.2343,1489.0565,1492.353,1502.1069,1509.9438,1513.4081,1519.6465
2011-10-05,1489.1292,1492.3896,1502.0953,1510.0531,1513.4856,1519.7028,1519.6831
2011-10-06,1492.2881,1502.1432,1509.9333,1513.4606,1519.7314,1519.6616,1519.6819
2011-10-07,1502.1272,1510.0988,1513.4169,1519.7225,1519.644,1519.6624,1519.63
2011-10-09,1510.2125,1513.4698,1519.6847,1519.6719,1519.621,1519.6619,1519.7205
2011-10-10,1513.3682,1519.7891,1519.6539,1519.7368,1519.6957,1519.7008,1519.6727
2011-10-11,1519.7124,1519.6826,1519.6671,1519.6481,1519.7046,1519.6917,1519.6683
2011-10-12,1519.7142,1519.6907,1519.7098,1519.6399,1519.7368,1519.6875,1519.666
2011-10-13,1519.6868,1519.6526,1519.7021,1519.7008,1519.7137,1519.6705,1519.6716
2011-10-14,1519.6263,1519.701,1519.6864,1519.7539,1519.7244,1519.6628,1514.5089
2011-10-16,1519.6693,1519.7015,1519.6833,1519.7306,1519.7645,1514.5071,1513.4402
2011-10-17,1519.7483,1519.6703,1519.6544,1519.63,1514.4395,1513.4261,1512.2991
2011-10-18,1519.7201,1519.6826,1519.6476,1514.4545,1513.3983,1512.255,1510.1595
2011-10-19,1519.6527,1519.692,1514.4177,1513.5059,1512.3342,1510.0471,1507.6738
2011-10-20,1519.6912,1514.4137,1513.4801,1512.2441,1509.9995,1507.657,1503.9401
2011-10-21,1514.3119,1513.447,1512.3542,1510.0532,1507.6755,1503.9635,1504.0348
2011-10-23,1513.4248,1512.3109,1510.0118,1507.6686,1504.0146,1503.9917,1501.9622
2011-10-24,1512.2883,1509.9902,1507.6299,1503.9065,1503.9784,1501.9994,1501.1875
2011-10-25,1510.0504,1507.7559,1503.9474,1504.0587,1502.0558,1501.2805,1500.6898
2011-10-26,1507.691,1504.0233,1503.9998,1502.0303,1501.2189,1500.7118,1500.7612
2011-10-27,1503.8723,1503.9999,1501.9745,1501.3011,1500.8398,1500.7245,1500.7163
2011-10-28,1503.9204,1502.0137,1501.2887,1500.7201,1500.7363,1500.754,1500.6848
2011-10-30,1502.028,1501.2587,1500.6926,1500.6879,1500.6725,1500.6913,1500.7415
2011-10-31,1501.2812,1500.9114,1500.7462,1500.7483,1500.7153,1500.7301,1500.7009
2011-11-01,1500.711,1500.7919,1500.7412,1500.7606,1500.677,1500.7566,1500.713
2011-11-02,1500.7549,1500.6666,1500.6931,1500.7208,1500.7976,1500.6948,1501.2648
2011-11-03,1500.6918,1500.7289,1500.7465,1500.6879,1500.815,1501.1937,1501.4231
2011-11-04,1500.7312,1500.7289,1500.7412,1500.7029,1501.1975,1501.3752,1502.0713
2011-11-06,1500.758,1500.7202,1500.6929,1501.2615,1501.4542,1502.0189,1504.0343
2011-11-07,1500.6951,1500.7286,1501.2845,1501.4675,1502.0168,1503.9003,1507.6055
2011-11-08,1500.689,1501.2867,1501.4775,1502.0281,1504.0201,1507.7244,1510.0642
2011-11-09,1501.2903,1501.4027,1501.9998,1503.9758,1507.6938,1509.9894,1510.5842
2011-11-10,1501.4235,1501.9829,1503.9908,1507.6533,1510.0012,1510.601,1510.6356
2011-11-11,1502.0076,1503.966,1507.7362,1510.0385,1510.6029,1510.6052,1512.3524
2011-11-13,1503.9028,1507.6785,1510.0901,1510.6157,1510.6775,1512.3242,1514.4436
2011-11-14,1507.7236,1510.0669,1510.6259,1510.5153,1512.3304,1514.4679,1514.3677
2011-11-15,1510.0356,1510.5979,1510.5988,1512.2985,1514.4722,1514.4595,1514.4355
2011-11-16,1510.6287,1510.6024,1512.2921,1514.4408,1514.4304,1514.4268,1514.417
2011-11-17,1510.6538,1512.2869,1514.4563,1514.4038,1514.4364,1514.3579,1518.7169
2011-11-18,1512.2435,1514.4615,1514.4304,1514.445,1514.3667,1518.69,1531.2395
