,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK
2011-08-04,24.295624,24.314453,24.337685,24.294174,24.29676,24.25142,24.264
2011-08-05,24.308388,24.330399,24.294647,24.29454,24.297646,24.296593,24.260666
2011-08-07,24.33171,24.317047,24.27919,24.275314,24.294746,24.285423,24.263527
2011-08-08,24.3283,24.294746,24.296432,24.282425,24.25808,24.265228,24.246239
2011-08-09,24.251945,24.295624,24.272202,24.27198,24.275482,24.234222,24.235405
2011-08-10,24.297348,24.27517,24.269943,24.25695,24.266396,24.268158,24.25035
2011-08-11,24.28032,24.269646,24.2593,24.24852,24.2678,24.24559,24.253845
2011-08-12,24.266983,24.258469,24.26432,24.268036,24.245094,24.240082,24.25396
2011-08-14,24.247238,24.251236,24.225792,24.282349,24.238586,24.256676,24.268852
2011-08-15,24.253716,24.267548,24.256477,24.251503,24.255783,24.272469,24.272118
2011-08-16,24.27398,24.240036,24.264313,24.246155,24.273956,24.282639,24.29393
2011-08-17,24.26667,24.263168,24.297554,24.27285,24.282448,24.28521,24.330627
2011-08-18,24.269981,24.26307,24.27459,24.282677,24.297203,24.292564,24.358818
2011-08-19,24.268333,24.259865,24.272415,24.292473,24.293243,24.336502,24.350235
2011-08-21,24.257713,24.280144,24.293541,24.294113,24.355309,24.35186,24.363464
2011-08-22,24.284386,24.298515,24.295563,24.35765,24.355156,24.358315,24.297676
2011-08-23,24.276215,24.288849,24.3395,24.356018,24.361732,24.310959,24.28328
2011-08-24,24.296524,24.339134,24.351952,24.347527,24.295769,24.278015,24.28128
2011-08-25,24.351295,24.364006,24.360931,24.334686,24.288734,24.265762,24.24289
2011-08-26,24.362015,24.346512,24.305992,24.307938,24.277817,24.271889,24.249
2011-08-28,24.358116,24.292542,24.29795,24.286697,24.278008,24.22744,24.22512
2011-08-29,24.296295,24.289795,24.27005,24.271454,24.244705,24.232178,24.224129
2011-08-30,24.289467,24.26767,24.282158,24.25145,24.24968,24.236053,24.239075
2011-08-31,24.277328,24.2611,24.252434,24.241333,24.231644,24.23851,24.24517
2011-09-01,24.262161,24.261856,24.225212,24.24823,24.223312,24.22683,24.262245
2011-09-02,24.227692,24.2519,24.230179,24.230583,24.230644,24.2482,24.223877
2011-09-04,24.235542,24.223328,24.239975,24.258362,24.244957,24.231339,24.25888
2011-09-05,24.242104,24.244225,24.250633,24.235153,24.23056,24.231544,24.257668
2011-09-06,24.236298,24.240135,24.226685,24.241814,24.22168,24.261902,24.277542
2011-09-07,24.244171,24.233116,24.231415,24.246017,24.260124,24.260162,24.285217
2011-09-08,24.236046,24.240395,24.215744,24.270798,24.262932,24.302368,24.30478
2011-09-09,24.244743,24.233116,24.28244,24.272667,24.291763,24.29081,24.327103
2011-09-11,24.236038,24.254066,24.273567,24.26416,24.302452,24.317139,24.385246
2011-09-12,24.26622,24.28238,24.296768,24.297813,24.31504,24.377174,24.385315
2011-09-13,24.282997,24.290062,24.293335,24.332512,24.379097,24.354774,24.39579
2011-09-14,24.2855,24.320786,24.31784,24.362312,24.39785,24.386147,24.365051
2011-09-15,24.269218,24.325348,24.392029,24.410141,24.384735,24.37606,24.422333
2011-09-16,24.302574,24.380295,24.366745,24.3629,24.402267,24.375572,24.421654
2011-09-18,24.362747,24.37091,24.404297,24.393936,24.417,24.404282,24.396034
2011-09-19,24.34954,24.37104,24.40503,24.389511,24.421211,24.434212,24.419083
2011-09-20,24.405273,24.394562,24.390518,24.408005,24.406898,24.412498,24.452835
2011-09-21,24.42649,24.429787,24.44114,24.428871,24.443024,24.425278,24.437218
2011-09-22,24.422966,24.418884,24.429977,24.44529,24.442657,24.452393,24.440132
2011-09-23,24.391151,24.407997,24.432632,24.438957,24.446938,24.459969,24.458908
2011-09-25,24.409714,24.438011,24.441498,24.436707,24.46122,24.4553,24.462921
2011-09-26,24.443985,24.42672,24.453812,24.44654,24.464508,24.483238,24.4813
2011-09-27,24.440231,24.435234,24.457352,24.452614,24.467308,24.46466,24.479843
2011-09-28,24.437233,24.466064,24.476265,24.47136,24.471191,24.490425,24.478683
2011-09-29,24.475487,24.483482,24.458702,24.468185,24.470695,24.488686,24.487396
2011-09-30,24.445961,24.450134,24.472664,24.487892,24.482399,24.510384,24.5186
2011-10-02,24.4627,24.483948,24.458778,24.481041,24.492134,24.551773,24.523956
2011-10-03,24.48536,24.482903,24.49028,24.501114,24.50473,24.53125,24.530548
2011-10-04,24.474762,24.495476,24.49012,24.530426,24.498604,24.511894,24.542244
2011-10-05,24.499786,24.507355,24.503159,24.53106,24.54361,24.540306,24.569199
2011-10-06,24.479134,24.533028,24.5233,24.511215,24.542488,24.560295,24.524826
2011-10-07,24.523018,24.524422,24.540398,24.544334,24.560112,24.535736,24.548645
2011-10-09,24.522888,24.516281,24.568573,24.557121,24.551544,24.551285,24.587936
2011-10-10,24.53125,24.537216,24.569527,24.562637,24.54766,24.587852,24.657394
2011-10-11,24.558487,24.552513,24.552063,24.553535,24.562813,24.668434,24.676643
2011-10-12,24.555695,24.537216,24.54837,24.578102,24.65709,24.689796,24.667152
2011-10-13,24.54406,24.577461,24.561836,24.59198,24.669853,24.693146,24.662918
2011-10-14,24.570122,24.581818,24.670204,24.681961,24.682198,24.683502,24.691208
2011-10-16,24.599213,24.59024,24.687752,24.674477,24.677094,24.70803,24.71289
2011-10-17,24.66745,24.67035,24.673409,24.668648,24.694641,24.691322,24.71817
2011-10-18,24.669495,24.665726,24.682854,24.68908,24.722206,24.720207,24.738037
2011-10-19,24.648926,24.684547,24.666306,24.716743,24.711502,24.731316,24.718735
2011-10-20,24.691757,24.694748,24.712456,24.71621,24.74427,24.731453,24.73655
2011-10-21,24.705482,24.71933,24.734161,24.700981,24.739548,24.734543,24.755005
2011-10-23,24.713707,24.715836,24.719582,24.746529,24.73764,24.762047,24.752739
2011-10-24,24.724281,24.719284,24.719238,24.741104,24.754593,24.775963,24.7529
2011-10-25,24.734543,24.7165,24.756561,24.76667,24.789001,24.781502,24.767761
2011-10-26,24.738564,24.746521,24.756927,24.770988,24.776909,24.783752,24.789612
2011-10-27,24.75299,24.749245,24.757309,24.77581,24.78122,24.80001,24.768394
2011-10-28,24.769707,24.780304,24.761894,24.76287,24.771774,24.788307,24.793205
2011-10-30,24.770157,24.758606,24.764893,24.77948,24.792892,24.795723,24.767738
2011-10-31,24.772293,24.785645,24.772652,24.802773,24.787209,24.774109,24.79779
2011-11-01,24.77507,24.78019,24.77935,24.768211,24.791924,24.797798,24.784058
2011-11-02,24.781067,24.78083,24.772331,24.783104,24.784195,24.791985,24.806885
2011-11-03,24.79602,24.796814,24.789314,24.79058,24.787407,24.809685,24.807327
2011-11-04,24.766129,24.794548,24.811768,24.791275,24.815086,24.812698,24.839417
2011-11-06,24.804176,24.77629,24.79042,24.79766,24.801117,24.845947,24.858292
2011-11-07,24.78669,24.794235,24.809044,24.8098,24.848846,24.870735,24.875069
2011-11-08,24.795662,24.781029,24.809914,24.836906,24.86293,24.875504,24.888481
2011-11-09,24.808197,24.832802,24.846527,24.866508,24.88015,24.878357,24.902489
2011-11-10,24.822647,24.851768,24.861107,24.88395,24.87706,24.88446,24.913025
2011-11-11,24.841385,24.87149,24.864357,24.89193,24.884224,24.889679,24.900475
2011-11-13,24.844757,24.883812,24.889397,24.901848,24.908615,24.88868,24.940605
2011-11-14,24.888512,24.866974,24.885056,24.916153,24.917633,24.940842,24.96482
2011-11-15,24.890259,24.8806,24.893143,24.925957,24.937279,24.948837,24.9654
2011-11-16,24.90522,24.919487,24.92067,24.92633,24.964645,24.977112,24.967133
2011-11-17,24.922188,24.944588,24.957024,24.948265,24.951424,24.986534,25.007446
2011-11-18,24.914047,24.931938,24.94365,24.956886,24.97303,24.993874,25.01123
2011-11-20,24.93911,24.987564,24.977005,24.978813,24.985954,24.982773,25.01493
2011-11-21,24.945824,24.96251,24.98243,24.973198,25.006676,24.997032,25.044426
2011-11-22,24.98133,24.974586,24.995346,25.010307,24.990364,25.05642,25.059937
2011-11-23,24.980461,25.008636,25.017479,25.002747,25.039719,25.036339,25.109795
2011-11-24,24.992546,24.993477,25.008644,25.016693,25.047577,25.151703,25.18882
2011-11-25,25.018127,25.013672,25.041702,25.036766,25.135956,25.202805,25.416016
2011-11-27,25.00315,25.039803,25.045555,25.143417,25.185036,25.406029,25.384521
2011-11-28,25.048782,25.056374,25.137733,25.201805,25.388565,25.390816,25.387962
2011-11-29,25.056335,25.137184,25.196838,25.407974,25.405228,25.408226,25.422165
2011-11-30,25.127174,25.197357,25.396118,25.41922,25.394585,25.4068,25.417274
2011-12-01,25.19255,25.397942,25.401703,25.40564,25.40844,25.390419,25.380638
2011-12-02,25.410027,25.408516,25.386848,25.377892,25.371498,25.409065,25.381226
2011-12-04,25.39215,25.401062,25.416924,25.388306,25.419678,25.407318,25.415474
2011-12-05,25.393578,25.38942,25.406326,25.413666,25.387878,25.389511,25.41462
2011-12-06,25.410995,25.396912,25.410782,25.399979,25.400131,25.442024,25.427284
2011-12-07,25.391632,25.413712,25.391556,25.406693,25.43937,25.453117,25.507515
2011-12-08,25.393318,25.413116,25.386505,25.44268,25.408936,25.464195,25.494263
2011-12-09,25.412155,25.395775,25.41745,25.45977,25.44236,25.48008,25.498268
2011-12-11,25.39093,25.41951,25.427063,25.49273,25.491531,25.47866,25.509087
2011-12-12,25.407097,25.436432,25.442429,25.481659,25.52935,25.503395,25.499695
2011-12-13,25.452896,25.49131,25.462418,25.50476,25.519196,25.507011,25.498596
2011-12-14,25.483032,25.48571,25.50093,25.51197,25.537811,25.514893,25.498558
2011-12-15,25.485672,25.496376,25.508934,25.500465,25.471397,25.490204,25.507515
2011-12-16,25.489014,25.496216,25.498955,25.500885,25.528946,25.491798,25.53447
2011-12-18,25.508873,25.55037,25.496368,25.482521,25.486664,25.507233,25.597084
2011-12-19,25.510674,25.502144,25.496994,25.5111,25.538757,25.585503,25.547653
2011-12-20,25.486847,25.494476,25.518219,25.572731,25.567764,25.598488,25.556625
2011-12-21,25.5046,25.490097,25.511124,25.524803,25.54596,25.582024,25.545853
2011-12-22,25.542137,25.504387,25.56836,25.527641,25.549187,25.568,25.523918
2011-12-23,25.529297,25.53556,25.54815,25.547516,25.580544,25.550735,25.537857
2011-12-27,25.566963,25.570198,25.548676,25.554604,25.546272,25.54834,25.531822
2011-12-28,25.527428,25.564034,25.577904,25.532799,25.545502,25.529205,25.516205
2011-12-29,25.551865,25.540314,25.543388,25.573494,25.525848,25.517685,25.524757
2011-12-30,25.559189,25.530952,25.544106,25.47702,25.521362,25.55458,25.569695
2012-01-02,25.550873,25.56585,25.507576,25.541481,25.577309,25.573586,25.566864
2012-01-03,25.527542,25.516739,25.536095,25.554253,25.570816,25.546776,25.578667
2012-01-04,25.512169,25.518303,25.519905,25.55413,25.585388,25.591682,25.580093
2012-01-05,25.542145,25.552101,25.582413,25.56453,25.592484,25.577927,25.595764
2012-01-06,25.578178,25.5746,25.57962,25.581451,25.585,25.594574,25.577957
2012-01-08,25.570648,25.568817,25.586517,25.597244,25.592613,25.593147,25.579765
2012-01-09,25.586212,25.60997,25.57949,25.58117,25.584618,25.577148,25.544647
2012-01-10,25.583122,25.574898,25.586906,25.602013,25.592941,25.578995,25.564842
2012-01-11,25.584412,25.582512,25.579422,25.585464,25.555702,25.561752,25.583305
2012-01-12,25.599373,25.582703,25.587105,25.574509,25.574493,25.596321,25.55915
2012-01-13,25.582542,25.587929,25.570381,25.565193,25.573982,25.5811,25.598442
2012-01-15,25.58384,25.580093,25.563133,25.591866,25.597939,25.598175,25.618523
2012-01-16,25.584824,25.550896,25.594818,25.55198,25.597137,25.626984,25.583405
2012-01-17,25.553062,25.588387,25.580849,25.61177,25.62571,25.555702,25.579002
2012-01-18,25.59755,25.587997,25.592178,25.56092,25.598778,25.601135,25.603333
2012-01-19,25.61837,25.62281,25.623604,25.609589,25.576195,25.62764,25.599525
2012-01-20,25.580055,25.639664,25.605255,25.585815,25.593094,25.590477,25.57856
2012-01-22,25.580574,25.587318,25.574936,25.60495,25.611427,25.592476,25.611168
2012-01-23,25.582138,25.589127,25.610039,25.589523,25.622902,25.625,25.602966
2012-01-24,25.565155,25.623337,25.626488,25.626366,25.592354,25.588745,25.56224
2012-01-25,25.637703,25.58435,25.578972,25.555237,25.613632,25.568802,25.550041
2012-01-26,25.62185,25.598358,25.583069,25.605537,25.552094,25.552292,25.548508
2012-01-27,25.58612,25.631218,25.600418,25.56842,25.543808,25.560936,25.5466
