,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD
2011-10-28,1.2742254,1.2755839,1.2780206,1.2786515,1.2759684,1.2695302,1.2768884
2011-10-30,1.2774738,1.2760612,1.2734909,1.2735984,1.2793033,1.2801265,1.2748849
2011-10-31,1.2813625,1.2793902,1.2772293,1.2830964,1.275972,1.276994,1.2769536
2011-11-01,1.2775079,1.2762417,1.2751851,1.276015,1.2745433,1.2747803,1.2755737
2011-11-02,1.2815626,1.2726482,1.2741646,1.2785159,1.2777339,1.2741283,1.2749738
2011-11-03,1.2770749,1.2781303,1.2775671,1.2774453,1.2759736,1.274081,1.271952
2011-11-04,1.2778639,1.2750938,1.2744884,1.2716172,1.2725873,1.2717305,1.274809
2011-11-06,1.2769305,1.2766486,1.2719707,1.2748101,1.277447,1.274561,1.2729787
2011-11-07,1.2750199,1.2788664,1.2758994,1.2742475,1.2752862,1.2743381,1.2716208
2011-11-08,1.2796656,1.2715415,1.2686286,1.275488,1.2716489,1.2730112,1.2791653
2011-11-09,1.2780302,1.2725416,1.2749072,1.2696421,1.2717577,1.2733452,1.2708952
2011-11-10,1.276556,1.2725298,1.2721758,1.2725668,1.2744688,1.27404,1.2734282
2011-11-11,1.2727778,1.2750633,1.2709178,1.2736347,1.2728615,1.2743081,1.2755699
2011-11-13,1.2737812,1.275961,1.271628,1.2712661,1.2745677,1.2734004,1.2723631
2011-11-14,1.2748344,1.2721019,1.276006,1.2704499,1.273005,1.2730706,1.2721492
2011-11-15,1.2708834,1.2719226,1.2733834,1.2706938,1.273517,1.2709286,1.276133
2011-11-16,1.2731702,1.2720797,1.2717898,1.2728603,1.2695382,1.27179,1.2746491
2011-11-17,1.2733719,1.2738459,1.275317,1.2727764,1.2747865,1.2731737,1.2712873
2011-11-18,1.2740366,1.2724061,1.2740253,1.2725786,1.2711296,1.2720789,1.2755731
2011-11-20,1.2763782,1.2733335,1.2748104,1.2730547,1.272403,1.272109,1.2730638
2011-11-21,1.2690061,1.2715571,1.2697067,1.2702879,1.2706453,1.2726254,1.2735293
2011-11-22,1.273167,1.2735476,1.2738035,1.2716652,1.275014,1.272044,1.2734505
2011-11-23,1.2728789,1.2716374,1.273493,1.274081,1.2725823,1.2698896,1.2742708
2011-11-24,1.2733274,1.271332,1.2696707,1.2708545,1.2736268,1.2773862,1.2770704
2011-11-25,1.2744787,1.2707446,1.27312,1.2744973,1.2717259,1.2758691,1.2801418
2011-11-27,1.2774321,1.272728,1.2711557,1.274699,1.2733679,1.28013,1.2837178
2011-11-28,1.2739303,1.2731024,1.2708374,1.2764442,1.2791007,1.2837816,1.2808852
2011-11-29,1.2724475,1.2759624,1.2740375,1.2796875,1.2834222,1.2826982,1.2862742
2011-11-30,1.274848,1.2786152,1.2813798,1.283068,1.2807592,1.2818204,1.2813601
