,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY
2011-03-14,950.996,951.15216,951.0067,949.6256,951.3379,950.6478,950.8229
2011-03-15,969.77527,969.9314,969.786,968.4049,970.11725,969.4271,969.6022
2011-03-16,988.5499,988.70605,988.56055,987.1795,988.89185,988.2018,988.37683
2011-03-17,1007.32874,1007.48486,1007.3394,1005.9584,1007.6707,1006.9806,1007.15564
2011-03-18,1026.1075,1026.2637,1026.1183,1024.7372,1026.4495,1025.7594,1025.9344
2011-03-20,1044.8864,1045.0425,1044.8971,1043.5161,1045.2284,1044.5382,1044.7133
2011-03-21,1063.6653,1063.8214,1063.676,1062.2949,1064.0072,1063.3171,1063.4922
2011-03-22,1082.4441,1082.6002,1082.4547,1081.0737,1082.7861,1082.096,1082.271
2011-03-23,1101.1836,1101.3398,1101.1943,1099.8134,1101.5255,1100.8354,1101.0105
2011-03-24,1120.0012,1120.1573,1120.0118,1118.6309,1120.3433,1119.6531,1119.8282
2011-03-25,1138.7799,1138.9363,1138.7908,1137.4097,1139.122,1138.4319,1138.6069
2011-03-27,1157.5599,1157.7162,1157.5708,1156.1898,1157.9021,1157.2119,1157.387
2011-03-28,1176.3384,1176.4945,1176.349,1174.968,1176.6803,1175.9902,1176.1653
2011-03-29,1195.1158,1195.272,1195.1265,1193.7455,1195.4578,1194.7677,1194.9427
2011-03-30,1213.8942,1214.0504,1213.9049,1212.5239,1214.2362,1213.546,1213.7212
2011-03-31,1232.6732,1232.8293,1232.6838,1231.3029,1233.0151,1232.3251,1232.5001
2011-04-01,1251.4515,1251.6077,1251.4622,1250.0812,1251.7933,1251.1034,1251.2783
2011-04-03,1270.2297,1270.3859,1270.2405,1268.8595,1270.5718,1269.8816,1270.0566
2011-04-04,1289.008,1289.1642,1289.0187,1287.6377,1289.35,1288.6599,1288.835
2011-04-05,1307.7863,1307.9424,1307.7969,1306.4159,1308.1282,1307.4381,1307.6132
2011-04-06,1326.5646,1326.7207,1326.5753,1325.1942,1326.9065,1326.2164,1326.3915
2011-04-07,1345.3428,1345.499,1345.3535,1343.9725,1345.6849,1344.9946,1345.1698
2011-04-08,1364.1211,1364.2772,1364.1317,1362.7507,1364.4631,1363.773,1363.948
