,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD
2011-06-03,1.6305083,1.6281447,1.6236691,1.6327431,1.6374319,1.6326082,1.6335349
2011-06-05,1.6459584,1.6469952,1.6428691,1.6386013,1.6432816,1.6343809,1.6387198
2011-06-06,1.6355368,1.6259158,1.6350619,1.6358232,1.642972,1.6393138,1.6349485
2011-06-07,1.6370386,1.6315962,1.6440984,1.6286509,1.641799,1.6273053,1.6124461
2011-06-08,1.6366799,1.6461661,1.6403897,1.6372534,1.6352048,1.6423922,1.6301574
2011-06-09,1.6329352,1.6428354,1.6369951,1.6336441,1.6205529,1.6301259,1.6327404
2011-06-10,1.6467164,1.6470397,1.6399986,1.6402694,1.6432564,1.6506845,1.6411428
2011-06-12,1.6381797,1.6309814,1.6222088,1.6369443,1.6370134,1.6405544,1.638051
2011-06-13,1.6466546,1.6349374,1.633466,1.6433432,1.6308486,1.6271144,1.6311582
2011-06-14,1.6364987,1.6307557,1.6251347,1.6314327,1.6257778,1.6271346,1.6315658
2011-06-15,1.639575,1.6343269,1.6355685,1.6299111,1.6289569,1.6308415,1.6299095
2011-06-16,1.6334538,1.6353602,1.6242654,1.6307881,1.6306183,1.6276548,1.6276233
2011-06-17,1.6292255,1.6335204,1.6303447,1.6347562,1.6274517,1.6273899,1.6284684
2011-06-19,1.6313479,1.6340079,1.6338379,1.6273326,1.6257048,1.6366469,1.6301554
2011-06-20,1.6382773,1.632186,1.6295508,1.6269437,1.6236582,1.6243452,1.6227293
2011-06-21,1.6322688,1.6297191,1.628746,1.6256769,1.6259954,1.6251364,1.6243949
2011-06-22,1.627775,1.6271889,1.6232979,1.6232,1.6284266,1.6178708,1.6267567
2011-06-23,1.6268493,1.6336621,1.6274724,1.6251862,1.6239133,1.6213061,1.6260417
2011-06-24,1.6249585,1.6277431,1.6210616,1.6251416,1.6125245,1.6146632,1.6220493
2011-06-26,1.6237069,1.626271,1.623713,1.6251532,1.6242127,1.6236504,1.6226733
2011-06-27,1.6264966,1.628481,1.6268207,1.6212356,1.6238878,1.6207955,1.6286271
2011-06-28,1.6289947,1.620916,1.6322535,1.6281029,1.6232392,1.6225634,1.6178623
2011-06-29,1.626805,1.627743,1.6245606,1.628092,1.624224,1.6285387,1.6255484
2011-06-30,1.6356015,1.6186991,1.6243451,1.6222639,1.6233776,1.6221765,1.6231558
2011-07-01,1.624219,1.6241088,1.6259588,1.6222616,1.6254557,1.6211629,1.6246079
2011-07-03,1.6281297,1.6177641,1.6206397,1.62193,1.6198387,1.6179004,1.6233423
2011-07-04,1.6277542,1.6275371,1.6217213,1.6227367,1.6260786,1.6198636,1.6161537
2011-07-05,1.623308,1.6246397,1.620398,1.6212335,1.6209943,1.6166601,1.61483
2011-07-06,1.6236658,1.6233833,1.6235425,1.6203039,1.6199104,1.615008,1.6138626
2011-07-07,1.6237774,1.6229973,1.621613,1.6190698,1.6170241,1.6130416,1.6123393
2011-07-08,1.6233064,1.6224188,1.615578,1.6151382,1.6149242,1.6131008,1.6110172
2011-07-10,1.6208727,1.6173799,1.6170496,1.6153419,1.6138604,1.606884,1.6119065
2011-07-11,1.616476,1.6158694,1.6171393,1.6103055,1.614119,1.6154938,1.6141263
2011-07-12,1.616478,1.6130399,1.6152465,1.6083987,1.6098894,1.603769,1.607372
2011-07-13,1.6122851,1.61091,1.6142982,1.6065869,1.611134,1.6118424,1.6088951
2011-07-14,1.6127785,1.6111759,1.6029139,1.6107926,1.6139652,1.613866,1.607633
2011-07-15,1.6086184,1.6073941,1.6103518,1.6099482,1.6047848,1.60877,1.6134517
2011-07-17,1.6059803,1.6125731,1.6130314,1.6103312,1.6043252,1.6115186,1.6071377
2011-07-18,1.6019952,1.6037829,1.6065087,1.6100931,1.6102718,1.6081086,1.610603
2011-07-19,1.609908,1.6116016,1.610319,1.6096429,1.6035609,1.6073488,1.6063204
2011-07-20,1.6121182,1.6163459,1.6086029,1.6105734,1.6082008,1.6161973,1.607903
2011-07-21,1.6195872,1.6022017,1.6065192,1.6090119,1.6060333,1.6099266,1.608722
2011-07-22,1.6105556,1.6120511,1.6075523,1.6057618,1.6069297,1.6058685,1.6070344
2011-07-24,1.6077746,1.6098425,1.6099687,1.606265,1.6063337,1.6085137,1.6129844
2011-07-25,1.6008661,1.6097956,1.607371,1.6132939,1.6055958,1.6060698,1.6076127
2011-07-26,1.6077895,1.6117136,1.6087905,1.6111454,1.6101499,1.6071606,1.6122437
2011-07-27,1.6089242,1.6054809,1.6101352,1.6124394,1.6154779,1.6072094,1.6076713
2011-07-28,1.6119536,1.6077777,1.6104858,1.603002,1.6118894,1.6068668,1.6050999
2011-07-29,1.6110904,1.6184323,1.6119125,1.609266,1.6059963,1.6080067,1.6090517
2011-07-31,1.6159974,1.6125925,1.610342,1.6152966,1.6104798,1.6111125,1.6104465
2011-08-01,1.6024326,1.6069975,1.6077837,1.6118035,1.6142479,1.6131245,1.6101515
2011-08-02,1.6084676,1.6088156,1.6149291,1.6137714,1.6101388,1.6109816,1.6161797
2011-08-03,1.6108994,1.6066036,1.6073261,1.6083863,1.6088393,1.6109264,1.6136667
2011-08-04,1.6066072,1.6089964,1.6050867,1.6135274,1.6090055,1.608609,1.6131303
2011-08-05,1.6069963,1.6150544,1.6089256,1.6098309,1.6130397,1.6188403,1.6202819
2011-08-07,1.6080396,1.6099453,1.6090456,1.6119444,1.6173604,1.6151605,1.6173885
2011-08-08,1.6014549,1.6140727,1.612923,1.6174141,1.6146466,1.6196855,1.6221862
2011-08-09,1.6112912,1.6164955,1.6135937,1.6130353,1.617705,1.6222264,1.6263833
2011-08-10,1.6098374,1.6151655,1.6168125,1.6205913,1.619886,1.6245551,1.6242905
2011-08-11,1.6202416,1.6126432,1.6197746,1.6208928,1.6174401,1.616837,1.6227262
2011-08-12,1.6167923,1.6189642,1.6228946,1.6220858,1.6023245,1.626818,1.6261067
2011-08-14,1.6152662,1.6226722,1.6232706,1.6201701,1.6237863,1.6213049,1.6185844
2011-08-15,1.6198328,1.6247966,1.6349728,1.6309432,1.6269668,1.6252049,1.6203103
2011-08-16,1.6246359,1.6240351,1.6276938,1.6295357,1.6238141,1.6294358,1.6333102
2011-08-17,1.6270895,1.6220479,1.6325167,1.6259258,1.6244929,1.628969,1.6326191
2011-08-18,1.623793,1.6308544,1.6285012,1.6329784,1.6280459,1.6296685,1.6368642
2011-08-19,1.6309274,1.6350902,1.6242614,1.62607,1.629196,1.6409823,1.6341861
2011-08-21,1.625937,1.6283243,1.6362225,1.6334618,1.6292506,1.6265124,1.6344578
2011-08-22,1.628016,1.6329284,1.6315756,1.6295521,1.6274451,1.6259624,1.6272687
2011-08-23,1.6253227,1.6316965,1.6338911,1.6350756,1.6339034,1.6393027,1.6317737
2011-08-24,1.6262872,1.6327336,1.6338127,1.6296309,1.6367122,1.6318033,1.6308494
2011-08-25,1.6276805,1.6382351,1.6382194,1.6283137,1.636647,1.6329952,1.6353295
2011-08-26,1.6309292,1.6329476,1.6312608,1.6421673,1.6312808,1.6354866,1.6333413
2011-08-28,1.6369482,1.6328845,1.6368517,1.6319821,1.6290966,1.6328362,1.636905
2011-08-29,1.6351447,1.6482104,1.6298748,1.6350067,1.6358671,1.6346133,1.636099
2011-08-30,1.6352408,1.6268282,1.6333762,1.632074,1.6258367,1.6354837,1.6254555
2011-08-31,1.6322293,1.6341553,1.6414672,1.6365671,1.6317738,1.6369427,1.6306565
2011-09-01,1.632248,1.6338592,1.6332557,1.6348792,1.6325248,1.6335151,1.636975
2011-09-02,1.6352806,1.6370952,1.633287,1.6325518,1.6323318,1.640962,1.6350594
2011-09-04,1.6335971,1.6348957,1.6325039,1.6351137,1.6348726,1.6347167,1.6339806
2011-09-05,1.6359255,1.6345251,1.6339369,1.6369292,1.6283207,1.6308782,1.6324381
2011-09-06,1.6366929,1.6332114,1.6340878,1.6314979,1.6296885,1.6298378,1.6320431
2011-09-07,1.6340518,1.6377776,1.6343637,1.6309577,1.6359516,1.629911,1.6313636
2011-09-08,1.6344557,1.6342084,1.6321678,1.6341766,1.6312071,1.6351627,1.6293602
2011-09-09,1.6311324,1.6320732,1.6343299,1.6317832,1.6305473,1.6300771,1.6291336
2011-09-11,1.6334064,1.6341631,1.6306825,1.6304302,1.6254222,1.6295044,1.6298635
2011-09-12,1.6246213,1.6318163,1.628655,1.6299491,1.6312195,1.6291589,1.6269584
2011-09-13,1.6310351,1.6295626,1.6319497,1.6289681,1.6315258,1.6295698,1.6278673
2011-09-14,1.6345812,1.6305944,1.6278474,1.6297195,1.627738,1.6274203,1.6236081
2011-09-15,1.6297228,1.6306047,1.6300658,1.6287361,1.6262225,1.6239451,1.6226993
2011-09-16,1.6285901,1.6234856,1.6286162,1.6256734,1.6248534,1.6196353,1.6157032
2011-09-18,1.628453,1.629242,1.6276743,1.6243907,1.6211843,1.6249865,1.6198177
2011-09-19,1.6275792,1.627384,1.6232431,1.6190299,1.6241006,1.6223303,1.6218351
2011-09-20,1.6271439,1.6250554,1.6260216,1.6181177,1.6186601,1.6189265,1.6178025
2011-09-21,1.6262838,1.6217688,1.6225328,1.6215615,1.6210757,1.6170479,1.6123652
2011-09-22,1.622487,1.6211364,1.6234009,1.6192728,1.6150076,1.6107112,1.6018065
2011-09-23,1.616476,1.6162174,1.6175628,1.6180674,1.6140316,1.604206,1.6007712
2011-09-25,1.6219273,1.6180022,1.6123714,1.610874,1.6023202,1.6013807,1.5955656
2011-09-26,1.6217471,1.6151865,1.6110343,1.6016797,1.5981114,1.5970187,1.5920889
2011-09-27,1.6154494,1.6117824,1.6087892,1.6008182,1.5994686,1.5917212,1.586202
2011-09-28,1.6116983,1.5992336,1.5960431,1.5978926,1.5925584,1.5854042,1.582823
2011-09-29,1.5991734,1.6053815,1.5975547,1.5939684,1.5865806,1.5869232,1.5813664
2011-09-30,1.6001879,1.5960828,1.5924108,1.5847808,1.5846156,1.5860442,1.582884
2011-10-02,1.5951555,1.591444,1.5851982,1.5857079,1.5804633,1.5777421,1.5757928
2011-10-03,1.5942677,1.5918986,1.5800945,1.5822725,1.5779243,1.5741818,1.5742074
2011-10-04,1.584801,1.5820175,1.5860772,1.5783086,1.5792873,1.5767249,1.5730095
2011-10-05,1.5830398,1.5808532,1.5842323,1.5803373,1.5770746,1.5724391,1.575349
2011-10-06,1.5849965,1.576201,1.5758003,1.579833,1.576246,1.5708892,1.5704442
