,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN
2011-08-17,2.8262777,2.8229876,2.8331745,2.8359334,2.828743,2.815745,2.8525066
2011-08-18,2.828393,2.8345807,2.829967,2.8329618,2.8250735,2.8504832,2.8332586
2011-08-19,2.83364,2.822415,2.838716,2.8557587,2.8523405,2.8362358,2.847412
2011-08-21,2.8381956,2.8350844,2.8674016,2.8440242,2.850868,2.8535893,2.8522987
2011-08-22,2.8441947,2.8454962,2.8333607,2.8253913,2.857455,2.8535385,2.8516138
2011-08-23,2.8585284,2.8348799,2.8484116,2.8427472,2.8410828,2.8600898,2.8706028
2011-08-24,2.8292096,2.8403723,2.8536117,2.84639,2.8530972,2.8594248,2.860055
2011-08-25,2.8398297,2.839104,2.8485768,2.8585153,2.857743,2.8606467,2.8703272
2011-08-26,2.859307,2.838036,2.850455,2.8559828,2.8602674,2.860016,2.860879
2011-08-28,2.8467705,2.861575,2.8527172,2.8583488,2.8558416,2.8637152,2.874941
2011-08-29,2.846887,2.8585765,2.8604026,2.8589385,2.8702483,2.8586037,2.880104
2011-08-30,2.8662894,2.8516676,2.863545,2.869143,2.8790522,2.872468,2.8704536
2011-08-31,2.859726,2.8632412,2.8719993,2.8667154,2.8688278,2.8651664,2.8679318
2011-09-01,2.857771,2.8667805,2.8689935,2.8752353,2.8765974,2.8727205,2.8668735
2011-09-02,2.8657908,2.8689778,2.8777096,2.8669004,2.8954787,2.8730462,2.88188
2011-09-04,2.868051,2.8681686,2.8575976,2.8693688,2.870232,2.877386,2.8811743
2011-09-05,2.8544683,2.8686993,2.8540378,2.8560133,2.8844619,2.8839388,2.8805108
2011-09-06,2.887873,2.8785644,2.8846285,2.859043,2.8875942,2.889257,2.8821237
2011-09-07,2.8732476,2.8853412,2.8743718,2.8759944,2.8773305,2.883916,2.914448
2011-09-08,2.878603,2.869308,2.891563,2.8919148,2.8866131,2.8875735,2.8962939
2011-09-09,2.8719687,2.8689637,2.881238,2.885894,2.8861253,2.8925407,2.8935304
2011-09-11,2.877742,2.8866248,2.8809633,2.8867207,2.8865657,2.9167752,2.899225
2011-09-12,2.89439,2.8851562,2.8770442,2.8858163,2.8952868,2.8966863,2.8984885
2011-09-13,2.8694794,2.8941784,2.882362,2.894835,2.900559,2.9117813,2.906056
2011-09-14,2.8886845,2.892668,2.9028418,2.896056,2.8982184,2.9050102,2.9124632
2011-09-15,2.9094284,2.9079578,2.9034877,2.905676,2.9097328,2.9089584,2.9112086
2011-09-16,2.8956451,2.8935878,2.908999,2.9116426,2.9070442,2.9120357,2.916677
2011-09-18,2.8988895,2.908639,2.9043982,2.9051993,2.9062483,2.9170418,2.9292746
2011-09-19,2.9029076,2.9134917,2.9073822,2.9108977,2.9176073,2.9302585,2.9406903
2011-09-20,2.916743,2.9057233,2.9179018,2.9270015,2.9300456,2.9476388,2.9671369
2011-09-21,2.90991,2.908741,2.9157329,2.9317622,2.936846,2.959949,2.9814124
2011-09-22,2.9183617,2.9148448,2.9337273,2.9384205,2.9604623,2.9904933,2.9905763
2011-09-23,2.9160452,2.9321716,2.934228,2.9626226,2.9897587,2.9916255,3.0121782
2011-09-25,2.92311,2.9398654,2.9464636,2.992363,2.9969795,3.0047214,3.035095
2011-09-26,2.9372747,2.9617586,2.9991112,3.0006611,3.0188973,3.0231514,3.104889
2011-09-27,2.9622679,2.9894125,2.9930236,3.0223756,3.0313566,3.1141312,3.1287978
2011-09-28,2.986092,3.0023103,3.0027492,3.0398812,3.0924668,3.1308393,3.13731
2011-09-29,2.9889224,3.0071003,3.0290427,3.1140049,3.146204,3.141974,3.1470845
2011-09-30,3.0049968,3.041747,3.078046,3.1389654,3.142748,3.1612718,3.1595912
2011-10-02,3.0414035,3.1149313,3.1276014,3.145588,3.1561518,3.159804,3.1708193
2011-10-03,3.1120334,3.1196969,3.1443915,3.1440341,3.1636074,3.1740117,3.1875057
2011-10-04,3.1250255,3.1462333,3.1514657,3.1654682,3.173225,3.17284,3.1856356
2011-10-05,3.1432838,3.1481845,3.1645458,3.1699946,3.1725242,3.1912546,3.1903543
2011-10-06,3.1526854,3.1662633,3.1653566,3.1780508,3.184092,3.1861923,3.1812236
2011-10-07,3.1588771,3.1603801,3.1697493,3.182811,3.1839538,3.191462,3.180147
2011-10-09,3.16721,3.173055,3.188868,3.184264,3.193163,3.1859863,3.1780152
