,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
2011-04-25,0.9110386,0.9095205,0.90706134,0.9071892,0.90466285,0.90521514,0.90342927
2011-04-26,0.90855014,0.9071479,0.9080022,0.9049649,0.90497714,0.9029541,0.90432924
2011-04-27,0.9088553,0.9075254,0.9058067,0.90506595,0.90227926,0.904593,0.9036088
2011-04-28,0.90649056,0.9048594,0.9052037,0.904847,0.904329,0.9043648,0.9043973
2011-04-29,0.9045746,0.90428776,0.9023966,0.9038522,0.9019511,0.90194917,0.8980391
2011-05-01,0.9051188,0.90327346,0.90436137,0.9033109,0.9034731,0.89770895,0.8976221
2011-05-02,0.9022732,0.9046085,0.90468913,0.90240514,0.8996286,0.8981054,0.8958089
2011-05-03,0.9028323,0.9038617,0.9038011,0.8989993,0.8989351,0.89649975,0.8955572
2011-05-04,0.9042317,0.9025367,0.8989452,0.89911294,0.89669055,0.89580625,0.89372003
2011-05-05,0.9041946,0.8999029,0.89841753,0.89824086,0.89579564,0.8943174,0.89146507
2011-05-06,0.9003094,0.89800566,0.8977158,0.894469,0.89375335,0.89558524,0.89178354
2011-05-08,0.89868224,0.89618266,0.8958033,0.8932561,0.89320594,0.8923293,0.89147997
2011-05-09,0.89685684,0.8967208,0.8935236,0.8936186,0.8928633,0.891165,0.8860826
2011-05-10,0.8964172,0.8955326,0.89443535,0.8921935,0.89035,0.8871308,0.88637197
2011-05-11,0.8936664,0.89542854,0.89199543,0.89037836,0.88603467,0.8891053,0.8864072
2011-05-12,0.8943897,0.8923984,0.88989216,0.8867681,0.88640445,0.88588804,0.8871497
2011-05-13,0.8920198,0.8911502,0.88892823,0.8882698,0.88754123,0.8874485,0.8841088
2011-05-15,0.89052635,0.88801855,0.88790053,0.8859219,0.8857863,0.8858754,0.88395774
2011-05-16,0.8854756,0.88610095,0.8860089,0.884573,0.88473123,0.88321906,0.8834913
2011-05-17,0.887626,0.887659,0.88682836,0.886358,0.8847495,0.8841434,0.88277733
2011-05-18,0.88631237,0.88751304,0.88509244,0.88307875,0.8816269,0.8817912,0.8823638
2011-05-19,0.885699,0.88444024,0.8828449,0.88279593,0.88284343,0.88302183,0.88278025
2011-05-20,0.88491076,0.88362753,0.88340324,0.88227814,0.88241756,0.88229054,0.8805492
2011-05-22,0.8860921,0.8833065,0.8820514,0.8831001,0.88316226,0.88096994,0.88147503
2011-05-23,0.88550365,0.8828801,0.88245696,0.88183445,0.8815299,0.8804698,0.88020957
2011-05-24,0.8827746,0.88282067,0.8820179,0.8820608,0.8811304,0.8798392,0.879018
2011-05-25,0.8823498,0.8811343,0.8809932,0.88058853,0.87944645,0.87936974,0.8779124
2011-05-26,0.88174504,0.8805173,0.88108134,0.87938434,0.87913334,0.8793928,0.8782912
2011-05-27,0.8808751,0.88065606,0.88080394,0.87926257,0.8780982,0.8779639,0.876202
2011-05-29,0.8816259,0.88086015,0.87905717,0.87923074,0.8784229,0.8773409,0.8756157
2011-05-30,0.8810175,0.8789968,0.87847054,0.8785807,0.8760841,0.8751596,0.8752456
2011-05-31,0.8790768,0.8774746,0.8789107,0.8770877,0.8763658,0.8750769,0.87429506
2011-06-01,0.87789077,0.8786676,0.8762182,0.8766739,0.87544936,0.8741166,0.8740387
2011-06-02,0.87834215,0.8781896,0.87624454,0.87531775,0.8755408,0.8742273,0.87278986
2011-06-03,0.8761808,0.87622744,0.87509096,0.87535554,0.87364215,0.875162,0.8730223
2011-06-05,0.87724555,0.87567985,0.87552416,0.87406963,0.87364805,0.8723587,0.86763096
2011-06-06,0.87581754,0.8748284,0.87400085,0.8733308,0.87275726,0.86930805,0.86646056
2011-06-07,0.8743089,0.8754205,0.8728434,0.8724713,0.86730164,0.8670025,0.8662652
2011-06-08,0.87403595,0.87305474,0.8726708,0.86820626,0.8668795,0.8673851,0.86731917
2011-06-09,0.8728027,0.87187165,0.86857265,0.8679563,0.8660791,0.8649232,0.8659105
2011-06-10,0.8730323,0.8683654,0.8672804,0.8649494,0.86586124,0.8648971,0.86520225
2011-06-12,0.8676934,0.8656408,0.86454666,0.86652833,0.8658373,0.86498386,0.8644317
2011-06-13,0.8670429,0.8664349,0.86555237,0.86619186,0.86572015,0.8638497,0.8546432
2011-06-14,0.8663324,0.8669303,0.8657676,0.86525965,0.8656611,0.8561871,0.85171765
2011-06-15,0.8650785,0.86574733,0.8648706,0.8657633,0.8561274,0.85437125,0.8510315
2011-06-16,0.86585927,0.86351764,0.8651616,0.8554396,0.85206854,0.8520651,0.8505891
2011-06-17,0.8655892,0.8650586,0.85767734,0.85299665,0.851582,0.8500954,0.85020375
2011-06-19,0.8644817,0.8550618,0.85286033,0.8523053,0.85081106,0.85192955,0.8496881
2011-06-20,0.85540336,0.85277647,0.8504443,0.8506971,0.85018563,0.85051155,0.8490125
2011-06-21,0.8516461,0.8521153,0.85103345,0.85135335,0.8495062,0.84985507,0.845956
2011-06-22,0.8504134,0.8497769,0.8503025,0.85030603,0.84933525,0.84794766,0.84582424
2011-06-23,0.85131216,0.84977233,0.8480067,0.8486974,0.8476786,0.8452034,0.84541625
2011-06-24,0.85029304,0.85079664,0.8495908,0.8478945,0.8449485,0.84487045,0.8434418
2011-06-26,0.84958863,0.84892786,0.8479547,0.8442275,0.844025,0.8440777,0.8432784
2011-06-27,0.8489568,0.84815556,0.8449592,0.8452079,0.8426411,0.8439707,0.842956
2011-06-28,0.84803766,0.84594786,0.84425306,0.84334487,0.84289205,0.84304804,0.8435872
2011-06-29,0.84595084,0.84352666,0.8450343,0.84382004,0.84416103,0.8428461,0.8431213
2011-06-30,0.8435798,0.84373444,0.8431845,0.84301454,0.842862,0.84192663,0.84376156
2011-07-01,0.84364855,0.84323734,0.8415926,0.84395117,0.84387666,0.84332615,0.8433778
2011-07-03,0.8424996,0.84229785,0.8426204,0.8424905,0.8433533,0.8420838,0.84165746
2011-07-04,0.842032,0.84322864,0.8429261,0.8421605,0.84166133,0.84228325,0.8427927
2011-07-05,0.8437054,0.8422626,0.84307206,0.8419898,0.8431399,0.84253544,0.8409038
2011-07-06,0.84368694,0.8432196,0.84227425,0.84038925,0.84250414,0.8414398,0.84093577
2011-07-07,0.8420783,0.8412832,0.84281534,0.8415475,0.84388226,0.84282875,0.84047395
2011-07-08,0.84312314,0.84250724,0.84239924,0.8418043,0.8411963,0.841124,0.8388593
2011-07-10,0.8428218,0.8417453,0.84223586,0.8415756,0.8417254,0.8393719,0.8396061
2011-07-11,0.8422932,0.8413847,0.8406736,0.8402191,0.84052205,0.84015375,0.84047735
2011-07-12,0.8421284,0.84201705,0.84143054,0.83875346,0.8395956,0.83977276,0.8394296
2011-07-13,0.84086674,0.83974874,0.8396005,0.84014744,0.8399168,0.83961654,0.83876175
2011-07-14,0.84132916,0.8386258,0.8394434,0.8388463,0.83905196,0.838864,0.8393732
2011-07-15,0.8403005,0.8408556,0.8390962,0.8393574,0.83984715,0.8393214,0.83937556
2011-07-17,0.8405232,0.83803827,0.83885765,0.8398269,0.83935124,0.8396547,0.8387274
2011-07-18,0.8390471,0.83938175,0.83924973,0.8385572,0.83939654,0.83883286,0.83893037
2011-07-19,0.83902144,0.8394048,0.8395235,0.8403733,0.8391144,0.83841646,0.8383248
2011-07-20,0.83953017,0.8388551,0.83938795,0.8377608,0.83846676,0.83832574,0.837848
2011-07-21,0.8393606,0.8376925,0.83975524,0.8383238,0.83823854,0.8365236,0.8364862
