,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP
2011-05-01,0.8821064,0.8800955,0.88268447,0.8840238,0.8834452,0.88494927,0.8828632
2011-05-02,0.88435346,0.88474846,0.8846396,0.8871351,0.88580084,0.88309574,0.8849715
2011-05-03,0.8789425,0.87847996,0.8752091,0.8832546,0.87920326,0.88071644,0.8798293
2011-05-04,0.88520706,0.8780411,0.8783785,0.88256955,0.8880928,0.8872726,0.88633704
2011-05-05,0.8808409,0.88775504,0.8865182,0.8815208,0.8865595,0.882365,0.8848363
2011-05-06,0.8755654,0.87736976,0.87939876,0.8764811,0.8792331,0.87903965,0.87500405
2011-05-08,0.8835366,0.87873995,0.88058245,0.8808532,0.8818811,0.8805436,0.88117796
2011-05-09,0.8823025,0.8813443,0.8869167,0.89027256,0.88463056,0.88706446,0.88694704
2011-05-10,0.88934696,0.8877783,0.8873648,0.88209283,0.8869621,0.8865521,0.8862093
2011-05-11,0.8816478,0.88116705,0.88075227,0.8792357,0.8821583,0.87783945,0.8768715
2011-05-12,0.88281137,0.8806895,0.8844026,0.88011914,0.8829217,0.8818438,0.8804199
2011-05-13,0.88147724,0.8851712,0.88480663,0.883031,0.8841913,0.880732,0.8792955
2011-05-15,0.8796526,0.8810999,0.88144195,0.8774084,0.8786252,0.88020957,0.8788128
2011-05-16,0.87584066,0.88201505,0.87943256,0.88116866,0.87771946,0.8841037,0.8796129
2011-05-17,0.880604,0.880722,0.8834299,0.8796651,0.88274014,0.883634,0.88539124
2011-05-18,0.8785261,0.8800526,0.88177866,0.8847161,0.8796838,0.88255733,0.8816904
2011-05-19,0.88034654,0.8809484,0.8816918,0.88315004,0.8795383,0.8829872,0.87942314
2011-05-20,0.88181627,0.8858096,0.88362354,0.8841984,0.8843042,0.8826225,0.8834711
2011-05-22,0.8805731,0.88282526,0.88262856,0.8824967,0.8814639,0.8792671,0.8798914
2011-05-23,0.88409805,0.8841132,0.88423157,0.8805805,0.8814254,0.8779745,0.87943715
2011-05-24,0.8811893,0.88167727,0.88011515,0.87948644,0.8757322,0.8792907,0.8806439
2011-05-25,0.8866445,0.88140726,0.8798404,0.88097465,0.8839128,0.88132095,0.8761684
2011-05-26,0.8828473,0.8822853,0.88357955,0.88133657,0.8805284,0.8776401,0.876593
2011-05-27,0.8829043,0.87962615,0.8791741,0.880653,0.8776875,0.87599933,0.87781787
2011-05-29,0.88265646,0.8795584,0.8780407,0.87735486,0.87937105,0.87816274,0.87840337
2011-05-30,0.8820751,0.880126,0.8799732,0.87863445,0.88376844,0.88234365,0.881024
2011-05-31,0.8759384,0.8803899,0.8756623,0.8746731,0.8791658,0.87851906,0.8792755
2011-06-01,0.87668645,0.87887955,0.8754151,0.8743355,0.8793809,0.87972474,0.8801555
2011-06-02,0.87548846,0.87888503,0.880012,0.8787784,0.8832147,0.8762993,0.8793097
2011-06-03,0.8824068,0.8819227,0.8764198,0.8791374,0.88290644,0.8766959,0.88291687
2011-06-05,0.87731516,0.8793066,0.879614,0.8790176,0.8770642,0.87817526,0.8835894
2011-06-06,0.87392735,0.8798845,0.87574667,0.8753486,0.8762913,0.87938726,0.8752681
2011-06-07,0.8791857,0.8803394,0.87504196,0.8764508,0.874984,0.87795687,0.8741046
2011-06-08,0.8763864,0.8772428,0.88223505,0.8801674,0.8772973,0.88064,0.8827596
2011-06-09,0.88064116,0.8790785,0.87910676,0.8787781,0.87989265,0.8786932,0.87579423
2011-06-10,0.8793697,0.8796655,0.8760022,0.878441,0.8797714,0.88087606,0.87982756
2011-06-12,0.87743187,0.87722754,0.88082594,0.87948745,0.87847793,0.87631613,0.87863445
2011-06-13,0.8792744,0.8774619,0.8805208,0.87906575,0.8799237,0.875376,0.87620556
2011-06-14,0.8805071,0.88210285,0.8764589,0.8771693,0.8794961,0.8804928,0.8843837
2011-06-15,0.8797,0.8793864,0.87978864,0.8824422,0.8820394,0.87920725,0.8803846
2011-06-16,0.87755173,0.8747227,0.874218,0.8775237,0.8750503,0.8767929,0.87366915
2011-06-17,0.8789547,0.88271785,0.8776876,0.8820405,0.88372743,0.8791354,0.8802672
2011-06-19,0.87494147,0.8802235,0.87907827,0.87644947,0.8797666,0.88170636,0.8782282
2011-06-20,0.8732966,0.8748767,0.87653095,0.8754335,0.8760334,0.8816079,0.88139176
2011-06-21,0.8748646,0.87701976,0.8814167,0.8805983,0.88071865,0.88242304,0.87813544
2011-06-22,0.8763344,0.8748296,0.87719184,0.8836395,0.88334435,0.8805524,0.88400537
2011-06-23,0.88059914,0.8802129,0.87797403,0.8808129,0.8834502,0.880767,0.88170695
2011-06-24,0.8776866,0.88087344,0.8818523,0.88090193,0.8770224,0.8848037,0.88283294
2011-06-26,0.8810758,0.8782768,0.8804691,0.87731266,0.8790076,0.8784684,0.87855124
2011-06-27,0.8740343,0.8742792,0.87338686,0.876905,0.88495964,0.87982357,0.8801763
2011-06-28,0.8814415,0.88211834,0.8865123,0.8835963,0.88172925,0.8813085,0.88551724
2011-06-29,0.880221,0.88387877,0.8835118,0.8831176,0.8870524,0.8868972,0.8871454
2011-06-30,0.87856007,0.8822259,0.88352674,0.88248056,0.8831662,0.8822403,0.8861165
2011-07-01,0.8841477,0.8830539,0.8849945,0.8871505,0.88704,0.88667095,0.8869169
2011-07-03,0.8861083,0.88826215,0.8869735,0.8864622,0.88750774,0.8880611,0.89003015
2011-07-04,0.8817911,0.88362455,0.88624245,0.8854753,0.8872583,0.887859,0.88810813
2011-07-05,0.883193,0.8863635,0.88647103,0.8884721,0.89177436,0.8881774,0.8896364
2011-07-06,0.88388276,0.88778555,0.88763416,0.88695955,0.8880375,0.88734126,0.88965607
2011-07-07,0.88531256,0.88684714,0.88602054,0.88673705,0.8872845,0.8850614,0.886982
2011-07-08,0.89074314,0.8900267,0.8957076,0.8863462,0.8903491,0.8926267,0.8929292
2011-07-10,0.8832474,0.88614106,0.89079535,0.8819063,0.8860931,0.88469595,0.8850124
2011-07-11,0.8889357,0.88747406,0.8854877,0.8872268,0.88659877,0.88897574,0.8885876
2011-07-12,0.88741755,0.8876674,0.88945377,0.8873931,0.88782436,0.8851111,0.8868824
2011-07-13,0.8865069,0.8854544,0.8854239,0.88944936,0.8858511,0.8900857,0.88523257
2011-07-14,0.8894028,0.8894583,0.88729167,0.8899417,0.8896158,0.8863189,0.8847448
2011-07-15,0.8921219,0.8873875,0.8876789,0.88824904,0.8861828,0.885931,0.88693225
2011-07-17,0.8830304,0.8863398,0.88564473,0.88549125,0.8833921,0.88522875,0.88386834
2011-07-18,0.8875072,0.88811225,0.88622046,0.8858958,0.8901223,0.88746625,0.88313496
2011-07-19,0.88974524,0.88947654,0.88525,0.8876046,0.88630617,0.8812153,0.89056087
2011-07-20,0.8874902,0.88854825,0.8858914,0.88806856,0.8882637,0.8884086,0.8851481
2011-07-21,0.8890401,0.887596,0.88742995,0.881309,0.8903787,0.8783181,0.89118046
2011-07-22,0.8859792,0.8840326,0.8880699,0.8899649,0.883386,0.881369,0.8852092
2011-07-24,0.88781273,0.8872117,0.8838389,0.88357985,0.8825956,0.8857876,0.8863405
2011-07-25,0.88715816,0.88624096,0.88137937,0.88641065,0.88807595,0.8863357,0.884104
2011-07-26,0.88314754,0.8805306,0.8829221,0.88377565,0.881227,0.8825033,0.8834477
2011-07-27,0.8819762,0.8877813,0.8854583,0.88547516,0.88671684,0.88689566,0.88695854
2011-07-28,0.8839015,0.886518,0.87900764,0.8873332,0.8835223,0.8824257,0.8825245
2011-07-29,0.8852869,0.8839196,0.88628507,0.8854856,0.88773954,0.88530624,0.88401103
2011-07-31,0.8850868,0.8828661,0.8842901,0.88271403,0.88591075,0.8853532,0.8846129
2011-08-01,0.88361317,0.8844553,0.88530326,0.88613904,0.88301706,0.8831262,0.8837798
2011-08-02,0.8847283,0.88409185,0.88366354,0.8832149,0.8830895,0.87906134,0.88125587
2011-08-03,0.8826561,0.8831073,0.88478166,0.88171065,0.88172483,0.8800529,0.88001454
2011-08-04,0.8814744,0.8849647,0.8798692,0.8802935,0.88270736,0.88006663,0.87919545
2011-08-05,0.88350457,0.8817629,0.88091123,0.88239634,0.88228804,0.8794764,0.87978196
2011-08-07,0.8837421,0.8818587,0.88120234,0.88051647,0.8789418,0.87891376,0.8772284
2011-08-08,0.87909985,0.87927735,0.87982416,0.87816703,0.8763609,0.8744694,0.8702535
2011-08-09,0.88004845,0.8797953,0.8782623,0.87905085,0.8762189,0.8782291,0.87830395
2011-08-10,0.8812218,0.8780631,0.88061655,0.87849313,0.8772011,0.8781177,0.8778656
2011-08-11,0.87925756,0.88322246,0.8806396,0.8778409,0.88229614,0.8799922,0.8784289
2011-08-12,0.88269675,0.878076,0.8812678,0.8794993,0.87917113,0.8806406,0.8792277
2011-08-14,0.8794724,0.8804455,0.8794222,0.87735814,0.87662166,0.8766439,0.8754419
2011-08-15,0.88110256,0.87941843,0.88017,0.8828676,0.88048816,0.8797637,0.87950075
2011-08-16,0.8790419,0.87781,0.8759414,0.87780404,0.8769564,0.87841475,0.87653565
2011-08-17,0.8797593,0.8793378,0.8766188,0.87698215,0.8791958,0.876878,0.8751664
2011-08-18,0.8745533,0.8774955,0.876822,0.8757992,0.8752172,0.8782009,0.8765664
2011-08-19,0.8814193,0.8796843,0.8775361,0.877082,0.8778769,0.87695783,0.87769926
2011-08-21,0.88131464,0.87613815,0.87878144,0.8789601,0.8783442,0.87653995,0.87779737
2011-08-22,0.8800363,0.87988937,0.87860036,0.8788141,0.8789784,0.87844396,0.87787867
2011-08-23,0.87600946,0.8779018,0.8764839,0.874597,0.8748959,0.87629366,0.87595487
2011-08-24,0.8777813,0.87718546,0.87685883,0.8775712,0.8782917,0.8789567,0.8781527
2011-08-25,0.87485355,0.87611616,0.8736998,0.875895,0.87494695,0.87515473,0.8768475
2011-08-26,0.87506986,0.8762138,0.8761761,0.8758668,0.8768339,0.87597793,0.8771986
2011-08-28,0.8763405,0.87749577,0.87700415,0.87675714,0.87864494,0.8789519,0.87740093
2011-08-29,0.8779501,0.8795341,0.8769611,0.8783238,0.8799813,0.8778887,0.87877357
2011-08-30,0.8739768,0.8767113,0.87706447,0.87398934,0.87361604,0.87564826,0.87407947
