,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD
2011-08-04,1.4414783,1.4297906,1.4267404,1.4275205,1.4303757,1.4224092,1.4297915
2011-08-05,1.4342133,1.4347173,1.4311332,1.4324486,1.4220791,1.4304297,1.431614
2011-08-07,1.4339854,1.4267395,1.4268593,1.4317882,1.4238312,1.4266316,1.4301307
2011-08-08,1.4314634,1.4245986,1.427725,1.4226955,1.4217143,1.4194112,1.4219805
2011-08-09,1.4252422,1.4281548,1.4330206,1.4288998,1.4273012,1.4283388,1.421666
2011-08-10,1.4282357,1.427281,1.4265519,1.4258407,1.4262831,1.4265335,1.4230349
2011-08-11,1.4297084,1.4234307,1.4318559,1.4274459,1.4263942,1.4215586,1.4151874
2011-08-12,1.4328344,1.4297597,1.4292612,1.42894,1.4301615,1.4303101,1.4276491
2011-08-14,1.4251579,1.4285076,1.4301546,1.424592,1.4229198,1.4248419,1.4238931
2011-08-15,1.421561,1.4343668,1.4272876,1.4163638,1.4262078,1.4176637,1.4302286
2011-08-16,1.4324014,1.4354796,1.4307855,1.4291378,1.428801,1.4301771,1.4311426
2011-08-17,1.42543,1.4294326,1.43242,1.435954,1.428803,1.4280292,1.4353449
2011-08-18,1.4270506,1.4277589,1.4294586,1.4251418,1.4302684,1.4292519,1.4267502
2011-08-19,1.4313211,1.4298632,1.4278178,1.4287196,1.430295,1.4335653,1.4343047
2011-08-21,1.4288102,1.4308538,1.4293213,1.4280845,1.4312774,1.4362211,1.4239355
2011-08-22,1.423548,1.4293514,1.423871,1.4313185,1.4331572,1.4375122,1.4248085
2011-08-23,1.4306489,1.4293684,1.4319679,1.4316432,1.4313639,1.4321177,1.4359672
2011-08-24,1.4289179,1.4411206,1.437705,1.4287328,1.4460497,1.4305098,1.4350078
2011-08-25,1.4312365,1.4347379,1.4383628,1.4327811,1.4345313,1.4346491,1.4350746
2011-08-26,1.4319322,1.4381709,1.4257358,1.4294167,1.4355476,1.4274501,1.434423
2011-08-28,1.4276376,1.4343047,1.4367256,1.4351434,1.437224,1.4422269,1.4317384
2011-08-29,1.434354,1.4317625,1.4364036,1.4371601,1.4377117,1.4408802,1.4335635
2011-08-30,1.4347413,1.434391,1.4296482,1.4398495,1.4350885,1.4334145,1.4373033
2011-08-31,1.4349567,1.4334979,1.4403493,1.4354174,1.431662,1.4368829,1.4351704
2011-09-01,1.4353921,1.4358729,1.435438,1.4311634,1.4357396,1.4343215,1.4340272
2011-09-02,1.4407681,1.4425715,1.4346814,1.4314903,1.4332234,1.4374737,1.4316223
2011-09-04,1.4392779,1.442744,1.4383798,1.4358253,1.43519,1.4361613,1.4311426
2011-09-05,1.4419619,1.4383773,1.4317126,1.4371822,1.4336827,1.431341,1.4328563
2011-09-06,1.4361356,1.4342507,1.4346104,1.434407,1.4290833,1.4309036,1.4324191
2011-09-07,1.4349475,1.4337778,1.4340163,1.4311528,1.429383,1.4328492,1.4293622
2011-09-08,1.433939,1.4341072,1.4315007,1.4329047,1.4306499,1.430052,1.4312569
2011-09-09,1.4331764,1.4336591,1.4311711,1.4354339,1.4301393,1.4239345,1.4334265
2011-09-11,1.4303381,1.4312547,1.4300051,1.430702,1.4326009,1.4232517,1.425006
2011-09-12,1.4347459,1.4273291,1.4323673,1.4304987,1.4340959,1.4297639,1.4314277
2011-09-13,1.4311845,1.4313045,1.427409,1.4280477,1.4279363,1.4295423,1.4271505
2011-09-14,1.4289885,1.4259772,1.4260097,1.4224143,1.4242011,1.4279697,1.4265634
2011-09-15,1.434395,1.4253759,1.4254605,1.424263,1.4246688,1.4220154,1.426491
2011-09-16,1.4330115,1.4281355,1.424196,1.4322937,1.4242055,1.4240272,1.4168705
2011-09-18,1.4220257,1.4268814,1.4262236,1.4201508,1.426044,1.4251219,1.4227127
2011-09-19,1.4285071,1.4269885,1.4258134,1.4233794,1.4246235,1.4192854,1.4243883
2011-09-20,1.4287553,1.4268738,1.4280885,1.4246335,1.418487,1.4184724,1.4164381
2011-09-21,1.4218936,1.4232647,1.4230483,1.4188322,1.4171276,1.4140811,1.4118503
2011-09-22,1.4288572,1.4233506,1.4167309,1.4166824,1.4168237,1.411489,1.4091027
2011-09-23,1.4230466,1.4215921,1.4209989,1.4156164,1.4122977,1.4052598,1.4051707
2011-09-25,1.4233036,1.4175763,1.4153903,1.4082084,1.4041029,1.4048458,1.3978968
2011-09-26,1.4161447,1.4174615,1.4086806,1.4066393,1.408283,1.394805,1.3822223
2011-09-27,1.4157739,1.4060788,1.4121814,1.4057858,1.3952415,1.3815812,1.3817943
2011-09-28,1.4097139,1.4067321,1.3996456,1.3936183,1.3882073,1.3783463,1.3765433
2011-09-29,1.4033377,1.40448,1.3994501,1.383155,1.3786737,1.3806973,1.3790609
2011-09-30,1.4070927,1.3980067,1.3809172,1.3754499,1.3757354,1.3689892,1.3681822
2011-10-02,1.3994937,1.3817807,1.3811712,1.3753883,1.3711919,1.3657049,1.3709048
2011-10-03,1.3809626,1.3855971,1.3729957,1.367991,1.3710117,1.3710976,1.3619018
2011-10-04,1.3772173,1.3789787,1.3643981,1.3660342,1.3610022,1.3551695,1.3668902
2011-10-05,1.3706666,1.3707616,1.374096,1.3638155,1.3709235,1.3648937,1.3801155
2011-10-06,1.3711925,1.371204,1.3600489,1.3696796,1.3606853,1.3669894,1.3676362
2011-10-07,1.3643061,1.3686233,1.3701404,1.3609328,1.3575127,1.3655001,1.3631984
2011-10-09,1.3710538,1.3702657,1.3685893,1.3617766,1.368009,1.3654361,1.3641903
2011-10-10,1.3666435,1.3672025,1.3606967,1.3652284,1.3659227,1.3652302,1.3639579
2011-10-11,1.3589079,1.3608832,1.3580303,1.3589504,1.3577683,1.3669615,1.3616508
2011-10-12,1.3780177,1.3553702,1.3551748,1.3603765,1.36457,1.3617231,1.3575158
2011-10-13,1.3630391,1.3647088,1.3539646,1.3614488,1.361855,1.3614666,1.3606316
2011-10-14,1.3629988,1.3644235,1.3649359,1.3648148,1.3634031,1.3649619,1.3635502
2011-10-16,1.352585,1.3565183,1.3646529,1.3631017,1.3634058,1.3635992,1.364893
2011-10-17,1.3621931,1.3653668,1.360436,1.3652527,1.3601437,1.3613765,1.3639233
2011-10-18,1.3616116,1.3623925,1.3635778,1.3610704,1.3568151,1.3597091,1.3631136
2011-10-19,1.3645974,1.3652599,1.3607037,1.3625008,1.3661727,1.3670242,1.3662744
2011-10-20,1.3664352,1.3606472,1.3663208,1.3672357,1.3691192,1.3686494,1.3721572
2011-10-21,1.3651468,1.3657378,1.3657849,1.3626093,1.3649318,1.3708897,1.3692518
2011-10-23,1.3703514,1.3680712,1.3580691,1.3696645,1.364151,1.3647364,1.3635978
2011-10-24,1.3643249,1.3640053,1.3681116,1.3705825,1.3683314,1.3650781,1.36424
2011-10-25,1.3651313,1.3657093,1.3661389,1.367597,1.3672384,1.36784,1.3657517
2011-10-26,1.3579293,1.3671116,1.3623275,1.3640012,1.3653817,1.3655641,1.3651253
