,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD
2011-04-28,0.7653241,0.7652727,0.7760903,0.77869964,0.78363156,0.7816873,0.7810629
2011-04-29,0.772964,0.77619755,0.77664363,0.77759415,0.7792148,0.78783494,0.7827027
2011-05-01,0.7741507,0.7796054,0.7820338,0.77837336,0.7926025,0.78508747,0.7879466
2011-05-02,0.77681637,0.7779601,0.7811074,0.77342224,0.78249776,0.7821801,0.7825502
2011-05-03,0.78106964,0.77730656,0.7737075,0.7811769,0.7867669,0.78583413,0.7845224
2011-05-04,0.7840347,0.78253615,0.7864046,0.7820572,0.7908582,0.78992313,0.7920388
2011-05-05,0.77838576,0.7840526,0.78175557,0.7879368,0.7906612,0.7957087,0.7926694
2011-05-06,0.7848481,0.7871824,0.7811352,0.7963499,0.7915705,0.7904359,0.789742
2011-05-08,0.7869087,0.7826014,0.78732014,0.78813505,0.788448,0.7884253,0.7843728
2011-05-09,0.7854895,0.7886137,0.7836051,0.7844788,0.7912135,0.79108965,0.78983897
2011-05-10,0.7888808,0.79127866,0.7916262,0.78852427,0.7858107,0.79662615,0.7935712
2011-05-11,0.79565114,0.79458326,0.7972641,0.7990182,0.79323775,0.79273164,0.7986654
2011-05-12,0.79284513,0.7900315,0.7897413,0.7952207,0.7957043,0.79615223,0.79606235
2011-05-13,0.78946435,0.7839364,0.790067,0.78495,0.7859436,0.7891674,0.78740335
2011-05-15,0.79580593,0.7920383,0.7961034,0.7995813,0.79138017,0.7936181,0.7975851
2011-05-16,0.78844,0.7857547,0.78354704,0.7845753,0.7885755,0.7875694,0.79312485
2011-05-17,0.7882416,0.78784955,0.79306114,0.7859686,0.7881934,0.79467213,0.7909079
2011-05-18,0.7942646,0.79531264,0.79485595,0.7964628,0.79536617,0.79649144,0.795043
2011-05-19,0.79214704,0.7882677,0.79244727,0.79186296,0.7949686,0.79090875,0.79147494
2011-05-20,0.79260576,0.78940773,0.7893862,0.7923709,0.7883676,0.79338586,0.79448575
2011-05-22,0.78803444,0.7918447,0.791425,0.78784955,0.79044634,0.78872216,0.7936132
2011-05-23,0.79555535,0.7907162,0.7917081,0.79729307,0.79362476,0.7934201,0.7944286
2011-05-24,0.7894004,0.78794533,0.78999764,0.79098415,0.7911837,0.79399097,0.79375803
2011-05-25,0.79418135,0.7908339,0.7966272,0.79506993,0.7914569,0.79407394,0.79284793
2011-05-26,0.7929163,0.79823387,0.7931874,0.79236054,0.7943374,0.79555655,0.79869866
2011-05-27,0.7951186,0.79354775,0.79565513,0.7981795,0.7948381,0.79496765,0.7982376
2011-05-29,0.7939801,0.7948017,0.7959211,0.79495275,0.79496694,0.79594386,0.79853344
2011-05-30,0.794043,0.80069155,0.7963087,0.79602337,0.7948145,0.7998648,0.798002
2011-05-31,0.7951457,0.79484373,0.79481757,0.7960485,0.7960545,0.79716897,0.7962781
2011-06-01,0.79566383,0.7963117,0.7946472,0.7970576,0.799356,0.797876,0.8003485
2011-06-02,0.7956115,0.79715437,0.7983077,0.7958137,0.79666793,0.79932517,0.7993788
2011-06-03,0.7978231,0.7961842,0.7984147,0.79762036,0.79987633,0.7985686,0.79818916
2011-06-05,0.7972083,0.79697347,0.79678357,0.7981024,0.79861116,0.7980218,0.798579
2011-06-06,0.7971698,0.7971348,0.79677683,0.7985723,0.79696584,0.7977153,0.79879415
2011-06-07,0.7983627,0.79665524,0.7977286,0.7977181,0.796769,0.79983544,0.79856277
2011-06-08,0.79703146,0.7965804,0.7963549,0.7979661,0.7994964,0.799397,0.7983016
2011-06-09,0.797793,0.7970763,0.7971962,0.79761636,0.79796076,0.7963619,0.79550105
2011-06-10,0.79701257,0.79689384,0.7963412,0.797042,0.79923916,0.795822,0.7971647
2011-06-12,0.7992693,0.797428,0.7988695,0.7996774,0.7990471,0.79736555,0.8038476
2011-06-13,0.79893327,0.79672754,0.79636884,0.7966211,0.79941976,0.8024652,0.80654085
2011-06-14,0.7982669,0.79704493,0.79685783,0.79507375,0.8008165,0.8065286,0.808048
2011-06-15,0.79588234,0.7974257,0.7955765,0.80117834,0.80713654,0.807953,0.8062891
2011-06-16,0.7976143,0.79849696,0.80120254,0.80850506,0.8095609,0.8116377,0.806396
2011-06-17,0.79828525,0.8035404,0.8078612,0.80700684,0.8086264,0.80755234,0.81142926
2011-06-19,0.804162,0.8046894,0.8053003,0.809549,0.81072617,0.807125,0.810137
2011-06-20,0.8087864,0.80747926,0.8103896,0.81289214,0.80721927,0.81206197,0.81115025
2011-06-21,0.80841637,0.8102504,0.8130464,0.8102065,0.812498,0.810728,0.8107338
2011-06-22,0.8153726,0.81149703,0.8100957,0.8106385,0.8125283,0.81185997,0.81113577
2011-06-23,0.81203306,0.80757153,0.81563646,0.81213486,0.8120637,0.8155618,0.809978
2011-06-24,0.808952,0.8174753,0.81255287,0.81835437,0.81115913,0.81062067,0.816049
2011-06-26,0.81040466,0.8100857,0.81087863,0.81022906,0.81014156,0.8095311,0.8116684
2011-06-27,0.811347,0.811826,0.81211835,0.8093241,0.81022096,0.8127034,0.811507
2011-06-28,0.81096256,0.80917114,0.8103534,0.8138729,0.8106496,0.81069887,0.8140142
2011-06-29,0.81049913,0.81112045,0.8135053,0.8137106,0.81441355,0.814436,0.8164782
2011-06-30,0.81134474,0.81355023,0.8119078,0.8141664,0.815639,0.8145546,0.814453
2011-07-01,0.8106056,0.81368256,0.8106925,0.813848,0.8167931,0.8143861,0.8143623
2011-07-03,0.8159882,0.8136078,0.8163516,0.8150512,0.8154286,0.8198948,0.82041174
2011-07-04,0.8134228,0.8158263,0.8133762,0.8150562,0.8145236,0.81650484,0.8152815
2011-07-05,0.81339234,0.8154404,0.8142145,0.8138902,0.8177966,0.8161205,0.81631637
2011-07-06,0.8145956,0.8158219,0.8159959,0.81702363,0.8162884,0.81978035,0.8167295
2011-07-07,0.81655383,0.8170334,0.81665987,0.81624925,0.8186755,0.81674325,0.81569624
2011-07-08,0.818236,0.8183397,0.81910694,0.81863755,0.81935316,0.81841326,0.81944346
2011-07-10,0.8144648,0.81791705,0.8171366,0.81740475,0.81566405,0.8183601,0.8156897
2011-07-11,0.8156469,0.8179037,0.81769425,0.81581205,0.8168049,0.81815016,0.8166609
2011-07-12,0.815688,0.8186698,0.81661904,0.817844,0.8162732,0.8182988,0.8193463
2011-07-13,0.8174364,0.81777704,0.8192519,0.81809115,0.81700695,0.82249033,0.82135755
2011-07-14,0.81946373,0.81700224,0.8184912,0.8192005,0.8175936,0.8221427,0.8231914
2011-07-15,0.8163109,0.8180858,0.8173419,0.8194493,0.8216367,0.82181406,0.82476807
2011-07-17,0.8162559,0.8181293,0.81745607,0.817333,0.8191438,0.82362056,0.8259162
2011-07-18,0.8176391,0.81879836,0.8209975,0.8202956,0.8235699,0.82249117,0.82734895
2011-07-19,0.82032645,0.8194957,0.8231293,0.82398546,0.8266152,0.825109,0.82956684
2011-07-20,0.81898636,0.8224262,0.8241057,0.8258467,0.8281034,0.82807684,0.8279978
2011-07-21,0.8231703,0.82346,0.8228548,0.8244735,0.8201175,0.82468325,0.83114696
2011-07-22,0.82179415,0.81959105,0.8208997,0.82278526,0.82812244,0.82677317,0.82874584
2011-07-24,0.822705,0.8222843,0.81844497,0.82286316,0.82977796,0.8275646,0.8272548
2011-07-25,0.82080925,0.8272292,0.82595026,0.82993495,0.827899,0.8297967,0.82734394
2011-07-26,0.82504606,0.8265713,0.8251256,0.8280034,0.83295876,0.8358018,0.8338951
2011-07-27,0.82755476,0.82542926,0.8295563,0.82746017,0.8307908,0.8302691,0.8333397
2011-07-28,0.8292838,0.8231428,0.8271004,0.82462543,0.82850254,0.8301394,0.8311529
2011-07-29,0.8272184,0.8306031,0.82556677,0.8311245,0.8262184,0.8345487,0.83569145
2011-07-31,0.82758754,0.8304372,0.83215487,0.83433163,0.832772,0.83663106,0.84329224
2011-08-01,0.83104324,0.8308656,0.83399856,0.83207726,0.83714074,0.8429098,0.840749
2011-08-02,0.8297185,0.83079106,0.8334939,0.8353588,0.8418893,0.84152186,0.83737427
2011-08-03,0.8323287,0.834841,0.8344239,0.842808,0.8420242,0.84321594,0.84163415
2011-08-04,0.8349812,0.8344204,0.84224427,0.8397305,0.84280473,0.8407606,0.8429657
2011-08-05,0.83688223,0.84218025,0.84332615,0.84268314,0.8415204,0.84477425,0.8425836
2011-08-07,0.842245,0.83958405,0.8412823,0.8420214,0.84237826,0.84087396,0.8420906
2011-08-08,0.84012747,0.8406108,0.83991086,0.8395952,0.8414464,0.8407799,0.8416332
2011-08-09,0.84111524,0.8387616,0.8431922,0.8380732,0.8417514,0.8411894,0.83954096
2011-08-10,0.84430724,0.8434757,0.8388294,0.84390616,0.8423246,0.84160197,0.8393983
2011-08-11,0.8394761,0.8406637,0.84295964,0.84236765,0.84211916,0.8422179,0.8414334
2011-08-12,0.84018826,0.84465027,0.8427551,0.8411051,0.8407532,0.83865637,0.840887
2011-08-14,0.8416214,0.8411209,0.83697486,0.8420565,0.84041584,0.83665705,0.84024036
2011-08-15,0.837493,0.8396578,0.83465236,0.8323656,0.8374827,0.83845234,0.8390008
2011-08-16,0.83778757,0.838794,0.83546275,0.8396163,0.84148854,0.84136677,0.84221053
2011-08-17,0.8392223,0.8401634,0.83862597,0.8382665,0.8414672,0.8407177,0.8408818
2011-08-18,0.8382758,0.837355,0.8410639,0.83668256,0.8420979,0.8398993,0.83541495
2011-08-19,0.8406508,0.84316593,0.843967,0.840267,0.8413682,0.8416891,0.84425557
2011-08-21,0.84230745,0.8409454,0.83949685,0.8386098,0.84151566,0.8442148,0.8437297
2011-08-22,0.841918,0.8406731,0.8415133,0.8400751,0.8444607,0.8420486,0.8409054
2011-08-23,0.84165114,0.8419192,0.84232336,0.841519,0.8418075,0.8383418,0.83938193
2011-08-24,0.83714306,0.8415607,0.8411066,0.8381375,0.8383851,0.8380898,0.8379067
2011-08-25,0.8430748,0.84420675,0.84370434,0.8402147,0.83786917,0.8386869,0.8388092
2011-08-26,0.8432726,0.8420049,0.83945584,0.8369192,0.8427786,0.84263223,0.8396251
2011-08-28,0.8418677,0.8381771,0.839281,0.8389826,0.8374404,0.8367449,0.83880043
2011-08-29,0.8425031,0.8390938,0.8381587,0.8361815,0.83692265,0.83615357,0.8377132
2011-08-30,0.8409147,0.838482,0.83716536,0.8380846,0.840937,0.8363676,0.83825743
2011-08-31,0.8423222,0.8421279,0.8418721,0.8378738,0.83626163,0.8394784,0.8375503
2011-09-01,0.83821833,0.83848035,0.84012866,0.8372352,0.8375031,0.840456,0.83681977
2011-09-02,0.84104383,0.8384037,0.8362759,0.8377427,0.8364043,0.83431536,0.836758
2011-09-04,0.8388579,0.84049976,0.84071124,0.8387937,0.83816797,0.8358557,0.8345542
2011-09-05,0.8352916,0.8364256,0.84001476,0.8411143,0.83232015,0.8332219,0.83490837
2011-09-06,0.8425422,0.83920085,0.8393357,0.83565223,0.8385696,0.8344008,0.8352921
2011-09-07,0.83798105,0.8400538,0.8410226,0.8357549,0.8335111,0.83789253,0.834415
2011-09-08,0.83525246,0.838838,0.83892953,0.8371302,0.834512,0.83378166,0.831232
2011-09-09,0.83446085,0.83326924,0.8317733,0.83386904,0.83308256,0.8277917,0.83253
2011-09-11,0.83245456,0.8369148,0.83327824,0.8334317,0.8303664,0.8281296,0.82855135
2011-09-12,0.8325151,0.83442545,0.83194286,0.82999086,0.8317052,0.830961,0.8299994
2011-09-13,0.83300763,0.8342445,0.83388895,0.83431625,0.83037126,0.83187616,0.8306947
2011-09-14,0.83324635,0.8304794,0.8340078,0.8307338,0.82907,0.8293185,0.82858425
2011-09-15,0.8318614,0.8340583,0.831592,0.8298553,0.8305337,0.8286847,0.8269404
2011-09-16,0.8282571,0.8308803,0.8294438,0.82871056,0.8286418,0.8272048,0.8273429
2011-09-18,0.83089536,0.8302862,0.83162457,0.8291937,0.8274783,0.82899785,0.8291893
2011-09-19,0.8290236,0.8317324,0.829245,0.83076847,0.8291135,0.82858396,0.82904696
2011-09-20,0.829116,0.828002,0.8269384,0.82888293,0.82781386,0.8282571,0.8270365
2011-09-21,0.82540315,0.8273751,0.8248255,0.8235827,0.8254411,0.82508063,0.8269404
2011-09-22,0.82720554,0.82909775,0.8290905,0.82884073,0.82837474,0.82645684,0.82719594
2011-09-23,0.827683,0.8287972,0.829746,0.82814646,0.8276454,0.8269905,0.82486296
2011-09-25,0.8293593,0.82860005,0.82953876,0.8288678,0.82689494,0.8277305,0.824602
2011-09-26,0.826705,0.8290566,0.82942116,0.82838047,0.82705414,0.8263663,0.82352793
2011-09-27,0.8262423,0.8281197,0.8276614,0.8262296,0.82540965,0.82362443,0.82469857
2011-09-28,0.82621783,0.8250948,0.8249446,0.8199531,0.825868,0.82403195,0.824847
2011-09-29,0.8264722,0.8258031,0.82370335,0.8240236,0.824897,0.8195329,0.8228707
2011-09-30,0.8260714,0.8282902,0.8259282,0.82167447,0.825675,0.8242482,0.82413614
2011-10-02,0.82348096,0.8255484,0.8179048,0.82388544,0.82199156,0.82455635,0.82175994
2011-10-03,0.82695556,0.8240848,0.82272327,0.8250184,0.8209864,0.8212404,0.822292
2011-10-04,0.8239268,0.8218286,0.822569,0.82048523,0.8227744,0.8229083,0.8188752
2011-10-05,0.82309675,0.82425296,0.8189597,0.82028466,0.818164,0.81879854,0.8164907
2011-10-06,0.82262856,0.8217154,0.82046103,0.820112,0.8192706,0.81824696,0.81718874
2011-10-07,0.8198699,0.82136464,0.8203885,0.8197032,0.8173721,0.8163929,0.8104141
2011-10-09,0.8216928,0.82097083,0.8218276,0.8201294,0.8195709,0.8137712,0.7944069
2011-10-10,0.822327,0.8221855,0.81853616,0.8177661,0.8101604,0.79408395,0.796713
2011-10-11,0.81953883,0.8190252,0.8188199,0.8123112,0.79929876,0.7927724,0.7945492
2011-10-12,0.81890583,0.8189001,0.8139432,0.7911563,0.79180586,0.79172456,0.79173636
2011-10-13,0.81855226,0.8114672,0.7954389,0.7966659,0.7939745,0.7914853,0.79148424
2011-10-14,0.81060135,0.7914118,0.79119885,0.7918507,0.79057336,0.7925328,0.79185116
2011-10-16,0.7928835,0.7947878,0.7951933,0.7921419,0.7925786,0.79197013,0.7902043
2011-10-17,0.7969607,0.79248154,0.7908118,0.7920711,0.79345584,0.7938986,0.7897395
2011-10-18,0.79529405,0.7915017,0.78653705,0.789223,0.7894809,0.78301,0.7889717
2011-10-19,0.7935083,0.7910501,0.79311836,0.79499495,0.7895665,0.7881541,0.7878213
2011-10-20,0.7895393,0.78881794,0.7931467,0.79223514,0.789274,0.78911114,0.7949325
2011-10-21,0.7957816,0.79055667,0.792201,0.79443896,0.7865174,0.79318553,0.7867218
2011-10-23,0.7913804,0.7909684,0.79361784,0.78886926,0.7891813,0.793324,0.7935448
2011-10-24,0.7877259,0.78864914,0.79241157,0.7949141,0.7944522,0.79614174,0.7927036
2011-10-25,0.7955159,0.79357487,0.7884445,0.79163283,0.7908612,0.78631806,0.7879195
2011-10-26,0.7930561,0.7923858,0.79298794,0.79046416,0.7962719,0.7945721,0.79149294
2011-10-27,0.79014385,0.79284626,0.79026186,0.79113525,0.79583395,0.79258394,0.79152787
2011-10-28,0.79590774,0.7919367,0.7924004,0.7875953,0.7931142,0.7959195,0.79439235
2011-10-30,0.79532105,0.7939914,0.7933733,0.7957473,0.7951113,0.7896688,0.793826
2011-10-31,0.7898574,0.79273057,0.7912276,0.793831,0.7933699,0.7887268,0.79198325
2011-11-01,0.794521,0.7951234,0.7905719,0.79467475,0.7905591,0.7941189,0.79259133
2011-11-02,0.78768873,0.79163253,0.7918612,0.7874054,0.7870959,0.7935703,0.7937229
2011-11-03,0.7928964,0.7918363,0.792592,0.79497266,0.79449105,0.79554343,0.79518163
2011-11-04,0.7900342,0.7883795,0.78216124,0.7902142,0.7905011,0.7897221,0.79087305
2011-11-06,0.78585494,0.78973126,0.79231656,0.7904871,0.7922474,0.7929734,0.7930537
2011-11-07,0.79003114,0.7922348,0.7933898,0.792238,0.7916129,0.7926799,0.7910619
2011-11-08,0.7901751,0.79502296,0.79237866,0.7947949,0.79133964,0.796372,0.79061174
2011-11-09,0.79620314,0.7961201,0.79694724,0.79546964,0.79408467,0.7941521,0.7959832
2011-11-10,0.79146945,0.7956104,0.79099286,0.7916329,0.7934762,0.793677,0.79486895
2011-11-11,0.79032874,0.7925515,0.7889128,0.7917844,0.7936652,0.7914892,0.7933953
2011-11-13,0.7933339,0.7923286,0.79371625,0.7970611,0.79372984,0.79313713,0.79462636
2011-11-14,0.79468894,0.7935673,0.79279244,0.79319775,0.7955829,0.7910129,0.79286975
2011-11-15,0.7929565,0.79497844,0.79486656,0.7928622,0.7946441,0.79219997,0.7917758
2011-11-16,0.7941079,0.79402226,0.7939022,0.7925656,0.792246,0.7929457,0.7937251
2011-11-17,0.7941369,0.79476464,0.795409,0.7944139,0.7956081,0.7947366,0.7941854
2011-11-18,0.795468,0.79489595,0.789596,0.7910884,0.79117,0.793065,0.78971994
2011-11-20,0.792089,0.7937038,0.7911237,0.7953633,0.79333466,0.7908627,0.7931833
2011-11-21,0.7954506,0.79337025,0.79756355,0.7951331,0.7957054,0.7955551,0.79304236
2011-11-22,0.79046047,0.7927476,0.7935355,0.7950524,0.79288304,0.79465204,0.78915024
2011-11-23,0.79397535,0.79746455,0.79428804,0.7934562,0.79349816,0.7935196,0.79043067
2011-11-24,0.7928145,0.79303694,0.79335386,0.79163015,0.7926158,0.79065907,0.78918415
2011-11-25,0.79509485,0.7943374,0.7944716,0.7915085,0.79111767,0.7918017,0.78885174
2011-11-27,0.79393125,0.7936096,0.7915278,0.7919669,0.7905855,0.7887547,0.78522366
2011-11-28,0.7908225,0.79093355,0.7904297,0.7887181,0.7873611,0.7861426,0.7808889
2011-11-29,0.79195005,0.79157585,0.79217684,0.7901608,0.78443676,0.7807191,0.7798723
2011-11-30,0.7892395,0.79086673,0.7878957,0.7850333,0.7839455,0.78126276,0.78077316
2011-12-01,0.7894881,0.7855989,0.78513145,0.78022367,0.7817672,0.7804649,0.77767795
2011-12-02,0.7898582,0.7841778,0.78204894,0.7809212,0.7800746,0.7802603,0.78028107
2011-12-04,0.7855561,0.7803758,0.7798457,0.7805442,0.7790535,0.7784076,0.7771137
2011-12-05,0.77954924,0.7793088,0.78133714,0.7784925,0.7838293,0.77584743,0.77731407
2011-12-06,0.78348124,0.7803999,0.77686524,0.77942836,0.7748712,0.7814505,0.78212476
2011-12-07,0.78233165,0.7808986,0.78129804,0.78121996,0.7793107,0.7791059,0.77569234
2011-12-08,0.77763784,0.77755475,0.77848,0.77917933,0.7798799,0.7747381,0.774659
2011-12-09,0.78052366,0.77777326,0.78171396,0.77890086,0.7778841,0.77712786,0.77396977
2011-12-11,0.78050596,0.7787873,0.7763976,0.777419,0.7764915,0.7721825,0.77298164
2011-12-12,0.77928257,0.77876425,0.77762747,0.7761703,0.77332157,0.7727679,0.77096844
2011-12-13,0.77809113,0.7765731,0.7761347,0.77229047,0.77269053,0.7702398,0.7683577
2011-12-14,0.77670914,0.7765112,0.7746136,0.7725284,0.7709261,0.768961,0.765694
