,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY
2011-08-04,96.29583,96.30279,96.32555,96.41026,96.65559,96.773605,96.91329
2011-08-05,96.297714,96.34707,96.39336,96.694565,96.76959,96.86544,96.83154
2011-08-07,96.335594,96.3868,96.73977,96.80185,96.83308,96.92401,96.82514
2011-08-08,96.35532,96.668594,96.79963,96.9214,96.923775,96.84128,96.96799
2011-08-09,96.68485,96.802986,96.88373,96.83005,96.81644,96.84839,96.947495
2011-08-10,96.790665,96.85767,96.925415,96.817825,96.87033,96.96099,97.07687
2011-08-11,96.90926,96.93459,96.87575,96.8866,96.92954,97.08204,97.13096
2011-08-12,96.886986,96.88034,96.89373,96.967896,97.09406,97.14652,97.10483
2011-08-14,96.90076,96.88192,96.9625,97.06409,97.15599,97.12882,97.128426
2011-08-15,96.90184,96.970825,97.04235,97.19529,97.148346,97.20201,97.12338
2011-08-16,96.94226,97.102936,97.155876,97.141106,97.10903,97.06988,97.26737
2011-08-17,97.06772,97.22473,97.114334,97.12332,97.1339,97.224846,97.25896
2011-08-18,97.15039,97.10552,97.1409,97.19654,97.19405,97.29727,97.29296
2011-08-19,97.13023,97.16207,97.13328,97.19821,97.31933,97.27963,97.24758
2011-08-21,97.13931,97.14266,97.26037,97.27139,97.299515,97.297806,97.276985
2011-08-22,97.1374,97.1661,97.264275,97.31915,97.3215,97.27937,97.30854
2011-08-23,97.17341,97.22481,97.30771,97.29641,97.301216,97.29827,97.297615
2011-08-24,97.2736,97.2678,97.30918,97.24666,97.32339,97.27907,97.20449
2011-08-25,97.277054,97.35057,97.278206,97.2705,97.26447,97.22291,97.27261
2011-08-26,97.3112,97.31328,97.28504,97.32236,97.22024,97.2417,97.28391
2011-08-28,97.27279,97.326965,97.29078,97.28447,97.24107,97.22848,97.254166
2011-08-29,97.27653,97.313805,97.24104,97.20394,97.2198,97.25199,97.30806
2011-08-30,97.31271,97.23553,97.23704,97.265686,97.24151,97.29775,97.368286
2011-08-31,97.23234,97.24131,97.27557,97.27901,97.32606,97.34663,97.3899
2011-09-01,97.30031,97.21192,97.21843,97.28985,97.29041,97.36062,97.35084
2011-09-02,97.24185,97.15538,97.264435,97.351326,97.335266,97.38853,97.39195
2011-09-04,97.28048,97.31268,97.3137,97.37102,97.36575,97.38065,97.31392
2011-09-05,97.27075,97.28264,97.34334,97.337395,97.35916,97.36471,97.33794
2011-09-06,97.35007,97.29126,97.388794,97.3407,97.3537,97.35092,97.35189
2011-09-07,97.36377,97.31082,97.351776,97.37266,97.38248,97.35367,97.3254
2011-09-08,97.34828,97.36012,97.32471,97.33668,97.3349,97.29544,97.165535
2011-09-09,97.364075,97.3131,97.328835,97.340065,97.268234,97.25338,96.996574
2011-09-11,97.34779,97.31254,97.36815,97.28063,97.18587,96.92593,96.8889
2011-09-12,97.36428,97.37729,97.26569,97.19439,96.9891,96.92765,96.87238
2011-09-13,97.34735,97.30895,97.20602,97.041756,96.83035,96.882195,96.78099
2011-09-14,97.26722,97.189026,96.93387,96.84361,96.79027,96.82871,96.489685
2011-09-15,97.228546,96.97365,96.918846,96.8647,96.685585,96.50914,96.40953
2011-09-16,96.9662,96.967,96.89117,96.78026,96.46703,96.3497,96.31037
2011-09-18,96.89861,96.90569,96.789444,96.48381,96.38735,96.2763,94.82048
2011-09-19,96.80712,96.7513,96.49564,96.365265,96.23335,94.82139,94.73163
2011-09-20,96.70894,96.52491,96.37687,96.27924,94.842705,94.822914,94.10933
2011-09-21,96.46497,96.38068,96.27651,94.87463,94.77077,94.14842,93.63841
2011-09-22,96.35966,96.28186,94.848885,94.685844,94.129845,93.686714,91.50271
2011-09-23,96.228935,94.84201,94.81406,94.13755,93.70406,91.5088,90.05044
2011-09-25,94.85289,94.77084,94.110306,93.62486,91.48227,90.008965,89.1227
2011-09-26,94.728096,94.0941,93.64562,91.52849,89.92955,89.13263,88.15815
2011-09-27,94.1041,93.638466,91.467514,90.03519,89.106575,88.20587,87.920105
2011-09-28,93.63314,91.494064,90.01174,89.11553,88.14791,88.07279,87.80245
2011-09-29,91.5006,89.9942,89.09445,88.242935,87.90932,87.8086,87.35988
2011-09-30,89.937454,89.128365,88.18143,87.93585,87.85625,87.49032,87.29804
2011-10-02,89.11842,88.18942,87.88213,87.835556,87.34179,87.322525,87.27177
2011-10-03,88.138,88.03452,87.85357,87.33452,87.29938,87.218346,87.1765
2011-10-04,87.88414,87.83281,87.3461,87.316505,87.25382,87.19586,87.19684
2011-10-05,87.81747,87.32693,87.320305,87.328026,87.21541,87.14836,86.701744
2011-10-06,87.357666,87.36317,87.267715,87.19201,87.17313,86.71406,86.27378
2011-10-07,87.37973,87.29146,87.242836,87.16581,86.70158,86.26973,85.72169
2011-10-09,87.29529,87.20094,87.15581,86.720146,86.31971,85.70217,85.57701
2011-10-10,87.228355,87.15229,86.743996,86.276024,85.70802,85.622375,85.60408
2011-10-11,87.12132,86.731544,86.26571,85.75113,85.60036,85.58143,85.544846
2011-10-12,86.69467,86.25343,85.735825,85.59542,85.58863,85.52292,85.55809
2011-10-13,86.26541,85.718834,85.5753,85.53704,85.576225,85.54814,85.493935
2011-10-14,85.723,85.58047,85.56666,85.611115,85.562195,85.42592,85.41525
2011-10-16,85.61616,85.55828,85.61331,85.56015,85.51629,85.360634,85.307495
2011-10-17,85.57449,85.558945,85.62575,85.49237,85.40836,85.34884,85.31688
2011-10-18,85.555595,85.537674,85.45982,85.31736,85.37842,85.357605,85.42191
2011-10-19,85.5836,85.45563,85.32819,85.32206,85.34435,85.390236,85.38004
2011-10-20,85.49951,85.34502,85.40233,85.36453,85.39077,85.44056,85.340965
2011-10-21,85.36405,85.34495,85.42461,85.31848,85.36439,85.33353,85.33101
2011-10-23,85.35796,85.32855,85.28536,85.32387,85.3003,85.37155,85.37374
2011-10-24,85.358185,85.31522,85.453445,85.36774,85.34997,85.44204,85.41956
2011-10-25,85.3217,85.34374,85.324234,85.32023,85.308655,85.33777,85.30791
2011-10-26,85.34239,85.338196,85.34015,85.325775,85.31698,85.30317,85.31584
2011-10-27,85.31469,85.32938,85.336365,85.37045,85.34876,85.348915,85.42209
2011-10-28,85.32341,85.37403,85.29697,85.3219,85.33358,85.30236,85.37939
2011-10-30,85.3408,85.32976,85.34749,85.32741,85.36746,85.37101,85.46972
2011-10-31,85.35615,85.33928,85.40099,85.37321,85.34585,85.49125,85.61478
2011-11-01,85.31328,85.38673,85.360275,85.323975,85.463936,85.59022,85.64614
2011-11-02,85.324936,85.34141,85.33248,85.42922,85.599754,85.604836,85.75133
2011-11-03,85.345695,85.35473,85.46442,85.54819,85.61753,85.72967,85.87178
2011-11-04,85.365814,85.44299,85.547226,85.575066,85.64121,85.85893,85.86382
2011-11-06,85.48514,85.53549,85.66332,85.72061,85.84904,85.89045,85.87411
2011-11-07,85.58502,85.61215,85.68899,85.82201,85.84486,85.83594,85.88115
2011-11-08,85.61103,85.725945,85.90579,85.90089,85.8847,85.87106,85.85651
2011-11-09,85.680984,85.83748,85.86506,85.92166,85.876526,85.8313,85.8363
2011-11-10,85.92477,85.87748,85.871574,85.854324,85.856606,85.88824,85.86361
2011-11-11,85.85278,85.868774,85.87677,85.84353,85.80094,85.88982,85.82811
2011-11-13,85.837975,85.861824,85.83981,85.87554,85.86615,85.8504,85.89191
2011-11-14,85.91254,85.89797,85.851074,85.86087,85.83201,85.85922,85.91141
