,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD
2011-09-25,1.0523505,1.0464711,1.0492843,1.0462804,1.0448291,1.0425695,1.0456572
2011-09-26,1.0452582,1.0460978,1.045914,1.0425707,1.0418122,1.0426147,1.0417383
2011-09-27,1.0437986,1.0449075,1.0413578,1.0391812,1.0399735,1.0404706,1.0397856
2011-09-28,1.045295,1.0404778,1.0416155,1.0392759,1.0410588,1.0384511,1.0352266
2011-09-29,1.0448346,1.0441294,1.0416013,1.0388432,1.0408446,1.0373757,1.0338297
2011-09-30,1.039967,1.0407246,1.0413569,1.0352666,1.0335329,1.0332277,1.032934
2011-10-02,1.0408992,1.0369818,1.0342891,1.0360535,1.0336332,1.029672,1.0304241
2011-10-03,1.0407528,1.0424372,1.0357751,1.0335894,1.029247,1.0278789,1.0263746
2011-10-04,1.0414048,1.0375242,1.0329839,1.0331513,1.0292115,1.0293992,1.0305798
2011-10-05,1.0350832,1.0331277,1.0337238,1.0292945,1.026619,1.0251402,1.0239536
2011-10-06,1.033896,1.0327253,1.028422,1.0273772,1.025331,1.0268874,1.0256308
2011-10-07,1.0284331,1.0301642,1.0264549,1.0254362,1.0243843,1.020691,1.0158825
2011-10-09,1.0279683,1.0324786,1.0261072,1.023987,1.020405,1.0153956,1.0178224
2011-10-10,1.029134,1.0256777,1.022461,1.0222313,1.0180252,1.0066724,1.018069
2011-10-11,1.0267272,1.0255475,1.0240971,1.0181526,1.015909,1.019808,1.0152974
2011-10-12,1.0260799,1.0213162,1.0136404,1.0140498,1.0097688,1.0145942,1.0173883
2011-10-13,1.0229897,1.0169868,1.0188887,1.0100197,1.0148511,1.0196806,1.0162159
2011-10-14,1.0142641,1.0169209,1.0167408,1.0166423,1.0125492,1.0143619,1.0098522
2011-10-16,1.0138383,1.020219,1.0169097,1.0180888,1.0093563,1.0162233,1.0199573
2011-10-17,1.0109928,1.0099329,1.011521,1.0092787,1.0111303,1.0157554,1.0083327
2011-10-18,1.0146478,1.0153561,1.0183532,1.0220149,1.0181783,1.0062743,1.0106462
2011-10-19,1.015892,1.01243,1.016099,1.0181404,1.0093203,1.0137784,1.0115193
2011-10-20,1.0123382,1.0101663,1.007253,1.0135473,1.016523,1.0127839,1.0144928
2011-10-21,1.0132082,1.0168226,1.0095489,1.009025,1.0107658,1.0107088,1.0210862
2011-10-23,1.0072862,1.0091102,1.0079213,1.0106189,1.0095521,1.0106512,1.0141305
2011-10-24,1.0113093,1.0174252,1.0049036,1.020166,1.0119663,1.0111194,1.0090692
2011-10-25,1.0094444,1.0101464,1.0144463,1.0146998,1.0105228,1.0160832,1.019556
2011-10-26,1.0161738,1.0139452,1.0183737,1.0168662,1.0136102,1.0120724,1.0170507
2011-10-27,1.0118688,1.0059626,1.0190465,1.014494,1.0157914,1.0164912,1.0158049
2011-10-28,1.01331,1.0176891,1.0145621,1.0112028,1.0182307,1.0186489,1.0177547
2011-10-30,1.0182,1.0141308,1.0063678,1.0138547,1.023416,1.016583,1.0212106
2011-10-31,1.0063,1.0120519,1.0210872,1.0149834,1.0175109,1.018208,1.0161564
2011-11-01,1.021414,1.0177647,1.0176901,1.0182462,1.0195286,1.0173205,1.021451
2011-11-02,1.0217944,1.0163918,1.0138088,1.0158083,1.0194952,1.0156559,1.0217996
2011-11-03,1.0181581,1.0137116,1.0194713,1.0208335,1.022631,1.0220939,1.0248914
2011-11-04,1.0189437,1.0183899,1.0198725,1.0189341,1.0257095,1.0234048,1.0236101
2011-11-06,1.0196068,1.0209181,1.0228363,1.0236378,1.028717,1.0287462,1.0285243
2011-11-07,1.0222135,1.0214058,1.0255392,1.0290473,1.0267011,1.0251137,1.0270613
2011-11-08,1.0190125,1.023133,1.0245268,1.0257933,1.0263712,1.0312729,1.0258305
2011-11-09,1.0255336,1.0253085,1.0264151,1.0262961,1.0290812,1.0221281,1.0286107
2011-11-10,1.023556,1.0255476,1.0258957,1.0288467,1.0265849,1.0256557,1.0248169
2011-11-11,1.0272909,1.0240525,1.027461,1.0240494,1.0287136,1.0254207,1.024692
2011-11-13,1.0261838,1.0245123,1.0279655,1.0253323,1.0275977,1.027586,1.026386
2011-11-14,1.0267125,1.027085,1.0231593,1.0261515,1.0306542,1.0259799,1.0276184
2011-11-15,1.0294812,1.0249039,1.0267196,1.0255829,1.0255748,1.0300024,1.0302669
2011-11-16,1.0208539,1.0197377,1.0220586,1.0155692,1.0201249,1.0251659,1.0230656
2011-11-17,1.0300329,1.0264378,1.0296311,1.0292959,1.0276206,1.0298613,1.0274667
2011-11-18,1.026727,1.0252278,1.0274308,1.0268768,1.0264753,1.0266845,1.027402
2011-11-20,1.0298114,1.0276126,1.0280598,1.0294119,1.0287005,1.0259606,1.0298198
2011-11-21,1.0295662,1.026505,1.0274485,1.0281811,1.0286583,1.0269394,1.0295551
2011-11-22,1.0268325,1.0289572,1.0276842,1.0266671,1.028496,1.0280794,1.0276026
2011-11-23,1.0266006,1.0260695,1.02793,1.0271672,1.0271279,1.02684,1.0261493
2011-11-24,1.0274149,1.028081,1.0256257,1.0287291,1.0260814,1.0266632,1.0229721
2011-11-25,1.0283811,1.0282874,1.0264289,1.0242305,1.0221548,1.024011,1.0218124
2011-11-27,1.0302583,1.0293093,1.0266256,1.0218309,1.0238292,1.027189,1.020052
2011-11-28,1.0220776,1.0266469,1.0228784,1.0248371,1.0227127,1.0281163,1.0258693
2011-11-29,1.0197685,1.0312732,1.0166779,1.0278093,1.0125406,1.0171136,1.0141398
2011-11-30,1.0227593,1.0212468,1.0246075,1.0194263,1.0255687,1.024133,1.0217062
2011-12-01,1.0209049,1.0221252,1.02759,1.020263,1.0202751,1.0200777,1.0200824
2011-12-02,1.0292966,1.0253274,1.0227869,1.0201895,1.0253963,1.0247552,1.0216851
2011-12-04,1.0218103,1.0247774,1.0249238,1.0238478,1.0198894,1.0173614,1.0258006
2011-12-05,1.0307248,1.019942,1.0186777,1.0271057,1.0195153,1.0260365,1.0195922
2011-12-06,1.0213201,1.0215505,1.022191,1.0263412,1.020097,1.0231198,1.0206198
2011-12-07,1.0207033,1.0211976,1.016655,1.0225255,1.0190957,1.0233341,1.0171094
2011-12-08,1.0242854,1.0236394,1.0200487,1.0216748,1.0193117,1.0201291,1.0189397
2011-12-09,1.025698,1.0201075,1.018131,1.0153857,1.0159965,1.0225722,1.0153515
2011-12-11,1.0193712,1.0230457,1.020095,1.0242436,1.0197802,1.0181425,1.0149721
2011-12-12,1.0209612,1.0210848,1.0146556,1.0166259,1.0159252,1.013868,1.0128354
2011-12-13,1.0202637,1.0199463,1.0191321,1.018194,1.0154644,1.0141039,1.0135341
2011-12-14,1.0184964,1.0183781,1.0143454,1.0125134,1.0120586,1.0124831,1.0089446
2011-12-15,1.0192404,1.0155514,1.0147548,1.0146154,1.0135919,1.0103467,1.0099709
