,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF
2011-08-01,0.8832961,0.88265276,0.88080394,0.8825727,0.8822708,0.88224953,0.88112545
2011-08-02,0.8841153,0.8838352,0.8828384,0.88265204,0.8806093,0.88077414,0.87976646
2011-08-03,0.8841301,0.880699,0.88146263,0.8814792,0.8818252,0.8788442,0.87886
2011-08-04,0.88262445,0.8809601,0.8815505,0.8811573,0.8792317,0.87978446,0.8793528
2011-08-05,0.8818274,0.88012725,0.8808159,0.8803949,0.8802778,0.88013,0.88106984
2011-08-07,0.8820975,0.88029546,0.88033956,0.8791934,0.8782276,0.879447,0.8781453
2011-08-08,0.881848,0.8798916,0.88107675,0.8786005,0.8794228,0.8793323,0.87776315
2011-08-09,0.8809734,0.8813577,0.8803351,0.8810783,0.87990516,0.8770564,0.8758323
2011-08-10,0.8805575,0.8800304,0.8811072,0.8782869,0.87903726,0.87580127,0.8757226
2011-08-11,0.880132,0.8808266,0.8784246,0.8766484,0.8746021,0.8744827,0.87313783
2011-08-12,0.8798472,0.87896746,0.8775015,0.87521166,0.8735157,0.8705942,0.87021136
2011-08-14,0.8788267,0.8769339,0.87465405,0.8741364,0.87371725,0.87164205,0.86927074
2011-08-15,0.8763587,0.8746,0.87447244,0.87122893,0.8702811,0.8699751,0.86535007
2011-08-16,0.8753624,0.8756383,0.87224555,0.87156653,0.86948663,0.8655354,0.8624137
2011-08-17,0.87507296,0.8715724,0.87067163,0.86948836,0.86606866,0.86306083,0.8611269
2011-08-18,0.8727478,0.8712076,0.868464,0.86570495,0.86275625,0.862016,0.83513683
2011-08-19,0.8711857,0.8703002,0.8664384,0.86532336,0.8615205,0.8364276,0.8321571
2011-08-21,0.86725885,0.8673073,0.8638184,0.8618714,0.8365122,0.8324842,0.8306381
2011-08-22,0.86570805,0.8647242,0.8626343,0.8358921,0.8312292,0.83103323,0.8301909
2011-08-23,0.86295664,0.8619146,0.8354333,0.8319818,0.8309875,0.8309482,0.8326934
2011-08-24,0.8603888,0.836515,0.83293945,0.8319174,0.8306428,0.83088505,0.8305629
2011-08-25,0.8361315,0.8315849,0.831238,0.8318522,0.83306175,0.83092856,0.82988244
2011-08-26,0.8317507,0.831701,0.8301721,0.8309047,0.82999426,0.8308635,0.8326008
2011-08-28,0.83184665,0.8323668,0.83122045,0.82991356,0.83172965,0.8309077,0.83057374
2011-08-29,0.83117855,0.83010674,0.83013517,0.830893,0.83141077,0.83084047,0.82990974
2011-08-30,0.83072585,0.83281493,0.83120054,0.8298772,0.82942677,0.8308845,0.8325665
2011-08-31,0.8302476,0.8316349,0.83009833,0.8308793,0.83199996,0.8308159,0.8303144
