,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY
2011-05-10,66.39345,66.402374,66.41928,66.455185,66.46403,66.43697,66.432014
2011-05-11,66.37665,66.396835,66.448555,66.42814,66.47404,66.408516,66.42631
2011-05-12,66.41327,66.46206,66.419914,66.456055,66.386,66.39303,66.3469
2011-05-13,66.44949,66.3976,66.44944,66.428635,66.39736,66.40831,66.314804
2011-05-15,66.41927,66.40173,66.42053,66.44536,66.39826,66.28151,66.24823
2011-05-16,66.46592,66.41429,66.36827,66.353775,66.34246,66.2862,66.25679
2011-05-17,66.45561,66.39193,66.4103,66.30187,66.30644,66.28119,66.23886
2011-05-18,66.37887,66.38548,66.33935,66.346146,66.265854,66.28835,66.186104
2011-05-19,66.379265,66.27163,66.252686,66.370766,66.214264,66.18328,66.00714
2011-05-20,66.327934,66.27438,66.2835,66.26037,66.19532,66.001114,66.008736
2011-05-22,66.29172,66.267075,66.24944,66.163605,66.00234,65.99595,65.93485
2011-05-23,66.27623,66.25804,66.181694,66.07082,66.01477,65.95995,65.85125
2011-05-24,66.24571,66.191444,66.02992,65.96467,65.94475,65.866295,65.70183
2011-05-25,66.15821,66.11188,65.94968,65.90923,65.86863,65.72002,65.69677
2011-05-26,66.06392,66.029816,65.903046,65.889046,65.7414,65.648895,65.69736
2011-05-27,65.95496,65.911285,65.88663,65.74312,65.71237,65.694435,65.72592
2011-05-29,65.928406,65.889084,65.71307,65.74957,65.694534,65.6645,65.66373
2011-05-30,65.894745,65.7326,65.70623,65.673195,65.650505,65.66451,65.62643
2011-05-31,65.69696,65.685646,65.63707,65.63613,65.705635,65.59489,65.58589
2011-06-01,65.68557,65.69678,65.71322,65.67553,65.66495,65.58908,65.53524
2011-06-02,65.697395,65.638504,65.69146,65.67389,65.57605,65.564575,65.523415
2011-06-03,65.67885,65.70007,65.62432,65.5735,65.577065,65.52657,65.51573
2011-06-05,65.683624,65.647545,65.56071,65.54615,65.5224,65.51699,65.48829
2011-06-06,65.67365,65.59232,65.53961,65.58316,65.48882,65.503174,65.47388
2011-06-07,65.56077,65.548706,65.532104,65.49801,65.516785,65.49188,65.441246
2011-06-08,65.54151,65.54673,65.51146,65.46961,65.46651,65.44514,65.43387
2011-06-09,65.540535,65.50568,65.49969,65.46081,65.45205,65.43197,65.36453
2011-06-10,65.54816,65.50063,65.476105,65.46594,65.44399,65.41494,65.3291
2011-06-12,65.502144,65.473015,65.49968,65.44559,65.37198,65.33876,65.33589
2011-06-13,65.4144,65.40377,65.45443,65.3645,65.37728,65.34859,65.3462
2011-06-14,65.4085,65.47042,65.37418,65.370026,65.33191,65.36038,65.33563
2011-06-15,65.44515,65.40267,65.38391,65.349144,65.32498,65.33631,65.31919
2011-06-16,65.346985,65.38688,65.37135,65.35468,65.35374,65.351395,65.304825
2011-06-17,65.34033,65.36139,65.3143,65.38201,65.308945,65.305695,65.31565
2011-06-19,65.30641,65.35142,65.31262,65.31517,65.32651,65.3146,65.2853
2011-06-20,65.33721,65.33353,65.33334,65.340385,65.301346,65.283,65.27879
2011-06-21,65.34971,65.31596,65.35196,65.300354,65.261154,65.29051,65.27089
2011-06-22,65.321396,65.330154,65.32366,65.27204,65.27907,65.27657,65.290405
2011-06-23,65.30329,65.28993,65.26005,65.30063,65.29194,65.28631,65.28353
2011-06-24,65.300354,65.314285,65.295815,65.27371,65.26113,65.295265,65.242836
2011-06-26,65.249725,65.27816,65.25285,65.28752,65.27989,65.27626,65.255424
2011-06-27,65.244545,65.25238,65.30423,65.27859,65.29856,65.28335,65.30122
2011-06-28,65.28107,65.30372,65.267296,65.30502,65.28442,65.28745,65.26876
2011-06-29,65.30953,65.29744,65.29941,65.30455,65.25509,65.27554,65.25975
2011-06-30,65.25134,65.28822,65.29387,65.28316,65.28336,65.28715,65.29472
2011-07-01,65.261215,65.280266,65.279274,65.286354,65.30937,65.27987,65.235085
2011-07-03,65.2943,65.29404,65.28258,65.28954,65.326675,65.293335,65.294174
2011-07-04,65.30932,65.300354,65.25563,65.26906,65.29996,65.285835,65.28912
2011-07-05,65.2975,65.29627,65.2885,65.30116,65.30892,65.2823,65.271225
2011-07-06,65.27897,65.30029,65.26755,65.30161,65.26902,65.26971,65.28146
2011-07-07,65.315445,65.29343,65.29878,65.2774,65.29558,65.29252,65.21405
2011-07-08,65.305275,65.27561,65.27678,65.31046,65.27053,65.22685,65.240456
2011-07-10,65.288055,65.27987,65.3211,65.31034,65.24279,65.22113,65.20261
2011-07-11,65.29731,65.24687,65.291176,65.26885,65.21525,65.15006,65.13252
