,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR
2011-07-24,1073.9397,1074.6038,1074.7761,1074.8295,1077.0842,1077.4535,1078.1366
2011-07-25,1074.5997,1074.7544,1074.7645,1077.448,1077.5725,1078.1141,1078.2096
2011-07-26,1074.7909,1074.9578,1077.3663,1077.4058,1078.102,1078.0885,1085.8995
2011-07-27,1074.9122,1077.1438,1077.6245,1078.1705,1078.0067,1085.8953,1101.599
2011-07-28,1077.1842,1077.6484,1078.1727,1078.1246,1086.0383,1101.2157,1109.8508
2011-07-29,1077.4651,1078.2697,1078.1813,1085.9109,1102.0068,1109.759,1113.3209
2011-07-31,1078.2031,1078.2094,1085.9327,1101.8243,1109.7965,1113.3215,1114.2482
2011-08-01,1078.2694,1085.9889,1101.6611,1109.8395,1113.3713,1114.2959,1114.3776
2011-08-02,1085.7437,1101.918,1109.9346,1113.1621,1114.288,1114.4161,1117.3778
2011-08-03,1102.0226,1109.8196,1113.1621,1114.0957,1114.2518,1117.2761,1118.689
2011-08-04,1109.8551,1113.2811,1114.114,1114.446,1117.4539,1118.8164,1120.5084
2011-08-05,1113.2435,1114.2037,1114.3049,1117.4275,1118.8115,1120.5853,1121.6813
2011-08-07,1114.3667,1114.4697,1117.3931,1118.8615,1120.5583,1121.7529,1121.9875
2011-08-08,1114.4102,1117.4307,1118.8218,1120.5781,1121.6376,1122.0007,1122.1449
2011-08-09,1117.4861,1118.8384,1120.5688,1121.6638,1122.0303,1122.0404,1122.3798
2011-08-10,1118.8951,1120.4839,1121.6472,1121.9292,1122.0238,1122.5071,1123.1624
2011-08-11,1120.5176,1121.5525,1122.0208,1122.3473,1122.5176,1123.1952,1127.2908
2011-08-12,1121.557,1122.0055,1122.1825,1122.6443,1123.2135,1127.3662,1128.1862
2011-08-14,1121.9858,1122.2078,1122.5354,1123.183,1127.3174,1128.241,1130.164
2011-08-15,1122.2102,1122.5693,1123.15,1127.4185,1128.4918,1130.131,1130.8137
2011-08-16,1122.4835,1123.1832,1127.3358,1128.2473,1130.1326,1130.7886,1131.8816
2011-08-17,1123.2623,1127.3359,1128.2533,1130.2363,1130.8666,1131.9362,1137.4792
2011-08-18,1127.1975,1128.3235,1130.1628,1130.7555,1131.8204,1137.5453,1155.2084
2011-08-19,1128.3192,1130.2715,1130.8519,1131.9934,1137.514,1155.4982,1163.8948
2011-08-21,1130.0973,1130.8506,1131.9274,1137.3733,1155.2463,1164.058,1170.0577
2011-08-22,1130.7578,1131.9551,1137.4607,1155.3049,1164.0153,1169.9391,1170.4043
2011-08-23,1132.1719,1137.5638,1154.6681,1163.914,1170.0754,1170.3828,1179.2155
2011-08-24,1137.3958,1155.2351,1163.9128,1169.9896,1170.4595,1179.0314,1204.721
2011-08-25,1155.3372,1164.1829,1170.0444,1170.289,1179.1805,1204.552,1212.8505
2011-08-26,1164.1941,1170.1992,1170.3378,1179.4023,1204.9178,1212.8995,1216.9574
2011-08-28,1170.0747,1170.3232,1179.3083,1205.0956,1213.0919,1217.0287,1217.4445
2011-08-29,1170.4607,1179.2155,1205.2462,1212.8802,1217.0436,1217.4686,1225.1917
2011-08-30,1179.2303,1204.8931,1213.0416,1217.0753,1217.4607,1225.1248,1228.4451
2011-08-31,1205.4197,1212.9398,1217.0994,1217.4309,1225.1212,1228.2922,1236.0195
2011-09-01,1212.9935,1216.9945,1217.3529,1224.9927,1228.164,1236.0535,1238.022
