,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD
2011-06-30,1289.6195,1289.6271,1289.611,1289.5824,1289.6185,1289.6377,1289.6221
2011-07-01,1289.6035,1289.6313,1289.619,1289.6052,1289.6256,1289.6444,1289.6251
2011-07-03,1289.6312,1289.6132,1289.6458,1289.6439,1289.6115,1289.6111,1289.6305
2011-07-04,1289.619,1289.6177,1289.6272,1289.6357,1289.6204,1289.6038,1289.6158
2011-07-05,1289.6014,1289.621,1289.5917,1289.6088,1289.6486,1289.6398,1289.6227
2011-07-06,1289.6066,1289.6276,1289.6041,1289.629,1289.6285,1289.6475,1289.6084
2011-07-07,1289.6165,1289.6323,1289.6364,1289.6233,1289.5908,1289.6094,1289.6407
2011-07-08,1289.6254,1289.6111,1289.6178,1289.5962,1289.6042,1289.601,1289.6444
2011-07-10,1289.6304,1289.6107,1289.627,1289.62,1289.6383,1289.6409,1289.6003
2011-07-11,1289.6141,1289.6106,1289.6086,1289.6641,1289.6183,1289.6495,1289.5878
2011-07-12,1289.5981,1289.6356,1289.6196,1289.6516,1289.6279,1289.6072,1289.6272
2011-07-13,1289.6038,1289.6344,1289.6537,1289.589,1289.6091,1289.5979,1289.6337
2011-07-14,1289.6156,1289.6605,1289.6295,1289.5634,1289.6206,1289.6425,1289.6138
2011-07-15,1289.6406,1289.6227,1289.5833,1289.5962,1289.6559,1289.6523,1298.7631
2011-07-17,1289.6259,1289.6102,1289.5997,1289.6503,1289.631,1299.0275,1302.1982
2011-07-18,1289.632,1289.6372,1289.6401,1289.6394,1299.0942,1302.2194,1307.7709
2011-07-19,1289.6431,1289.6107,1289.6163,1299.4049,1302.1904,1307.7684,1308.8292
2011-07-20,1289.6217,1289.6224,1299.5651,1302.2268,1307.831,1308.8109,1310.7914
2011-07-21,1289.6268,1299.8463,1302.2021,1307.8708,1308.8635,1310.7275,1310.9136
2011-07-22,1300.124,1302.1877,1307.713,1308.8379,1310.7557,1310.9233,1311.1398
2011-07-24,1302.1273,1307.6748,1308.8738,1310.722,1310.9584,1311.1685,1311.2476
2011-07-25,1307.61,1308.8407,1310.7714,1310.8514,1311.1747,1311.1191,1311.0898
2011-07-26,1308.8911,1310.7605,1310.8743,1311.148,1311.1907,1311.1694,1311.0566
2011-07-27,1310.7374,1310.9316,1311.1117,1311.088,1311.1381,1311.1259,1311.2399
2011-07-28,1310.8887,1311.1825,1311.1307,1311.1055,1311.1316,1311.1509,1311.2006
