,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
2011-07-04,186.44904,185.93735,185.9104,185.2674,185.21172,185.1075,184.75247
2011-07-05,185.90436,185.89758,185.27148,185.22987,185.16599,184.76753,184.79425
2011-07-06,185.87598,185.24649,185.24045,185.11392,184.78111,184.73286,184.75104
2011-07-07,185.29042,185.23737,185.14163,184.74976,184.75948,184.73294,184.68445
2011-07-08,185.23804,185.15605,184.74474,184.74413,184.73593,184.73169,184.71817
2011-07-10,185.14507,184.74155,184.7601,184.71913,184.7651,184.73164,184.71591
2011-07-11,184.75903,184.73978,184.74461,184.74988,184.74316,184.7328,185.25278
2011-07-12,184.73483,184.72769,184.76042,184.73375,184.75629,185.31561,185.8135
2011-07-13,184.74936,184.73456,184.74454,184.77266,185.26108,185.75116,185.90654
2011-07-14,184.73465,184.74377,184.76074,185.2537,185.75548,185.93033,185.93823
2011-07-15,184.749,184.71335,185.25409,185.77594,185.89224,185.92786,186.45457
2011-07-17,184.73428,185.25626,185.74403,185.92026,185.94696,186.4945,187.03174
2011-07-18,185.24959,185.76218,185.90244,185.93173,186.50688,187.14777,187.08226
2011-07-19,185.78156,185.90823,185.94543,186.39113,187.08847,187.1181,187.09277
2011-07-20,185.89166,185.9332,186.42734,187.04852,187.05872,187.03345,187.1088
2011-07-21,185.91782,186.45737,187.07874,187.08745,187.0641,187.15463,187.16751
2011-07-22,186.43423,187.0664,187.0755,187.0171,187.20241,187.1587,187.13802
2011-07-24,187.04742,187.06891,187.0451,187.194,187.17834,187.18762,187.41031
2011-07-25,187.07239,187.08247,187.16711,187.22662,187.13098,187.40697,187.46704
2011-07-26,187.04875,187.19058,187.18454,187.17218,187.44446,187.42236,187.38113
2011-07-27,187.18811,187.17862,187.14859,187.44832,187.44452,187.3865,187.33076
2011-07-28,187.19073,187.20712,187.48833,187.43219,187.41324,187.29257,187.29495
2011-07-29,187.16455,187.4467,187.46315,187.37079,187.3005,187.32883,187.45871
